commodity,events,avg_6m_pct,median_6m_pct,hit_6m_pct,avg_12m_pct,median_12m_pct,hit_12m_pct
cocoa,20,9.33,1.03,55.00,18.14,3.50,55.00
palm_oil,20,8.81,8.32,60.00,17.39,17.95,65.00
rubber_tsr20,8,10.47,8.20,75.00,16.98,14.53,87.50
wheat_srw,13,6.01,0.99,61.54,15.76,7.64,69.23
rubber_rss3,20,6.09,3.06,65.00,15.25,18.43,75.00
rice_thai_5,20,5.21,1.28,60.00,10.76,4.60,65.00
coffee_robusta,20,6.42,0.20,55.00,9.22,14.23,60.00
maize,20,4.59,5.98,60.00,8.98,10.53,75.00
cotton,20,4.68,-1.14,45.00,8.91,3.51,55.00
sugar_world,20,11.80,7.18,70.00,4.42,7.44,55.00
coffee_arabica,20,3.83,1.31,60.00,2.47,5.55,60.00
