event_id,start_date,strength,commodity,start_price,ret_6m_pct,ret_12m_pct
196306-196402,1963-06-01,moderate,rubber_rss3,0.5313,-11.6130,-7.8863
196306-196402,1963-06-01,moderate,palm_oil,219.9100,5.3886,6.3890
196306-196402,1963-06-01,moderate,sugar_world,0.2154,5.0139,-46.3788
196306-196402,1963-06-01,moderate,coffee_arabica,0.7992,0.0751,25.7883
196306-196402,1963-06-01,moderate,coffee_robusta,0.6118,6.5946,38.3784
196306-196402,1963-06-01,moderate,cocoa,0.5622,1.7965,-11.8819
196306-196402,1963-06-01,moderate,rice_thai_5,128.1300,-5.1432,-6.9851
196306-196402,1963-06-01,moderate,maize,55.5100,-3.5489,1.4232
196306-196402,1963-06-01,moderate,cotton,0.6389,0.8296,3.2086
196506-196604,1965-06-01,strong,rubber_rss3,0.5225,-3.3684,-9.4163
196506-196604,1965-06-01,strong,palm_oil,294.8700,-15.7018,-23.5528
196506-196604,1965-06-01,strong,sugar_world,0.0412,-7.0388,-10.1942
196506-196604,1965-06-01,strong,coffee_arabica,0.9811,5.1677,-5.8506
196506-196604,1965-06-01,strong,coffee_robusta,0.6131,29.4499,20.8558
196506-196604,1965-06-01,strong,cocoa,0.2906,57.8802,81.2457
196506-196604,1965-06-01,strong,rice_thai_5,110.8800,19.1017,30.2760
196506-196604,1965-06-01,strong,maize,58.2600,-5.3896,-2.0254
196506-196604,1965-06-01,strong,cotton,0.6290,-1.5103,-1.7170
196810-196905,1968-10-01,moderate,rubber_rss3,0.4103,26.5416,22.5201
196810-196905,1968-10-01,moderate,palm_oil,141.7300,19.9958,43.3289
196810-196905,1968-10-01,moderate,sugar_world,0.0390,106.4103,66.6667
196810-196905,1968-10-01,moderate,coffee_arabica,0.8545,-4.7981,21.7203
196810-196905,1968-10-01,moderate,coffee_robusta,0.7401,-10.9622,14.1793
196810-196905,1968-10-01,moderate,cocoa,0.8305,5.4666,10.6081
196810-196905,1968-10-01,moderate,rice_thai_5,163.7200,0.9040,2.2233
196810-196905,1968-10-01,moderate,maize,44.8800,14.9064,15.5749
196810-196905,1968-10-01,moderate,cotton,0.6563,-4.4339,-4.4339
196908-197001,1969-08-01,weak,rubber_rss3,0.5787,-17.1073,-35.8389
196908-197001,1969-08-01,weak,palm_oil,171.4900,49.4489,40.0781
196908-197001,1969-08-01,weak,sugar_world,0.0650,6.1538,29.3846
196908-197001,1969-08-01,weak,coffee_arabica,0.8126,40.9427,45.5575
196908-197001,1969-08-01,weak,coffee_robusta,0.7246,16.9455,30.3620
196908-197001,1969-08-01,weak,cocoa,0.9143,-26.1730,-26.1730
196908-197001,1969-08-01,weak,rice_thai_5,171.5800,-22.2637,-25.3526
196908-197001,1969-08-01,weak,maize,53.5400,9.0773,9.0773
196908-197001,1969-08-01,weak,cotton,0.5999,8.6181,13.7856
197205-197303,1972-05-01,super/very strong,rubber_rss3,0.3263,14.0362,68.7711
197205-197303,1972-05-01,super/very strong,palm_oil,227.5100,-3.9427,42.3366
197205-197303,1972-05-01,super/very strong,sugar_world,0.1462,9.7127,36.8673
197205-197303,1972-05-01,super/very strong,coffee_arabica,1.0377,14.2816,36.3689
197205-197303,1972-05-01,super/very strong,coffee_robusta,0.9647,8.2495,11.3803
197205-197303,1972-05-01,super/very strong,cocoa,0.6440,0.0000,75.6211
197205-197303,1972-05-01,super/very strong,rice_thai_5,114.1300,36.6862,62.8581
197205-197303,1972-05-01,super/very strong,maize,54.4800,8.6637,63.3076
