event_id,start_date,end_date,duration_months,max_oni,strength
195106-195201,1951-06-01,1952-01-01,8,1.15,moderate
195302-195401,1953-02-01,1954-01-01,12,0.84,weak
195704-195807,1957-04-01,1958-07-01,16,1.81,strong
195811-195903,1958-11-01,1959-03-01,5,0.62,weak
196306-196402,1963-06-01,1964-02-01,9,1.37,moderate
196506-196604,1965-06-01,1966-04-01,11,1.98,strong
196810-196905,1968-10-01,1969-05-01,8,1.13,moderate
196908-197001,1969-08-01,1970-01-01,6,0.86,weak
197205-197303,1972-05-01,1973-03-01,11,2.12,super/very strong
197609-197702,1976-09-01,1977-02-01,6,0.86,weak
197709-197801,1977-09-01,1978-01-01,5,0.81,weak
198205-198306,1982-05-01,1983-06-01,14,2.23,super/very strong
198609-198802,1986-09-01,1988-02-01,18,1.70,strong
199106-199206,1991-06-01,1992-06-01,13,1.71,strong
199409-199503,1994-09-01,1995-03-01,7,1.09,moderate
199705-199804,1997-05-01,1998-04-01,12,2.40,super/very strong
200206-200302,2002-06-01,2003-02-01,9,1.31,moderate
200408-200502,2004-08-01,2005-02-01,7,0.70,weak
200609-200701,2006-09-01,2007-01-01,5,0.94,weak
200908-201003,2009-08-01,2010-03-01,8,1.56,strong
201410-201604,2014-10-01,2016-04-01,19,2.75,super/very strong
201809-201906,2018-09-01,2019-06-01,10,0.97,weak
201911-202003,2019-11-01,2020-03-01,5,0.66,weak
202305-202404,2023-05-01,2024-04-01,12,2.06,super/very strong
