date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2024-01-02,11500,11300,11570,11265,75497,8607816704,2.73,1.12,125,0.00
2024-01-03,11280,11225,11315,11160,45558,5118695936,1.36,-1.54,-175,0.00
2024-01-04,11185,11050,11200,10985,45039,4994498560,1.91,-1.65,-185,0.00
2024-01-05,11080,11140,11240,11025,50571,5629659392,1.94,0.50,55,0.00
2024-01-08,11100,10830,11110,10760,60325,6576835840,3.14,-2.70,-300,0.00
2024-01-09,10840,10850,10885,10760,32992,3571202208,1.15,-0.46,-50,0.00
2024-01-10,10865,10815,10880,10740,30353,3279826208,1.29,-0.05,-5,0.00
2024-01-11,10835,11010,11030,10835,42114,4613937920,1.80,1.90,205,0.00
2024-01-12,11020,11070,11180,10970,41882,4638302720,1.92,1.05,115,0.00
2024-01-15,11110,11125,11310,11075,52991,5927225600,2.12,0.50,55,0.00
2024-01-16,11120,11240,11285,11070,47869,5359775232,1.92,0.49,55,0.00
2024-01-17,11240,11175,11300,11145,38767,4349214976,1.38,-0.18,-20,0.00
2024-01-18,11150,11355,11360,11110,66378,7472313088,2.23,1.25,140,0.00
2024-01-19,11355,11355,11385,11195,51145,5778901248,1.69,0.89,100,0.00
2024-01-22,11350,11115,11355,11050,44328,4976972544,2.70,-1.59,-180,0.00
2024-01-23,11110,11125,11140,10890,48881,5387296256,2.23,-0.89,-100,0.00
2024-01-24,11145,11215,11225,11090,30235,3374915152,1.23,1.77,195,0.00
2024-01-25,11220,11260,11295,11190,23823,2678797408,0.94,0.90,100,0.00
2024-01-26,11265,11195,11280,11170,23329,2619208000,0.98,-0.40,-45,0.00
2024-01-29,11250,11200,11335,11120,42403,4765478656,1.90,-0.84,-95,0.00
2024-01-30,11195,11115,11250,11090,35469,3961784304,1.42,-1.07,-120,0.00
2024-01-31,11125,11155,11210,11100,30554,3404026448,0.99,-0.09,-10,0.00
2024-02-01,11155,11085,11155,11000,35139,3890762704,1.39,-0.49,-55,0.00
2024-02-02,11075,10990,11115,10840,51991,5696405248,2.48,-0.72,-80,0.00
2024-02-05,11000,11125,11180,10980,44364,4926728704,1.83,1.55,170,0.00
2024-02-06,11100,11140,11185,11050,28080,3121219600,1.22,0.32,35,0.00
2024-02-07,11095,11010,11115,10965,34776,3831582256,1.35,-0.94,-105,0.00
2024-02-08,11010,11025,11050,10925,29913,3284495808,1.13,0.09,10,0.00
2024-02-19,11165,11190,11280,11145,30389,3408707600,1.23,1.91,210,0.00
2024-02-20,11230,11285,11355,11200,31238,3529814096,1.38,0.62,70,0.00
2024-02-21,11285,11310,11365,11210,32419,3659775104,1.37,0.13,15,0.00
2024-02-22,11305,11590,11765,11285,74300,8574177536,4.25,2.70,305,0.00
2024-02-23,11560,11720,11825,11560,62574,7315686656,2.30,1.60,185,0.00
2024-02-26,11705,11695,11750,11615,46567,5441460992,1.15,0.04,5,0.00
2024-02-27,11695,11925,12010,11680,72549,8646534400,2.82,2.05,240,0.00
2024-02-28,11925,11810,11980,11775,53374,6343171584,1.72,-0.88,-105,0.00
