date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2024-01-02,14350,14205,14540,14195,234426,33621752832,2.45,0.74,105,0.00
2024-01-03,14150,14115,14205,14045,191738,27114354944,1.12,-1.57,-225,0.00
2024-01-04,14100,13875,14105,13820,221864,31004851200,2.02,-1.87,-265,0.00
2024-01-05,13875,13850,13925,13810,168924,23442000896,0.82,-0.86,-120,0.00
2024-01-08,13845,13470,13850,13440,270373,36761069056,2.95,-2.92,-405,0.00
2024-01-09,13475,13445,13560,13380,183167,24679386112,1.32,-1.10,-150,0.00
2024-01-10,13495,13470,13525,13420,158667,21377177600,0.78,0.00,0,0.00
2024-01-11,13475,13695,13710,13475,201048,27375344896,1.74,1.67,225,0.00
2024-01-12,13700,13770,13800,13665,155061,21309051392,0.99,1.14,155,0.00
2024-01-15,13800,13785,13935,13755,181339,25094940160,1.31,0.33,45,0.00
2024-01-16,13750,13875,13915,13710,191732,26516071936,1.48,0.29,40,0.00
2024-01-17,13855,13775,13950,13735,200273,27707126016,1.56,-0.36,-50,0.00
2024-01-18,13740,13860,13920,13635,270274,37240039680,2.06,0.22,30,0.00
2024-01-19,13850,13875,13880,13725,182298,25149037824,1.13,0.73,100,0.00
2024-01-22,13850,13545,13855,13470,281375,38564741888,2.79,-1.81,-250,0.00
2024-01-23,13555,13535,13570,13345,251950,33872492288,1.64,-1.24,-170,0.00
2024-01-24,13535,13630,13650,13510,171316,23252636928,1.04,1.41,190,0.00
2024-01-25,13675,13760,13790,13635,167411,22937654784,1.14,1.40,190,0.00
2024-01-26,13740,13665,13770,13650,165485,22679710464,0.88,-0.26,-35,0.00
2024-01-29,13630,13560,13740,13470,210340,28655941888,1.97,-1.02,-140,0.00
2024-01-30,13570,13510,13635,13485,151537,20558647552,1.10,-0.81,-110,0.00
2024-01-31,13480,13525,13605,13460,174041,23541138944,1.07,-0.29,-40,0.00
2024-02-01,13510,13385,13520,13355,217506,29166758144,1.22,-1.04,-140,0.00
2024-02-02,13395,13290,13430,13120,316565,41989199872,2.31,-0.86,-115,0.00
2024-02-05,13335,13385,13445,13295,209584,28024295168,1.13,0.94,125,0.00
2024-02-06,13370,13355,13470,13330,149862,20068818688,1.05,-0.11,-15,0.00
2024-02-07,13345,13240,13350,13225,160150,21263348736,0.93,-1.12,-150,0.00
2024-02-08,13250,13365,13375,13120,191173,25280915712,1.92,0.68,90,0.00
2024-02-19,13550,13465,13615,13400,166270,22489020672,1.63,1.85,245,0.00
2024-02-20,13505,13555,13620,13505,164141,22274241536,0.85,0.22,30,0.00
2024-02-21,13500,13550,13625,13475,184759,25012031744,1.11,-0.15,-20,0.00
2024-02-22,13555,13760,13815,13540,239740,32799025664,2.03,1.66,225,0.00
2024-02-23,13760,13810,13845,13695,170180,23432351232,1.10,0.95,130,0.00
2024-02-26,13795,13750,13810,13680,158885,21840296192,0.94,-0.11,-15,0.00
2024-02-27,13770,13965,14015,13765,252378,35186540288,1.82,1.60,220,0.00
2024-02-28,13950,13965,14030,13900,198282,27666359552,0.93,0.18,25,0.00
2024-02-29,13945,13960,13965,13820,178063,24754666496,1.04,0.07,10,0.00
2024-03-01,13965,13915,13985,13820,183239,25462861056,1.19,0.11,15,0.00
2024-03-04,13950,13850,13955,13755,196654,27245409280,1.44,-0.32,-45,0.00
2024-03-05,13850,13780,13880,13700,181567,25006764544,1.30,-0.51,-70,0.00
2024-03-06,13780,13805,13830,13675,165580,22784953856,1.13,0.25,35,0.00
2024-03-07,13835,13725,13880,13675,169314,23378431232,1.49,-0.25,-35,0.00
2024-03-08,13750,14250,14295,13720,374002,52305167616,4.17,3.22,445,0.00
2024-03-11,14280,14080,14350,14045,349676,49585382656,2.18,0.68,95,0.00
2024-03-12,14095,14135,14270,14010,262215,37017892352,1.83,-0.32,-45,0.00
2024-03-13,14135,14200,14255,14090,235453,33388214784,1.17,0.60,85,0.00
2024-03-14,14250,14380,14540,14220,448669,64408770304,2.26,1.41,200,0.00
2024-03-15,14400,14790,14870,14365,556251,81359056896,3.52,3.03,435,0.00
2024-03-18,14820,15500,15500,14685,751314,114002677760,5.57,5.98,875,0.00
2024-03-19,15600,15395,15805,15270,808897,125378207744,3.53,1.48,225,0.00
2024-03-20,15315,15390,15575,15235,620900,95796613120,2.19,-0.68,-105,0.00
2024-03-21,15305,14940,15405,14920,589274,89621667840,3.14,-3.14,-485,0.00
2024-03-22,14900,14510,15025,14305,764406,112302854144,4.74,-4.57,-695,0.00
2024-03-25,14570,14440,14580,14370,396196,57400914944,1.43,-1.70,-250,0.00
2024-03-26,14500,14535,14700,14435,309655,45125859072,1.83,0.35,50,0.00
2024-03-27,14595,14280,14600,14175,258240,37200115200,2.92,-1.99,-290,0.00
2024-03-28,14480,14655,14660,14315,414916,60126580992,2.37,0.58,85,0.00
2024-03-29,14600,14665,14725,14450,436361,63743847424,1.90,1.21,175,0.00
2024-04-01,14665,14780,14820,14505,413869,60644345600,2.16,1.20,175,0.00
2024-04-02,14820,14615,14830,14575,313483,46041549568,1.74,-0.24,-35,0.00
2024-04-03,14650,14510,14740,14475,378297,55207219456,1.80,-1.19,-175,0.00
2024-04-08,14505,14850,14985,14335,378234,55898762496,4.46,1.78,260,0.00
2024-04-09,14860,15140,15185,14835,452481,67876187136,2.37,2.47,365,0.00
2024-04-10,15130,15070,15190,15005,397163,59939351552,1.23,0.47,70,0.00
2024-04-11,15050,14915,15055,14750,503422,74913906688,2.02,-1.16,-175,0.00
2024-04-12,14900,14695,14910,14560,502887,73965797376,2.35,-1.24,-185,0.00
2024-04-15,14725,14710,14825,14625,382729,56350727424,1.36,0.03,5,0.00
2024-04-16,14700,14515,14710,14470,402049,58604230400,1.63,-1.39,-205,0.00
2024-04-17,14505,14560,14600,14400,377860,54814030592,1.37,-0.10,-15,0.00
2024-04-18,14560,14590,14640,14430,395983,57615772928,1.45,0.59,85,0.00
2024-04-19,14595,14565,14720,14450,560228,81676599296,1.86,0.10,15,0.00
2024-04-22,14550,14415,14700,14400,556062,80951894016,2.06,-1.10,-160,0.00
2024-04-23,14385,14280,14465,14260,571148,82101948416,1.41,-1.89,-275,0.00
2024-04-24,14260,14215,14325,14135,415846,59132672768,1.32,-1.08,-155,0.00
2024-04-25,14200,14045,14240,13955,418820,59013240064,2.00,-1.20,-170,0.00
2024-04-26,14075,14195,14200,13965,351587,49493490688,1.67,0.75,105,0.00
2024-04-29,14195,14215,14295,14150,313544,44587717888,1.03,0.99,140,0.00
2024-04-30,14220,14045,14265,14030,276280,39099336448,1.65,-1.23,-175,0.00
2024-05-06,14005,14150,14195,14000,196644,27795517184,1.38,0.00,0,0.00
2024-05-07,14150,14285,14390,14150,354120,50648280576,1.70,1.10,155,0.00
2024-05-08,14270,14255,14430,14235,347774,49818317056,1.36,-0.31,-45,0.00
2024-05-09,14245,14240,14255,14110,298223,42303253248,1.01,-0.56,-80,0.00
2024-05-10,14250,14130,14305,14120,358289,50905781504,1.30,-0.39,-55,0.00
2024-05-13,14115,14405,14410,14070,425872,60686216704,2.39,1.41,200,0.00
2024-05-14,14480,14310,14585,14295,441463,63860363264,2.04,0.46,65,0.00
2024-05-15,14310,14430,14455,14295,332458,47814114304,1.11,-0.24,-35,0.00
2024-05-16,14440,14710,14780,14390,454984,66313098240,2.71,2.29,330,0.00
2024-05-17,14700,14685,14735,14620,313069,45977116160,0.79,0.79,115,0.00
2024-05-20,14685,14865,14930,14575,508377,75133460480,2.42,1.23,180,0.00
2024-05-21,14815,14725,15045,14715,467836,69586026496,2.23,-0.34,-50,0.00
2024-05-22,14760,14835,14885,14750,326543,48365904384,0.91,-0.24,-35,0.00
2024-05-23,14860,14865,15080,14720,597475,89191784448,2.43,0.37,55,0.00
2024-05-24,14925,15025,15200,14915,564489,84856537088,1.91,0.67,100,0.00
2024-05-27,15020,14965,15120,14875,425122,63737040896,1.63,-0.43,-65,0.00
2024-05-28,15000,15175,15565,14995,753492,115063771136,3.80,1.23,185,0.00
2024-05-29,15250,15445,15455,15145,515546,78763094016,2.03,1.15,175,0.00
2024-05-30,15500,15670,15830,15455,906122,141681643520,2.45,2.59,395,0.00
2024-05-31,15700,15350,15750,15175,719371,111196487680,3.68,-1.82,-285,0.00
2024-06-03,15395,15145,15430,15030,595198,90567778304,2.59,-2.01,-310,0.00
2024-06-04,15160,15005,15195,14850,502467,75272941568,2.27,-1.38,-210,0.00
2024-06-05,15000,15050,15130,14945,410421,61690475264,1.23,0.47,70,0.00
2024-06-06,15080,15560,15570,14975,595751,90642874368,3.96,3.53,530,0.00
2024-06-07,15595,16020,16070,15565,748574,118560292864,3.32,5.33,810,0.00
2024-06-11,16000,15535,16110,15500,552781,87145422848,3.85,-1.89,-300,0.00
2024-06-12,15535,15805,15830,15370,558809,87169921024,2.92,0.29,45,0.00
2024-06-13,15850,15485,15920,15210,614052,95488692224,4.55,-0.71,-110,0.00
2024-06-14,15480,15235,15480,15205,490911,75269619712,1.77,-2.03,-315,0.00
2024-06-17,15100,14885,15180,14865,429411,64491057920,2.05,-2.90,-445,0.00
2024-06-18,14925,14915,15035,14885,283705,42452092160,1.00,-0.67,-100,0.00
2024-06-19,14890,15015,15040,14690,322211,47971280128,2.34,0.37,55,0.00
2024-06-20,15055,15085,15155,14985,293382,44204642816,1.14,1.34,200,0.00
2024-06-21,15100,14900,15160,14865,289707,43465910272,1.96,-1.10,-165,0.00
2024-06-24,14900,14905,15040,14850,316270,47306729472,1.27,-0.63,-95,0.00
2024-06-25,15100,15290,15490,15060,643707,98270126080,2.88,2.24,335,0.00
2024-06-26,15230,15100,15245,14940,355193,53462326528,2.00,-1.08,-165,0.00
2024-06-27,15150,14925,15180,14910,328842,49527496448,1.79,-0.83,-125,0.00
2024-06-28,14935,14955,15015,14830,286600,42839771648,1.23,-0.70,-105,0.00
2024-07-01,14955,15010,15035,14780,294088,43850668288,1.71,0.43,65,0.00
2024-07-02,15040,15145,15145,14965,262260,39460878592,1.21,1.58,235,0.00
2024-07-03,15180,15105,15180,14920,254289,38267429632,1.73,0.40,60,0.00
2024-07-04,15100,14910,15135,14910,272799,41043801856,1.50,-0.90,-135,0.00
2024-07-05,14870,14580,14935,14555,389048,57291997184,2.53,-3.09,-465,0.00
