year,rss3_avg_usd_kg,rss3_high_usd_kg,rss3_low_usd_kg,tsr20_avg_usd_kg,crude_avg_usd_bbl,cotton_avg_usd_kg,copper_avg_usd_mt,rss3_yoy_pct,rss3_vs_2011_avg_pct
1960,0.780233,0.928100,0.619500,,1.630000,0.654542,678.755833,,16.176818
1961,0.601308,0.643700,0.542300,,1.570000,0.672183,633.084167,-22.932242,12.467111
1962,0.563633,0.595200,0.531300,,1.520000,0.649325,645.143333,-6.265504,11.685983
1963,0.521383,0.573200,0.469600,,1.500000,0.645592,645.950833,-7.496008,10.810001
1964,0.490508,0.518100,0.451900,,1.450000,0.650358,969.753333,-5.921747,10.169860
1965,0.504858,0.533500,0.471800,,1.420000,0.637925,1292.844167,2.925536,10.467383
1966,0.471558,0.506600,0.429900,,1.360000,0.622800,1531.513333,-6.595910,9.776964
1967,0.390125,0.426400,0.354100,,1.330000,0.676533,1134.772500,-17.268984,8.088582
1968,0.382117,0.417600,0.326900,,1.320000,0.684517,1241.952500,-2.052761,7.922543
1969,0.502200,0.578700,0.426200,,1.270000,0.626992,1467.340000,31.425830,10.412267
1970,0.407167,0.504200,0.348100,,1.210000,0.676283,1415.700000,-18.923404,8.441912
1971,0.332550,0.376100,0.292800,,1.690000,0.783200,1081.416667,-18.325829,6.894862
1972,0.331775,0.401200,0.306400,,1.820000,0.826992,1057.675000,-0.233048,6.878793
1973,0.678008,1.007500,0.442200,,2.807500,1.390575,1785.358333,104.357873,14.057356
1974,0.751600,1.080300,0.502700,,10.974999,1.458742,2058.500000,10.854095,15.583154
1975,0.560908,0.620200,0.526200,,10.432500,1.222875,1234.750000,-25.371430,11.629485
1976,0.773733,0.851400,0.638500,,11.630000,1.747508,1400.750000,37.942920,16.042051
1977,0.814683,0.867500,0.766800,,12.565000,1.628542,1308.750000,5.292521,16.891080
1978,0.985625,1.162100,0.845000,,12.916667,1.606667,1364.833333,20.982590,20.435267
1979,1.262100,1.375700,1.066800,,30.964583,1.707350,1985.258333,28.050729,26.167508
1980,1.424542,1.660300,1.331400,,36.868750,2.061842,2182.091667,12.870745,29.535461
1981,1.122833,1.370800,0.901200,,35.485000,1.871058,1741.950000,-21.179327,23.280049
1982,0.857675,0.908500,0.795900,,32.647222,1.597267,1480.441667,-23.615111,17.782440
1983,1.064175,1.134300,0.820100,,29.657778,1.853892,1591.925000,24.076719,22.063868
1984,0.957650,1.138700,0.789000,,28.557500,1.784850,1377.316667,-10.010102,19.855252
1985,0.758708,0.810200,0.732800,,27.183333,1.318283,1417.383333,-20.773943,15.730534
1986,0.806542,0.881400,0.743200,,14.350000,1.056275,1373.781667,6.304575,16.722277
1987,0.984650,1.086900,0.882500,,18.145833,1.648433,1782.503333,22.082967,20.415052
1988,1.184950,1.462100,1.028200,,14.718056,1.399400,2601.671667,20.342254,24.567933
1989,0.969900,1.124600,0.835300,,17.838889,1.674225,2848.410000,-18.148445,20.109235
1990,0.864683,0.898200,0.828500,,22.879167,1.819142,2661.482500,-10.848197,17.927746
1991,0.825767,0.868200,0.787500,,19.370833,1.677408,2338.782500,-4.500684,17.120875
1992,0.861583,0.890000,0.801400,,19.020833,1.278300,2281.157500,4.337383,17.863473
1993,0.831283,0.905900,0.798100,,16.841667,1.280267,1913.076667,-3.516781,17.235253
1994,1.125800,1.465400,0.809100,,15.886667,1.762775,2307.417500,35.429156,23.341558
1995,1.580042,1.840000,1.297900,,17.183333,2.127900,2935.605833,40.348345,32.759491
