run_date,date,ticker,name,close,indexed_return_pct,drawdown_from_high_pct
2026-05-07,2026-02-09,MU,Micron,383.5,0.0,-2.12
2026-05-07,2026-02-10,MU,Micron,373.25,-2.67,-4.74
2026-05-07,2026-02-11,MU,Micron,410.34,7.0,-0.92
2026-05-07,2026-02-12,MU,Micron,413.97,7.95,-5.65
2026-05-07,2026-02-13,MU,Micron,411.66,7.34,-6.18
2026-05-07,2026-02-17,MU,Micron,399.78,4.25,-8.89
2026-05-07,2026-02-18,MU,Micron,420.95,9.77,-4.06
2026-05-07,2026-02-19,MU,Micron,417.35,8.83,-4.88
2026-05-07,2026-02-20,MU,Micron,428.17,11.65,-2.42
2026-05-07,2026-02-23,MU,Micron,420.97,9.77,-4.06
2026-05-07,2026-02-24,MU,Micron,418.01,9.0,-4.73
2026-05-07,2026-02-25,MU,Micron,429.0,11.86,-2.23
2026-05-07,2026-02-26,MU,Micron,415.56,8.36,-5.29
2026-05-07,2026-02-27,MU,Micron,412.37,7.53,-6.02
2026-05-07,2026-03-02,MU,Micron,412.67,7.61,-5.95
2026-05-07,2026-03-03,MU,Micron,379.68,-1.0,-13.47
2026-05-07,2026-03-04,MU,Micron,400.77,4.5,-8.66
2026-05-07,2026-03-05,MU,Micron,397.05,3.53,-9.51
2026-05-07,2026-03-06,MU,Micron,370.3,-3.44,-15.6
2026-05-07,2026-03-09,MU,Micron,389.32,1.52,-11.27
2026-05-07,2026-03-10,MU,Micron,403.11,5.11,-8.13
2026-05-07,2026-03-11,MU,Micron,418.69,9.18,-4.58
2026-05-07,2026-03-12,MU,Micron,405.35,5.7,-7.62
2026-05-07,2026-03-13,MU,Micron,426.13,11.12,-2.88
2026-05-07,2026-03-16,MU,Micron,441.8,15.2,-2.87
2026-05-07,2026-03-17,MU,Micron,461.69,20.39,-0.22
2026-05-07,2026-03-18,MU,Micron,461.73,20.4,-2.04
2026-05-07,2026-03-19,MU,Micron,444.27,15.85,-5.74
2026-05-07,2026-03-20,MU,Micron,422.9,10.27,-10.28
2026-05-07,2026-03-23,MU,Micron,404.35,5.44,-14.21
2026-05-07,2026-03-24,MU,Micron,395.53,3.14,-16.08
2026-05-07,2026-03-25,MU,Micron,382.09,-0.37,-18.94
2026-05-07,2026-03-26,MU,Micron,355.46,-7.31,-24.59
2026-05-07,2026-03-27,MU,Micron,357.22,-6.85,-24.21
2026-05-07,2026-03-30,MU,Micron,321.8,-16.09,-31.73
2026-05-07,2026-03-31,MU,Micron,337.84,-11.91,-28.32
2026-05-07,2026-04-01,MU,Micron,367.85,-4.08,-21.96
2026-05-07,2026-04-02,MU,Micron,366.24,-4.5,-22.3
2026-05-07,2026-04-06,MU,Micron,377.76,-1.5,-19.85
2026-05-07,2026-04-07,MU,Micron,377.58,-1.54,-19.89
2026-05-07,2026-04-08,MU,Micron,406.73,6.06,-13.71
2026-05-07,2026-04-09,MU,Micron,421.51,9.91,-10.57
2026-05-07,2026-04-10,MU,Micron,420.59,9.67,-10.77
2026-05-07,2026-04-13,MU,Micron,426.56,11.23,-9.5
2026-05-07,2026-04-14,MU,Micron,465.66,21.42,-1.21
2026-05-07,2026-04-15,MU,Micron,456.23,18.96,-3.21
2026-05-07,2026-04-16,MU,Micron,457.23,19.23,-2.99
2026-05-07,2026-04-17,MU,Micron,455.07,18.66,-3.45
2026-05-07,2026-04-20,MU,Micron,448.42,16.93,-4.86
2026-05-07,2026-04-21,MU,Micron,449.38,17.18,-4.66
2026-05-07,2026-04-22,MU,Micron,487.48,27.11,-0.91
2026-05-07,2026-04-23,MU,Micron,481.72,25.61,-2.41
2026-05-07,2026-04-24,MU,Micron,496.72,29.52,-2.03
2026-05-07,2026-04-27,MU,Micron,524.56,36.78,-1.28
2026-05-07,2026-04-28,MU,Micron,504.29,31.5,-5.09
2026-05-07,2026-04-29,MU,Micron,518.46,35.19,-2.43
2026-05-07,2026-04-30,MU,Micron,517.16,34.85,-3.42
2026-05-07,2026-05-01,MU,Micron,542.21,41.38,-0.68
2026-05-07,2026-05-04,MU,Micron,576.45,50.31,-2.76
2026-05-07,2026-05-05,MU,Micron,640.2,66.94,-1.77
2026-05-07,2026-05-06,MU,Micron,666.59,73.82,-0.16
2026-05-07,2026-02-09,WDC,Western Digital,285.99,0.0,-3.2
2026-05-07,2026-02-10,WDC,Western Digital,262.56,-8.19,-11.13
2026-05-07,2026-02-11,WDC,Western Digital,273.74,-4.28,-7.34
2026-05-07,2026-02-12,WDC,Western Digital,284.1,-0.66,-7.61
2026-05-07,2026-02-13,WDC,Western Digital,281.58,-1.54,-8.43
2026-05-07,2026-02-17,WDC,Western Digital,284.11,-0.66,-7.61
2026-05-07,2026-02-18,WDC,Western Digital,296.56,3.7,-4.3
2026-05-07,2026-02-19,WDC,Western Digital,284.67,-0.46,-8.14
2026-05-07,2026-02-20,WDC,Western Digital,285.52,-0.16,-7.87
2026-05-07,2026-02-23,WDC,Western Digital,280.42,-1.95,-9.51
2026-05-07,2026-02-24,WDC,Western Digital,270.57,-5.39,-12.69
2026-05-07,2026-02-25,WDC,Western Digital,290.95,1.73,-6.11
2026-05-07,2026-02-26,WDC,Western Digital,282.25,-1.31,-8.92
2026-05-07,2026-02-27,WDC,Western Digital,279.7,-2.2,-9.75
2026-05-07,2026-03-02,WDC,Western Digital,270.08,-5.56,-12.85
2026-05-07,2026-03-03,WDC,Western Digital,250.61,-12.37,-19.13
2026-05-07,2026-03-04,WDC,Western Digital,261.3,-8.63,-15.68
2026-05-07,2026-03-05,WDC,Western Digital,259.03,-9.43,-16.41
2026-05-07,2026-03-06,WDC,Western Digital,245.25,-14.25,-20.86
2026-05-07,2026-03-09,WDC,Western Digital,262.06,-8.37,-15.44
2026-05-07,2026-03-10,WDC,Western Digital,266.22,-6.91,-14.09
2026-05-07,2026-03-11,WDC,Western Digital,268.81,-6.01,-13.26
2026-05-07,2026-03-12,WDC,Western Digital,261.18,-8.68,-15.72
2026-05-07,2026-03-13,WDC,Western Digital,272.29,-4.79,-12.14
2026-05-07,2026-03-16,WDC,Western Digital,286.21,0.08,-7.64
2026-05-07,2026-03-17,WDC,Western Digital,313.81,9.73,-0.35
2026-05-07,2026-03-18,WDC,Western Digital,304.9,6.61,-4.61
2026-05-07,2026-03-19,WDC,Western Digital,316.93,10.82,-0.84
2026-05-07,2026-03-20,WDC,Western Digital,293.1,2.49,-8.3
2026-05-07,2026-03-23,WDC,Western Digital,294.79,3.08,-7.77
2026-05-07,2026-03-24,WDC,Western Digital,301.05,5.27,-5.81
2026-05-07,2026-03-25,WDC,Western Digital,296.14,3.55,-7.35
2026-05-07,2026-03-26,WDC,Western Digital,273.35,-4.42,-14.48
2026-05-07,2026-03-27,WDC,Western Digital,275.34,-3.72,-13.85
2026-05-07,2026-03-30,WDC,Western Digital,251.67,-12.0,-21.26
2026-05-07,2026-03-31,WDC,Western Digital,270.49,-5.42,-15.37
2026-05-07,2026-04-01,WDC,Western Digital,297.73,4.11,-6.85
2026-05-07,2026-04-02,WDC,Western Digital,294.97,3.14,-7.71
2026-05-07,2026-04-06,WDC,Western Digital,304.15,6.35,-4.84
2026-05-07,2026-04-07,WDC,Western Digital,311.96,9.08,-2.4
2026-05-07,2026-04-08,WDC,Western Digital,338.78,18.46,-2.65
2026-05-07,2026-04-09,WDC,Western Digital,337.88,18.14,-2.91
2026-05-07,2026-04-10,WDC,Western Digital,343.43,20.08,-1.81
