variant_id,period,month,top1_days,top1_picks,top1_avg_close_return_pct,top1_median_close_return_pct,top1_avg_mfe_pct,top1_median_mfe_pct,top1_positive_close_rate,top1_hit2_rate,top1_hit3_rate,top1_loss3_rate,top3_pick_days,top3_pick_picks,top3_pick_avg_close_return_pct,top3_pick_median_close_return_pct,top3_pick_avg_mfe_pct,top3_pick_median_mfe_pct,top3_pick_positive_close_rate,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_loss3_rate,top3_any_hit2_rate,top3_any_hit3_rate,top3_any_positive_close_rate,month_selector_score
blitz_001_rank_full,internal_2025,2025-10,17,17,-0.433,0.5515,2.8858,2.1127,0.5294,0.5294,0.4706,0.0588,17,51,-0.0617,-0.2237,2.8798,1.7897,0.451,0.4706,0.3922,0.0784,0.8235,0.7647,0.8235,1.5306
blitz_001_rank_full,internal_2025,2025-11,20,20,3.4765,1.4464,5.3524,4.3041,0.75,0.7,0.7,0.0,20,60,1.4257,0.7819,3.2445,2.4315,0.6,0.5667,0.45,0.0167,0.9,0.9,0.9,4.1583
blitz_001_rank_full,internal_2025,2025-12,23,23,1.0097,1.8209,3.4943,3.0171,0.6087,0.5652,0.5217,0.087,23,69,1.4768,0.6927,3.3732,2.7692,0.5652,0.5652,0.4783,0.0435,0.8261,0.7391,0.8696,2.4135
blitz_001_rank_full,final_2026,2026-01,20,20,1.4683,0.7292,3.4558,1.6477,0.55,0.45,0.35,0.05,20,60,1.8433,0.5165,4.4702,2.7513,0.55,0.5667,0.45,0.0167,0.85,0.75,0.8,2.2892
blitz_001_rank_full,final_2026,2026-02,14,14,1.6375,0.9047,4.9358,2.5825,0.7143,0.7143,0.4286,0.0,14,42,1.1174,0.8,3.603,2.264,0.6429,0.5952,0.381,0.0,0.9286,0.7143,0.7857,2.8331
blitz_001_rank_full,final_2026,2026-03,22,22,-1.3338,-1.2491,1.9313,2.1823,0.4545,0.5455,0.4091,0.1364,22,66,-0.6944,-0.0811,1.9725,1.9386,0.4848,0.5,0.3788,0.0758,0.7727,0.6364,0.7273,0.9058
blitz_001_rank_full,final_2026,2026-04,8,8,-0.7352,-2.3111,1.2006,-0.2263,0.375,0.375,0.375,0.0,8,24,0.2259,-0.098,2.2007,2.0768,0.4583,0.5,0.4167,0.0,0.75,0.75,0.75,0.9824
blitz_002_tail_full,internal_2025,2025-10,17,17,0.4006,0.4244,4.24,2.0421,0.5882,0.5294,0.4118,0.0,17,51,0.7928,0.3448,3.7314,2.0421,0.549,0.5294,0.4118,0.0588,0.9412,0.8235,0.8235,1.9532
blitz_002_tail_full,internal_2025,2025-11,20,20,4.2758,1.5757,5.489,3.1576,0.65,0.65,0.5,0.0,20,60,2.0759,1.1278,3.8018,2.4316,0.5667,0.5833,0.45,0.05,0.9,0.8,0.85,4.1479
blitz_002_tail_full,internal_2025,2025-12,23,23,0.8984,0.6927,3.6702,3.5775,0.5652,0.5652,0.5217,0.0,23,69,1.1896,0.485,3.5678,2.2901,0.5362,0.5507,0.4348,0.029,0.913,0.7391,0.8261,2.3143
blitz_002_tail_full,final_2026,2026-01,20,20,-0.1685,1.1809,2.3633,2.3068,0.55,0.5,0.45,0.2,20,60,0.6859,-0.1426,4.0515,3.1608,0.4833,0.5667,0.5,0.1,0.9,0.8,0.75,1.6458
blitz_002_tail_full,final_2026,2026-02,14,14,2.9882,1.3411,5.505,3.8728,0.7857,0.6429,0.5714,0.0,14,42,1.0124,1.2313,3.9872,3.016,0.7381,0.6429,0.5238,0.0476,0.8571,0.8571,1.0,3.7369
blitz_002_tail_full,final_2026,2026-03,22,22,-0.271,0.093,2.3577,0.659,0.5,0.4091,0.3636,0.0,22,66,-0.9873,-1.1738,1.249,0.5046,0.3788,0.3485,0.2727,0.1212,0.6364,0.5,0.6364,1.2781
blitz_002_tail_full,final_2026,2026-04,8,8,1.0435,-0.2458,2.3558,1.3183,0.5,0.375,0.375,0.125,8,24,1.2301,0.6288,2.8494,2.3471,0.5417,0.5417,0.4583,0.0417,0.875,0.75,0.75,1.9968
blitz_003_hit2_full,internal_2025,2025-10,17,17,-0.8495,0.3448,3.9686,5.0182,0.5294,0.5294,0.5294,0.1765,17,51,-1.6399,-2.4593,3.0795,3.3156,0.3725,0.549,0.5098,0.1569,0.8235,0.8235,0.6471,1.4105
blitz_003_hit2_full,internal_2025,2025-11,20,20,5.097,7.3945,7.3432,8.9932,0.75,0.75,0.7,0.05,20,60,2.3855,2.2174,5.6185,5.5868,0.5667,0.6833,0.55,0.1333,1.0,1.0,1.0,5.0385
blitz_003_hit2_full,internal_2025,2025-12,23,23,1.096,2.5421,6.0926,9.1038,0.5652,0.6522,0.6522,0.2174,23,69,1.1494,1.6706,5.4562,4.6563,0.5507,0.6667,0.6232,0.1594,0.9565,0.913,0.8696,2.6915
blitz_003_hit2_full,final_2026,2026-01,20,20,-2.1934,-3.0319,2.2869,2.0612,0.4,0.5,0.5,0.3,20,60,0.6893,-0.0225,4.0103,3.4056,0.5,0.5833,0.5167,0.1833,1.0,0.9,1.0,0.5733
blitz_003_hit2_full,final_2026,2026-02,14,14,-3.9924,-3.3237,1.0512,3.3481,0.4286,0.5714,0.5,0.2143,14,42,-0.2315,-0.5553,3.1083,2.9927,0.4762,0.5238,0.5,0.1667,0.8571,0.8571,0.7857,-0.2533
blitz_003_hit2_full,final_2026,2026-03,22,22,2.4187,1.0722,6.0417,6.9099,0.5455,0.5909,0.5909,0.0909,22,66,-0.2089,-1.4552,3.7559,2.1585,0.3939,0.5303,0.4697,0.1364,0.8182,0.7273,0.7273,3.1548
blitz_003_hit2_full,final_2026,2026-04,8,8,-0.0724,0.0542,2.2499,2.7774,0.5,0.625,0.5,0.0,8,24,-0.2141,-0.6685,2.2426,2.4028,0.4583,0.5417,0.4167,0.0833,1.0,0.875,0.875,1.8263
blitz_004_hit3_full,internal_2025,2025-10,17,17,0.9654,0.3448,4.9136,4.7768,0.5294,0.5882,0.5882,0.1765,17,51,-0.7674,-1.9815,4.4368,4.0203,0.451,0.5686,0.549,0.1961,0.9412,0.9412,0.7647,2.4709
blitz_004_hit3_full,internal_2025,2025-11,20,20,2.2159,1.0852,6.2488,4.9599,0.55,0.6,0.6,0.15,20,60,2.6631,4.6317,6.2702,9.4618,0.6167,0.6833,0.65,0.1333,0.95,0.95,0.95,3.1429
blitz_004_hit3_full,internal_2025,2025-12,23,23,-0.2174,1.8209,4.5907,5.2421,0.5217,0.6522,0.6087,0.2174,23,69,1.9531,3.0758,6.8082,7.5908,0.6232,0.7536,0.6957,0.1159,1.0,1.0,0.9565,1.9652
blitz_004_hit3_full,final_2026,2026-01,20,20,-0.2909,0.2983,5.0667,5.7858,0.5,0.7,0.65,0.15,20,60,0.9919,1.9704,5.4127,6.5284,0.55,0.65,0.6333,0.1667,0.95,0.9,1.0,1.9646
blitz_004_hit3_full,final_2026,2026-02,14,14,-0.3369,-0.6726,4.22,5.5778,0.5,0.7143,0.5714,0.0714,14,42,0.3012,-0.2194,4.4758,5.2308,0.5,0.6667,0.5952,0.1429,0.9286,0.9286,0.7857,1.8673
blitz_004_hit3_full,final_2026,2026-03,22,22,3.65,3.0171,6.2596,4.9666,0.6364,0.6364,0.6364,0.1364,22,66,0.5807,0.6765,4.2335,4.1019,0.5606,0.6364,0.5758,0.197,0.9091,0.8636,0.8182,3.9933
blitz_004_hit3_full,final_2026,2026-04,8,8,0.9423,0.0935,6.0576,4.6424,0.5,0.75,0.625,0.125,8,24,0.103,1.085,4.5809,4.7781,0.5833,0.7083,0.6667,0.125,1.0,1.0,1.0,2.6212
blitz_005_raw_full,internal_2025,2025-10,17,17,2.9541,5.467,7.7506,6.3468,0.5882,0.6471,0.5882,0.2941,17,51,-0.3071,-3.0243,4.883,2.7397,0.4314,0.5294,0.4902,0.2353,0.8824,0.8824,0.8235,3.5535
blitz_005_raw_full,internal_2025,2025-11,20,20,6.8896,5.7768,10.3978,9.8755,0.7,0.8,0.8,0.1,20,60,4.2573,4.6959,8.4466,9.6903,0.6,0.7,0.7,0.1667,1.0,1.0,1.0,6.0448
blitz_005_raw_full,internal_2025,2025-12,23,23,0.3107,1.2744,5.864,5.7622,0.5217,0.6522,0.6522,0.2174,23,69,0.6682,-1.5721,5.4559,4.717,0.4783,0.6232,0.5652,0.2319,0.8696,0.8696,0.7826,2.2423
blitz_005_raw_full,final_2026,2026-01,20,20,0.5409,-0.5005,4.095,2.4688,0.45,0.55,0.45,0.3,20,60,0.1744,-0.8199,4.2127,2.6042,0.4167,0.55,0.4667,0.2167,0.85,0.85,0.85,1.9555
blitz_005_raw_full,final_2026,2026-02,14,14,-0.3132,2.5193,4.516,5.6986,0.5714,0.7143,0.7143,0.2143,14,42,1.6839,1.5763,5.8913,6.7024,0.5952,0.7143,0.6667,0.1905,0.9286,0.9286,0.9286,2.122
blitz_005_raw_full,final_2026,2026-03,22,22,2.1525,1.1604,7.203,6.1135,0.5455,0.6818,0.6818,0.1818,22,66,1.0801,0.8099,5.605,4.1328,0.5303,0.6364,0.5758,0.1364,0.9091,0.8636,0.7727,3.2444
blitz_005_raw_full,final_2026,2026-04,8,8,-6.289,-9.4878,1.8364,0.1531,0.25,0.375,0.375,0.25,8,24,-4.5482,-5.6224,1.9011,0.6767,0.3333,0.375,0.375,0.25,0.75,0.75,0.625,-1.9195
blitz_006_rank_no_hot,internal_2025,2025-10,17,17,1.9808,1.3072,4.8551,4.4454,0.6471,0.5882,0.5294,0.0,17,51,0.1848,0.1631,3.1494,1.9351,0.5098,0.4902,0.451,0.0784,0.8824,0.8824,0.8235,3.0081
blitz_006_rank_no_hot,internal_2025,2025-11,20,20,1.6094,0.1434,3.8471,2.5883,0.5,0.5,0.5,0.0,20,60,0.9048,-0.1114,2.9897,1.8325,0.4833,0.4667,0.4,0.0333,0.7,0.7,0.7,2.5147
blitz_006_rank_no_hot,internal_2025,2025-12,23,23,1.0792,0.7634,3.6051,3.0396,0.5217,0.5652,0.5217,0.087,23,69,0.2002,0.1063,2.8295,1.9436,0.5072,0.4783,0.4203,0.0725,0.7826,0.7391,0.8696,2.3612
blitz_006_rank_no_hot,final_2026,2026-01,20,20,3.0784,3.2754,5.6897,4.6605,0.55,0.55,0.55,0.05,20,60,1.0899,-0.1192,3.983,2.1958,0.4667,0.5,0.4667,0.0667,0.85,0.75,0.85,3.4142
blitz_006_rank_no_hot,final_2026,2026-02,14,14,-0.3255,-0.1724,2.2688,1.4537,0.4286,0.5,0.4286,0.1429,14,42,0.2153,-0.1022,2.8681,1.9141,0.4762,0.5,0.4048,0.119,0.7143,0.7143,0.7857,1.3945
blitz_006_rank_no_hot,final_2026,2026-03,22,22,-1.3708,-1.9354,1.7293,0.265,0.2273,0.2727,0.1818,0.1364,22,66,-1.0744,-1.2435,1.7854,0.881,0.3333,0.3788,0.2879,0.0909,0.7273,0.5455,0.5455,0.1419
blitz_006_rank_no_hot,final_2026,2026-04,8,8,-1.3819,-3.2534,1.2227,-0.4733,0.375,0.375,0.375,0.0,8,24,-1.595,-1.5242,0.502,-0.2404,0.4167,0.3333,0.25,0.0417,0.625,0.5,0.75,0.5841
blitz_007_rank_price_flow,internal_2025,2025-10,17,17,2.6871,2.7836,7.1411,4.245,0.7647,0.7059,0.5882,0.0,17,51,1.6728,1.0179,4.9688,3.29,0.6471,0.5686,0.5098,0.0392,1.0,0.8824,1.0,3.6435
blitz_007_rank_price_flow,internal_2025,2025-11,20,20,2.6066,0.4816,4.4269,3.0048,0.6,0.55,0.5,0.0,20,60,0.2369,0.3683,2.9879,1.7163,0.5333,0.4667,0.3833,0.05,0.85,0.75,0.9,3.1683
blitz_007_rank_price_flow,internal_2025,2025-12,23,23,0.2301,0.3824,3.6541,1.9436,0.5217,0.4783,0.4348,0.0435,23,69,-0.4396,-0.8197,2.6531,1.6384,0.4348,0.4058,0.3333,0.0725,0.6522,0.6087,0.7826,1.7238
blitz_007_rank_price_flow,final_2026,2026-01,20,20,-1.9506,-1.8832,1.9671,0.8464,0.35,0.45,0.4,0.2,20,60,0.5589,0.2187,3.8629,3.5988,0.5167,0.5333,0.5,0.1,0.8,0.75,0.85,0.4397
blitz_007_rank_price_flow,final_2026,2026-02,14,14,-1.6212,-2.3648,1.8033,2.5212,0.3571,0.5714,0.4286,0.0714,14,42,-0.5835,-0.4012,3.0861,2.913,0.4286,0.5714,0.4524,0.0714,0.7857,0.7143,0.6429,0.7322
blitz_007_rank_price_flow,final_2026,2026-03,22,22,0.2185,-0.7365,2.8574,1.6583,0.4091,0.4545,0.3182,0.0455,22,66,-0.6902,-0.9749,1.9064,0.8554,0.3636,0.3939,0.2879,0.0909,0.8182,0.6818,0.6818,1.4683
blitz_007_rank_price_flow,final_2026,2026-04,8,8,-1.226,-1.5572,1.2789,-0.0605,0.375,0.375,0.375,0.0,8,24,-0.4605,-0.9015,1.974,0.8287,0.375,0.4167,0.3333,0.0,0.875,0.75,0.875,0.737
blitz_008_rank_market,internal_2025,2025-10,17,17,-0.174,-0.154,1.4372,0.9266,0.4118,0.2941,0.2353,0.1176,17,51,0.183,0.6283,1.1849,1.0023,0.6078,0.2353,0.1176,0.0392,0.4706,0.2353,0.9412,0.913
