model_id,model_family,model_description,filter_id,filter_description,internal_a_top1_days,internal_a_top1_picks,internal_a_top1_day1_no_red_rate,internal_a_top1_day2_still_loss_rate,internal_a_top1_deep_pain_rate,internal_a_top1_day1_green_rate,internal_a_top1_day1_positive_close_rate,internal_a_top1_day1_avg_mfe_pct,internal_a_top1_day1_median_mfe_pct,internal_a_top1_day1_avg_close_return_pct,internal_a_top1_day2_avg_close_return_pct,internal_a_top1_day2_median_close_return_pct,internal_a_top1_hit2_rate,internal_a_top1_hit3_rate,internal_a_top1_hit5_rate,internal_a_top1_hit7_rate,internal_a_top1_hit10_rate,internal_a_top1_avg_filter_universe,internal_b_top1_days,internal_b_top1_picks,internal_b_top1_day1_no_red_rate,internal_b_top1_day2_still_loss_rate,internal_b_top1_deep_pain_rate,internal_b_top1_day1_green_rate,internal_b_top1_day1_positive_close_rate,internal_b_top1_day1_avg_mfe_pct,internal_b_top1_day1_median_mfe_pct,internal_b_top1_day1_avg_close_return_pct,internal_b_top1_day2_avg_close_return_pct,internal_b_top1_day2_median_close_return_pct,internal_b_top1_hit2_rate,internal_b_top1_hit3_rate,internal_b_top1_hit5_rate,internal_b_top1_hit7_rate,internal_b_top1_hit10_rate,internal_b_top1_avg_filter_universe,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_day1_no_red_rate,final_2026_top1_day2_still_loss_rate,final_2026_top1_deep_pain_rate,final_2026_top1_day1_green_rate,final_2026_top1_day1_positive_close_rate,final_2026_top1_day1_avg_mfe_pct,final_2026_top1_day1_median_mfe_pct,final_2026_top1_day1_avg_close_return_pct,final_2026_top1_day2_avg_close_return_pct,final_2026_top1_day2_median_close_return_pct,final_2026_top1_hit2_rate,final_2026_top1_hit3_rate,final_2026_top1_hit5_rate,final_2026_top1_hit7_rate,final_2026_top1_hit10_rate,final_2026_top1_avg_filter_universe,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_day1_no_red_rate,final_2026_top3_pick_day2_still_loss_rate,final_2026_top3_pick_deep_pain_rate,final_2026_top3_pick_day1_green_rate,final_2026_top3_pick_day1_positive_close_rate,final_2026_top3_pick_day1_avg_mfe_pct,final_2026_top3_pick_day1_median_mfe_pct,final_2026_top3_pick_day1_avg_close_return_pct,final_2026_top3_pick_day2_avg_close_return_pct,final_2026_top3_pick_day2_median_close_return_pct,final_2026_top3_pick_hit2_rate,final_2026_top3_pick_hit3_rate,final_2026_top3_pick_hit5_rate,final_2026_top3_pick_hit7_rate,final_2026_top3_pick_hit10_rate,final_2026_top3_pick_avg_filter_universe,final_2026_top3_any_day1_green_rate,final_2026_top3_any_hit3_rate,final_2026_top3_any_hit5_rate,final_2026_top3_any_day2_non_loss_rate,stable_selector_score,stable_selector_month_score_min,stable_selector_month_score_median,stable_selector_month_score_mean,stable_selector_month_score_std,offensive_selector_score,offensive_selector_month_score_min,offensive_selector_month_score_median,offensive_selector_month_score_mean,offensive_selector_month_score_std,business_fit
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,37,37,0.1622,0.5405,0.6757,0.8378,0.6486,5.2674,5.2961,0.1722,-0.6736,-0.9412,0.6486,0.6216,0.5135,0.2703,0.1892,89.16,23,23,0.087,0.4348,0.7391,0.913,0.6087,6.1423,5.9799,2.3362,2.2267,3.0775,0.7826,0.7391,0.5652,0.3043,0.1739,124.22,64,64,0.0781,0.4375,0.5312,0.9219,0.6562,5.5591,5.559,2.454,2.176,1.9617,0.7969,0.7031,0.5156,0.3281,0.125,143.38,64,192,0.099,0.4844,0.651,0.901,0.6042,4.6747,4.0575,1.0001,0.9497,0.3574,0.6979,0.5938,0.4062,0.2552,0.099,143.38,0.9844,0.9062,0.7656,0.7969,45.472,44.0961,47.5597,48.2525,3.709,41.097,45.4215,45.7364,48.6137,4.2937,稳健里带一点快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,all_market,全市场直接选股,37,37,0.027,0.4865,0.5946,0.973,0.5405,6.0105,4.5551,1.265,0.7131,0.1278,0.7568,0.6216,0.4324,0.4054,0.1892,2234.95,23,23,0.0435,0.5217,0.6957,0.9565,0.5217,6.5117,4.4782,1.9208,-0.1721,-1.0787,0.8696,0.7391,0.4348,0.3913,0.2609,2048.13,64,64,0.1562,0.5,0.5781,0.8438,0.6406,4.2571,2.7117,1.3795,1.7323,-0.0248,0.625,0.4688,0.3281,0.2031,0.1094,2312.61,64,192,0.0833,0.5052,0.5573,0.9167,0.5677,3.8435,2.8346,0.6016,0.5444,-0.3154,0.6094,0.4688,0.2865,0.1615,0.0625,2312.61,1.0,0.8281,0.625,0.8125,49.0695,47.7311,51.2256,53.1328,5.3614,42.436,43.1877,51.9487,52.8532,8.2858,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,top10_themes_only,只在热点 Top10 板块内选,37,37,0.0541,0.5946,0.7027,0.9459,0.4595,3.9338,3.0641,-0.0479,-0.0781,-1.8207,0.5676,0.5135,0.3243,0.1892,0.0811,111.22,23,23,0.0435,0.5217,0.7826,0.9565,0.5217,6.1246,5.8389,1.0279,1.7869,-0.7264,0.8261,0.7391,0.5652,0.3913,0.2174,125.13,64,64,0.0469,0.4688,0.4531,0.9531,0.5312,4.0477,2.3295,0.8256,1.2118,0.5803,0.5625,0.4062,0.3594,0.2188,0.0625,120.39,64,192,0.0573,0.4896,0.4531,0.9427,0.5312,3.7506,2.64,0.5646,0.687,0.0995,0.5938,0.4792,0.3229,0.1823,0.0365,120.39,1.0,0.7031,0.5938,0.8438,44.6846,44.125,45.6434,46.9353,2.9661,36.7738,39.9606,41.6614,45.2199,6.2737,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,today_strong_or_accel,只保留 今日最强 + 主线再加速,37,37,0.2162,0.4054,0.6216,0.7838,0.7027,4.5,4.189,1.1482,0.9994,0.9368,0.6486,0.6216,0.4054,0.2703,0.0811,66.14,23,23,0.087,0.4783,0.8696,0.913,0.5217,5.4441,4.9078,0.955,-0.0727,0.8055,0.7826,0.6957,0.4783,0.2174,0.087,95.83,64,64,0.0781,0.4844,0.5156,0.9219,0.6094,5.4043,4.3857,1.6139,1.1,0.9885,0.7656,0.6719,0.4531,0.375,0.1406,106.42,64,192,0.125,0.5052,0.6302,0.875,0.5833,4.2701,3.3296,0.5074,0.6907,-0.0914,0.6771,0.5417,0.349,0.2292,0.0833,106.42,0.9844,0.9062,0.6719,0.75,44.4887,43.1285,46.6809,48.6269,5.4602,39.488,41.543,46.7551,46.8292,4.3467,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,hot_theme_member,只保留热门板块成员,37,37,0.1081,0.5135,0.6486,0.8919,0.7027,5.6815,5.8416,1.3652,1.0861,-0.8858,0.7027,0.6486,0.5676,0.3243,0.1622,167.97,23,23,0.087,0.4783,0.8696,0.913,0.5652,5.812,5.8389,1.3807,0.7357,0.6711,0.7391,0.6957,0.5652,0.2609,0.1304,180.61,64,64,0.0938,0.4844,0.5938,0.9062,0.625,5.2225,4.6795,1.7617,0.9166,0.3609,0.75,0.6562,0.4688,0.3281,0.1094,170.67,64,192,0.0833,0.4948,0.6771,0.9167,0.6094,4.7851,4.1263,1.1524,1.0055,0.1816,0.724,0.6146,0.4062,0.2656,0.099,170.67,0.9844,0.9375,0.7656,0.7812,47.6275,47.6641,47.7763,49.3153,2.2563,44.4741,49.1957,49.6044,50.5715,1.6651,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,exclude_fading,排除 退潮观察,37,37,0.1081,0.5135,0.6486,0.8919,0.7027,5.6815,5.8416,1.3652,1.0861,-0.8858,0.7027,0.6486,0.5676,0.3243,0.1622,167.97,23,23,0.087,0.4783,0.8696,0.913,0.5652,5.812,5.8389,1.3807,0.7357,0.6711,0.7391,0.6957,0.5652,0.2609,0.1304,180.61,64,64,0.0938,0.4844,0.5938,0.9062,0.625,5.2225,4.6795,1.7617,0.9166,0.3609,0.75,0.6562,0.4688,0.3281,0.1094,170.67,64,192,0.0833,0.4948,0.6771,0.9167,0.6094,4.7851,4.1263,1.1524,1.0055,0.1816,0.724,0.6146,0.4062,0.2656,0.099,170.67,0.9844,0.9375,0.7656,0.7812,47.6275,47.6641,47.7763,49.3153,2.2563,44.4741,49.1957,49.6044,50.5715,1.6651,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,top15_themes_only,只在热点 Top15 板块内选,37,37,0.1081,0.5135,0.6486,0.8919,0.7027,5.6815,5.8416,1.3652,1.0861,-0.8858,0.7027,0.6486,0.5676,0.3243,0.1622,167.97,23,23,0.087,0.4783,0.8696,0.913,0.5652,5.812,5.8389,1.3807,0.7357,0.6711,0.7391,0.6957,0.5652,0.2609,0.1304,180.61,64,64,0.0938,0.4844,0.5938,0.9062,0.625,5.2225,4.6795,1.7617,0.9166,0.3609,0.75,0.6562,0.4688,0.3281,0.1094,170.67,64,192,0.0833,0.4948,0.6771,0.9167,0.6094,4.7851,4.1263,1.1524,1.0055,0.1816,0.724,0.6146,0.4062,0.2656,0.099,170.67,0.9844,0.9375,0.7656,0.7812,47.6275,47.6641,47.7763,49.3153,2.2563,44.4741,49.1957,49.6044,50.5715,1.6651,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,strong_and_persistent,只在热点强度 + 持续性都达标的板块内选,37,37,0.1081,0.5405,0.6757,0.8919,0.6757,5.6904,5.8416,1.161,0.5673,-0.9412,0.7027,0.6486,0.5676,0.3243,0.1622,160.84,23,23,0.087,0.4783,0.8696,0.913,0.5652,5.812,5.8389,1.3807,0.7357,0.6711,0.7391,0.6957,0.5652,0.2609,0.1304,179.65,64,64,0.0938,0.4844,0.5938,0.9062,0.625,5.2225,4.6795,1.7617,0.9166,0.3609,0.75,0.6562,0.4688,0.3281,0.1094,164.89,64,192,0.0885,0.5104,0.6823,0.9115,0.599,4.7011,3.9687,1.0138,0.7203,-0.1375,0.7135,0.6042,0.3958,0.2604,0.099,164.89,0.9844,0.9375,0.75,0.7656,47.6791,47.6641,47.7763,48.3663,0.9149,44.45,49.1957,49.6044,49.8309,0.6317,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,exclude_climax_and_fading_proxy,排除明显高潮 / 明显退潮,37,37,0.027,0.4595,0.6216,0.973,0.4324,4.4875,3.5127,0.8746,0.8444,0.1017,0.6216,0.5135,0.3514,0.2162,0.1351,111.41,23,23,0.0,0.6522,0.8696,1.0,0.4783,5.8188,4.4231,0.0821,0.3742,-4.0968,0.7826,0.6957,0.4348,0.3043,0.2609,114.13,64,64,0.0625,0.5312,0.5156,0.9375,0.5625,3.8173,2.6609,0.8741,0.7852,-0.5151,0.5938,0.4531,0.3281,0.1875,0.0469,104.81,64,192,0.0417,0.4844,0.4219,0.9583,0.5781,3.4867,2.5641,0.872,1.1041,0.0551,0.5781,0.4479,0.2656,0.1458,0.026,104.81,1.0,0.7812,0.5781,0.8281,47.3457,45.72,49.7473,49.6105,3.1222,40.199,42.418,47.5313,46.9633,3.5024,偏快反馈
blitz_1d_fast_feedback,blitz,闪击 1 天快反馈,exclude_climax_and_fading_proxy,排除明显高潮 / 明显退潮,37,37,0.027,0.5405,0.8108,0.973,0.4595,5.6913,5.8416,-0.9945,-0.9234,-2.1752,0.7838,0.7297,0.6216,0.2973,0.1081,111.41,23,23,0.0,0.5217,0.7826,1.0,0.3913,5.2246,4.8643,-0.251,1.0665,-2.3992,0.7826,0.6957,0.4783,0.2174,0.1739,114.13,64,64,0.0469,0.4688,0.6719,0.9531,0.5625,4.816,4.3399,1.0454,0.7424,0.7523,0.75,0.6406,0.4375,0.25,0.0625,104.81,64,192,0.0729,0.5,0.7188,0.9271,0.5417,4.6536,3.6272,0.669,0.7813,0.0618,0.724,0.5938,0.3802,0.2292,0.0885,104.81,1.0,0.9062,0.7031,0.7969,46.9823,45.3018,49.4851,48.3243,2.1563,43.6143,47.6571,49.4683,49.373,1.3637,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,hot_theme_member,只保留热门板块成员,37,37,0.027,0.6216,0.8108,0.973,0.3514,4.1238,2.994,-0.2179,-0.2102,-2.994,0.5946,0.4865,0.2973,0.1622,0.1081,167.97,23,23,0.0,0.6522,0.8261,1.0,0.4348,6.1777,4.5806,0.1179,0.6622,-3.769,0.8261,0.6957,0.4783,0.3478,0.3043,180.61,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438,42.4742,39.5874,46.8144,44.5076,3.4814,35.1476,34.8026,44.5455,43.0297,6.192,偏快反馈
combo_pop_guard,combo,低痛 + 当天反馈组合,exclude_fading,排除 退潮观察,37,37,0.027,0.6216,0.8108,0.973,0.3514,4.1238,2.994,-0.2179,-0.2102,-2.994,0.5946,0.4865,0.2973,0.1622,0.1081,167.97,23,23,0.0,0.6522,0.8261,1.0,0.4348,6.1777,4.5806,0.1179,0.6622,-3.769,0.8261,0.6957,0.4783,0.3478,0.3043,180.61,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438,42.4742,39.5874,46.8144,44.5076,3.4814,35.1476,34.8026,44.5455,43.0297,6.192,偏快反馈
