model_id,filter_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top1_avg_filter_universe,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_pick_avg_filter_universe,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
spark_1_0_style,all_market,internal_2025,2025-10,17,17,0.0588,0.4118,0.7059,0.9412,0.4706,3.7902,2.9497,-0.2431,1.7919,0.8568,0.6471,0.4706,0.3529,0.1765,0.0588,2184.76,17,51,0.1569,0.4902,0.5882,0.8431,0.4902,3.56,2.6641,0.0283,1.0792,0.3026,0.549,0.4118,0.3137,0.2157,0.0784,2184.76,1.0,0.7059,0.6471,0.8824,49.9907,44.6194
spark_1_0_style,all_market,internal_2025,2025-11,20,20,0.05,0.4,0.5,0.95,0.7,4.4005,3.2173,1.4405,3.6828,1.0539,0.65,0.55,0.45,0.25,0.05,2234.95,20,60,0.0167,0.4333,0.5167,0.9833,0.5,3.9841,3.2173,0.4532,1.4878,0.2727,0.6667,0.55,0.3667,0.1667,0.05,2234.95,1.0,0.85,0.65,0.95,57.115,52.8403
spark_1_0_style,all_market,internal_2025,2025-12,23,23,0.1304,0.4783,0.5652,0.8696,0.6087,4.3866,3.4425,1.1319,2.8152,1.496,0.6087,0.5652,0.3913,0.2609,0.087,2033.3,23,69,0.0435,0.4493,0.5072,0.9565,0.5652,4.3682,4.1894,0.8743,2.2998,1.2242,0.6087,0.5797,0.3913,0.2464,0.058,2033.3,1.0,0.9565,0.8261,0.913,51.6161,48.5787
spark_1_0_style,all_market,final_2026,2026-01,20,20,0.05,0.75,0.6,0.95,0.35,2.7271,1.0616,-1.0317,-3.2133,-2.0368,0.35,0.25,0.2,0.15,0.1,2465.55,20,60,0.0333,0.5167,0.5833,0.9667,0.4667,3.236,1.5225,-0.2826,0.1078,-0.376,0.4667,0.3667,0.2667,0.2167,0.05,2465.55,1.0,0.65,0.5,0.8,37.3351,29.4528
spark_1_0_style,all_market,final_2026,2026-02,14,14,0.0,0.5,0.5714,1.0,0.2857,2.7137,1.7017,-0.4833,-0.4966,-0.3351,0.5,0.3571,0.2143,0.0714,0.0,2250.36,14,42,0.0,0.5,0.4762,1.0,0.5238,3.2189,3.0564,0.1668,0.2341,0.1966,0.6429,0.5238,0.2857,0.0476,0.0,2250.36,1.0,0.9286,0.5714,0.7857,47.8384,37.5741
spark_1_0_style,all_market,final_2026,2026-03,22,22,0.0455,0.6364,0.5909,0.9545,0.5909,3.3701,2.1704,0.0128,-0.664,-1.5623,0.5455,0.4091,0.3182,0.1818,0.0455,2243.45,22,66,0.0303,0.6061,0.5758,0.9697,0.5455,3.4171,2.359,0.3691,-0.4311,-0.7706,0.6061,0.4697,0.2576,0.1364,0.0303,2243.45,1.0,0.8636,0.6364,0.8182,44.3163,38.5412
spark_1_0_style,all_market,final_2026,2026-04,8,8,0.0,0.25,0.25,1.0,0.875,5.1425,5.1308,2.4132,3.2798,1.917,0.875,0.75,0.5,0.125,0.125,2032.0,8,24,0.0,0.375,0.5,1.0,0.6667,4.8824,4.2353,2.1004,3.439,1.8581,0.7917,0.625,0.4583,0.2083,0.1667,2032.0,1.0,1.0,0.75,1.0,68.0943,60.6923
spark_1_0_style,hot_theme_member,internal_2025,2025-10,17,17,0.0,0.4706,0.4118,1.0,0.4706,3.3986,2.3513,-0.2508,0.0446,0.3026,0.5294,0.3529,0.2941,0.1765,0.0588,168.94,17,51,0.0784,0.549,0.5098,0.9216,0.3922,2.7324,2.0057,-0.4949,-0.4302,-0.3745,0.5098,0.2941,0.1961,0.1176,0.0392,168.94,1.0,0.5882,0.4706,0.8235,52.4963,42.9936
spark_1_0_style,hot_theme_member,internal_2025,2025-11,20,20,0.0,0.5,0.5,1.0,0.55,3.1999,3.1111,0.0603,-0.456,-1.3683,0.6,0.55,0.25,0.15,0.0,159.3,20,60,0.0333,0.4833,0.5167,0.9667,0.4333,3.7938,3.0301,0.2554,0.4653,0.0871,0.6,0.5,0.3333,0.1833,0.0667,159.3,1.0,0.8,0.55,0.85,51.1895,42.5126
spark_1_0_style,hot_theme_member,internal_2025,2025-12,23,23,0.0435,0.5652,0.6087,0.9565,0.4783,4.1848,3.1369,0.2542,0.87,-1.5625,0.5652,0.5217,0.3913,0.3043,0.0435,176.74,23,69,0.0145,0.5507,0.5652,0.9855,0.5072,3.5771,3.1423,0.2957,0.6714,-1.0352,0.5652,0.5217,0.2899,0.1594,0.029,176.74,1.0,0.913,0.6522,0.7826,48.7064,45.619
