profile,variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,day1_max_runup_pct,day1_close_return_pct,day2_close_return_pct,min_drawdown_pct,day1_no_red,day2_still_loss,deep_pain,low_pain_good
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-05,1,sh601880,sh601880,70.85996925485466,70.85996925485466,2026-01-06,2026-01-07,1,-0.6211,1.6,2.5,2.5,1.25,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-05,2,sz002007,sz002007,68.65872108274381,68.65872108274381,2026-01-06,2026-01-07,1,0.1952,15.4,0.5195,0.5195,0.0649,-0.2597,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-05,3,sz000536,sz000536,68.52387927471219,68.52387927471219,2026-01-06,2026-01-07,1,0.0,4.95,8.6869,5.8586,2.8283,-0.404,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-06,1,sz000088,sz000088,71.41870342857352,71.41870342857352,2026-01-07,2026-01-08,1,0.0,4.5,0.2222,-0.4444,-0.8889,-1.1111,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-06,2,sh601658,sh601658,70.21236249595135,70.21236249595135,2026-01-07,2026-01-08,1,-0.1815,5.5,0.3636,-0.9091,-1.4545,-1.8182,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-06,3,sz000717,sz000717,69.90709960949778,69.90709960949778,2026-01-07,2026-01-08,1,0.0,2.6,1.9231,-0.3846,1.1538,-0.7692,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-07,1,sz002421,sz002421,67.22151839065214,67.22151839065214,2026-01-08,2026-01-09,1,-0.346,2.88,2.4306,2.0833,2.7778,-0.3472,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-07,2,sh600256,sh600256,66.53041574605905,66.53041574605905,2026-01-08,2026-01-09,1,0.0,5.02,0.0,-0.5976,-0.1992,-0.7968,1,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-07,3,sz002252,sz002252,66.18249393190689,66.18249393190689,2026-01-08,2026-01-09,1,0.1562,6.41,0.78,0.468,0.936,-0.156,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-08,1,sh600518,sh600518,72.46064657341238,72.46064657341238,2026-01-09,2026-01-12,1,0.0,1.94,0.5155,0.0,1.0309,-0.5155,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-08,2,sz002330,sz002330,71.53812748000003,71.53812748000003,2026-01-09,2026-01-12,1,-0.4024,4.95,0.6061,0.404,0.8081,-0.6061,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-08,3,sz002084,sz002084,69.94703773649097,69.94703773649097,2026-01-09,2026-01-12,1,0.0,4.02,0.4975,-0.2488,0.7463,-1.7413,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-09,1,sz000883,sz000883,73.57414404826322,73.57414404826322,2026-01-12,2026-01-13,1,0.0,4.58,0.4367,0.4367,0.655,-0.4367,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-09,2,sz000719,sz000719,69.86987939499073,69.86987939499073,2026-01-12,2026-01-13,1,0.3255,12.33,5.5961,5.3528,3.5685,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-09,3,sz002567,sz002567,69.05099947779081,69.05099947779081,2026-01-12,2026-01-13,1,0.2273,4.41,0.0,0.0,0.0,-0.4535,1,0,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-12,1,sh601018,sh601018,73.91828912293873,73.91828912293873,2026-01-13,2026-01-14,1,0.271,3.7,0.0,-0.5405,-1.3514,-1.3514,1,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-12,2,sh600022,sh600022,72.35985460549698,72.35985460549698,2026-01-13,2026-01-14,1,0.0,1.6,0.625,-1.25,-1.875,-2.5,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-12,3,sh601860,sh601860,69.42969625332441,69.42969625332441,2026-01-13,2026-01-14,1,0.0,2.8,1.4286,0.3571,-0.3571,-0.3571,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-13,1,sz000656,sz000656,68.51028944048001,68.51028944048001,2026-01-14,2026-01-15,1,-0.6897,1.44,1.3889,0.0,1.3889,-0.6944,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-13,2,sz000883,sz000883,68.30828043742855,68.30828043742855,2026-01-14,2026-01-15,1,-0.2169,4.6,0.6522,-0.4348,-0.2174,-0.8696,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-13,3,sz002154,sz002154,66.51162180766931,66.51162180766931,2026-01-14,2026-01-15,1,0.0,3.92,1.2755,0.7653,0.0,-0.5102,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-14,1,sz002958,sz002958,65.94697592458843,65.94697592458843,2026-01-15,2026-01-16,1,-0.3195,3.12,0.3205,-0.9615,-1.6026,-1.9231,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-14,2,sz002305,sz002305,65.3419575550924,65.3419575550924,2026-01-15,2026-01-16,1,-0.9091,2.18,2.2936,1.8349,0.9174,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-14,3,sh600299,sh600299,65.29042869517998,65.29042869517998,2026-01-15,2026-01-16,1,0.111,9.02,0.7761,0.1109,-0.5543,-0.8869,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-15,1,sz001227,sz001227,71.07071249911455,71.07071249911455,2026-01-16,2026-01-19,1,0.4329,2.32,0.0,-0.431,-0.431,-0.8621,1,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-15,2,sh600567,sh600567,68.80763114727941,68.80763114727941,2026-01-16,2026-01-19,1,0.0,1.67,0.5988,-0.5988,0.0,-1.1976,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-15,3,sh600527,sh600527,67.34589876702086,67.34589876702086,2026-01-16,2026-01-19,1,0.4608,2.18,4.5872,1.3761,3.6697,-0.9174,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-16,1,sz002839,sz002839,69.96546569315896,69.96546569315896,2026-01-19,2026-01-20,1,0.0,4.42,0.4525,0.0,1.3575,-0.4525,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-16,2,sh600675,sh600675,69.92752327774716,69.92752327774716,2026-01-19,2026-01-20,1,0.0,2.74,1.0949,0.7299,10.9489,-1.0949,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-16,3,sz002470,sz002470,69.13896496025268,69.13896496025268,2026-01-19,2026-01-20,1,0.0,1.74,2.8736,2.2989,4.023,-0.5747,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-19,1,sz000419,sz000419,71.82365867571916,71.82365867571916,2026-01-20,2026-01-21,1,0.0,6.48,2.3148,1.6975,1.8519,-0.7716,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-19,2,sh600008,sh600008,71.1223143087394,71.1223143087394,2026-01-20,2026-01-21,1,0.0,3.02,1.9868,1.6556,0.9934,-0.3311,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-19,3,sh601000,sh601000,70.10739355766276,70.10739355766276,2026-01-20,2026-01-21,1,0.0,4.01,5.2369,4.4888,1.2469,-0.2494,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-20,1,sh601818,sh601818,71.78934837724373,71.78934837724373,2026-01-21,2026-01-22,1,-0.295,3.38,0.8876,-0.5917,0.0,-0.8876,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-20,2,sz000882,sz000882,70.35650188872083,70.35650188872083,2026-01-21,2026-01-22,1,-0.4902,2.03,0.4926,-0.9852,-0.4926,-1.4778,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-20,3,sh600016,sh600016,69.90426455090892,69.90426455090892,2026-01-21,2026-01-22,1,-0.2632,3.79,0.5277,-0.7916,-0.5277,-0.7916,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-21,1,sz002486,sz002486,73.57738282441827,73.57738282441827,2026-01-22,2026-01-23,1,0.0,3.17,0.9464,0.9464,1.5773,-1.5773,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-21,2,sz001368,sz001368,69.26213709892691,69.26213709892691,2026-01-22,2026-01-23,1,0.0356,28.09,1.3172,0.5696,2.8836,-0.7832,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-21,3,sz002316,sz002316,67.98225528529281,67.98225528529281,2026-01-22,2026-01-23,1,1.2613,5.62,0.3559,-2.1352,-2.3132,-3.3808,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-22,1,sz000531,sz000531,71.16562007491794,71.16562007491794,2026-01-23,2026-01-26,1,0.1391,7.2,1.1111,0.2778,1.1111,-0.5556,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-22,2,sh600017,sh600017,70.40204834229337,70.40204834229337,2026-01-23,2026-01-26,1,-0.3226,3.09,0.9709,0.6472,0.9709,-0.3236,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-22,3,sz000998,sz000998,69.55185035784598,69.55185035784598,2026-01-23,2026-01-26,1,-0.2075,9.62,0.3119,0.104,0.8316,-0.3119,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-23,1,sz002175,sz002175,69.57471721902728,69.57471721902728,2026-01-26,2026-01-27,1,0.2212,4.53,0.2208,-2.649,-3.3113,-5.298,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-23,2,sz000711,sz000711,69.20209332272046,69.20209332272046,2026-01-26,2026-01-27,1,4.0462,1.8,1.1111,1.1111,5.0,-2.7778,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-23,3,sz002453,sz002453,68.1397703338128,68.1397703338128,2026-01-26,2026-01-27,1,0.3125,6.42,0.4673,-4.2056,-5.296,-8.2555,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-26,1,sh603363,sh603363,67.87320765339884,67.87320765339884,2026-01-27,2026-01-28,1,-0.6977,4.27,0.0,-2.3419,-4.918,-4.918,1,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-26,2,sh600503,sh600503,67.74897588743627,67.74897588743627,2026-01-27,2026-01-28,1,-0.7353,2.7,0.3704,-2.2222,-2.5926,-3.7037,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-26,3,sh600368,sh600368,67.06682179689784,67.06682179689784,2026-01-27,2026-01-28,1,-0.495,4.02,0.2488,-0.7463,0.2488,-1.4925,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-27,1,sh600221,sh600221,67.66755607019952,67.66755607019952,2026-01-28,2026-01-29,1,0.5917,1.7,0.0,-0.5882,-0.5882,-1.7647,1,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-27,2,sz001227,sz001227,67.30268918702478,67.30268918702478,2026-01-28,2026-01-29,1,0.0,2.3,0.4348,0.0,0.8696,-0.4348,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-27,3,sh600467,sh600467,67.03610343235758,67.03610343235758,2026-01-28,2026-01-29,1,0.3831,2.62,1.145,0.3817,1.9084,-0.7634,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-28,1,sz002936,sz002936,67.03679727401064,67.03679727401064,2026-01-29,2026-01-30,1,-0.5263,1.89,1.5873,1.5873,1.0582,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-28,2,sz001227,sz001227,66.25966187565602,66.25966187565602,2026-01-29,2026-01-30,1,0.4348,2.31,0.8658,0.4329,0.8658,-0.4329,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-28,3,sh600008,sh600008,65.87097739405094,65.87097739405094,2026-01-29,2026-01-30,1,0.3247,3.09,0.3236,0.0,-0.3236,-1.6181,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-29,1,sz002177,sz002177,65.79858764004477,65.79858764004477,2026-01-30,2026-02-02,1,-0.2614,7.63,0.3932,-1.9659,-2.6212,-3.0144,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-29,2,sh603323,sh603323,65.51210510866153,65.51210510866153,2026-01-30,2026-02-02,1,0.0,5.06,0.3953,-0.7905,-1.7787,-1.9763,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-29,3,sh601860,sh601860,65.39189578557082,65.39189578557082,2026-01-30,2026-02-02,1,0.0,2.82,1.0638,-0.3546,-1.0638,-1.4184,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-30,1,sz002494,sz002494,71.24527028436924,71.24527028436924,2026-02-02,2026-02-03,1,0.3527,5.69,2.109,-0.1757,0.3515,-1.0545,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-30,2,sh601005,sh601005,69.59203275515114,69.59203275515114,2026-02-02,2026-02-03,1,-0.6494,1.53,0.6536,-5.8824,-3.9216,-5.8824,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-01-30,3,sz000404,sz000404,68.0291070997643,68.0291070997643,2026-02-02,2026-02-03,1,0.2853,7.03,0.7112,-1.4225,-0.9957,-1.4225,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-02,1,sh600881,sh600881,71.23418148130544,71.23418148130544,2026-02-03,2026-02-04,1,0.0,1.78,1.1236,0.5618,2.2472,-0.5618,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-02,2,sh600567,sh600567,68.00876322891452,68.00876322891452,2026-02-03,2026-02-04,1,0.0,1.61,1.2422,1.2422,1.2422,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-02,3,sh601916,sh601916,67.84307180301204,67.84307180301204,2026-02-03,2026-02-04,1,-0.3401,2.93,0.3413,-0.3413,0.0,-0.6826,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-03,1,sh600905,sh600905,71.20380932329778,71.20380932329778,2026-02-04,2026-02-05,1,-0.489,4.07,0.9828,0.9828,0.9828,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-03,2,sz002936,sz002936,69.79085468931295,69.79085468931295,2026-02-04,2026-02-05,1,-0.5291,1.88,1.5957,1.5957,2.1277,0.0,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-03,3,sz000656,sz000656,68.39293460977142,68.39293460977142,2026-02-04,2026-02-05,1,0.0,1.45,1.3793,0.6897,-0.6897,-1.3793,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-04,1,sz002390,sz002390,70.2345539348381,70.2345539348381,2026-02-05,2026-02-06,1,0.0,3.36,0.8929,0.0,-0.2976,-0.5952,0,1,0,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-04,2,sz002958,sz002958,69.90693423211427,69.90693423211427,2026-02-05,2026-02-06,1,0.0,3.09,2.2654,1.9417,1.9417,-0.3236,0,0,0,1
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-04,3,sz000898,sz000898,69.51674667707665,69.51674667707665,2026-02-05,2026-02-06,1,0.3906,2.57,0.7782,-1.1673,-2.3346,-3.5019,0,1,1,0
stable,lpn_012_lowpain_orderbook,final_2026,2026-02-05,1,sh601005,sh601005,72.0817829081783,72.0817829081783,2026-02-06,2026-02-09,1,-1.3333,1.48,0.6757,0.0,2.027,-1.3514,0,0,0,1
