variant_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
lpn_001_lowpain_full,internal_2025,2025-10,17,17,0.0588,0.4118,0.1176,0.9412,0.7647,1.4631,1.1583,0.2017,0.3798,0.2158,0.2353,0.1176,0.0,0.0,0.0,17,51,0.0392,0.3333,0.098,0.9608,0.7255,1.8479,1.1583,0.5708,0.8518,0.5415,0.2745,0.1961,0.098,0.0,0.0,1.0,0.4118,0.2941,0.8824,54.1581,35.4421
lpn_001_lowpain_full,internal_2025,2025-11,20,20,0.1,0.45,0.05,0.9,0.6,0.9273,0.6209,0.1763,-0.0195,0.1076,0.15,0.05,0.0,0.0,0.0,20,60,0.0667,0.4667,0.05,0.9333,0.5667,1.0564,0.7103,0.2449,0.095,0.1275,0.1167,0.0333,0.0167,0.0167,0.0167,1.0,0.1,0.05,0.8,52.1097,32.7457
lpn_001_lowpain_full,internal_2025,2025-12,23,23,0.087,0.4783,0.087,0.913,0.6087,0.8251,0.6452,-0.1263,0.3058,0.0,0.0435,0.0,0.0,0.0,0.0,23,69,0.1159,0.5362,0.0725,0.8841,0.5217,0.7463,0.6181,-0.2068,0.0555,-0.2326,0.058,0.0145,0.0,0.0,0.0,1.0,0.0435,0.0,0.7391,50.9237,31.8505
lpn_001_lowpain_full,final_2026,2026-01,20,20,0.05,0.55,0.15,0.95,0.55,1.1553,0.8775,-0.1584,-0.1056,-0.1213,0.15,0.05,0.0,0.0,0.0,20,60,0.05,0.5,0.1833,0.95,0.5667,1.4385,0.8296,0.0266,0.4325,-0.029,0.2,0.1333,0.0667,0.0333,0.0,1.0,0.35,0.2,0.8,49.4603,31.6528
lpn_001_lowpain_full,final_2026,2026-02,14,14,0.0,0.4286,0.0,1.0,0.5,1.1583,0.645,0.4433,0.659,0.0,0.2143,0.2143,0.0,0.0,0.0,14,42,0.0,0.4286,0.0714,1.0,0.5476,1.2386,0.7823,0.2203,0.4453,0.0,0.2143,0.1429,0.0,0.0,0.0,1.0,0.2857,0.0,0.8571,58.0366,38.3041
lpn_001_lowpain_full,final_2026,2026-03,22,22,0.0909,0.5909,0.3182,0.9091,0.5455,1.5693,1.3199,-0.0574,0.0231,-0.8004,0.3636,0.1364,0.0455,0.0,0.0,22,66,0.0455,0.5,0.3333,0.9545,0.5,1.4794,1.2453,-0.3748,-0.8116,-0.0091,0.303,0.0909,0.0303,0.0,0.0,1.0,0.2273,0.0909,0.7727,45.7723,31.2171
lpn_001_lowpain_full,final_2026,2026-04,8,8,0.0,0.375,0.125,1.0,0.5,1.1043,0.7742,-0.4284,0.7373,0.3437,0.125,0.125,0.0,0.0,0.0,8,24,0.0,0.5417,0.125,1.0,0.4583,1.1007,0.8666,-0.1685,0.2247,-0.2992,0.1667,0.0417,0.0,0.0,0.0,1.0,0.125,0.0,0.625,56.2679,36.6225
lpn_002_day1green_full,internal_2025,2025-10,17,17,0.0,0.4118,0.4706,1.0,0.7647,4.5474,3.7088,2.6228,2.5654,0.6818,0.7059,0.5882,0.3529,0.2941,0.1176,17,51,0.0,0.4706,0.4706,1.0,0.6667,3.8469,3.0903,1.1421,0.3236,0.0853,0.6275,0.5098,0.2745,0.1961,0.0784,1.0,0.8235,0.5882,0.7647,58.0315,52.5564
lpn_002_day1green_full,internal_2025,2025-11,20,20,0.0,0.3,0.35,1.0,0.6,4.9699,4.3865,1.8552,0.9961,1.5137,0.65,0.6,0.45,0.25,0.2,20,60,0.0,0.3833,0.3833,1.0,0.5333,4.2053,2.9737,1.2227,1.576,1.1522,0.6,0.5,0.35,0.2,0.1167,1.0,0.75,0.65,0.75,61.7664,54.7411
lpn_002_day1green_full,internal_2025,2025-12,23,23,0.1304,0.6957,0.7391,0.8696,0.4783,4.0043,3.0325,-0.0271,-1.1036,-1.5721,0.6957,0.5217,0.3478,0.2609,0.0435,23,69,0.0435,0.5507,0.5652,0.9565,0.5652,4.4695,3.5154,1.0829,0.8393,-0.4611,0.7101,0.5507,0.3913,0.2899,0.0725,1.0,0.8261,0.7391,0.8261,39.4459,37.8832
