variant_id,period,day1_no_red_rate,day2_still_loss_rate,deep_pain_rate,day2_avg_close_return_pct
lpn_001_lowpain_full,internal_2025,0.084,0.4554,0.084,0.2349
lpn_001_lowpain_full,final_2026,0.0469,0.5156,0.1719,0.2113
lpn_002_day1green_full,internal_2025,0.0652,0.5235,0.5722,0.3068
lpn_002_day1green_full,final_2026,0.0312,0.5781,0.5938,-0.7666
lpn_003_fast_full,internal_2025,0.0488,0.5147,0.7561,0.6762
lpn_003_fast_full,final_2026,0.1562,0.6562,0.7031,-1.7221
lpn_004_hybrid_full,internal_2025,0.0135,0.5364,0.6557,0.4876
lpn_004_hybrid_full,final_2026,0.125,0.6406,0.7188,-1.1111
lpn_005_lowpain_no_hot,internal_2025,0.1057,0.3713,0.0893,0.3416
lpn_005_lowpain_no_hot,final_2026,0.0625,0.4375,0.1406,0.1816
lpn_006_hybrid_no_hot,internal_2025,0.057,0.523,0.7291,0.6308
lpn_006_hybrid_no_hot,final_2026,0.1094,0.6094,0.7812,-1.485
lpn_007_lowpain_flow,internal_2025,0.0352,0.4741,0.1516,0.4328
lpn_007_lowpain_flow,final_2026,0.0469,0.5781,0.2969,-0.4884
lpn_008_fast_flow,internal_2025,0.0922,0.5635,0.8102,-1.0
lpn_008_fast_flow,final_2026,0.1562,0.6406,0.7969,-0.6294
lpn_009_hybrid_anti_overfit,internal_2025,0.0787,0.5664,0.7779,1.0271
lpn_009_hybrid_anti_overfit,final_2026,0.1719,0.5469,0.75,-0.5515
lpn_010_lowpain_heat,internal_2025,0.0135,0.5071,0.1516,0.2666
lpn_010_lowpain_heat,final_2026,0.0625,0.625,0.4219,-1.1672
lpn_011_hybrid_market,internal_2025,0.0271,0.4959,0.111,0.2006
lpn_011_hybrid_market,final_2026,0.0469,0.5781,0.1562,-0.3743
lpn_012_lowpain_orderbook,internal_2025,0.057,0.3713,0.0975,0.4685
lpn_012_lowpain_orderbook,final_2026,0.1562,0.4062,0.1719,0.1867
lpn_013_day2safe_full,internal_2025,0.1057,0.5694,0.1516,-0.0293
lpn_013_day2safe_full,final_2026,0.0312,0.4688,0.1875,0.4843
lpn_014_day2safe_no_hot,internal_2025,0.0652,0.4607,0.2574,0.3568
lpn_014_day2safe_no_hot,final_2026,0.0625,0.5,0.3438,0.2845
lpn_015_day2safe_core,internal_2025,0.0488,0.4906,0.1733,-0.0741
lpn_015_day2safe_core,final_2026,0.0469,0.3906,0.2031,0.2138
lpn_016_same_day_full,internal_2025,0.0488,0.4389,0.664,0.8111
lpn_016_same_day_full,final_2026,0.1719,0.5781,0.7344,-0.6177
lpn_017_same_day_no_hot,internal_2025,0.0271,0.4472,0.6504,1.5279
lpn_017_same_day_no_hot,final_2026,0.1406,0.6406,0.7656,-1.8538
lpn_018_same_day_core,internal_2025,0.084,0.4689,0.7291,1.2588
lpn_018_same_day_core,final_2026,0.1562,0.625,0.6875,0.0247
lpn_019_lowpain_reward_no_hot,internal_2025,0.057,0.6069,0.7914,-1.53
lpn_019_lowpain_reward_no_hot,final_2026,0.1406,0.5469,0.6719,1.1707
lpn_020_lowpain_reward_core,internal_2025,0.0488,0.55,0.7832,-0.145
lpn_020_lowpain_reward_core,final_2026,0.1094,0.5469,0.6094,0.5434
lpn_021_day1green_core,internal_2025,0.0135,0.5341,0.6099,0.2434
lpn_021_day1green_core,final_2026,0.0,0.5156,0.5469,0.2788
lpn_022_fast_core,internal_2025,0.0706,0.5176,0.7291,0.4861
lpn_022_fast_core,final_2026,0.125,0.6406,0.7344,-0.8327
lpn_023_lowpain_flow_orderbook,internal_2025,0.0623,0.4472,0.1057,0.2419
lpn_023_lowpain_flow_orderbook,final_2026,0.0469,0.4375,0.125,0.3846
lpn_024_same_day_flow_orderbook,internal_2025,0.0758,0.5364,0.8237,-0.3819
lpn_024_same_day_flow_orderbook,final_2026,0.1094,0.6094,0.75,-0.4659
