variant_id,period,day1_avg_mfe_pct,hit2_rate,hit3_rate,hit5_rate,hit7_rate,hit10_rate
lpn_001_lowpain_full,internal_2025,0.9993,0.1164,0.0406,0.0,0.0,0.0
lpn_001_lowpain_full,final_2026,1.2919,0.2344,0.125,0.0156,0.0,0.0
lpn_002_day1green_full,internal_2025,4.3901,0.6857,0.5582,0.3766,0.2656,0.1028
lpn_002_day1green_full,final_2026,2.8874,0.4062,0.2656,0.1875,0.0938,0.0312
lpn_003_fast_full,internal_2025,6.9558,0.8132,0.7291,0.5664,0.4906,0.2602
lpn_003_fast_full,final_2026,4.5676,0.5938,0.4844,0.3438,0.25,0.1406
lpn_004_hybrid_full,internal_2025,6.7826,0.8161,0.7156,0.5881,0.4636,0.2333
lpn_004_hybrid_full,final_2026,4.5729,0.625,0.5312,0.3594,0.25,0.1406
lpn_005_lowpain_no_hot,internal_2025,1.1475,0.1951,0.0758,0.0,0.0,0.0
lpn_005_lowpain_no_hot,final_2026,1.4325,0.2188,0.0938,0.0312,0.0,0.0
lpn_006_hybrid_no_hot,internal_2025,6.0289,0.7727,0.6668,0.4636,0.3931,0.198
lpn_006_hybrid_no_hot,final_2026,4.2522,0.6719,0.5156,0.2969,0.2344,0.1094
lpn_007_lowpain_flow,internal_2025,1.2706,0.1763,0.1327,0.0352,0.0,0.0
lpn_007_lowpain_flow,final_2026,1.6781,0.2188,0.1406,0.0938,0.0469,0.0156
lpn_008_fast_flow,internal_2025,4.8838,0.6181,0.5423,0.423,0.312,0.1492
lpn_008_fast_flow,final_2026,4.6763,0.5938,0.5156,0.4219,0.2656,0.0938
lpn_009_hybrid_anti_overfit,internal_2025,5.1671,0.6504,0.5393,0.3931,0.309,0.1681
lpn_009_hybrid_anti_overfit,final_2026,4.059,0.5625,0.4062,0.3438,0.2344,0.0938
lpn_010_lowpain_heat,internal_2025,1.8563,0.2491,0.1381,0.111,0.0975,0.0
lpn_010_lowpain_heat,final_2026,1.8868,0.3906,0.1562,0.0781,0.0625,0.0
lpn_011_hybrid_market,internal_2025,1.2051,0.1569,0.0758,0.0135,0.0,0.0
lpn_011_hybrid_market,final_2026,0.9313,0.0781,0.0,0.0,0.0,0.0
lpn_012_lowpain_orderbook,internal_2025,1.7004,0.2439,0.1246,0.0706,0.057,0.0217
lpn_012_lowpain_orderbook,final_2026,1.0538,0.1875,0.0312,0.0,0.0,0.0
lpn_013_day2safe_full,internal_2025,1.2244,0.1621,0.1081,0.0406,0.0135,0.0135
lpn_013_day2safe_full,final_2026,1.7275,0.25,0.1562,0.0781,0.0156,0.0
lpn_014_day2safe_no_hot,internal_2025,1.2147,0.2138,0.1463,0.0217,0.0,0.0
lpn_014_day2safe_no_hot,final_2026,2.4081,0.3594,0.2188,0.125,0.0781,0.0625
lpn_015_day2safe_core,internal_2025,1.5303,0.2168,0.1545,0.0352,0.0352,0.0
lpn_015_day2safe_core,final_2026,1.9337,0.3438,0.2188,0.0625,0.0312,0.0156
lpn_016_same_day_full,internal_2025,7.9588,0.8132,0.7344,0.6069,0.5311,0.3578
lpn_016_same_day_full,final_2026,5.3266,0.6406,0.5781,0.4375,0.2969,0.1562
lpn_017_same_day_no_hot,internal_2025,7.747,0.7967,0.7127,0.5664,0.5041,0.3443
lpn_017_same_day_no_hot,final_2026,4.9585,0.5625,0.4844,0.3906,0.2812,0.1875
lpn_018_same_day_core,internal_2025,6.7581,0.7127,0.6422,0.5364,0.4659,0.2708
lpn_018_same_day_core,final_2026,5.5303,0.7031,0.6094,0.4844,0.3125,0.1562
lpn_019_lowpain_reward_no_hot,internal_2025,5.6963,0.7127,0.664,0.4524,0.3496,0.1763
lpn_019_lowpain_reward_no_hot,final_2026,5.0673,0.6562,0.625,0.3906,0.2812,0.125
lpn_020_lowpain_reward_core,internal_2025,5.1304,0.7373,0.6586,0.4201,0.2303,0.111
lpn_020_lowpain_reward_core,final_2026,5.2666,0.6875,0.5625,0.4531,0.2969,0.125
lpn_021_day1green_core,internal_2025,4.4989,0.6804,0.5934,0.4172,0.2656,0.0675
lpn_021_day1green_core,final_2026,3.766,0.5938,0.5156,0.2969,0.1719,0.0156
lpn_022_fast_core,internal_2025,6.5709,0.6992,0.6422,0.5582,0.4607,0.252
lpn_022_fast_core,final_2026,5.4474,0.6719,0.5625,0.4375,0.3281,0.1562
lpn_023_lowpain_flow_orderbook,internal_2025,1.15,0.2003,0.0541,0.0135,0.0135,0.0
lpn_023_lowpain_flow_orderbook,final_2026,1.3812,0.1719,0.1094,0.0469,0.0156,0.0
lpn_024_same_day_flow_orderbook,internal_2025,6.0436,0.7291,0.6452,0.5259,0.4365,0.2333
lpn_024_same_day_flow_orderbook,final_2026,5.6239,0.6719,0.5938,0.4688,0.375,0.1875
