business_source_name,source_id,suggested_action,entry_allowed,market_regime,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate
星火机会模型,spark_opportunity_selector,candidate_buy,1,attack,46,22.6181,19.7263,65.2174,58.6957,50.0,6.2654,-0.3528,52.1739,34.7826,-10.4762,-33.2842,67.3913,58.6957,58.6957,100.0
星火机会模型,spark_opportunity_selector,candidate_buy,1,caution,61,23.3133,16.0,65.5738,55.7377,47.541,1.9438,-1.1919,55.7377,44.2623,-12.6077,-43.9855,73.7705,57.377,59.0164,73.7705
星火机会模型,spark_opportunity_selector,candidate_buy,1,defense,80,16.9033,9.8045,48.75,36.25,28.75,1.6869,-3.4058,60.0,43.75,-13.4856,-35.974,85.0,72.5,73.75,50.0
星火机会模型,spark_opportunity_selector,watch,0,attack,2,51.9224,51.9224,100.0,50.0,50.0,7.7117,7.7117,50.0,50.0,-16.5216,-33.0432,50.0,50.0,50.0,100.0
星火机会模型,spark_opportunity_selector,watch,0,caution,2,16.7556,16.7556,100.0,50.0,50.0,-9.3148,-9.3148,50.0,50.0,-21.9218,-24.2222,100.0,100.0,100.0,100.0
星火机会模型,spark_opportunity_selector,watch,0,defense,7,33.1128,13.3464,71.4286,42.8571,42.8571,13.7431,6.0587,42.8571,42.8571,-15.0102,-31.4024,71.4286,57.1429,57.1429,28.5714
试盘识别-三日确认,probe_d3_confirmed,candidate_buy,1,attack,2,17.716,17.716,50.0,50.0,50.0,7.2492,7.2492,50.0,0.0,-15.4643,-20.355,100.0,100.0,100.0,100.0
试盘识别-三日确认,probe_d3_confirmed,candidate_buy,1,caution,3,13.2268,8.6253,33.3333,33.3333,33.3333,-18.1289,-14.2251,66.6667,66.6667,-21.9758,-40.1617,100.0,66.6667,66.6667,33.3333
试盘识别-三日确认,probe_d3_confirmed,candidate_buy,1,defense,8,6.9329,3.9207,37.5,12.5,0.0,-9.1562,-6.5209,75.0,75.0,-12.538,-39.0408,75.0,37.5,75.0,0.0
试盘识别-三日确认,probe_d3_confirmed,watch,0,attack,11,15.3252,7.2443,45.4545,27.2727,18.1818,-2.0751,-6.8474,63.6364,54.5455,-13.3715,-27.1552,72.7273,63.6364,63.6364,100.0
试盘识别-三日确认,probe_d3_confirmed,watch,0,caution,29,10.1116,6.383,37.931,20.6897,20.6897,-8.5036,-9.235,75.8621,65.5172,-14.9903,-35.1064,79.3103,75.8621,75.8621,51.7241
试盘识别-三日确认,probe_d3_confirmed,watch,0,defense,19,5.2527,3.4692,15.7895,10.5263,0.0,-6.8948,-7.4674,68.4211,63.1579,-12.1227,-24.0243,73.6842,57.8947,63.1579,0.0
试盘识别-当日观察,probe_day0_watch,watch,0,attack,37,16.0306,9.0705,48.6486,35.1351,27.027,-5.6442,-4.9805,64.8649,48.6486,-13.7499,-36.272,78.3784,70.2703,70.2703,94.5946
试盘识别-当日观察,probe_day0_watch,watch,0,caution,45,12.2639,8.5233,46.6667,33.3333,13.3333,-5.8222,-8.4263,71.1111,64.4444,-13.44,-30.759,84.4444,73.3333,73.3333,60.0
试盘识别-当日观察,probe_day0_watch,watch,0,defense,64,10.871,8.0296,37.5,21.875,9.375,-3.4,-6.7318,70.3125,57.8125,-10.5447,-36.4583,79.6875,67.1875,68.75,10.9375
资金流回调稳健策略,stable_capital_callback,candidate_buy,1,attack,13,24.4176,14.7179,53.8462,46.1538,38.4615,3.7108,-2.4419,61.5385,46.1538,-9.9398,-29.2005,69.2308,46.1538,53.8462,100.0
资金流回调稳健策略,stable_capital_callback,candidate_buy,1,caution,24,15.5194,16.4433,66.6667,54.1667,33.3333,4.5899,2.9407,37.5,29.1667,-8.963,-29.7185,58.3333,37.5,37.5,75.0
资金流回调稳健策略,stable_capital_callback,candidate_buy,1,defense,38,10.4564,6.806,36.8421,23.6842,15.7895,-2.3498,-2.0885,63.1579,42.1053,-9.3033,-21.9161,60.5263,50.0,50.0,21.0526
趋势延续策略,trend_continuation_callback,candidate_buy,1,attack,6,26.9643,14.2943,66.6667,50.0,33.3333,2.3159,-4.5853,83.3333,50.0,-11.1811,-19.9048,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,candidate_buy,1,caution,6,26.3915,20.6467,66.6667,66.6667,50.0,5.5638,-0.4671,50.0,50.0,-15.8948,-32.944,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,candidate_buy,1,defense,1,9.6382,9.6382,0.0,0.0,0.0,-0.451,-0.451,100.0,0.0,-4.4514,-4.4514,0.0,0.0,0.0,100.0
趋势延续策略,trend_continuation_callback,watch,0,attack,28,30.5258,24.1508,67.8571,64.2857,60.7143,11.5886,3.5669,42.8571,32.1429,-11.9901,-27.9898,85.7143,60.7143,60.7143,100.0
趋势延续策略,trend_continuation_callback,watch,0,caution,50,27.5939,18.9717,72.0,64.0,48.0,7.3146,-4.758,52.0,48.0,-13.4116,-29.25,74.0,66.0,66.0,100.0
趋势延续策略,trend_continuation_callback,watch,0,defense,51,26.2218,21.559,74.5098,62.7451,50.9804,7.1862,5.6298,41.1765,37.2549,-12.8383,-33.354,68.6275,62.7451,62.7451,100.0
