source_id,source_name,metric,days,pearson_mfe,spearman_mfe,pearson_pitfall,spearman_pitfall
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,11,0.2333,0.3909,-0.2056,-0.2437
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,11,0.2817,0.4545,0.203,0.0348
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,11,0.4467,0.5545,0.3926,0.47
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_10d,11,0.5868,0.4909,0.1801,0.3307
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_20d,11,0.4945,0.4909,0.0265,0.1915
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_3d,11,0.3374,0.5,0.1154,0.0348
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_5d,11,0.415,0.5545,0.3708,0.47
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_10d,11,0.5681,0.4636,0.1605,0.3307
probe_d3_confirmed,试盘识别-三日确认,small_up_ratio_3d,11,0.271,0.4818,0.1616,0.0174
probe_d3_confirmed,试盘识别-三日确认,small_up_ratio_5d,11,0.4309,0.5727,0.2958,0.3307
probe_d3_confirmed,试盘识别-三日确认,small_up_ratio_10d,11,0.5611,0.5273,0.1511,0.2785
probe_d3_confirmed,试盘识别-三日确认,small_med_ret_5d,11,0.4343,0.6909,0.2372,0.2611
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,66,0.1098,0.0912,-0.0375,-0.0029
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,66,0.2192,0.2543,-0.2573,-0.2457
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,66,0.1119,0.175,-0.1695,-0.1844
spark_opportunity_selector,星火机会模型,all_up_ratio_10d,66,0.2337,0.2384,-0.1674,-0.088
spark_opportunity_selector,星火机会模型,all_up_ratio_20d,66,-0.076,-0.0583,0.2365,0.2875
spark_opportunity_selector,星火机会模型,all_med_ret_3d,66,0.1756,0.2846,-0.2041,-0.2128
spark_opportunity_selector,星火机会模型,all_med_ret_5d,66,0.1062,0.2312,-0.1539,-0.1857
spark_opportunity_selector,星火机会模型,all_med_ret_10d,66,0.221,0.2933,-0.1465,-0.1359
spark_opportunity_selector,星火机会模型,small_up_ratio_3d,66,0.2158,0.2638,-0.2376,-0.2165
spark_opportunity_selector,星火机会模型,small_up_ratio_5d,66,0.1031,0.165,-0.1138,-0.1324
spark_opportunity_selector,星火机会模型,small_up_ratio_10d,66,0.2496,0.2508,-0.1525,-0.0547
spark_opportunity_selector,星火机会模型,small_med_ret_5d,66,0.0938,0.2048,-0.1167,-0.1455
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,29,0.5842,0.5586,-0.4552,-0.3972
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,29,0.6416,0.6246,-0.3032,-0.3211
stable_capital_callback,资金流回调稳健策略,all_up_ratio_5d,29,0.3929,0.2847,0.1612,0.1754
stable_capital_callback,资金流回调稳健策略,all_up_ratio_10d,29,0.329,0.2488,0.0324,0.1576
stable_capital_callback,资金流回调稳健策略,all_up_ratio_20d,29,0.1825,0.0739,0.2972,0.3504
stable_capital_callback,资金流回调稳健策略,all_med_ret_3d,29,0.6021,0.6414,-0.3333,-0.318
stable_capital_callback,资金流回调稳健策略,all_med_ret_5d,29,0.3753,0.3241,0.1443,0.08
stable_capital_callback,资金流回调稳健策略,all_med_ret_10d,29,0.3586,0.3468,0.0235,0.0654
stable_capital_callback,资金流回调稳健策略,small_up_ratio_3d,29,0.6433,0.6143,-0.3532,-0.3448
stable_capital_callback,资金流回调稳健策略,small_up_ratio_5d,29,0.4321,0.2768,0.082,0.0805
stable_capital_callback,资金流回调稳健策略,small_up_ratio_10d,29,0.3467,0.2611,0.0068,0.1818
stable_capital_callback,资金流回调稳健策略,small_med_ret_5d,29,0.3932,0.3133,0.0489,0.0059
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,11,0.1585,0.3818,0.3887,0.3227
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,11,0.2224,0.3727,0.2973,0.1936
trend_continuation_callback,趋势延续策略,all_up_ratio_5d,11,0.2327,0.2636,0.3547,0.3227
trend_continuation_callback,趋势延续策略,all_up_ratio_10d,11,-0.2058,-0.4091,0.1547,0.1936
trend_continuation_callback,趋势延续策略,all_up_ratio_20d,11,-0.3079,-0.5,0.2663,0.1936
trend_continuation_callback,趋势延续策略,all_med_ret_3d,11,0.2114,0.3364,0.3914,0.3227
trend_continuation_callback,趋势延续策略,all_med_ret_5d,11,0.2291,0.3455,0.35,0.2582
trend_continuation_callback,趋势延续策略,all_med_ret_10d,11,-0.182,-0.4091,0.1056,0.1936
trend_continuation_callback,趋势延续策略,small_up_ratio_3d,11,0.1545,0.2727,0.3068,0.3873
trend_continuation_callback,趋势延续策略,small_up_ratio_5d,11,0.1676,0.2364,0.3936,0.3873
trend_continuation_callback,趋势延续策略,small_up_ratio_10d,11,-0.2875,-0.5364,0.235,0.2582
trend_continuation_callback,趋势延续策略,small_med_ret_5d,11,0.1403,0.2364,0.4036,0.3873
