business_source_name,source_id,market_detail_label,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate
星火机会模型,spark_opportunity_selector,攻击,46,22.6181,19.7263,65.2174,58.6957,50.0,6.2654,-0.3528,52.1739,34.7826,-10.4762,-33.2842,67.3913,58.6957,58.6957,100.0
星火机会模型,spark_opportunity_selector,谨慎,61,23.3133,16.0,65.5738,55.7377,47.541,1.9438,-1.1919,55.7377,44.2623,-12.6077,-43.9855,73.7705,57.377,59.0164,73.7705
星火机会模型,spark_opportunity_selector,防守-修复观察,21,17.5997,9.5394,42.8571,33.3333,28.5714,4.932,-1.063,61.9048,33.3333,-12.7899,-29.9441,80.9524,71.4286,76.1905,57.1429
星火机会模型,spark_opportunity_selector,防守-弱势承压,14,7.5045,5.6285,28.5714,14.2857,7.1429,-9.9266,-10.8964,71.4286,57.1429,-16.0076,-35.974,85.7143,78.5714,78.5714,21.4286
星火机会模型,spark_opportunity_selector,防守-持续下跌,45,19.5025,11.0043,57.7778,44.4444,35.5556,3.7855,-4.051,55.5556,44.4444,-13.0256,-30.6991,86.6667,71.1111,71.1111,55.5556
试盘识别-三日确认,probe_d3_confirmed,攻击,2,17.716,17.716,50.0,50.0,50.0,7.2492,7.2492,50.0,0.0,-15.4643,-20.355,100.0,100.0,100.0,100.0
试盘识别-三日确认,probe_d3_confirmed,谨慎,3,13.2268,8.6253,33.3333,33.3333,33.3333,-18.1289,-14.2251,66.6667,66.6667,-21.9758,-40.1617,100.0,66.6667,66.6667,33.3333
试盘识别-三日确认,probe_d3_confirmed,防守-修复观察,1,5.2147,5.2147,0.0,0.0,0.0,-6.9018,-6.9018,100.0,100.0,-7.9755,-7.9755,100.0,0.0,100.0,0.0
试盘识别-三日确认,probe_d3_confirmed,防守-弱势承压,4,8.2326,6.8462,50.0,25.0,0.0,-8.3745,-3.0726,50.0,50.0,-13.3169,-39.0408,50.0,25.0,50.0,0.0
试盘识别-三日确认,probe_d3_confirmed,防守-持续下跌,3,5.7727,2.0067,33.3333,0.0,0.0,-10.9499,-6.8966,100.0,100.0,-13.0204,-21.4872,100.0,66.6667,100.0,0.0
资金流回调稳健策略,stable_capital_callback,攻击,13,24.4176,14.7179,53.8462,46.1538,38.4615,3.7108,-2.4419,61.5385,46.1538,-9.9398,-29.2005,69.2308,46.1538,53.8462,100.0
资金流回调稳健策略,stable_capital_callback,谨慎,24,15.5194,16.4433,66.6667,54.1667,33.3333,4.5899,2.9407,37.5,29.1667,-8.963,-29.7185,58.3333,37.5,37.5,75.0
资金流回调稳健策略,stable_capital_callback,防守-修复观察,17,14.2704,8.7093,47.0588,35.2941,23.5294,3.366,-0.1421,52.9412,29.4118,-6.4203,-18.2553,47.0588,29.4118,29.4118,47.0588
资金流回调稳健策略,stable_capital_callback,防守-弱势承压,6,11.229,7.556,50.0,16.6667,16.6667,2.0324,0.7655,50.0,0.0,-6.6582,-17.4087,50.0,33.3333,33.3333,0.0
资金流回调稳健策略,stable_capital_callback,防守-持续下跌,15,5.8247,4.2211,20.0,13.3333,6.6667,-10.5805,-14.3368,80.0,73.3333,-13.6287,-21.9161,80.0,80.0,80.0,0.0
趋势延续策略,trend_continuation_callback,攻击,6,26.9643,14.2943,66.6667,50.0,33.3333,2.3159,-4.5853,83.3333,50.0,-11.1811,-19.9048,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,谨慎,6,26.3915,20.6467,66.6667,66.6667,50.0,5.5638,-0.4671,50.0,50.0,-15.8948,-32.944,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,防守-持续下跌,1,9.6382,9.6382,0.0,0.0,0.0,-0.451,-0.451,100.0,0.0,-4.4514,-4.4514,0.0,0.0,0.0,100.0
