business_source_name,source_id,market_regime,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate
星火机会模型,spark_opportunity_selector,attack,46,22.6181,19.7263,65.2174,58.6957,50.0,6.2654,-0.3528,52.1739,34.7826,-10.4762,-33.2842,67.3913,58.6957,58.6957,100.0
星火机会模型,spark_opportunity_selector,caution,61,23.3133,16.0,65.5738,55.7377,47.541,1.9438,-1.1919,55.7377,44.2623,-12.6077,-43.9855,73.7705,57.377,59.0164,73.7705
星火机会模型,spark_opportunity_selector,defense,80,16.9033,9.8045,48.75,36.25,28.75,1.6869,-3.4058,60.0,43.75,-13.4856,-35.974,85.0,72.5,73.75,50.0
试盘识别-三日确认,probe_d3_confirmed,attack,2,17.716,17.716,50.0,50.0,50.0,7.2492,7.2492,50.0,0.0,-15.4643,-20.355,100.0,100.0,100.0,100.0
试盘识别-三日确认,probe_d3_confirmed,caution,3,13.2268,8.6253,33.3333,33.3333,33.3333,-18.1289,-14.2251,66.6667,66.6667,-21.9758,-40.1617,100.0,66.6667,66.6667,33.3333
试盘识别-三日确认,probe_d3_confirmed,defense,8,6.9329,3.9207,37.5,12.5,0.0,-9.1562,-6.5209,75.0,75.0,-12.538,-39.0408,75.0,37.5,75.0,0.0
资金流回调稳健策略,stable_capital_callback,attack,13,24.4176,14.7179,53.8462,46.1538,38.4615,3.7108,-2.4419,61.5385,46.1538,-9.9398,-29.2005,69.2308,46.1538,53.8462,100.0
资金流回调稳健策略,stable_capital_callback,caution,24,15.5194,16.4433,66.6667,54.1667,33.3333,4.5899,2.9407,37.5,29.1667,-8.963,-29.7185,58.3333,37.5,37.5,75.0
资金流回调稳健策略,stable_capital_callback,defense,38,10.4564,6.806,36.8421,23.6842,15.7895,-2.3498,-2.0885,63.1579,42.1053,-9.3033,-21.9161,60.5263,50.0,50.0,21.0526
趋势延续策略,trend_continuation_callback,attack,6,26.9643,14.2943,66.6667,50.0,33.3333,2.3159,-4.5853,83.3333,50.0,-11.1811,-19.9048,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,caution,6,26.3915,20.6467,66.6667,66.6667,50.0,5.5638,-0.4671,50.0,50.0,-15.8948,-32.944,83.3333,83.3333,83.3333,100.0
趋势延续策略,trend_continuation_callback,defense,1,9.6382,9.6382,0.0,0.0,0.0,-0.451,-0.451,100.0,0.0,-4.4514,-4.4514,0.0,0.0,0.0,100.0
