source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,n,avg_mfe_5d_pct,median_mfe_5d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_5d_pct,median_close_5d_pct,close_loss_rate,close_loss5_rate,avg_mae_5d_pct,worst_mae_5d_pct,stop5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,median_mfe_10d_pct,avg_close_10d_pct,median_close_10d_pct,avg_mae_10d_pct,worst_mae_10d_pct,full10_rate,avg_mfe_22d_pct,median_mfe_22d_pct,avg_close_22d_pct,median_close_22d_pct,avg_mae_22d_pct,worst_mae_22d_pct,full22_rate
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,53.7907,98,8.8123,6.4792,29.5918,17.3469,11.2245,0.2899,-0.504,55.102,31.6327,-7.0817,-26.3636,57.1429,38.7755,41.8367,87.7551,,,,,,,,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,53.7907,86,8.1429,5.8175,36.0465,18.6047,9.3023,-0.7058,-2.123,62.7907,34.8837,-7.208,-21.2944,61.6279,39.5349,43.0233,100.0,,,,,,,,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,53.7907,104,8.5723,6.2595,27.8846,17.3077,9.6154,0.1352,-0.3894,52.8846,31.7308,-6.5899,-24.7261,49.0385,29.8077,37.5,86.5385,,,,,,,,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,53.7907,98,,,40.8163,28.5714,19.3878,,,58.1633,38.7755,,,64.2857,50.0,52.0408,,12.4764,7.899,-0.766,-2.1229,-9.2702,-35.974,74.4898,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,53.7907,86,,,47.6744,31.3953,23.2558,,,61.6279,50.0,,,80.2326,61.6279,66.2791,,12.0979,9.3399,-1.4037,-4.9524,-10.6488,-24.1143,82.5581,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,53.7907,104,,,43.2692,28.8462,17.3077,,,44.2308,30.7692,,,58.6538,37.5,40.3846,,11.9713,8.7172,1.4413,1.2815,-8.5716,-35.8333,80.7692,,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,53.7907,98,,,50.0,39.7959,29.5918,,,60.2041,41.8367,,,72.449,57.1429,58.1633,,,,,,,,,17.4966,9.8209,0.9375,-3.0153,-11.5012,-40.1617,53.0612
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,53.7907,86,,,59.3023,44.186,36.0465,,,67.4419,52.3256,,,86.0465,76.7442,79.0698,,,,,,,,,17.6294,12.4405,-2.0811,-6.2202,-13.3739,-39.7663,66.2791
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,53.7907,104,,,56.7308,49.0385,39.4231,,,46.1538,33.6538,,,63.4615,47.1154,50.0,,,,,,,,,20.4962,14.065,6.0733,1.8798,-10.7161,-43.9855,74.0385
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,53.7907,64,10.4893,6.8125,40.625,25.0,17.1875,0.9188,-0.7849,57.8125,31.25,-7.4709,-26.3636,60.9375,40.625,42.1875,92.1875,,,,,,,,,,,,,,
