metric,metric_label,window,tested_horizons,support_count,avg_mfe_lift,avg_close_lift,avg_pitfall_reduction,business_rank_score
small_med_ret_3d,小盘中位涨跌幅,3,2,2,4.3054,6.5931,27.8011,39.0529
all_up_ratio_3d,全市场上涨占比,3,2,2,4.2014,7.0461,27.2319,38.661
all_med_ret_3d,全市场中位涨跌幅,3,2,2,4.2014,7.0461,27.2319,38.661
small_up_ratio_3d,小盘上涨占比,3,2,2,4.4203,6.6734,27.2708,38.5015
all_up_ratio_5d,全市场上涨占比,5,2,2,4.2923,6.5836,24.7422,35.3723
small_med_ret_5d,小盘中位涨跌幅,5,2,2,2.896,5.4946,25.5943,35.2834
large_up_ratio_3d,大盘上涨占比,3,2,2,3.4144,6.5688,23.7704,33.9762
all_med_ret_5d,全市场中位涨跌幅,5,2,2,3.6989,6.1038,23.7539,33.7021
small_up_ratio_5d,小盘上涨占比,5,2,2,3.3849,5.5553,24.0277,33.5682
large_med_ret_3d,大盘中位涨跌幅,3,2,2,3.6608,6.6594,22.7394,32.8642
small_med_ret_10d,小盘中位涨跌幅,10,2,2,4.5161,5.9457,20.1782,29.5049
large_up_ratio_5d,大盘上涨占比,5,2,2,3.8431,5.6188,14.8491,22.7128
large_med_ret_5d,大盘中位涨跌幅,5,2,2,3.6631,5.5398,13.1042,20.5187
all_med_ret_10d,全市场中位涨跌幅,10,2,2,3.6479,4.3819,11.6162,17.9187
large_med_ret_1d,大盘中位涨跌幅,1,2,2,0.2689,2.5901,12.8557,17.3072
large_up_ratio_10d,大盘上涨占比,10,2,2,4.1108,4.8905,10.4175,16.952
all_med_ret_1d,全市场中位涨跌幅,1,2,1,-0.0115,1.5857,12.8712,16.5526
small_up_ratio_10d,小盘上涨占比,10,2,2,4.1058,4.6952,10.074,16.4019
large_med_ret_10d,大盘中位涨跌幅,10,2,2,4.045,4.9239,9.7937,16.2105
large_up_ratio_1d,大盘上涨占比,1,2,0,-0.1556,1.9202,12.3659,16.1443
all_up_ratio_1d,全市场上涨占比,1,2,0,-0.3725,1.0263,7.9965,10.221
small_med_ret_1d,小盘中位涨跌幅,1,2,1,0.0761,0.629,6.6326,8.4185
small_up_ratio_1d,小盘上涨占比,1,2,1,0.2088,0.2567,6.6326,8.1911
all_up_ratio_10d,全市场上涨占比,10,2,1,3.8844,4.3457,3.396,8.0883
small_med_ret_20d,小盘中位涨跌幅,20,2,1,3.6683,2.3426,1.3918,4.227
all_med_ret_20d,全市场中位涨跌幅,20,2,0,3.2381,0.9614,-6.8998,-6.7972
all_up_ratio_20d,全市场上涨占比,20,2,0,2.5289,-1.0065,-12.3762,-14.9238
large_med_ret_20d,大盘中位涨跌幅,20,2,0,2.9721,-0.7203,-14.2857,-16.9041
small_up_ratio_20d,小盘上涨占比,20,2,0,1.7342,-2.0686,-15.5734,-19.7025
large_up_ratio_20d,大盘上涨占比,20,2,0,2.164,-1.6732,-17.0419,-21.0805
