source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_n,high_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,53.7907,98,104,8.8123,8.5723,-0.24,0.2899,0.1352,-0.1547,41.8367,37.5,4.3367,0,ok
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,53.7907,98,104,12.4764,11.9713,-0.5051,-0.766,1.4413,2.2073,52.0408,40.3846,11.6562,0,ok
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,53.7907,98,104,17.4966,20.4962,2.9996,0.9375,6.0733,5.1358,58.1633,50.0,8.1633,1,ok
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,53.7907,64,67,10.4893,8.5477,-1.9416,0.9188,-1.0393,-1.9581,42.1875,44.7761,-2.5886,0,ok
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,53.7907,64,67,14.8277,11.2122,-3.6155,-0.2382,-0.6844,-0.4462,54.6875,52.2388,2.4487,0,ok
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,53.7907,64,67,21.4398,21.452,0.0122,3.7584,5.8833,2.1249,60.9375,59.7015,1.236,1,ok
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,53.7907,5,5,4.2538,5.8528,1.599,-3.6554,-0.2415,3.4139,60.0,40.0,20.0,1,medium_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,53.7907,5,5,7.0169,6.1835,-0.8334,-7.6848,-1.3337,6.3511,80.0,60.0,20.0,0,medium_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,53.7907,5,5,7.0169,11.0253,4.0084,-18.1332,3.8838,22.017,80.0,60.0,20.0,1,medium_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,53.7907,26,30,5.3624,9.011,3.6486,-0.5537,3.4923,4.046,42.3077,16.6667,25.641,1,ok
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,53.7907,26,30,7.9545,14.1669,6.2124,-0.2177,7.0514,7.2691,42.3077,6.6667,35.641,1,ok
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,53.7907,26,30,10.6009,19.9302,9.3293,-0.8848,7.8336,8.7184,46.1538,23.3333,22.8205,1,ok
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,53.7907,3,2,10.5325,9.6169,-0.9156,0.7619,-9.9325,-10.6944,0.0,100.0,-100.0,0,low_sample
