source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,day_n,candidate_n,avg_candidates_per_day,avg_mfe_5d_pct,avg_close_5d_pct,hit10_rate,hit15_rate,close_loss5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,avg_close_10d_pct,full10_rate,avg_mfe_22d_pct,avg_close_22d_pct,full22_rate
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,54.0396,23,98,4.2609,9.7919,0.4958,35.1242,24.6429,32.9193,41.0352,43.8302,91.3043,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,54.0396,21,94,4.4762,7.7216,-0.2428,32.2619,16.3095,31.3492,34.0476,38.7698,95.2381,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,54.0396,23,96,4.1739,9.1873,0.2969,29.6202,19.2164,32.6939,34.2777,39.8399,95.6522,,,,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,54.0396,23,98,4.2609,,,45.5021,34.6584,40.5331,52.0238,54.0942,,13.7015,-1.0541,82.6087,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,54.0396,21,94,4.4762,,,42.381,27.2222,45.7143,55.2778,59.8016,,11.3154,-1.379,84.127,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,54.0396,23,96,4.1739,,,44.0428,30.5757,35.6378,44.3192,46.4931,,12.4302,-0.1415,91.3043,,,
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,54.0396,23,98,4.2609,,,55.8282,46.5114,42.8261,60.1812,60.8023,,,,,19.1161,1.3622,55.9006
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,54.0396,21,94,4.4762,,,55.5556,41.1905,48.7302,73.373,75.5159,,,,,16.9948,-1.6172,69.8413
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,54.0396,23,96,4.1739,,,55.653,48.9003,38.2322,56.2199,57.5657,,,,,20.8822,4.3471,78.2609
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,54.0396,23,64,2.7826,10.4466,0.4434,41.3044,26.8116,34.058,43.4783,44.9275,91.3043,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,54.0396,21,59,2.8095,7.996,-0.0729,30.9524,15.873,26.9841,33.3333,37.3016,95.2381,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,54.0396,22,64,2.9091,9.0206,-0.8936,30.303,18.1818,37.8788,41.6667,46.2121,95.4545,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,54.0396,23,64,2.7826,,,48.5507,34.058,42.029,55.0725,56.5217,,14.517,-0.8593,82.6087,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,54.0396,21,59,2.8095,,,43.6508,30.1587,43.6508,56.3492,59.5238,,12.0284,-0.6187,84.127,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,54.0396,22,64,2.9091,,,42.4242,31.8182,42.4242,51.5151,54.5455,,11.7255,-0.9665,90.9091,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,54.0396,23,64,2.7826,,,60.1449,48.5507,42.7536,62.3188,62.3188,,,,,20.6844,2.7285,56.5217
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,54.0396,21,59,2.8095,,,56.3492,43.6508,45.2381,73.0159,74.6032,,,,,16.7599,-1.7136,69.8413
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,54.0396,22,64,2.9091,,,56.0606,50.0,41.6667,62.1212,63.6364,,,,,22.1204,5.6496,81.8182
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,54.0396,5,5,1.0,4.2538,-3.6554,0.0,0.0,60.0,40.0,60.0,80.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,54.0396,3,5,1.6667,6.7448,-0.7603,33.3333,0.0,33.3333,50.0,66.6667,66.6667,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,54.0396,3,3,1.0,5.1905,-2.0426,0.0,0.0,33.3333,0.0,33.3333,100.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,54.0396,5,5,1.0,,,20.0,20.0,80.0,60.0,80.0,,7.0169,-7.6848,60.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,54.0396,3,5,1.6667,,,66.6667,33.3333,50.0,50.0,83.3333,,13.185,2.2954,33.3333,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,54.0396,3,3,1.0,,,0.0,0.0,33.3333,66.6667,66.6667,,5.7417,-3.863,100.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,54.0396,5,5,1.0,,,20.0,20.0,80.0,60.0,80.0,,,,,7.0169,-18.1332,0.0
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,54.0396,3,5,1.6667,,,66.6667,33.3333,83.3333,50.0,83.3333,,,,,13.185,-8.5326,33.3333
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,54.0396,3,3,1.0,,,33.3333,33.3333,0.0,66.6667,66.6667,,,,,13.8113,4.8328,66.6667
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,54.0396,9,26,2.8889,4.4946,-1.3261,4.4444,0.0,33.3333,46.2963,51.8518,77.7778,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,5,mid,中水位,29.2216,54.0396,9,22,2.4444,7.4947,-3.9252,37.037,25.9259,48.1481,44.4444,48.1481,88.8889,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,5,high,高水位,29.2216,54.0396,11,27,2.4545,11.6168,6.9042,31.8182,25.7576,13.2576,6.0606,13.2576,90.9091,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,10,low,低水位,29.2216,54.0396,9,26,2.8889,,,18.5185,14.0741,33.3333,50.0,50.0,,6.537,-1.6562,55.5556,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,10,mid,中水位,29.2216,54.0396,9,22,2.4444,,,37.037,25.9259,62.963,64.8148,70.3704,,8.2228,-7.4396,66.6667,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,10,high,高水位,29.2216,54.0396,11,27,2.4545,,,65.5303,31.8182,6.0606,6.0606,6.0606,,18.9777,7.8924,81.8182,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,22,low,低水位,29.2216,54.0396,9,26,2.8889,,,24.0741,16.2963,35.1852,53.7037,53.7037,,,,,8.4182,-2.266,44.4444
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,22,mid,中水位,29.2216,54.0396,9,22,2.4444,,,44.4444,29.6296,64.8148,75.9259,75.9259,,,,,9.7908,-8.7026,44.4444
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,22,high,高水位,29.2216,54.0396,11,27,2.4545,,,78.0303,64.7727,23.4848,20.4545,23.4848,,,,,27.49,11.2992,81.8182
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,5,low,低水位,29.2216,54.0396,3,3,1.0,10.5325,0.7619,33.3333,33.3333,0.0,0.0,0.0,100.0,,,,,,
