metric,metric_label,window,tested_horizons,support_count,avg_mfe_lift,avg_close_lift,avg_pitfall_reduction,business_rank_score
small_med_ret_3d,小盘中位涨跌幅,3,2,2,3.5014,6.3452,31.8826,43.5762
small_up_ratio_3d,小盘上涨占比,3,2,2,3.301,6.1654,30.2522,41.4437
small_med_ret_5d,小盘中位涨跌幅,5,2,2,2.8088,6.0612,29.6776,40.5582
all_up_ratio_5d,全市场上涨占比,5,2,2,3.9696,7.1023,28.5377,40.2093
all_up_ratio_3d,全市场上涨占比,3,2,2,3.4156,6.6372,28.0784,39.1939
all_med_ret_3d,全市场中位涨跌幅,3,2,2,3.4156,6.6372,28.0784,39.1939
all_med_ret_5d,全市场中位涨跌幅,5,2,2,3.8212,7.1148,27.5854,39.0381
small_up_ratio_5d,小盘上涨占比,5,2,2,3.3955,5.995,27.1414,37.6151
large_med_ret_3d,大盘中位涨跌幅,3,2,2,2.8288,6.6822,21.5566,31.2526
large_up_ratio_3d,大盘上涨占比,3,2,2,2.3572,6.029,20.1073,28.9384
large_med_ret_5d,大盘中位涨跌幅,5,2,2,3.2369,5.9871,18.9622,27.7548
large_up_ratio_5d,大盘上涨占比,5,2,2,3.0688,5.8242,17.6682,26.046
all_med_ret_10d,全市场中位涨跌幅,10,2,2,3.8122,5.4996,17.2064,25.4504
all_up_ratio_10d,全市场上涨占比,10,2,2,3.5561,4.8269,16.4817,24.0459
large_med_ret_10d,大盘中位涨跌幅,10,2,2,3.9437,5.564,15.2965,23.2365
small_med_ret_10d,小盘中位涨跌幅,10,2,2,3.7376,4.9498,15.5398,23.047
large_up_ratio_10d,大盘上涨占比,10,2,2,3.7804,5.5722,14.9341,22.7666
small_up_ratio_10d,小盘上涨占比,10,2,2,4.203,3.7207,11.0469,16.9116
all_med_ret_1d,全市场中位涨跌幅,1,2,0,-0.531,1.439,12.8609,16.3077
large_up_ratio_1d,大盘上涨占比,1,2,0,-0.8684,1.5566,11.7843,15.0137
large_med_ret_1d,大盘中位涨跌幅,1,2,0,-0.4684,1.9891,11.2409,14.7643
small_up_ratio_1d,小盘上涨占比,1,2,0,-0.6545,-0.179,7.8972,9.1877
small_med_ret_1d,小盘中位涨跌幅,1,2,0,-0.8008,-0.1583,6.8102,7.8613
all_up_ratio_1d,全市场上涨占比,1,2,0,-0.938,0.3569,5.7957,6.9701
small_med_ret_20d,小盘中位涨跌幅,20,2,1,2.5751,0.5925,2.4289,3.9732
small_up_ratio_20d,小盘上涨占比,20,2,1,2.599,-0.181,-3.5494,-3.7362
all_med_ret_20d,全市场中位涨跌幅,20,2,1,2.6338,0.2811,-4.9624,-5.0996
large_med_ret_20d,大盘中位涨跌幅,20,2,0,3.8579,0.5287,-7.3175,-7.4464
all_up_ratio_20d,全市场上涨占比,20,2,0,2.8918,-0.5964,-8.0421,-9.345
large_up_ratio_20d,大盘上涨占比,20,2,0,3.4225,0.3314,-9.1549,-9.8984
