source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_day_n,high_day_n,low_candidate_n,high_candidate_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,54.0396,23,23,98,96,9.7919,9.1873,-0.6046,0.4958,0.2969,-0.1989,43.8302,39.8399,3.9903,0,directional
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,54.0396,23,23,98,96,13.7015,12.4302,-1.2713,-1.0541,-0.1415,0.9126,54.0942,46.4931,7.6011,0,directional
ALL,全部来源,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,54.0396,23,23,98,96,19.1161,20.8822,1.7661,1.3622,4.3471,2.9849,60.8023,57.5657,3.2366,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,54.0396,23,22,64,64,10.4466,9.0206,-1.426,0.4434,-0.8936,-1.337,44.9275,46.2121,-1.2846,0,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,54.0396,23,22,64,64,14.517,11.7255,-2.7915,-0.8593,-0.9665,-0.1072,56.5217,54.5455,1.9762,0,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,54.0396,23,22,64,64,20.6844,22.1204,1.436,2.7285,5.6496,2.9211,62.3188,63.6364,-1.3176,0,directional
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,54.0396,5,3,5,3,4.2538,5.1905,0.9367,-3.6554,-2.0426,1.6128,60.0,33.3333,26.6667,1,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,54.0396,5,3,5,3,7.0169,5.7417,-1.2752,-7.6848,-3.863,3.8218,80.0,66.6667,13.3333,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,54.0396,5,3,5,3,7.0169,13.8113,6.7944,-18.1332,4.8328,22.966,80.0,66.6667,13.3333,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,54.0396,9,11,26,27,4.4946,11.6168,7.1222,-1.3261,6.9042,8.2303,51.8518,13.2576,38.5942,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,54.0396,9,11,26,27,6.537,18.9777,12.4407,-1.6562,7.8924,9.5486,50.0,6.0606,43.9394,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,54.0396,9,11,26,27,8.4182,27.49,19.0718,-2.266,11.2992,13.5652,53.7037,23.4848,30.2189,1,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,5,29.2216,54.0396,3,1,3,2,10.5325,9.6169,-0.9156,0.7619,-9.9325,-10.6944,0.0,100.0,-100.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,10,29.2216,54.0396,3,1,3,2,10.6039,18.9367,8.3328,-5.248,-4.5635,0.6845,33.3333,100.0,-66.6667,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_1d,全市场上涨占比,1,22,29.2216,54.0396,3,1,3,2,10.6039,20.6467,10.0428,-11.666,-8.4916,3.1744,66.6667,100.0,-33.3333,0,low_sample
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,23,23,94,110,8.4402,11.2734,2.8332,-2.7822,3.2019,5.9841,54.529,27.2312,27.2978,1,directional
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,23,23,94,110,11.0723,15.0703,3.998,-4.9879,2.3023,7.2902,68.2971,39.4382,28.8589,1,directional
ALL,全部来源,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,23,23,94,110,16.5422,23.0666,6.5244,-0.7619,4.2527,5.0146,71.9203,57.2189,14.7014,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,23,23,63,67,8.4549,11.7377,3.2828,-2.6875,2.767,5.4545,53.6232,28.2609,25.3623,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,23,23,63,67,11.2547,14.92,3.6653,-4.5863,1.8074,6.3937,68.1159,42.029,26.0869,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,23,23,63,67,16.8764,23.5973,6.7209,0.0612,5.5069,5.4457,71.7391,56.5217,15.2174,1,directional
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,4,3,6,3,4.6603,6.065,1.4047,-6.1496,-1.6332,4.5164,75.0,33.3333,41.6667,1,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,4,3,6,3,4.6603,6.6161,1.9558,-10.4657,-6.3414,4.1243,87.5,100.0,-12.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,4,3,6,3,4.6603,14.6858,10.0255,-13.7438,-8.5544,5.1894,87.5,100.0,-12.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,8,13,24,35,6.3345,10.4269,4.0924,-3.6236,5.7234,9.347,54.1667,18.9103,35.2564,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,8,13,24,35,7.0886,17.5175,10.4289,-6.1403,6.3983,12.5386,62.5,25.641,36.859,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,8,13,24,35,7.336,25.2734,17.9374,-6.3803,8.4381,14.8184,62.5,39.1026,23.3974,1,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,1,4,1,5,9.6382,10.0983,0.4601,1.1276,-0.8829,-2.0105,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,1,4,1,5,9.6382,18.7309,9.0927,-0.3334,7.3014,7.6348,0.0,25.0,-25.0,0,low_sample
