month,days,avg_water_score,avg_all_up_ratio_5d,avg_all_med_ret_5d,avg_small_up_ratio_5d,defense_day_rate,attack_day_rate
2024-09,19,49.3369,41.9925,2.3245,42.5694,52.6316,31.5789
2024-10,18,69.3536,66.298,3.0581,69.6276,16.6667,72.2222
2024-11,21,53.5002,51.0118,0.1845,56.1692,23.8095,42.8571
2024-12,22,47.3144,47.8322,-0.5456,45.8973,45.4545,36.3636
2025-01,18,41.1337,41.9716,-1.2941,43.2034,33.3333,33.3333
2025-02,18,59.2307,57.8465,0.8745,60.0958,5.5556,50.0
2025-03,21,49.3469,49.2419,-0.1961,49.1102,23.8095,42.8571
2025-04,21,44.4613,46.4607,-1.3184,47.9571,33.3333,47.619
2025-05,19,57.6651,55.9535,0.7058,61.7355,15.7895,57.8947
2025-06,20,51.4593,51.459,0.1047,52.2165,25.0,45.0
2025-07,23,59.6135,60.6091,0.7267,60.0888,4.3478,65.2174
2025-08,21,57.2297,58.0427,0.5545,55.4002,19.0476,57.1429
2025-09,22,42.8148,42.1646,-0.885,40.4174,36.3636,27.2727
2025-10,17,53.7453,54.1871,0.3546,55.9245,5.8824,47.0588
2025-11,20,46.7068,45.2321,-0.7081,51.1687,35.0,45.0
2025-12,23,49.098,50.3035,-0.094,46.2287,21.7391,39.1304
2026-01,20,60.3869,60.1467,0.8855,60.2705,5.0,65.0
2026-02,15,51.9104,52.1232,0.1367,53.9844,13.3333,33.3333
2026-03,22,34.9472,36.1873,-2.0909,34.8364,54.5455,22.7273
2026-04,21,51.9828,51.5704,0.1642,49.076,9.5238,38.0952
2026-05,18,38.4544,38.1755,-1.6289,33.8006,55.5556,22.2222
2026-06,8,23.2078,25.7493,-3.4209,20.1659,75.0,0.0
