business_source_name,source_id,rank_bucket,market_regime,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate
星火机会模型,spark_opportunity_selector,top1,attack,15,23.3393,26.6205,73.3333,73.3333,60.0,9.5705,5.9524,46.6667,26.6667,-8.0181,-18.8387,53.3333,53.3333,53.3333,100.0
星火机会模型,spark_opportunity_selector,top1,caution,21,23.2956,20.1329,66.6667,61.9048,52.381,-4.7034,-4.8305,61.9048,47.619,-16.2182,-43.9855,76.1905,57.1429,57.1429,76.1905
星火机会模型,spark_opportunity_selector,top1,defense,27,13.5421,8.767,40.7407,33.3333,22.2222,-0.2724,-4.5322,62.963,44.4444,-12.4867,-30.6991,77.7778,62.963,62.963,51.8519
星火机会模型,spark_opportunity_selector,top3,attack,31,22.2691,15.0538,61.2903,51.6129,45.1613,4.6661,-2.0625,54.8387,38.7097,-11.6657,-33.2842,74.1935,61.2903,61.2903,100.0
星火机会模型,spark_opportunity_selector,top3,caution,40,23.3225,15.3767,65.0,52.5,45.0,5.4335,-0.8481,52.5,42.5,-10.7122,-35.8333,72.5,57.5,60.0,72.5
星火机会模型,spark_opportunity_selector,top3,defense,53,18.6157,10.4858,52.8302,37.7358,32.0755,2.685,-3.194,58.4906,43.3962,-13.9944,-35.974,88.6792,77.3585,79.2453,49.0566
试盘识别-三日确认,probe_d3_confirmed,top1,attack,2,17.716,17.716,50.0,50.0,50.0,7.2492,7.2492,50.0,0.0,-15.4643,-20.355,100.0,100.0,100.0,100.0
试盘识别-三日确认,probe_d3_confirmed,top1,caution,3,13.2268,8.6253,33.3333,33.3333,33.3333,-18.1289,-14.2251,66.6667,66.6667,-21.9758,-40.1617,100.0,66.6667,66.6667,33.3333
试盘识别-三日确认,probe_d3_confirmed,top1,defense,6,6.4251,3.6737,33.3333,16.6667,0.0,-10.0346,-6.0428,66.6667,66.6667,-14.278,-39.0408,66.6667,50.0,66.6667,0.0
试盘识别-三日确认,probe_d3_confirmed,top3,defense,2,8.4563,8.4563,50.0,0.0,0.0,-6.5209,-6.5209,100.0,100.0,-7.318,-7.7395,100.0,0.0,100.0,0.0
资金流回调稳健策略,stable_capital_callback,other,caution,3,16.0966,17.249,100.0,66.6667,0.0,0.067,2.3934,33.3333,33.3333,-6.1037,-14.6245,33.3333,33.3333,33.3333,100.0
资金流回调稳健策略,stable_capital_callback,top1,attack,8,28.6696,16.6069,62.5,50.0,37.5,3.3918,-2.1075,62.5,37.5,-10.8213,-29.2005,62.5,50.0,50.0,100.0
资金流回调稳健策略,stable_capital_callback,top1,caution,8,16.1222,14.4584,50.0,50.0,50.0,4.7104,2.7886,37.5,37.5,-10.0608,-25.261,75.0,37.5,37.5,75.0
资金流回调稳健策略,stable_capital_callback,top1,defense,13,9.7305,8.4259,46.1538,23.0769,15.3846,-1.8214,-0.7509,53.8462,38.4615,-9.4077,-19.5366,61.5385,53.8462,53.8462,23.0769
资金流回调稳健策略,stable_capital_callback,top3,attack,5,17.6145,4.5855,40.0,40.0,40.0,4.2212,-5.2047,60.0,60.0,-8.5295,-17.5966,80.0,40.0,60.0,100.0
资金流回调稳健策略,stable_capital_callback,top3,caution,11,15.1088,16.2765,72.7273,54.5455,27.2727,5.5605,10.6154,36.3636,18.1818,-9.3459,-29.7185,54.5455,36.3636,36.3636,63.6364
资金流回调稳健策略,stable_capital_callback,top3,defense,23,7.6437,5.9574,26.087,17.3913,8.6957,-5.9327,-4.2068,73.913,47.8261,-9.8139,-21.9161,65.2174,52.1739,52.1739,13.0435
资金流回调稳健策略,stable_capital_callback,top5,caution,2,14.5011,14.5011,50.0,50.0,50.0,5.5534,5.5534,50.0,50.0,-6.7545,-12.2325,50.0,50.0,50.0,100.0
资金流回调稳健策略,stable_capital_callback,top5,defense,2,47.5204,47.5204,100.0,100.0,100.0,35.42,35.42,0.0,0.0,-2.7523,-4.0091,0.0,0.0,0.0,100.0
趋势延续策略,trend_continuation_callback,top1,attack,5,29.9464,16.5347,60.0,60.0,40.0,6.6332,-3.6269,80.0,40.0,-9.4363,-13.6461,80.0,80.0,80.0,100.0
趋势延续策略,trend_continuation_callback,top1,caution,5,28.0785,23.3371,60.0,60.0,60.0,12.3505,11.3867,40.0,40.0,-12.4849,-30.1927,80.0,80.0,80.0,100.0
趋势延续策略,trend_continuation_callback,top1,defense,1,9.6382,9.6382,0.0,0.0,0.0,-0.451,-0.451,100.0,0.0,-4.4514,-4.4514,0.0,0.0,0.0,100.0
趋势延续策略,trend_continuation_callback,top3,attack,1,12.0539,12.0539,100.0,0.0,0.0,-19.2704,-19.2704,100.0,100.0,-19.9048,-19.9048,100.0,100.0,100.0,100.0
趋势延续策略,trend_continuation_callback,top3,caution,1,17.9562,17.9562,100.0,100.0,0.0,-28.3698,-28.3698,100.0,100.0,-32.944,-32.944,100.0,100.0,100.0,100.0
