source_id,business_source_name,trade_date,candidate_n,market_regime,market_detail,market_detail_label,water_score,all_up_ratio_1d,all_up_ratio_3d,all_up_ratio_5d,all_up_ratio_10d,all_up_ratio_20d,all_med_ret_1d,all_med_ret_3d,all_med_ret_5d,all_med_ret_10d,all_med_ret_20d,small_up_ratio_1d,small_up_ratio_3d,small_up_ratio_5d,small_up_ratio_10d,small_up_ratio_20d,small_med_ret_1d,small_med_ret_3d,small_med_ret_5d,small_med_ret_10d,small_med_ret_20d,large_up_ratio_1d,large_up_ratio_3d,large_up_ratio_5d,large_up_ratio_10d,large_up_ratio_20d,large_med_ret_1d,large_med_ret_3d,large_med_ret_5d,large_med_ret_10d,large_med_ret_20d,avg_mfe_5d_pct,hit10_rate_5d,hit15_rate_5d,avg_close_5d_pct,close_loss5_rate_5d,stop8_rate_5d,pitfall_rate_5d,full_rate_5d,avg_mfe_10d_pct,hit10_rate_10d,hit15_rate_10d,avg_close_10d_pct,close_loss5_rate_10d,stop8_rate_10d,pitfall_rate_10d,full_rate_10d,avg_mfe_22d_pct,hit10_rate_22d,hit15_rate_22d,avg_close_22d_pct,close_loss5_rate_22d,stop8_rate_22d,pitfall_rate_22d,full_rate_22d
spark_opportunity_selector,星火机会模型,2026-03-02,2,caution,caution,谨慎,44.3198,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,8.3807,50.0,50.0,1.4908,0.0,50.0,50.0,100.0,11.5815,50.0,50.0,4.6984,0.0,50.0,50.0,100.0,13.9572,50.0,50.0,2.0859,0.0,50.0,50.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-03,3,defense,defense_active_decline,防守-持续下跌,25.9476,12.8141,20.6344,28.706,32.7889,34.486,-2.8916,-4.2553,-3.4497,-3.4237,-3.1111,9.6088,11.9898,17.0068,20.6633,25.8944,-2.7975,-5.2231,-4.998,-5.4313,-4.475,18.5083,34.9448,45.8564,49.3094,46.6113,-2.5505,-1.583,-0.5749,-0.1622,-0.6165,9.4955,66.6667,0.0,2.8948,0.0,0.0,0.0,100.0,17.743,100.0,33.3333,4.8059,0.0,0.0,0.0,100.0,17.743,100.0,33.3333,0.0259,33.3333,33.3333,33.3333,100.0
spark_opportunity_selector,星火机会模型,2026-03-04,2,defense,defense_active_decline,防守-持续下跌,17.5298,29.325,13.4066,20.9105,29.5447,32.4953,-0.8318,-5.5346,-5.2209,-4.4271,-3.7044,28.4014,6.8027,12.2449,19.0476,28.0239,-0.7143,-6.2306,-6.2561,-5.7234,-4.1559,29.558,23.7569,33.9779,43.5083,39.834,-0.9105,-3.5778,-2.9662,-1.283,-2.1127,6.9973,50.0,0.0,-0.8593,0.0,50.0,50.0,100.0,10.2305,50.0,0.0,-1.9657,0.0,50.0,50.0,100.0,12.1529,100.0,0.0,-2.866,50.0,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-05,2,defense,defense_active_decline,防守-持续下跌,21.5986,72.5589,16.7661,21.7582,34.2857,37.5432,0.8811,-2.5992,-4.0385,-2.6521,-2.6076,78.2313,14.1156,13.8605,25.4252,34.9233,1.0924,-2.3599,-4.782,-3.4018,-2.9512,64.9171,21.547,34.9448,45.442,42.6796,0.5163,-2.9478,-2.3147,-0.6331,-1.6426,7.3955,0.0,0.0,-2.1591,0.0,50.0,50.0,100.0,7.3955,0.0,0.0,-12.8377,100.0,100.0,100.0,100.0,7.3955,0.0,0.0,-9.6087,100.0,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-06,3,defense,defense_repair,防守-修复观察,28.0651,79.4035,72.4647,24.9608,48.3516,46.4656,1.4409,1.7711,-2.8752,-0.224,-0.5507,89.7959,85.5442,20.4082,44.1327,45.8262,2.1939,2.7185,-2.9115,-0.6034,-0.5873,65.0552,53.0387,34.116,54.8343,51.2431,0.6202,0.2387,-2.3039,1.0724,0.2716,4.7882,0.0,0.0,-8.1313,66.6667,66.6667,66.6667,100.0,4.7882,0.0,0.0,-13.0847,100.0,66.6667,100.0,100.0,5.4518,0.0,0.0,-7.3579,33.3333,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-09,3,caution,caution,谨慎,33.4007,25.6587,71.8319,30.3011,36.606,53.3584,-0.9411,1.6131,-1.8633,-2.6695,0.6813,21.3254,82.8377,35.9388,30.2464,51.3191,-0.9494,2.4976,-0.9752,-3.0624,0.2457,28.5517,55.7241,27.0345,43.8621,59.3103,-1.0549,0.463,-2.8526,-1.4607,2.2871,16.3516,66.6667,66.6667,10.0963,33.3333,0.0,33.3333,100.0,16.3516,66.6667,66.6667,-0.2465,66.6667,66.6667,66.6667,100.0,26.1465,100.0,66.6667,5.9674,33.3333,66.6667,66.6667,100.0
spark_opportunity_selector,星火机会模型,2026-03-10,3,attack,attack,攻击,68.905,78.2172,75.769,70.6529,40.0188,52.7786,1.1753,1.7604,2.0979,-1.2012,0.6154,82.9227,86.8309,85.3016,34.6644,53.4864,1.4574,2.7293,3.2491,-1.4085,0.6467,74.2069,60.0,52.2759,47.1724,55.8621,0.9956,0.6539,0.2831,-0.3322,1.2179,9.8908,33.3333,0.0,-8.3934,66.6667,66.6667,66.6667,100.0,9.8908,33.3333,0.0,-13.1291,100.0,100.0,100.0,100.0,15.4826,33.3333,33.3333,0.3696,33.3333,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-11,2,attack,attack,攻击,72.7408,42.4271,52.5243,79.5547,35.2148,47.1142,-0.1969,0.1671,2.8047,-2.1515,-0.5434,28.3772,49.0229,86.0663,29.2268,43.5374,-0.5705,0.0,3.5417,-2.5926,-1.0292,56.3361,55.3719,71.4876,44.4904,53.4435,0.307,0.3804,1.7744,-0.9545,1.1319,7.2006,0.0,0.0,-5.5255,50.0,50.0,50.0,100.0,7.2006,0.0,0.0,-6.6182,50.0,100.0,100.0,100.0,15.1759,50.0,50.0,6.3224,0.0,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-12,3,attack,attack,攻击,59.5478,33.3647,58.0746,64.0953,33.7096,47.1769,-0.7426,0.5362,1.3928,-2.6288,-0.5448,21.1555,46.8139,65.7604,25.4885,39.881,-1.1041,0.0,1.4085,-3.1593,-1.776,42.8375,69.0083,59.7796,44.3526,55.5096,-0.2807,1.3702,1.0191,-1.418,1.6226,1.3296,0.0,0.0,-8.3646,100.0,100.0,100.0,100.0,1.3296,0.0,0.0,-10.5903,100.0,100.0,100.0,100.0,6.3296,33.3333,33.3333,-10.1254,66.6667,100.0,100.0,100.0
spark_opportunity_selector,星火机会模型,2026-03-13,2,caution,caution,谨慎,37.6238,30.3011,33.5634,38.8959,27.8231,44.8384,-0.6655,-1.312,-0.8456,-3.4239,-1.0352,34.4095,22.0901,31.2659,20.9006,36.4796,-0.3781,-1.8321,-1.2048,-3.7157,-2.2523,27.2727,43.9394,44.2149,37.0523,54.5455,-0.9316,-0.4654,-0.4537,-2.787,1.2456,3.6086,0.0,0.0,-12.9402,100.0,100.0,100.0,100.0,3.6086,0.0,0.0,-10.1785,100.0,100.0,100.0,100.0,6.6369,0.0,0.0,-8.7051,100.0,100.0,100.0,100.0
