profile,policy,trade_count,avg_trade_return_pct,median_trade_return_pct,win_rate,hit2_rate,hit3_rate,loss3_rate,avg_intraday_mfe_pct
stable,day2_tp2_sl4,62,-0.6241,0.0447,0.5,0.1613,0.129,0.3387,2.3992
stable,day2_tp3_sl5,62,-0.6107,-0.2964,0.4839,0.3387,0.129,0.3226,2.3992
stable,day2_tp4_sl5,62,-0.5635,-0.2964,0.4839,0.2903,0.2581,0.3226,2.3992
stable,day2_tp5_sl6,62,-0.5202,-0.5029,0.4677,0.2581,0.2097,0.3226,2.3992
stable,day2_close_only,62,-0.2552,-0.2964,0.4839,0.2742,0.1935,0.3065,2.3992
offensive,day2_tp2_sl4,63,-0.181,1.4913,0.6032,0.2063,0.1587,0.3175,3.3646
offensive,day2_tp3_sl5,63,-0.0319,2.4863,0.6032,0.5079,0.1587,0.2857,3.3646
offensive,day2_tp4_sl5,63,0.0844,0.7742,0.5714,0.4444,0.4127,0.2857,3.3646
offensive,day2_tp5_sl6,63,0.1595,0.5346,0.5556,0.4127,0.3492,0.2698,3.3646
offensive,day2_close_only,63,0.4092,0.527,0.5397,0.381,0.3016,0.2857,3.3646
