variant_id,model_id,description,target_mode,feature_mode,model_kind,loss,feature_count,train_rows,internal_rows,final_rows,internal_2025_top1_days,internal_2025_top1_picks,internal_2025_top1_avg_mfe_22d_pct,internal_2025_top1_median_mfe_22d_pct,internal_2025_top1_p75_mfe_22d_pct,internal_2025_top1_hit15_rate,internal_2025_top1_hit20_rate,internal_2025_top1_hit30_rate,internal_2025_top1_hit40_rate,internal_2025_top1_daily_top1pct_rate,internal_2025_top1_daily_top3pct_rate,internal_2025_top1_avg_buyability_score,internal_2025_top1_avg_risk_penalty,internal_2025_top3_pick_days,internal_2025_top3_pick_picks,internal_2025_top3_pick_avg_mfe_22d_pct,internal_2025_top3_pick_median_mfe_22d_pct,internal_2025_top3_pick_p75_mfe_22d_pct,internal_2025_top3_pick_hit15_rate,internal_2025_top3_pick_hit20_rate,internal_2025_top3_pick_hit30_rate,internal_2025_top3_pick_hit40_rate,internal_2025_top3_pick_daily_top1pct_rate,internal_2025_top3_pick_daily_top3pct_rate,internal_2025_top3_pick_avg_buyability_score,internal_2025_top3_pick_avg_risk_penalty,internal_2025_top3_any_hit20_rate,internal_2025_top3_any_hit30_rate,internal_2025_top3_any_hit40_rate,internal_2025_top3_daily_best_avg_mfe_22d_pct,internal_2025_top3_daily_best_median_mfe_22d_pct,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_avg_mfe_22d_pct,final_2026_top1_median_mfe_22d_pct,final_2026_top1_p75_mfe_22d_pct,final_2026_top1_hit15_rate,final_2026_top1_hit20_rate,final_2026_top1_hit30_rate,final_2026_top1_hit40_rate,final_2026_top1_daily_top1pct_rate,final_2026_top1_daily_top3pct_rate,final_2026_top1_avg_buyability_score,final_2026_top1_avg_risk_penalty,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_avg_mfe_22d_pct,final_2026_top3_pick_median_mfe_22d_pct,final_2026_top3_pick_p75_mfe_22d_pct,final_2026_top3_pick_hit15_rate,final_2026_top3_pick_hit20_rate,final_2026_top3_pick_hit30_rate,final_2026_top3_pick_hit40_rate,final_2026_top3_pick_daily_top1pct_rate,final_2026_top3_pick_daily_top3pct_rate,final_2026_top3_pick_avg_buyability_score,final_2026_top3_pick_avg_risk_penalty,final_2026_top3_any_hit20_rate,final_2026_top3_any_hit30_rate,final_2026_top3_any_hit40_rate,final_2026_top3_daily_best_avg_mfe_22d_pct,final_2026_top3_daily_best_median_mfe_22d_pct,selector_score,selector_month_score_min,selector_month_score_median,selector_month_score_mean,selector_month_score_std
pure_001_rank_full,pure_001_rank_full,每日全市场相对冲高排序，全量特征,rank_score_reg,full,regressor,squared_error,147,537683,129751,148200,60,60,48.6816,45.9735,56.759,0.8833,0.85,0.6833,0.6167,0.0667,0.15,88.42,8.6647,60,180,43.9162,36.0526,53.0848,0.7667,0.7278,0.5611,0.4556,0.0556,0.1333,86.8385,8.1849,0.9833,0.9167,0.8833,74.4217,59.41,64,64,24.6967,19.9347,33.7048,0.5781,0.5,0.2812,0.2031,0.0156,0.1562,89.3913,2.7911,64,192,20.017,13.7925,25.1144,0.4896,0.3854,0.1771,0.1406,0.0208,0.099,88.8078,2.2328,0.75,0.4219,0.3438,35.7604,27.6274,132.3273,92.3472,116.7081,110.6892,13.2227
pure_005_raw_full,pure_005_raw_full,直接预测 22 日最大冲高，全量特征,raw_mfe_reg,full,regressor,squared_error,147,537683,129751,148200,60,60,55.1168,43.8003,74.4696,0.8833,0.8167,0.6333,0.5667,0.0667,0.2167,85.8221,6.329,60,180,55.2681,43.2913,74.4696,0.85,0.8,0.6333,0.5611,0.0722,0.2056,86.1697,5.1182,0.9833,0.8833,0.8667,88.334,72.2792,64,64,23.5806,14.0247,33.6398,0.4531,0.3594,0.2656,0.2344,0.0781,0.2031,91.8414,1.4697,64,192,19.4612,13.5131,24.0648,0.4583,0.3385,0.1719,0.125,0.0365,0.099,89.2686,1.3921,0.7031,0.4531,0.3281,35.8309,27.6705,115.6761,82.4035,102.2631,118.0322,37.2371
pure_002_tail_rank_full,pure_002_tail_rank_full,每日排序叠加大涨尾部强化，全量特征,tail_rank_reg,full,regressor,squared_error,147,537683,129751,148200,60,60,43.4292,36.606,52.7065,0.8167,0.7667,0.5333,0.4833,0.05,0.1333,88.5313,7.2545,60,180,43.054,34.4265,52.5474,0.8,0.7278,0.5333,0.4444,0.05,0.1167,87.0712,7.5525,0.9667,0.8833,0.8333,70.9739,53.3495,64,64,19.5156,13.9228,23.7894,0.4844,0.375,0.1875,0.1562,0.0156,0.125,88.828,2.2574,64,192,18.9021,12.9676,23.598,0.4635,0.349,0.1771,0.1354,0.0156,0.1042,88.3536,2.2553,0.75,0.4219,0.3438,34.2272,27.6274,113.0302,83.9996,94.0333,94.2269,8.4307
pure_006_tail_full,pure_006_tail_full,尾部加权预测 22 日最大冲高，全量特征,tail_mfe_reg,full,regressor,squared_error,147,537683,129751,148200,60,60,40.9387,36.606,52.9104,0.7667,0.7167,0.5333,0.4667,0.0167,0.1,87.0648,6.6572,60,180,41.4428,34.1007,52.4388,0.7944,0.7222,0.5333,0.4278,0.0222,0.1111,86.7453,6.8736,0.9333,0.8667,0.8,69.0058,57.7394,64,64,19.7362,15.4752,27.3648,0.5156,0.3906,0.1875,0.1094,0.0156,0.0938,88.0822,2.326,64,192,17.9641,13.2435,23.7146,0.4583,0.349,0.151,0.0885,0.0104,0.0729,88.5074,2.0713,0.75,0.3594,0.2344,32.1175,25.5109,110.6454,80.706,93.3366,92.4374,9.2335
pure_003_top3pct_full,pure_003_top3pct_full,预测每日冲高前 3% 概率，全量特征,top3pct_prob,full,classifier,log_loss,147,537683,129751,148200,60,60,54.0397,33.5626,68.1758,0.85,0.7833,0.5667,0.4167,0.1,0.2333,84.6919,3.8192,60,180,47.4195,31.7845,62.2541,0.7778,0.7,0.5167,0.3722,0.0722,0.1889,84.9891,4.8636,0.9667,0.9167,0.8,89.1513,77.6435,64,64,20.6966,10.1374,24.8207,0.3594,0.3125,0.2031,0.125,0.0781,0.125,84.767,1.3478,64,192,18.4118,10.0045,22.181,0.3438,0.2708,0.151,0.0885,0.0521,0.0677,86.2824,1.3294,0.6406,0.4219,0.25,38.3202,27.1121,110.486,84.2478,96.1669,113.7582,33.6595
pure_004_top5pct_full,pure_004_top5pct_full,预测每日冲高前 5% 概率，全量特征,top5pct_prob,full,classifier,log_loss,147,537683,129751,148200,60,60,44.9695,28.8358,61.3176,0.8333,0.7,0.4833,0.4167,0.0333,0.1,84.3339,3.4523,60,180,42.3935,29.0909,59.4797,0.8111,0.7,0.4889,0.3722,0.0333,0.1389,85.0541,3.8816,0.9333,0.8,0.7,72.0568,67.4179,64,64,15.2494,12.3256,23.5255,0.4219,0.2812,0.1406,0.0938,0.0,0.0781,88.3529,1.9813,64,192,16.4912,10.6509,24.1586,0.3854,0.3021,0.1562,0.0885,0.0156,0.0729,88.5087,2.1384,0.7031,0.4219,0.25,31.6329,28.6147,107.498,79.6612,95.7902,91.7794,8.7305
pure_020_rank_heat,pure_020_rank_heat,每日相对排序，热点特征,rank_score_reg,heat,regressor,squared_error,10,537683,129751,148200,60,60,43.7071,42.1536,69.4873,0.6667,0.6167,0.5333,0.5,0.0,0.15,86.6825,4.3849,60,180,36.8454,28.8396,51.6485,0.7,0.6111,0.4833,0.4056,0.0,0.0833,84.8187,4.4463,0.9,0.7667,0.7,59.5571,52.2429,64,64,15.2628,9.3196,19.3239,0.3594,0.2344,0.0938,0.0781,0.0312,0.0781,89.393,1.4138,64,192,16.7802,9.3478,20.9136,0.3646,0.2812,0.1198,0.0885,0.0312,0.0781,88.3506,1.3964,0.5,0.2656,0.1719,27.3863,19.7528,107.0071,67.4771,103.561,96.1439,21.0424
pure_007_quantile_full,pure_007_quantile_full,偏乐观预测 22 日冲高，全量特征,raw_mfe_reg,full,regressor,quantile80,147,537683,129751,148200,60,60,53.6503,33.8629,74.4696,0.8667,0.75,0.5667,0.45,0.0667,0.2,84.4137,4.0844,60,180,49.2892,34.1007,64.7055,0.8222,0.7222,0.5556,0.4556,0.0556,0.1722,85.2234,4.7319,0.95,0.85,0.7333,80.9251,59.6924,64,64,16.3975,10.2516,20.6457,0.4062,0.2656,0.0938,0.0469,0.0312,0.0469,88.6735,1.2443,64,192,15.3207,9.7826,19.9467,0.3594,0.25,0.1042,0.0677,0.026,0.0573,88.5905,1.3995,0.5781,0.2812,0.2031,29.5395,22.6095,101.1716,68.3162,99.5584,115.6137,46.5775
pure_009_hit30_full,pure_009_hit30_full,预测 22 日冲高 30% 概率，全量特征,hit30_prob,full,classifier,log_loss,147,537683,129751,148200,60,60,38.219,32.8074,47.0543,0.8,0.7333,0.55,0.4167,0.0333,0.0833,87.8864,5.8103,60,180,36.0486,29.7035,47.413,0.8,0.7,0.4833,0.3444,0.0167,0.0556,87.1883,5.9922,0.9667,0.7833,0.6667,57.9445,51.0621,64,64,20.4795,14.0578,26.3311,0.4531,0.3438,0.1875,0.0938,0.0469,0.0781,85.8699,2.6326,64,192,19.3036,12.3792,25.7091,0.4115,0.349,0.1823,0.1094,0.0365,0.0729,87.6391,2.4151,0.6406,0.4219,0.2812,34.8195,26.9842,99.3686,64.0452,95.667,91.0387,20.4146
pure_010_hit40_full,pure_010_hit40_full,预测 22 日冲高 40% 概率，全量特征,hit40_prob,full,classifier,log_loss,147,537683,129751,148200,60,60,32.719,30.2945,46.0029,0.8,0.7167,0.5,0.3333,0.0,0.0167,84.0765,8.6249,60,180,36.8135,31.6089,48.3048,0.7833,0.6889,0.5222,0.3944,0.0222,0.0667,86.414,7.6541,0.9667,0.8667,0.7333,59.475,52.539,64,64,19.6341,10.2883,29.6203,0.4062,0.3281,0.25,0.125,0.0312,0.0938,89.0422,2.3216,64,192,18.7214,10.8989,27.1183,0.4115,0.349,0.2135,0.1198,0.026,0.0833,88.8885,2.8165,0.625,0.4688,0.2812,31.6713,28.6039,87.9789,58.0291,79.923,83.3265,22.1757
