variant_id,period,month,top1_days,top1_picks,top1_avg_mfe_22d_pct,top1_median_mfe_22d_pct,top1_p75_mfe_22d_pct,top1_hit15_rate,top1_hit20_rate,top1_hit30_rate,top1_hit40_rate,top1_daily_top1pct_rate,top1_daily_top3pct_rate,top1_avg_buyability_score,top1_avg_risk_penalty,top3_pick_days,top3_pick_picks,top3_pick_avg_mfe_22d_pct,top3_pick_median_mfe_22d_pct,top3_pick_p75_mfe_22d_pct,top3_pick_hit15_rate,top3_pick_hit20_rate,top3_pick_hit30_rate,top3_pick_hit40_rate,top3_pick_daily_top1pct_rate,top3_pick_daily_top3pct_rate,top3_pick_avg_buyability_score,top3_pick_avg_risk_penalty,top3_any_hit20_rate,top3_any_hit30_rate,top3_any_hit40_rate,top3_daily_best_avg_mfe_22d_pct,top3_daily_best_median_mfe_22d_pct,month_selector_score
pure_001_rank_full,internal_2025,2025-10,17,17,54.0926,48.8414,77.5779,0.8824,0.8824,0.8235,0.6471,0.0,0.1176,86.4244,12.4459,17,51,50.4221,47.3684,78.1481,0.8235,0.7843,0.7059,0.5686,0.0,0.1176,86.017,9.8298,1.0,1.0,0.9412,81.6147,78.7184,123.0124
pure_001_rank_full,internal_2025,2025-11,20,20,40.7053,35.4264,47.4584,0.95,0.85,0.5,0.5,0.05,0.1,88.4729,7.8331,20,60,38.7787,25.5929,47.6586,0.7,0.65,0.4167,0.3833,0.0333,0.1333,85.8796,8.5953,0.95,0.8,0.8,68.9181,52.272,92.3472
pure_001_rank_full,internal_2025,2025-12,23,23,51.618,48.6077,59.41,0.8261,0.8261,0.7391,0.6957,0.1304,0.2174,89.8489,6.5931,23,69,43.5748,36.624,52.0619,0.7826,0.7536,0.5797,0.4348,0.1159,0.1449,88.2795,6.6122,1.0,0.9565,0.913,73.8908,59.1534,116.7081
pure_001_rank_full,final_2026,2026-01,20,20,24.6612,17.213,24.2748,0.55,0.45,0.15,0.1,0.05,0.1,86.5863,0.7111,20,60,19.1669,13.7941,22.8786,0.4833,0.35,0.0833,0.0667,0.05,0.0667,87.3053,0.9488,0.6,0.25,0.2,35.8124,23.3939,46.7071
pure_001_rank_full,final_2026,2026-02,14,14,19.4544,18.5726,29.0754,0.6429,0.4286,0.2143,0.0714,0.0,0.0,87.3193,3.8774,14,42,19.0653,19.2429,26.3654,0.5952,0.4286,0.1667,0.0952,0.0,0.0476,88.4514,1.9519,0.8571,0.4286,0.2143,31.0773,28.3081,44.9561
pure_001_rank_full,final_2026,2026-03,22,22,30.8607,29.6367,49.9309,0.6364,0.6364,0.5,0.4091,0.0,0.3636,92.8821,1.0768,22,66,20.5563,11.4376,30.7529,0.4091,0.3485,0.2576,0.2121,0.0152,0.1818,90.8341,1.3358,0.7273,0.5909,0.5455,38.1533,41.5343,74.3796
pure_001_rank_full,final_2026,2026-04,8,8,17.0085,12.381,23.8047,0.375,0.375,0.125,0.125,0.0,0.0,90.4302,10.8043,8,24,22.3246,18.4452,28.0883,0.5417,0.5,0.2083,0.2083,0.0,0.0417,87.6155,8.4013,1.0,0.375,0.375,37.2453,28.4499,35.83
pure_002_tail_rank_full,internal_2025,2025-10,17,17,35.9769,33.2526,46.3934,0.7647,0.6471,0.5294,0.4706,0.0,0.0588,87.0866,8.7956,17,51,39.0664,32.3204,53.0035,0.7451,0.6275,0.5294,0.451,0.0,0.0392,86.2562,8.6551,0.9412,0.8235,0.7647,62.9954,53.4091,83.9996
pure_002_tail_rank_full,internal_2025,2025-11,20,20,47.0331,27.3337,49.5563,0.9,0.85,0.45,0.45,0.05,0.2,86.871,6.2962,20,60,43.471,26.3459,49.0456,0.7833,0.7167,0.4333,0.3833,0.05,0.1333,86.7029,7.4493,1.0,0.85,0.8,78.4507,53.9201,94.0333
pure_002_tail_rank_full,internal_2025,2025-12,23,23,45.8036,44.5818,53.5691,0.7826,0.7826,0.6087,0.5217,0.087,0.1304,91.0429,6.9487,23,69,45.6387,39.1282,53.2898,0.8551,0.8116,0.6232,0.4928,0.087,0.1594,87.9937,6.8271,0.9565,0.9565,0.913,70.3696,53.2898,104.6478
