variant_id,model_id,description,target_mode,feature_mode,model_kind,feature_count,train_rows,internal_rows,final_rows,internal_2025_top1_days,internal_2025_top1_picks,internal_2025_top1_avg_mfe_22d_pct,internal_2025_top1_median_mfe_22d_pct,internal_2025_top1_q25_mfe_22d_pct,internal_2025_top1_never_up_rate,internal_2025_top1_hit5_rate,internal_2025_top1_hit8_rate,internal_2025_top1_hit10_rate,internal_2025_top1_hit15_rate,internal_2025_top1_hit20_rate,internal_2025_top1_no_runup_lt5_rate,internal_2025_top1_painful_no_runup_rate,internal_2025_top1_avg_max_drawdown_pct,internal_2025_top1_avg_close_return_22d_pct,internal_2025_top1_avg_buyability_score,internal_2025_top1_avg_risk_penalty,internal_2025_top3_pick_days,internal_2025_top3_pick_picks,internal_2025_top3_pick_avg_mfe_22d_pct,internal_2025_top3_pick_median_mfe_22d_pct,internal_2025_top3_pick_q25_mfe_22d_pct,internal_2025_top3_pick_never_up_rate,internal_2025_top3_pick_hit5_rate,internal_2025_top3_pick_hit8_rate,internal_2025_top3_pick_hit10_rate,internal_2025_top3_pick_hit15_rate,internal_2025_top3_pick_hit20_rate,internal_2025_top3_pick_no_runup_lt5_rate,internal_2025_top3_pick_painful_no_runup_rate,internal_2025_top3_pick_avg_max_drawdown_pct,internal_2025_top3_pick_avg_close_return_22d_pct,internal_2025_top3_pick_avg_buyability_score,internal_2025_top3_pick_avg_risk_penalty,internal_2025_top3_any_never_up_rate,internal_2025_top3_any_hit10_rate,internal_2025_top3_any_hit15_rate,internal_2025_top3_all_hit5_rate,internal_2025_top3_any_painful_no_runup_rate,internal_2025_top3_daily_best_median_mfe_22d_pct,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_avg_mfe_22d_pct,final_2026_top1_median_mfe_22d_pct,final_2026_top1_q25_mfe_22d_pct,final_2026_top1_never_up_rate,final_2026_top1_hit5_rate,final_2026_top1_hit8_rate,final_2026_top1_hit10_rate,final_2026_top1_hit15_rate,final_2026_top1_hit20_rate,final_2026_top1_no_runup_lt5_rate,final_2026_top1_painful_no_runup_rate,final_2026_top1_avg_max_drawdown_pct,final_2026_top1_avg_close_return_22d_pct,final_2026_top1_avg_buyability_score,final_2026_top1_avg_risk_penalty,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_avg_mfe_22d_pct,final_2026_top3_pick_median_mfe_22d_pct,final_2026_top3_pick_q25_mfe_22d_pct,final_2026_top3_pick_never_up_rate,final_2026_top3_pick_hit5_rate,final_2026_top3_pick_hit8_rate,final_2026_top3_pick_hit10_rate,final_2026_top3_pick_hit15_rate,final_2026_top3_pick_hit20_rate,final_2026_top3_pick_no_runup_lt5_rate,final_2026_top3_pick_painful_no_runup_rate,final_2026_top3_pick_avg_max_drawdown_pct,final_2026_top3_pick_avg_close_return_22d_pct,final_2026_top3_pick_avg_buyability_score,final_2026_top3_pick_avg_risk_penalty,final_2026_top3_any_never_up_rate,final_2026_top3_any_hit10_rate,final_2026_top3_any_hit15_rate,final_2026_top3_all_hit5_rate,final_2026_top3_any_painful_no_runup_rate,final_2026_top3_daily_best_median_mfe_22d_pct,selector_score,selector_month_score_min,selector_month_score_median,selector_month_score_mean,selector_month_score_std,loss,internal_2025_top1_p75_mfe_22d_pct,internal_2025_top1_hit30_rate,internal_2025_top1_hit40_rate,internal_2025_top1_daily_top1pct_rate,internal_2025_top1_daily_top3pct_rate,internal_2025_top3_pick_p75_mfe_22d_pct,internal_2025_top3_pick_hit30_rate,internal_2025_top3_pick_hit40_rate,internal_2025_top3_pick_daily_top1pct_rate,internal_2025_top3_pick_daily_top3pct_rate,internal_2025_top3_any_hit20_rate,internal_2025_top3_any_hit30_rate,internal_2025_top3_any_hit40_rate,internal_2025_top3_daily_best_avg_mfe_22d_pct,final_2026_top1_p75_mfe_22d_pct,final_2026_top1_hit30_rate,final_2026_top1_hit40_rate,final_2026_top1_daily_top1pct_rate,final_2026_top1_daily_top3pct_rate,final_2026_top3_pick_p75_mfe_22d_pct,final_2026_top3_pick_hit30_rate,final_2026_top3_pick_hit40_rate,final_2026_top3_pick_daily_top1pct_rate,final_2026_top3_pick_daily_top3pct_rate,final_2026_top3_any_hit20_rate,final_2026_top3_any_hit30_rate,final_2026_top3_any_hit40_rate,final_2026_top3_daily_best_avg_mfe_22d_pct,profile
stable_003_hit20_full,stable_003_hit20_full,预测 22 日至少冲高 20%，全量特征,hit20_prob,full,classifier,147,537683,129751,148200,60,60,34.733,31.3037,19.0171,0.0,0.9833,0.9667,0.9667,0.85,0.7333,0.0167,0.0167,-4.4181,24.4352,87.641,3.6985,60,180,33.2324,26.3801,16.3403,0.0056,0.95,0.9222,0.9056,0.7889,0.6722,0.05,0.05,-5.4422,22.4125,87.5168,3.856,0.0167,1.0,1.0,0.8667,0.1333,41.3592,64,64,17.2552,12.0093,3.6873,0.0156,0.7031,0.5781,0.5312,0.3594,0.2656,0.2969,0.2656,-8.2782,5.2856,86.1517,1.3166,64,192,17.3145,12.7276,5.0788,0.0104,0.7604,0.625,0.5677,0.4219,0.3125,0.2396,0.1979,-8.6814,4.3802,86.6976,1.2488,0.0312,0.9688,0.8281,0.4531,0.4688,24.1736,242.0661,142.7675,143.533,154.7459,16.4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_006_rank_stable_full,stable_006_rank_stable_full,每日稳定冲高排序，全量特征,stable_rank_reg,full,regressor,147,537683,129751,148200,60,60,29.1084,25.8425,14.6138,0.0,0.9167,0.9167,0.8667,0.7167,0.65,0.0833,0.0667,-5.5994,19.0476,86.8681,3.2599,60,180,31.7986,25.4058,14.3372,0.0,0.9389,0.9111,0.8667,0.7222,0.6278,0.0611,0.0556,-5.6688,21.0654,87.4366,3.4878,0.0,0.9833,0.95,0.85,0.1333,42.414,64,64,19.5138,14.6442,6.3003,0.0156,0.7812,0.6562,0.5938,0.4531,0.375,0.2188,0.2031,-8.7434,4.8542,86.3045,2.3672,64,192,18.4436,13.0887,6.2271,0.0052,0.7917,0.6615,0.5625,0.4375,0.3125,0.2083,0.1979,-9.3825,4.7902,87.1148,1.6854,0.0156,0.875,0.75,0.5469,0.4219,28.7755,202.5928,123.8323,125.1989,127.9133,4.8374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_002_hit15_full,stable_002_hit15_full,预测 22 日至少冲高 15%，全量特征,hit15_prob,full,classifier,147,537683,129751,148200,60,60,27.1347,23.5461,13.99,0.0167,0.9333,0.9,0.8333,0.6833,0.6167,0.0667,0.0667,-6.7097,17.009,88.5014,4.5275,60,180,31.8147,25.2831,13.99,0.0111,0.9222,0.8778,0.8389,0.7,0.6111,0.0778,0.0611,-6.4244,20.5659,87.6427,4.2917,0.0333,0.9833,0.95,0.8167,0.15,41.3592,64,64,16.6642,12.4495,5.2335,0.0156,0.7656,0.6406,0.5469,0.375,0.25,0.2344,0.1875,-9.2573,4.0657,86.5166,1.8875,64,192,18.0281,12.4206,5.0364,0.0104,0.7552,0.6354,0.5521,0.4323,0.3333,0.2448,0.2031,-9.0364,4.8335,86.8783,1.8787,0.0312,0.875,0.7812,0.5156,0.3594,24.5583,185.0045,100.5884,123.1666,124.8889,20.5804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_005_comfort_full,stable_005_comfort_full,预测稳定冲高舒适分，全量特征,comfort_score_reg,full,regressor,147,537683,129751,148200,60,60,34.4319,26.0082,10.0304,0.0167,0.9,0.7833,0.75,0.6833,0.6,0.1,0.0667,-4.1311,22.9114,85.1985,2.4866,60,180,29.7766,20.8818,10.121,0.0056,0.9,0.8167,0.75,0.6,0.5111,0.1,0.0556,-4.7944,19.3868,84.5785,2.3696,0.0167,0.9833,0.8833,0.7333,0.1333,36.631,64,64,11.1659,8.0881,3.7049,0.0312,0.6562,0.5156,0.4375,0.2344,0.125,0.3438,0.2969,-9.603,0.9647,85.1233,1.0944,64,192,13.2179,10.2326,4.1789,0.0104,0.7031,0.5885,0.5052,0.3125,0.1771,0.2969,0.25,-8.8574,1.7091,84.7352,0.9876,0.0312,0.7969,0.6094,0.4219,0.5,18.1013,161.9405,77.7178,126.0623,119.8051,32.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_001_hit10_full,stable_001_hit10_full,预测 22 日至少冲高 10%，全量特征,hit10_prob,full,classifier,147,537683,129751,148200,60,60,22.6928,13.3462,9.9096,0.0,0.95,0.85,0.7333,0.4333,0.3833,0.05,0.05,-5.8629,12.5849,87.7037,3.6739,60,180,25.2453,16.7179,10.2702,0.0,0.9333,0.8556,0.7611,0.55,0.4611,0.0667,0.0611,-6.492,13.9842,86.7664,4.3643,0.0,0.9833,0.9333,0.8,0.1833,34.7998,64,64,15.0635,10.4494,4.9985,0.0312,0.75,0.6094,0.5156,0.3281,0.2344,0.25,0.2344,-8.4561,2.8977,87.5112,1.6058,64,192,17.6781,10.8913,5.3819,0.0104,0.7604,0.6302,0.5417,0.3906,0.2917,0.2396,0.2031,-9.4638,3.7788,87.6903,1.7812,0.0312,0.875,0.7812,0.5312,0.375,26.7714,158.4228,84.866,95.788,108.5766,26.1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_017_hit15_anti_overfit,stable_017_hit15_anti_overfit,预测冲高 15%，低过拟合特征,hit15_prob,anti_overfit,classifier,79,537683,129751,148200,60,60,27.1962,20.1471,8.9121,0.0,0.8667,0.7667,0.6333,0.5667,0.5167,0.1333,0.1333,-13.5674,7.6047,83.8502,11.5964,60,180,28.0936,20.3174,8.5715,0.0111,0.8278,0.7611,0.6833,0.6167,0.5111,0.1722,0.1667,-11.8193,9.7815,84.3303,11.0618,0.0333,0.9667,0.9167,0.5667,0.4167,40.115,64,64,16.9274,12.4359,4.3898,0.0312,0.7031,0.6094,0.5625,0.4688,0.3594,0.2969,0.25,-9.6961,3.1231,83.9496,3.8911,64,192,16.2502,9.4684,3.8605,0.026,0.6927,0.5573,0.4792,0.3854,0.2917,0.3073,0.2552,-10.1151,2.2967,84.8543,3.4547,0.0781,0.75,0.6406,0.4219,0.4688,22.1417,132.2248,79.0864,87.4284,92.7481,13.8472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_004_no_bad_full,stable_004_no_bad_full,预测有冲高且避免无冲高下跌，全量特征,stable_score_reg,full,regressor,147,537683,129751,148200,60,60,31.4029,16.4642,7.2614,0.0,0.8667,0.7333,0.6167,0.5167,0.4167,0.1333,0.1,-5.6751,21.079,85.1375,2.43,60,180,27.5671,17.4395,8.615,0.0,0.8778,0.7667,0.6778,0.5389,0.4444,0.1222,0.0889,-5.3332,16.9974,84.8729,2.3332,0.0,0.9333,0.8667,0.7,0.2167,32.9039,64,64,14.3636,8.4449,4.1218,0.0,0.6875,0.5625,0.4531,0.3281,0.2188,0.3125,0.2344,-8.1517,2.2222,86.6652,0.8335,64,192,14.7223,9.3726,4.4089,0.0052,0.7031,0.5573,0.4844,0.3438,0.25,0.2969,0.2396,-8.4483,2.7879,86.1514,1.0287,0.0156,0.7812,0.6719,0.3906,0.5,21.717,131.8191,78.3211,85.359,88.7637,10.2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_007_hit15_no_hot,stable_007_hit15_no_hot,预测冲高 15%，不使用热点特征,hit15_prob,no_hot,classifier,137,537683,129751,148200,60,60,14.3964,10.9756,8.5022,0.0,0.9,0.8333,0.5667,0.3167,0.1667,0.1,0.1,-8.3966,2.0801,86.9087,4.4619,60,180,17.8825,12.9636,8.5015,0.0111,0.8778,0.7778,0.6667,0.4444,0.2833,0.1222,0.1111,-8.4224,4.9936,85.417,5.6571,0.0333,0.9667,0.85,0.65,0.3333,25.2321,64,64,17.0671,8.9125,3.1971,0.0,0.6719,0.5312,0.4688,0.3125,0.2812,0.3281,0.2812,-9.7931,5.2068,84.9189,1.6575,64,192,16.2539,9.2775,4.3916,0.0104,0.7031,0.5625,0.4688,0.3385,0.25,0.2969,0.2344,-9.2353,4.4901,84.7192,1.7859,0.0312,0.7969,0.6719,0.4219,0.4531,24.1314,126.1066,75.0876,75.114,78.7652,5.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_016_comfort_heat,stable_016_comfort_heat,稳定冲高舒适分，热点特征,comfort_score_reg,heat,regressor,10,537683,129751,148200,60,60,19.087,14.6713,7.3553,0.0,0.85,0.7333,0.7,0.4667,0.4167,0.15,0.1167,-7.2183,6.5315,84.8949,2.4542,60,180,20.0324,14.888,5.8534,0.0111,0.7722,0.6944,0.6444,0.4889,0.4278,0.2278,0.1556,-7.0158,9.319,83.0081,2.7816,0.0333,0.9167,0.7833,0.5833,0.3,27.9324,64,64,11.067,4.9955,2.1927,0.0312,0.5,0.4062,0.3594,0.2344,0.2031,0.5,0.4375,-9.4936,-0.896,86.7097,1.3401,64,192,13.3272,8.1554,2.7201,0.0156,0.6406,0.5104,0.4479,0.3333,0.25,0.3594,0.3229,-9.6866,0.0528,87.5431,1.3792,0.0312,0.7031,0.6094,0.3438,0.5781,20.5517,121.147,71.6584,74.9176,85.2875,17.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stable_019_hit8_full,stable_019_hit8_full,预测 22 日至少冲高 8%，全量特征,hit8_prob,full,classifier,147,537683,129751,148200,60,60,14.6421,10.7257,7.362,0.0,0.8833,0.7167,0.55,0.1833,0.1667,0.1167,0.05,-4.7871,6.1557,86.7469,2.3286,60,180,23.4844,12.3457,8.0247,0.0111,0.8667,0.7611,0.6611,0.45,0.4056,0.1333,0.0944,-6.7584,11.4585,86.0118,4.1888,0.0333,0.9667,0.85,0.65,0.2333,30.6241,64,64,12.9102,8.9506,4.3025,0.0,0.7188,0.5938,0.4531,0.25,0.2344,0.2812,0.25,-5.7331,4.9038,88.4497,1.3134,64,192,13.8157,9.3333,5.6412,0.0052,0.7812,0.6198,0.4688,0.3021,0.1979,0.2188,0.1875,-7.3875,3.6802,86.7626,1.9537,0.0156,0.8125,0.625,0.5625,0.3594,19.4887,115.615,56.7143,79.0548,76.301,14.9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
