days,picks,avg_mfe_22d_pct,median_mfe_22d_pct,q25_mfe_22d_pct,never_up_rate,hit5_rate,hit10_rate,hit15_rate,hit20_rate,no_runup_lt5_rate,painful_no_runup_rate,profile,period,market_regime
43,43,18.2744,12.069,3.5828,0.0233,0.6977,0.5349,0.3953,0.3256,0.3023,0.2791,stable_selected,final_2026,neutral
10,10,18.6784,8.284,3.3881,0.0,0.6,0.4,0.3,0.2,0.4,0.3,stable_selected,final_2026,strong
11,11,11.9773,13.6364,6.0866,0.0,0.8182,0.6364,0.2727,0.0909,0.1818,0.1818,stable_selected,final_2026,weak
64,64,17.2552,12.0093,3.6873,0.0156,0.7031,0.5312,0.3594,0.2656,0.2969,0.2656,stable_selected,final_2026,all
43,43,22.6091,17.3432,7.1652,0.0,0.8605,0.6744,0.5581,0.4419,0.1395,0.093,offensive_selected,final_2026,neutral
10,10,31.9061,22.1709,8.0306,0.0,0.8,0.7,0.6,0.6,0.2,0.2,offensive_selected,final_2026,strong
11,11,26.3033,22.0152,9.4274,0.0,0.8182,0.7273,0.6364,0.6364,0.1818,0.1818,offensive_selected,final_2026,weak
64,64,24.6967,19.9347,7.1717,0.0,0.8438,0.6875,0.5781,0.5,0.1562,0.125,offensive_selected,final_2026,all
43,43,22.6091,17.3432,7.1652,0.0,0.8605,0.6744,0.5581,0.4419,0.1395,0.093,gate_switch_stable_on_weak,final_2026,neutral
10,10,31.9061,22.1709,8.0306,0.0,0.8,0.7,0.6,0.6,0.2,0.2,gate_switch_stable_on_weak,final_2026,strong
11,11,11.9773,13.6364,6.0866,0.0,0.8182,0.6364,0.2727,0.0909,0.1818,0.1818,gate_switch_stable_on_weak,final_2026,weak
64,64,22.2344,15.64,6.6802,0.0,0.8438,0.6719,0.5156,0.4062,0.1562,0.125,gate_switch_stable_on_weak,final_2026,all
43,43,22.6091,17.3432,7.1652,0.0,0.8605,0.6744,0.5581,0.4419,0.1395,0.093,gate_skip_weak,final_2026,neutral
10,10,31.9061,22.1709,8.0306,0.0,0.8,0.7,0.6,0.6,0.2,0.2,gate_skip_weak,final_2026,strong
53,53,24.3633,19.1375,7.1522,0.0,0.8491,0.6792,0.566,0.4717,0.1509,0.1132,gate_skip_weak,final_2026,all
43,129,17.9801,12.6506,5.0,0.0155,0.7519,0.5581,0.4341,0.3333,0.2481,0.2093,stable_selected_top3,final_2026,neutral
10,30,16.9219,11.0401,4.2001,0.0,0.7333,0.5333,0.4,0.3333,0.2667,0.2333,stable_selected_top3,final_2026,strong
11,33,15.0695,13.854,5.6978,0.0,0.8182,0.6364,0.3939,0.2121,0.1818,0.1212,stable_selected_top3,final_2026,weak
64,192,17.3145,12.7276,5.0788,0.0104,0.7604,0.5677,0.4219,0.3125,0.2396,0.1979,stable_selected_top3,final_2026,all
43,129,19.1935,13.7584,6.1584,0.0078,0.7984,0.5969,0.4884,0.3566,0.2016,0.186,offensive_selected_top3,final_2026,neutral
10,30,21.9045,13.0149,3.7166,0.0333,0.6667,0.5667,0.4667,0.4333,0.3333,0.3333,offensive_selected_top3,final_2026,strong
11,33,21.5202,15.6194,9.0909,0.0,0.9091,0.6667,0.5152,0.4545,0.0909,0.0909,offensive_selected_top3,final_2026,weak
64,192,20.017,13.7925,6.1432,0.0104,0.7969,0.6042,0.4896,0.3854,0.2031,0.1927,offensive_selected_top3,final_2026,all
