days,picks,avg_mfe_22d_pct,median_mfe_22d_pct,q25_mfe_22d_pct,never_up_rate,hit5_rate,hit10_rate,hit15_rate,hit20_rate,no_runup_lt5_rate,painful_no_runup_rate,profile,period,month
20,20,19.0947,10.956,6.8988,0.0,0.8,0.5,0.35,0.25,0.2,0.1,stable_selected,final_2026,2026-01
14,14,16.5161,11.3232,4.1229,0.0,0.6429,0.5,0.4286,0.2857,0.3571,0.3571,stable_selected,final_2026,2026-02
22,22,15.4463,9.5743,1.6439,0.0455,0.5455,0.5,0.3182,0.3182,0.4545,0.4545,stable_selected,final_2026,2026-03
8,8,18.9242,14.1578,10.2313,0.0,1.0,0.75,0.375,0.125,0.0,0.0,stable_selected,final_2026,2026-04
20,20,24.6612,17.213,6.5857,0.0,0.8,0.65,0.55,0.45,0.2,0.1,offensive_reference,final_2026,2026-01
14,14,19.4544,18.5726,8.0754,0.0,0.7857,0.7143,0.6429,0.4286,0.2143,0.2143,offensive_reference,final_2026,2026-02
22,22,30.8607,29.6367,10.0397,0.0,0.9091,0.7273,0.6364,0.6364,0.0909,0.0909,offensive_reference,final_2026,2026-03
8,8,17.0085,12.381,7.347,0.0,0.875,0.625,0.375,0.375,0.125,0.125,offensive_reference,final_2026,2026-04
20,20,24.6612,17.213,6.5857,0.0,0.8,0.65,0.55,0.45,0.2,0.1,gate_switch_stable_on_weak,final_2026,2026-01
14,14,20.1363,17.8284,13.6839,0.0,0.8571,0.7857,0.6429,0.3571,0.1429,0.1429,gate_switch_stable_on_weak,final_2026,2026-02
22,22,24.4434,18.7233,7.7656,0.0,0.8636,0.6818,0.5,0.5,0.1364,0.1364,gate_switch_stable_on_weak,final_2026,2026-03
8,8,13.7645,9.7494,6.1841,0.0,0.875,0.5,0.25,0.125,0.125,0.125,gate_switch_stable_on_weak,final_2026,2026-04
20,20,24.6612,17.213,6.5857,0.0,0.8,0.65,0.55,0.45,0.2,0.1,gate_skip_weak,final_2026,2026-01
12,12,20.8299,18.5726,11.9096,0.0,0.8333,0.75,0.6667,0.4167,0.1667,0.1667,gate_skip_weak,final_2026,2026-02
15,15,30.8794,33.5362,10.9473,0.0,0.9333,0.7333,0.6667,0.6667,0.0667,0.0667,gate_skip_weak,final_2026,2026-03
6,6,14.1467,9.7494,6.6798,0.0,0.8333,0.5,0.1667,0.1667,0.1667,0.1667,gate_skip_weak,final_2026,2026-04
