model_id,business_name,target_mode,feature_group,model_kind,fusion_mode,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,random_state,feature_count,train_rows,internal_a_top1_days,internal_a_top1_picks,internal_a_top1_avg_mfe_22d_pct,internal_a_top1_median_mfe_22d_pct,internal_a_top1_hit10_rate,internal_a_top1_hit15_rate,internal_a_top1_hit20_rate,internal_a_top1_hit30_rate,internal_a_top1_no_runup_lt5_rate,internal_a_top1_painful_no_runup_rate,internal_a_top1_avg_mdd_pct,internal_a_top3_pick_days,internal_a_top3_pick_picks,internal_a_top3_pick_avg_mfe_22d_pct,internal_a_top3_pick_median_mfe_22d_pct,internal_a_top3_pick_hit10_rate,internal_a_top3_pick_hit15_rate,internal_a_top3_pick_hit20_rate,internal_a_top3_pick_hit30_rate,internal_a_top3_pick_no_runup_lt5_rate,internal_a_top3_pick_painful_no_runup_rate,internal_a_top3_pick_avg_mdd_pct,internal_a_top3_any_hit15_rate,internal_a_top3_any_hit20_rate,internal_a_top3_best_median_mfe_22d_pct,internal_b_top1_days,internal_b_top1_picks,internal_b_top1_avg_mfe_22d_pct,internal_b_top1_median_mfe_22d_pct,internal_b_top1_hit10_rate,internal_b_top1_hit15_rate,internal_b_top1_hit20_rate,internal_b_top1_hit30_rate,internal_b_top1_no_runup_lt5_rate,internal_b_top1_painful_no_runup_rate,internal_b_top1_avg_mdd_pct,internal_b_top3_pick_days,internal_b_top3_pick_picks,internal_b_top3_pick_avg_mfe_22d_pct,internal_b_top3_pick_median_mfe_22d_pct,internal_b_top3_pick_hit10_rate,internal_b_top3_pick_hit15_rate,internal_b_top3_pick_hit20_rate,internal_b_top3_pick_hit30_rate,internal_b_top3_pick_no_runup_lt5_rate,internal_b_top3_pick_painful_no_runup_rate,internal_b_top3_pick_avg_mdd_pct,internal_b_top3_any_hit15_rate,internal_b_top3_any_hit20_rate,internal_b_top3_best_median_mfe_22d_pct,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_avg_mfe_22d_pct,final_2026_top1_median_mfe_22d_pct,final_2026_top1_hit10_rate,final_2026_top1_hit15_rate,final_2026_top1_hit20_rate,final_2026_top1_hit30_rate,final_2026_top1_no_runup_lt5_rate,final_2026_top1_painful_no_runup_rate,final_2026_top1_avg_mdd_pct,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_avg_mfe_22d_pct,final_2026_top3_pick_median_mfe_22d_pct,final_2026_top3_pick_hit10_rate,final_2026_top3_pick_hit15_rate,final_2026_top3_pick_hit20_rate,final_2026_top3_pick_hit30_rate,final_2026_top3_pick_no_runup_lt5_rate,final_2026_top3_pick_painful_no_runup_rate,final_2026_top3_pick_avg_mdd_pct,final_2026_top3_any_hit15_rate,final_2026_top3_any_hit20_rate,final_2026_top3_best_median_mfe_22d_pct,rolling_score_min,selector_score,status
tfu_048_v2_full_tail_rank,v2 全量特征：每日排序 + 大涨强化,tail_rank,v2_full,regressor,model_only,0.038,360,31,95,0.14,948,147,537683,37,37,41.5137,40.62,0.9189,0.8378,0.7838,0.5946,0.0541,0.0541,-6.7359,37,111,39.6462,33.2526,0.8919,0.8108,0.7387,0.5405,0.0721,0.0721,-7.2682,1.0,1.0,56.7797,23,23,30.9448,23.6207,0.913,0.6522,0.6087,0.4348,0.0,0.0,-3.7655,23,69,35.1069,27.0903,0.8986,0.7391,0.7101,0.4348,0.0145,0.0145,-4.7905,1.0,1.0,49.1014,64,64,18.556,12.179,0.5781,0.4219,0.3281,0.1875,0.2656,0.2344,-9.3914,64,192,19.6356,13.1322,0.5781,0.4583,0.3594,0.2135,0.2135,0.1927,-9.1432,0.8594,0.7812,32.091,33.0758,54.1168,eligible_for_final_holdout
tfu_049_v2_full_raw_mfe,v2 全量特征：直接预测冲高幅度,raw_mfe,v2_full,regressor,model_only,0.045,300,31,80,0.1,949,147,537683,37,37,43.5112,38.2902,0.8919,0.8108,0.7838,0.5676,0.0,0.0,-8.3431,37,111,50.1947,40.62,0.9009,0.8468,0.8108,0.5946,0.045,0.045,-7.1593,1.0,1.0,69.7443,23,23,43.0717,36.3873,0.8261,0.8261,0.7391,0.6957,0.1304,0.0,-5.1381,23,69,38.743,33.9339,0.8116,0.7391,0.6812,0.5217,0.1014,0.0435,-5.2838,0.9565,0.8696,59.6666,64,64,25.3167,17.4569,0.6406,0.5625,0.4688,0.2656,0.2812,0.2656,-9.5707,64,192,21.5535,14.1003,0.5938,0.4896,0.3698,0.2083,0.2656,0.2448,-10.2949,0.8125,0.6875,28.7006,14.6449,49.8453,research_only
tfu_028_spark10_plus_orderbook_raw_mfe,1.0 结构 + 盘口订单：直接预测冲高幅度,raw_mfe,spark10_plus_orderbook,regressor,model_only,0.045,300,31,80,0.1,928,57,537683,37,37,49.3772,45.0079,0.8649,0.8108,0.7568,0.6757,0.1081,0.0811,-6.5823,37,111,45.9328,38.2927,0.7748,0.7207,0.6847,0.5766,0.1802,0.1532,-6.9493,0.973,0.973,64.8256,23,23,45.3001,46.8504,0.913,0.7826,0.7826,0.7391,0.087,0.0,-3.8615,23,69,52.6891,42.7168,0.8841,0.7971,0.7536,0.6957,0.0725,0.0145,-3.5887,0.9565,0.913,82.3151,64,64,17.8279,10.0481,0.5156,0.3594,0.2188,0.1562,0.2656,0.25,-11.9787,64,192,16.7888,10.4424,0.5208,0.3958,0.2656,0.125,0.2656,0.25,-11.6262,0.7344,0.5,20.2449,8.9432,49.5656,research_only
tfu_042_spark10_plus_limit_risk_raw_mfe,1.0 结构 + 涨停风险：直接预测冲高幅度,raw_mfe,spark10_plus_limit_risk,regressor,model_only,0.045,300,31,80,0.1,942,52,537683,37,37,48.2477,43.7126,0.8378,0.8108,0.7297,0.5676,0.0541,0.0541,-7.0542,37,111,35.0099,23.2685,0.7568,0.6486,0.5586,0.3604,0.1622,0.1622,-7.9097,0.973,0.9459,53.9309,23,23,37.6772,34.9057,0.8261,0.8261,0.7826,0.6087,0.1304,0.1304,-5.3143,23,69,34.9745,31.2545,0.8406,0.7536,0.6667,0.5072,0.0435,0.0435,-4.29,0.9565,0.9565,50.4332,64,64,18.8934,15.0972,0.5938,0.5,0.3281,0.2031,0.2188,0.1875,-12.6704,64,192,19.5602,13.8061,0.5938,0.474,0.349,0.1875,0.2135,0.1875,-11.025,0.7812,0.625,25.3332,17.2603,49.3765,research_only
tfu_014_spark10_plus_heat_raw_mfe,1.0 结构 + 热点增强：直接预测冲高幅度,raw_mfe,spark10_plus_heat,regressor,model_only,0.045,300,31,80,0.1,914,41,537683,37,37,45.3197,47.4333,0.8378,0.8378,0.7297,0.5946,0.0541,0.0541,-7.7485,37,111,41.9936,30.1377,0.8108,0.7477,0.6577,0.5045,0.0991,0.0901,-6.9268,1.0,0.973,53.9309,23,23,36.9031,29.0749,0.913,0.7826,0.6957,0.4783,0.0435,0.0435,-4.0939,23,69,35.3956,27.7934,0.8406,0.6957,0.6087,0.4348,0.058,0.058,-5.0478,0.913,0.913,44.5818,64,64,18.2676,15.4896,0.6406,0.5156,0.3906,0.125,0.1562,0.1562,-12.1051,64,192,18.1906,13.7346,0.5885,0.4635,0.3542,0.151,0.2083,0.1719,-11.2259,0.7812,0.6406,22.9902,11.5984,47.7298,research_only
tfu_045_v2_full_hit15,v2 全量特征：冲高 15% 概率,hit15,v2_full,classifier,spark10_fusion,0.034,340,31,105,0.14,945,147,537683,37,37,32.1045,25.8456,0.8108,0.7297,0.7027,0.4324,0.0811,0.0811,-8.5968,37,111,35.4282,25.2181,0.7207,0.6216,0.5676,0.4234,0.1351,0.1351,-9.8389,0.9189,0.8919,51.2795,23,23,39.7823,24.4032,0.913,0.8261,0.6957,0.4783,0.0435,0.0435,-5.9557,23,69,29.534,20.9593,0.6812,0.5942,0.5072,0.2754,0.1594,0.1594,-8.4669,0.9565,0.913,33.792,64,64,27.4936,15.317,0.6875,0.5156,0.4062,0.2656,0.1562,0.125,-10.1,64,192,22.0197,14.5119,0.5938,0.4635,0.3698,0.2188,0.2448,0.2031,-10.2061,0.7812,0.6562,29.8571,24.3148,47.3155,research_only
tfu_043_v2_full_spark10_opportunity,v2 全量特征：机会分复刻,spark10_opportunity,v2_full,regressor,spark10_fusion,0.045,280,31,80,0.1,943,147,537683,37,37,39.1463,33.2526,0.8919,0.8108,0.7568,0.5405,0.0811,0.0811,-7.7655,37,111,38.6962,32.3204,0.7658,0.7297,0.6757,0.5135,0.1081,0.1081,-8.692,1.0,0.973,56.7797,23,23,40.6598,30.2171,0.8261,0.7391,0.6957,0.5217,0.0435,0.0435,-6.8422,23,69,42.5535,36.3873,0.8406,0.7826,0.7391,0.5797,0.058,0.058,-5.7519,1.0,0.9565,75.1707,64,64,27.0414,19.2293,0.6094,0.5469,0.4844,0.3594,0.2188,0.2031,-10.4569,64,192,19.6219,12.2456,0.5469,0.4375,0.3698,0.2188,0.2552,0.2396,-11.7083,0.8125,0.75,33.3306,15.0125,46.0198,research_only
tfu_013_spark10_plus_heat_tail_rank,1.0 结构 + 热点增强：每日排序 + 大涨强化,tail_rank,spark10_plus_heat,regressor,model_only,0.038,360,31,95,0.14,913,41,537683,37,37,39.3984,26.8902,0.8108,0.7838,0.6757,0.4054,0.1081,0.0811,-7.6089,37,111,29.006,21.1639,0.7117,0.6306,0.5135,0.3153,0.1351,0.1261,-8.9787,0.9459,0.8649,43.4574,23,23,25.8149,16.6536,0.8696,0.6957,0.4348,0.3043,0.0,0.0,-3.6752,23,69,24.3753,16.6536,0.8261,0.5797,0.4348,0.2754,0.0435,0.0145,-4.1573,0.913,0.8261,32.1244,64,64,14.6997,11.8315,0.5938,0.4219,0.2344,0.0938,0.2656,0.2656,-11.6134,64,192,13.5288,9.7269,0.4948,0.3385,0.2344,0.1094,0.2969,0.2917,-11.7216,0.7031,0.5312,21.0339,28.5955,45.7732,eligible_for_final_holdout
tfu_041_spark10_plus_limit_risk_tail_rank,1.0 结构 + 涨停风险：每日排序 + 大涨强化,tail_rank,spark10_plus_limit_risk,regressor,model_only,0.038,360,31,95,0.14,941,52,537683,37,37,37.3531,23.1103,0.8108,0.6757,0.5676,0.3243,0.1081,0.1081,-8.0492,37,111,33.5482,23.0364,0.7658,0.6396,0.5405,0.3694,0.1712,0.1622,-7.7591,0.8919,0.8108,48.6572,23,23,25.0124,16.6536,0.7826,0.5652,0.3913,0.2609,0.0,0.0,-3.7017,23,69,25.439,18.2628,0.8261,0.6522,0.4493,0.2609,0.029,0.0145,-3.8104,0.913,0.8261,32.0891,64,64,21.2104,14.6997,0.5625,0.5,0.4219,0.2656,0.3125,0.2812,-11.0924,64,192,19.4666,11.5182,0.5208,0.4427,0.3385,0.2135,0.2865,0.2604,-10.1855,0.75,0.6406,28.5331,38.7752,45.7019,eligible_for_final_holdout
tfu_047_v2_full_rank_score,v2 全量特征：每日横向排序,rank_score,v2_full,regressor,model_only,0.04,320,31,90,0.12,947,147,537683,37,37,30.6408,27.0314,0.8649,0.7297,0.6486,0.4054,0.027,0.0,-7.7959,37,111,37.1085,32.946,0.8649,0.7928,0.7387,0.5135,0.045,0.027,-7.6679,0.973,0.973,52.1001,23,23,30.7029,22.6396,0.8261,0.5652,0.5652,0.4348,0.0,0.0,-5.5489,23,69,37.936,33.7857,0.8696,0.7101,0.6812,0.5507,0.0145,0.0145,-4.8781,0.9565,0.9565,59.1534,64,64,22.5196,14.5554,0.7031,0.4688,0.3438,0.2344,0.1719,0.1406,-7.8639,64,192,19.8481,13.339,0.6302,0.4375,0.3438,0.1979,0.2135,0.2031,-8.6817,0.7812,0.5938,28.1206,24.9518,45.5921,research_only
