model_id,period,month,bucket,days,picks,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,hit30_rate,no_runup_lt5_rate,painful_no_runup_rate,avg_mdd_pct
tfu_001_spark10_like_spark10_opportunity,internal_a,2025-10,top1,17,17,45.0354,43.6207,0.8824,0.7647,0.7647,0.5294,0.1176,0.1176,-5.9946
tfu_001_spark10_like_spark10_opportunity,internal_a,2025-10,top3,17,51,30.9734,25.1462,0.7255,0.6471,0.6078,0.3922,0.1765,0.1373,-8.3015
tfu_001_spark10_like_spark10_opportunity,internal_a,2025-11,top1,20,20,31.3695,22.0798,0.75,0.7,0.5,0.4,0.2,0.2,-8.9837
tfu_001_spark10_like_spark10_opportunity,internal_a,2025-11,top3,20,60,30.0574,17.7845,0.7333,0.6167,0.4667,0.3333,0.2,0.2,-9.6954
tfu_001_spark10_like_spark10_opportunity,internal_b,2025-12,top1,23,23,44.1855,21.5504,0.8261,0.6957,0.5217,0.4348,0.087,0.087,-5.9956
tfu_001_spark10_like_spark10_opportunity,internal_b,2025-12,top3,23,69,33.7578,21.5504,0.8261,0.6522,0.5362,0.4058,0.1014,0.1014,-5.5621
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-01,top1,20,20,18.9217,12.2602,0.65,0.45,0.35,0.15,0.2,0.15,-9.4971
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-01,top3,20,60,20.0888,11.793,0.6167,0.4167,0.3167,0.25,0.1333,0.1167,-8.6201
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-02,top1,14,14,8.8596,7.8115,0.2857,0.0714,0.0,0.0,0.1429,0.1429,-16.7181
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-02,top3,14,42,13.0683,9.1883,0.4762,0.3571,0.1905,0.0714,0.2143,0.2143,-13.6399
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-03,top1,22,22,15.2935,7.1,0.4091,0.3636,0.2727,0.1818,0.3636,0.3636,-16.0604
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-03,top3,22,66,15.7635,8.9147,0.4394,0.3636,0.2879,0.1818,0.303,0.303,-13.8026
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-04,top1,8,8,18.6709,20.8304,0.75,0.625,0.625,0.0,0.0,0.0,-5.2382
tfu_001_spark10_like_spark10_opportunity,final_2026,2026-04,top3,8,24,20.1378,16.7292,0.6667,0.5833,0.4583,0.1667,0.0833,0.0833,-7.2709
tfu_002_spark10_like_stable_opportunity,internal_a,2025-10,top1,17,17,17.9106,10.9209,0.5882,0.4118,0.3529,0.2353,0.1765,0.1176,-9.596
tfu_002_spark10_like_stable_opportunity,internal_a,2025-10,top3,17,51,23.8943,16.5105,0.7255,0.5294,0.4706,0.2353,0.1569,0.1176,-7.8125
tfu_002_spark10_like_stable_opportunity,internal_a,2025-11,top1,20,20,23.4268,17.3929,0.65,0.6,0.35,0.25,0.25,0.2,-8.9522
tfu_002_spark10_like_stable_opportunity,internal_a,2025-11,top3,20,60,19.8146,12.6413,0.5833,0.4667,0.3,0.1833,0.2667,0.2,-7.9656
tfu_002_spark10_like_stable_opportunity,internal_b,2025-12,top1,23,23,18.6973,12.7993,0.6087,0.4783,0.3043,0.1739,0.1739,0.1739,-7.1019
tfu_002_spark10_like_stable_opportunity,internal_b,2025-12,top3,23,69,17.5019,14.694,0.6812,0.4783,0.3043,0.1304,0.1449,0.1159,-5.5255
tfu_002_spark10_like_stable_opportunity,final_2026,2026-01,top1,20,20,10.1749,6.4517,0.3,0.15,0.15,0.15,0.3,0.15,-7.6384
tfu_002_spark10_like_stable_opportunity,final_2026,2026-01,top3,20,60,12.7887,8.561,0.4167,0.2667,0.2167,0.1167,0.2167,0.1333,-6.4931
