signal_date,symbol,entry_date,exit_signal_date,net_return_pct,exit_reason,cum_l2_super_net_ratio_entry_to_exit_signal,cum_l2_main_net_ratio_entry_to_exit_signal,cum_l2_super_net_entry_to_exit_signal,cum_l2_main_net_entry_to_exit_signal,neg_super_day_ratio,neg_main_day_ratio,holding_observed_days
2026-03-02,sz001339,2026-03-04,2026-03-31,-3.66,panic_distribution,-0.00056,-0.01581,-9399321.72,-266420557.54,0.6,0.8,20
2026-03-02,sh603115,2026-03-05,2026-04-03,36.48,distribution_confirmed_2d,0.01981,0.00723,205813806.09,75101048.13,0.4091,0.4545,22
2026-03-02,sh605366,2026-03-04,2026-04-24,37.46,window_end,-0.00231,0.0199,-38169081.83,329059165.59,0.5143,0.4286,35
2026-03-02,sz002843,2026-03-09,2026-03-12,-6.28,panic_distribution,-0.04548,-0.08449,-252707967.06,-469394663.48,0.75,1.0,4
2026-03-02,sh603897,2026-03-11,2026-03-13,-6.27,stop_loss_8pct,-0.00197,-0.04256,-2476776.0,-53573891.22,0.6667,0.6667,3
2026-03-02,sz002384,2026-03-11,2026-04-24,71.23,window_end,-0.02373,-0.03515,-7665029810.79,-11357055165.36,0.6667,0.6,30
2026-03-02,sh601898,2026-03-04,2026-03-20,11.15,distribution_confirmed_2d,0.00131,-0.01896,22931409.25,-333185116.24,0.6154,0.7692,13
2026-03-02,sz002380,2026-03-06,2026-03-23,-14.74,stop_loss_8pct,-0.00373,-0.02139,-21201873.22,-121451623.03,0.5833,0.6667,12
2026-03-02,sz000890,2026-03-05,2026-03-24,40.56,panic_distribution,0.01697,-0.00848,241324543.67,-120522096.77,0.5714,0.6429,14
2026-03-03,sz002267,2026-03-05,2026-03-16,-6.75,panic_distribution,-0.01003,-0.05492,-21350875.45,-116956156.87,0.625,0.875,8
2026-03-03,sz001339,2026-03-10,2026-03-17,-9.49,stop_loss_8pct,-0.02125,-0.05055,-152772455.01,-363485095.58,0.6667,0.8333,6
2026-03-03,sz003018,2026-03-05,2026-03-09,-12.01,stop_loss_8pct,0.00614,-0.00121,7581010.73,-1490722.64,0.3333,0.3333,3
2026-03-03,sh605366,2026-03-09,2026-03-23,-10.67,stop_loss_8pct,-0.00099,0.02244,-5119236.94,115900692.46,0.4545,0.4545,11
2026-03-04,sz000890,2026-03-12,2026-03-24,43.64,panic_distribution,0.01359,-0.00686,133094259.08,-67183184.93,0.6667,0.6667,9
2026-03-04,sh603115,2026-03-19,2026-04-03,29.02,distribution_confirmed_2d,0.01952,0.00274,135454107.69,18987822.73,0.4167,0.4167,12
2026-03-04,sh600860,2026-03-06,2026-03-06,-2.97,panic_distribution,-0.04337,-0.11282,-45968950.98,-119575146.85,1.0,1.0,1
2026-03-05,sz002380,2026-03-09,2026-03-20,-10.04,stop_loss_8pct,-0.01193,-0.0361,-53606146.22,-162217578.73,0.6,0.7,10
2026-03-05,sh600468,2026-03-19,2026-04-01,-9.56,stop_loss_8pct,-0.01387,-0.02415,-149350409.67,-260122067.81,0.6,0.8,10
2026-03-05,sh600516,2026-03-12,2026-03-16,-5.23,distribution_confirmed_2d,-0.07646,-0.10672,-322565714.82,-450208755.01,1.0,0.6667,3
2026-03-05,sz002733,2026-03-11,2026-04-02,0.66,panic_distribution,0.02333,0.00631,431144971.27,116634178.5,0.4706,0.5294,17
2026-03-05,sz001267,2026-03-09,2026-04-24,33.54,window_end,0.00344,-0.00888,274868697.91,-709861606.86,0.5,0.5312,32
