symbol,anchor_date,anchor_close,peak_date,peak_high,days_to_peak,max_runup_pct,end_close_return_pct,segment_mdd_pct,avg_amount,cum_l2_main_net,cum_l2_super_net,cum_amount,cum_l2_main_net_ratio,cum_l2_super_net_ratio,positive_super_day_ratio,positive_main_day_ratio,max_daily_super_outflow_ratio,max_daily_main_outflow_ratio,return_20d_at_anchor,l2_super_net_ratio_at_anchor,l2_main_net_ratio_at_anchor,amount_anomaly_at_anchor
sh600396,2026-03-03,3.28,2026-04-24,10.8,35,229.27,180.49,-26.14,1547238187.83,-1320581360.46,200284041.56,55700574761.81,-0.02371,0.0036,0.4167,0.3056,-0.11576,-0.13889,7.54,-0.08227,-0.11445,2.114
sh603538,2026-03-04,20.33,2026-04-24,59.4,34,192.18,183.23,-8.79,1737266947.14,-228981066.97,507370883.21,60804343149.87,-0.00377,0.00834,0.4857,0.4857,-0.13308,-0.15509,-6.57,-0.13308,-0.15509,1.033
sz002980,2026-03-02,31.87,2026-04-21,84.22,34,164.26,158.21,-8.58,827564431.0,160379232.67,320267174.29,28964755085.05,0.00554,0.01106,0.4857,0.5143,-0.07149,-0.13381,40.4,0.57611,0.36826,0.649
sh600726,2026-03-02,2.71,2026-03-27,7.16,19,164.21,114.02,-3.62,1556236698.28,-367284462.15,117578997.85,31124733965.62,-0.0118,0.00378,0.45,0.4,-0.08135,-0.09551,6.27,0.0316,-0.02517,1.482
sz002580,2026-03-04,12.81,2026-04-20,33.64,31,162.61,116.24,-16.29,1312717132.21,27383772.61,1340420907.78,42006948230.64,0.00065,0.03191,0.5625,0.4062,-0.10497,-0.14457,-0.39,-6e-05,-0.07566,0.805
sh603778,2026-03-02,14.1,2026-04-09,34.27,27,143.05,88.16,-11.21,2775590639.26,-222406354.97,1610564331.09,77716537899.23,-0.00286,0.02072,0.4643,0.3929,-0.12318,-0.23186,-24.03,-0.03794,-0.1159,0.628
sz003018,2026-03-23,24.3,2026-04-24,58.0,21,138.68,135.72,-7.76,515852256.13,218114480.46,345650254.23,11348749634.92,0.01922,0.03046,0.5455,0.6364,-0.08165,-0.1075,3.23,-0.04056,-0.00529,0.497
sz001309,2026-03-03,228.7,2026-04-23,544.93,34,138.27,114.2,-14.17,6647954761.64,-4355884978.05,-1989188380.0,232678416657.27,-0.01872,-0.00855,0.4571,0.4571,-0.16323,-0.17874,-17.81,-0.10034,-0.10977,1.055
sh600488,2026-03-23,3.69,2026-04-08,8.44,11,128.73,65.85,-4.04,418408763.84,-276753965.12,-48021338.24,5020905166.12,-0.05512,-0.00956,0.5833,0.75,-0.11079,-0.18441,-13.99,0.0,0.08273,1.751
sz002297,2026-03-23,10.17,2026-04-24,22.45,21,120.75,119.27,-3.09,855946774.19,-129979955.25,-38197460.23,18830829032.14,-0.0069,-0.00203,0.5,0.5,-0.0677,-0.1332,-19.09,-0.04544,-0.1332,0.528
sz000890,2026-03-03,8.06,2026-04-07,17.61,24,118.49,101.49,-12.5,1071314862.63,-192931956.84,429009504.65,26782871565.82,-0.0072,0.01602,0.4,0.36,-0.07043,-0.11863,52.36,-0.07043,-0.09625,3.504
sz002361,2026-03-23,10.9,2026-04-23,23.8,20,118.35,96.88,-11.8,4230685591.83,2362550216.74,4807583699.43,88844397428.36,0.02659,0.05411,0.7143,0.4286,-0.03932,-0.07735,-22.25,-0.02401,-0.03648,0.482
sz002082,2026-03-05,16.7,2026-04-07,36.24,22,117.01,71.5,-12.01,872126300.48,-633322109.19,-349006086.34,20058904911.07,-0.03157,-0.0174,0.3913,0.3478,-0.11304,-0.11239,8.09,-0.0317,-0.04203,0.53
sz002384,2026-03-02,91.03,2026-04-24,196.0,36,115.31,106.42,-13.74,10309347282.7,-9527665789.27,-5826821314.81,381445849459.93,-0.02498,-0.01528,0.4054,0.4865,-0.13851,-0.16704,24.51,0.10416,0.13109,1.63
sz002957,2026-03-23,23.95,2026-04-21,51.55,19,115.24,93.95,-3.8,1065086651.72,102220223.26,299895506.71,21301733034.49,0.0048,0.01408,0.65,0.6,-0.09443,-0.12291,-21.53,-0.01906,-0.04225,0.723
sh603115,2026-03-06,29.0,2026-04-24,61.88,32,113.38,101.76,-12.12,501075239.54,-67601750.36,125262169.85,16535482904.69,-0.00409,0.00758,0.5152,0.5758,-0.12337,-0.19308,21.75,-0.06956,-0.05281,0.943
sz002990,2026-03-04,25.39,2026-04-24,54.11,34,113.12,113.12,-11.38,418138172.1,147160947.12,219265874.18,14634836023.55,0.01006,0.01498,0.6,0.4857,-0.12343,-0.17227,-12.3,-0.02027,-0.05097,0.753
sh603629,2026-03-06,56.13,2026-04-23,119.02,31,112.04,94.94,-16.29,2472359902.24,301534676.65,277785097.94,79115516871.75,0.00381,0.00351,0.5,0.5,-0.16191,-0.16357,50.08,-0.00364,-0.0298,0.631
sh603687,2026-03-13,9.92,2026-04-17,20.8,23,109.68,68.35,-9.97,1169314211.71,-793585286.66,-87018130.79,28063541081.03,-0.02828,-0.0031,0.375,0.375,-0.12056,-0.11218,-12.13,-0.07749,-0.06688,0.794
sz002428,2026-03-19,39.51,2026-04-23,82.76,22,109.47,95.19,-9.26,5020701517.12,36984967.36,2074103764.17,115476134893.85,0.00032,0.01796,0.4348,0.4783,-0.08454,-0.12342,12.28,-0.06575,-0.09612,0.505
sh600666,2026-03-04,3.62,2026-04-20,7.57,31,109.12,65.47,-10.66,2556846555.65,-1720139290.01,678932054.29,81819089780.83,-0.02102,0.0083,0.4688,0.375,-0.10376,-0.1733,-2.69,-0.00874,-0.03732,0.707
sz002328,2026-03-23,6.38,2026-04-17,13.33,17,108.93,75.55,-3.85,892732481.82,-165830922.85,63112897.46,16069184672.68,-0.01032,0.00393,0.4444,0.4444,-0.07845,-0.12091,-9.63,-0.05004,-0.08742,2.423
sh600683,2026-03-02,6.87,2026-04-24,14.35,36,108.88,99.56,-21.44,376822579.56,-130565476.64,191003882.29,13942435443.81,-0.00936,0.0137,0.5676,0.4324,-0.06951,-0.25245,50.99,-0.00924,0.0017,0.659
