symbol,anchor_date,trade_date,return_from_anchor_pct,drawdown_from_peak_pct,l2_super_net_ratio,l2_main_net_ratio,cum_l2_super_net_ratio,cum_l2_main_net_ratio,cum_l2_super_net,cum_l2_main_net
sh600396,2026-03-03,2026-03-03,0.0,0.0,-0.08227,-0.11445,-0.08227,-0.11445,-12240253.0,-17027388.4
sh600396,2026-03-03,2026-03-04,0.61,0.0,-0.03998,-0.13889,-0.0637,-0.12518,-16897004.0,-33206270.4
sh600396,2026-03-03,2026-03-05,1.22,0.0,-0.03204,-0.01303,-0.05451,-0.09261,-20375663.0,-34621092.4
sh600396,2026-03-03,2026-03-06,11.59,0.0,0.37685,0.37202,0.15441,0.13242,111930750.94,95991289.48
sh600396,2026-03-03,2026-03-09,10.67,-0.82,-0.01925,0.02329,0.07202,0.08065,99331620.31,111233970.16
sh600396,2026-03-03,2026-03-10,18.29,0.0,0.05068,0.06442,0.06511,0.07539,132821832.31,153796644.16
sh600396,2026-03-03,2026-03-11,18.29,0.0,-0.03854,-0.03231,0.04017,0.04948,107912624.85,132917614.18
sh600396,2026-03-03,2026-03-12,26.22,0.0,-0.0016,-0.03659,0.03108,0.03074,106714047.85,105567654.08
sh600396,2026-03-03,2026-03-13,18.29,-6.28,0.00621,-0.03138,0.02728,0.02127,110553975.02,86171590.06
sh600396,2026-03-03,2026-03-16,30.18,0.0,0.83334,0.63617,0.07778,0.05979,336209315.7,258434850.74
sh600396,2026-03-03,2026-03-17,43.29,0.0,0.02572,0.00308,0.06993,0.05123,355961840.7,260797367.74
sh600396,2026-03-03,2026-03-18,57.62,0.0,0.45868,0.33676,0.08556,0.06271,453806158.7,332634124.82
sh600396,2026-03-03,2026-03-19,73.48,0.0,-0.11576,-0.08751,0.05523,0.04008,344907415.6,250312904.38
sh600396,2026-03-03,2026-03-20,90.85,0.0,0.05025,-0.01993,0.05388,0.02382,461529185.3,204047166.46
sh600396,2026-03-03,2026-03-23,110.06,0.0,-0.07298,-0.03233,0.0404,0.01785,387209357.32,171122055.24
sh600396,2026-03-03,2026-03-24,131.1,0.0,0.01376,-0.0391,0.03651,0.00955,409738380.14,107107935.16
sh600396,2026-03-03,2026-03-25,154.27,0.0,-0.00207,-0.01636,0.03425,0.00802,408287145.54,95644193.08
sh600396,2026-03-03,2026-03-26,170.73,0.0,-0.04624,-0.07318,0.01818,-0.00819,270740939.21,-122029808.26
sh600396,2026-03-03,2026-03-27,174.09,0.0,-0.02693,-0.07938,0.01013,-0.0209,183602510.12,-378895545.84
sh600396,2026-03-03,2026-03-30,146.65,-10.01,-0.06065,-0.12925,0.00686,-0.0259,130397556.11,-492277665.48
sh600396,2026-03-03,2026-03-31,154.57,-7.12,-0.05534,-0.05625,-0.00157,-0.03001,-34429150.6,-659836239.12
sh600396,2026-03-03,2026-04-01,129.27,-16.35,-0.05692,-0.09395,-0.00654,-0.03575,-157955972.88,-863736986.78
sh600396,2026-03-03,2026-04-02,123.78,-18.35,0.01306,0.00239,-0.00492,-0.03261,-129649746.42,-858562514.15
sh600396,2026-03-03,2026-04-03,115.85,-21.25,-0.01466,-0.02898,-0.00556,-0.03238,-156499678.42,-911637157.72
sh600396,2026-03-03,2026-04-07,129.27,-16.35,0.00936,-0.01706,-0.00466,-0.03146,-139691447.42,-942278409.3
sh600396,2026-03-03,2026-04-08,134.15,-14.57,0.01561,-0.01174,-0.00338,-0.03021,-108028155.74,-966095637.72
sh600396,2026-03-03,2026-04-09,117.68,-20.58,-0.03178,-0.05372,-0.00496,-0.03152,-168076117.74,-1067585600.82
sh600396,2026-03-03,2026-04-10,102.44,-26.14,-0.03015,-0.07926,-0.00606,-0.0336,-214550775.29,-1189755951.25
sh600396,2026-03-03,2026-04-13,122.56,-18.8,0.16574,0.16025,0.00176,-0.02478,65244743.71,-919237843.23
sh600396,2026-03-03,2026-04-14,144.82,-10.68,0.02643,0.05354,0.00267,-0.02188,102838222.58,-843080587.43
sh600396,2026-03-03,2026-04-15,146.04,-10.23,-0.04165,-0.09111,-0.00096,-0.02756,-40367441.92,-1156325299.93
sh600396,2026-03-03,2026-04-17,117.68,-20.58,-0.02115,-0.03874,-0.00181,-0.02803,-79358254.92,-1227740787.71
