feature,positive_mean,failed_mean,diff_mean,positive_median,failed_median,diff_median,effect_size_rough
pre_peak5_main_price_divergence,-0.241548,-0.100205,-0.141343,-0.22,-0.0934,-0.1266,-1.3236
pre_peak5_super_price_divergence,-0.227862,-0.093973,-0.133889,-0.20491,-0.08558,-0.11933,-1.2989
pre_peak5_return_pct,23.655373,10.955436,12.699937,21.295,9.71,11.585,1.2558
launch3_return_pct,9.878955,3.065528,6.813427,8.2,2.62,5.58,0.8681
pre_peak5_amount_sum,16281472490.957909,7540751431.530245,8740721059.427664,10465341480.005,4388846076.13,6076495403.874999,0.7998
pre_peak5_order_event_count_sum,1166829.335821,639657.972435,527171.363386,929054.5,444927.0,484127.5,0.7831
post_peak5_days,3.253731,4.7366,-1.482869,2.0,6.0,-4.0,-0.7559
post_peak5_amount_avg,3089258028.051641,1443642425.456233,1645615602.595409,2120796230.845,848220562.56,1272575668.285,0.7554
pre_peak5_days,6.0,5.111792,0.888208,6.0,6.0,0.0,0.7541
launch3_super_price_divergence,-0.074799,-0.020986,-0.053813,-0.06766,-0.0166,-0.05106,-0.7416
l2_main_net_ratio_at_anchor,-0.048314,0.037277,-0.085592,-0.058355,0.02302,-0.081375,-0.7276
launch3_main_price_divergence,-0.081316,-0.02745,-0.053866,-0.06534,-0.02087,-0.04447,-0.6905
launch3_max_drawdown_pct,-1.527836,-3.784319,2.256483,-0.97,-3.01,2.04,0.6657
amount_anomaly_at_anchor,1.457672,2.100732,-0.643059,1.0483,1.8839,-0.8356,-0.6332
pre5_return_pct,-2.502187,2.89679,-5.398978,-2.53,1.265,-3.795,-0.6045
l2_super_net_ratio_at_anchor,-0.02756,0.037279,-0.064839,-0.025915,0.01128,-0.037195,-0.5925
pre_peak5_amount_avg,2713578748.492985,1535065812.417397,1178512936.075588,1744223580.0,899296925.39,844926654.61,0.5527
return_20d_at_anchor,1.552612,12.861271,-11.308659,0.24,9.83,-9.59,-0.5492
pre20_return_pct,-5.523984,3.185952,-8.709936,-4.64,0.185,-4.825,-0.5422
launch3_amount_anomaly_avg,1.419886,1.875648,-0.455762,1.1286,1.7065,-0.5779,-0.5216
pre20_super_price_divergence,0.056967,-0.026336,0.083303,0.03599,-0.01155,0.04754,0.5179
pre5_super_price_divergence,0.03093,-0.017782,0.048712,0.025165,-0.013395,0.03856,0.5104
pre20_main_price_divergence,0.040084,-0.037571,0.077655,0.0382,-0.02451,0.06271,0.4887
pullback_return_pct,-0.189776,-1.446708,1.256931,0.0,0.0,0.0,0.4653
pre5_main_price_divergence,0.014576,-0.027218,0.041794,0.01011,-0.021885,0.031995,0.4478
launch3_add_buy_ratio,1.430616,1.285621,0.144995,1.39709,1.3217,0.07539,0.4175
pre5_amount_anomaly_avg,1.214884,1.595272,-0.380388,1.0249,1.3281,-0.3032,-0.4146
pullback_max_drawdown_pct,-0.552537,-1.565697,1.013159,0.0,0.0,0.0,0.3743
launch3_super_net_ratio,0.023991,0.00967,0.014321,0.014405,0.00576,0.008645,0.3685
pre_peak5_main_net_ratio,-0.004995,0.009349,-0.014344,-0.00627,0.00812,-0.01439,-0.3487
pre5_days,3.898438,4.364516,-0.466079,5.0,5.0,0.0,-0.3426
post_peak5_max_daily_main_outflow_ratio,-0.08003,-0.110218,0.030189,-0.09498,-0.11703,0.02205,0.3405
post_peak5_amount_anomaly_avg,1.694303,1.485126,0.209177,1.5538,1.3448,0.209,0.3354
post_peak5_max_daily_super_outflow_ratio,-0.044981,-0.069686,0.024705,-0.052555,-0.0662,0.013645,0.3219
