discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,entry_signal_date,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,hold_days,hold_return_pct,hold_max_drawdown_pct,hold_amount_sum,hold_amount_avg,hold_amount_anomaly_avg,hold_super_net_ratio,hold_main_net_ratio,hold_super_positive_day_ratio,hold_main_positive_day_ratio,hold_max_daily_super_outflow_ratio,hold_max_daily_main_outflow_ratio,hold_active_buy_strength_avg,hold_positive_l2_bar_ratio_avg,hold_support_spread_avg,hold_buy_support_avg,hold_sell_pressure_avg,hold_oib_ratio,hold_cvd_ratio,hold_add_buy_ratio,hold_add_sell_ratio,hold_cancel_buy_ratio,hold_cancel_sell_ratio,hold_order_event_count_sum,hold_order_available_ratio,hold_super_price_divergence,hold_main_price_divergence,discover_to_entry_days,discover_to_entry_return_pct,discover_to_entry_max_drawdown_pct,discover_to_entry_amount_sum,discover_to_entry_amount_avg,discover_to_entry_amount_anomaly_avg,discover_to_entry_super_net_ratio,discover_to_entry_main_net_ratio,discover_to_entry_super_positive_day_ratio,discover_to_entry_main_positive_day_ratio,discover_to_entry_max_daily_super_outflow_ratio,discover_to_entry_max_daily_main_outflow_ratio,discover_to_entry_active_buy_strength_avg,discover_to_entry_positive_l2_bar_ratio_avg,discover_to_entry_support_spread_avg,discover_to_entry_buy_support_avg,discover_to_entry_sell_pressure_avg,discover_to_entry_oib_ratio,discover_to_entry_cvd_ratio,discover_to_entry_add_buy_ratio,discover_to_entry_add_sell_ratio,discover_to_entry_cancel_buy_ratio,discover_to_entry_cancel_sell_ratio,discover_to_entry_order_event_count_sum,discover_to_entry_order_available_ratio,discover_to_entry_super_price_divergence,discover_to_entry_main_price_divergence,launch_to_entry_days,launch_to_entry_return_pct,launch_to_entry_max_drawdown_pct,launch_to_entry_amount_sum,launch_to_entry_amount_avg,launch_to_entry_amount_anomaly_avg,launch_to_entry_super_net_ratio,launch_to_entry_main_net_ratio,launch_to_entry_super_positive_day_ratio,launch_to_entry_main_positive_day_ratio,launch_to_entry_max_daily_super_outflow_ratio,launch_to_entry_max_daily_main_outflow_ratio,launch_to_entry_active_buy_strength_avg,launch_to_entry_positive_l2_bar_ratio_avg,launch_to_entry_support_spread_avg,launch_to_entry_buy_support_avg,launch_to_entry_sell_pressure_avg,launch_to_entry_oib_ratio,launch_to_entry_cvd_ratio,launch_to_entry_add_buy_ratio,launch_to_entry_add_sell_ratio,launch_to_entry_cancel_buy_ratio,launch_to_entry_cancel_sell_ratio,launch_to_entry_order_event_count_sum,launch_to_entry_order_available_ratio,launch_to_entry_super_price_divergence,launch_to_entry_main_price_divergence,pull_to_entry_days,pull_to_entry_return_pct,pull_to_entry_max_drawdown_pct,pull_to_entry_amount_sum,pull_to_entry_amount_avg,pull_to_entry_amount_anomaly_avg,pull_to_entry_super_net_ratio,pull_to_entry_main_net_ratio,pull_to_entry_super_positive_day_ratio,pull_to_entry_main_positive_day_ratio,pull_to_entry_max_daily_super_outflow_ratio,pull_to_entry_max_daily_main_outflow_ratio,pull_to_entry_active_buy_strength_avg,pull_to_entry_positive_l2_bar_ratio_avg,pull_to_entry_support_spread_avg,pull_to_entry_buy_support_avg,pull_to_entry_sell_pressure_avg,pull_to_entry_oib_ratio,pull_to_entry_cvd_ratio,pull_to_entry_add_buy_ratio,pull_to_entry_add_sell_ratio,pull_to_entry_cancel_buy_ratio,pull_to_entry_cancel_sell_ratio,pull_to_entry_order_event_count_sum,pull_to_entry_order_available_ratio,pull_to_entry_super_price_divergence,pull_to_entry_main_price_divergence,hold_cum_super_ratio_last,hold_cum_main_ratio_last,hold_cum_super_ratio_min,hold_cum_main_ratio_min,hold_cum_super_ratio_max_drawdown,hold_cum_main_ratio_max_drawdown,hold_negative_super_day_ratio,hold_negative_main_day_ratio,hold_big_super_outflow_days,duplicate_symbol_count_in_v1
2026-03-02,sz002558,1,97.6,-19.71,0.18799,0.16851,-11.46,0.10454,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,stop_loss_10pct,5,-7.08,-7.08,7608371518.81,1521674303.76,0.9128,-0.0183,-0.02858,0.4,0.4,-0.04511,-0.12775,-2.6004,0.4204,0.04018,1.51318,1.473,0.03182,-0.00083,1.5006,1.46871,0.00094,0.00086,755059.0,1.0,0.0525,0.04222,9,-2.81,-7.09,14748400009.33,1638711112.15,0.9732,0.0101,0.03969,0.6667,0.6667,-0.0904,-0.06038,3.0866,0.6417,0.01073,1.43263,1.4219,-0.01626,-0.00062,1.41117,1.42665,0.0014,0.00062,1513790.0,1.0,0.0382,0.06779,4,4.6,-1.94,7827857854.13,1956964463.53,1.1792,0.01073,0.07039,0.5,0.75,-0.0904,-0.03568,6.6823,0.7194,-0.03918,1.40447,1.44364,-0.06459,0.04351,1.38698,1.45004,0.00247,0.00095,745481.0,1.0,-0.03527,0.02439,1,0.0,0.0,1275735005.53,1275735005.53,0.7599,-0.00662,0.02833,0.0,1.0,-0.00662,0.02833,2.8331,0.6531,0.12701,1.56754,1.44053,0.12701,-0.05049,1.56812,1.44564,0.00057,0.00511,132967.0,1.0,-0.00662,0.02833,-0.0183,-0.02858,-0.03179,-0.02858,-0.00901,-0.06983,0.6,0.6,0,6
2026-03-02,sz002865,3,88.01,-13.46,0.13437,0.11866,-3.69,0.08566,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,2026-03-18,2026-03-19,83.51,83.7188,2026-03-25,2026-03-26,75.99,75.8,-9.0,-9.46,9.22,-13.35,5,panic_distribution,5,-8.54,-10.53,7007341123.37,1401468224.67,0.8962,-0.0163,-0.049,0.2,0.2,-0.08502,-0.1369,-6.6764,0.3184,0.13656,1.59034,1.45378,0.24646,-0.04568,1.70599,1.45176,0.00852,0.00076,567040.0,1.0,0.0691,0.0364,13,-5.15,-11.74,20649572081.29,1588428621.64,0.7888,-0.00381,-0.00026,0.4615,0.3846,-0.10032,-0.12945,-0.8314,0.4349,-0.03065,1.39169,1.42233,0.01353,-0.01959,1.4178,1.40255,0.00282,0.00111,1550488.0,1.0,0.04769,0.05124,11,2.48,-11.74,16233754245.37,1475795840.49,0.7678,0.01136,0.01761,0.5455,0.4545,-0.10032,-0.12945,0.3099,0.4545,-0.03849,1.4013,1.43979,0.01223,-0.01677,1.43836,1.42348,0.00346,0.0008,1236979.0,1.0,-0.01344,-0.00719,1,0.0,0.0,1256765567.74,1256765567.74,0.8004,0.03407,0.08967,1.0,1.0,0.03407,0.08967,8.9666,0.6531,-0.11061,1.42957,1.54019,-0.11061,0.06569,1.43011,1.54028,0.00054,9e-05,107593.0,1.0,0.03407,0.08967,-0.0163,-0.049,-0.04785,-0.08346,-0.06012,-0.0756,0.8,0.8,2,3
2026-03-02,sz002759,5,85.66,-13.18,0.14817,0.1308,-13.51,0.14537,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,8.02,0.0,0.0105,0.05434,1.40279,0.01403,0.01224,-0.17342,-5.74,38.0,2026-03-13,2026-03-16,36.63,36.7216,2026-03-17,2026-03-18,35.67,35.5808,-2.62,-3.11,5.98,-2.68,2,panic_distribution,2,-6.48,-6.48,3678775065.11,1839387532.55,0.9523,-0.01611,0.00208,0.5,0.5,-0.05639,-0.11051,-1.2477,0.4082,-0.10853,1.41788,1.52641,-0.10946,-0.01463,1.41865,1.52702,0.00117,8e-05,351618.0,1.0,0.04869,0.06688,10,-0.24,-8.16,14973661990.78,1497366199.08,0.7472,-0.01188,-0.01862,0.3,0.3,-0.09486,-0.15742,-4.1073,0.349,-0.12228,1.38161,1.50389,-0.12105,-0.00336,1.37722,1.498,0.00038,0.00011,1547974.0,1.0,-0.00948,-0.01622,5,8.05,-2.85,9131869750.72,1826373950.14,0.9192,0.01197,0.0368,0.6,0.6,-0.05,-0.06168,2.0166,0.4531,-0.11831,1.38495,1.50326,-0.1238,0.0656,1.38095,1.5044,0.00046,0.00011,879250.0,1.0,-0.06853,-0.0437,1,0.0,0.0,2257045439.46,2257045439.46,1.1304,0.03968,0.06294,1.0,1.0,0.03968,0.06294,6.2941,0.3673,-0.18485,1.34799,1.53284,-0.18485,0.09858,1.34839,1.53301,0.0004,0.00017,203787.0,1.0,0.03968,0.06294,-0.01611,0.00208,-0.01611,0.00208,-0.02987,-0.08348,0.5,0.5,1,1
2026-03-02,sh600370,7,83.89,-14.23,0.16965,0.12653,-16.73,0.23656,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,-8.61,56.92,2026-03-10,2026-03-11,2.25,2.2556,2026-03-19,2026-03-20,3.29,3.2818,46.22,45.49,71.56,-2.67,7,distribution_confirmed_2d,7,46.22,-9.37,5395198778.78,770742682.68,2.3462,-0.02693,-0.0492,0.4286,0.4286,-0.09408,-0.16193,4.9122,0.6426,0.23521,0.56912,0.33391,0.21304,-0.17703,1.39212,0.60469,0.81489,0.2405,614150.0,1.0,-0.48913,-0.5114,7,-3.02,-8.19,1146336134.52,163762304.93,0.7319,0.00441,0.05165,0.4286,0.4286,-0.14462,-0.11412,1.9753,0.5529,-0.06132,0.5931,0.65443,-0.05812,-0.03876,1.1555,1.38941,0.5722,0.74799,237195.0,1.0,0.03461,0.08185,4,2.27,-2.6,554267519.3,138566879.82,0.625,0.01082,0.0099,0.5,0.5,-0.06009,-0.03805,2.1372,0.4885,-0.13144,0.57535,0.70679,-0.14779,0.04659,1.18203,1.54306,0.61431,0.82755,121123.0,1.0,-0.01188,-0.0128,1,0.0,0.0,114383887.0,114383887.0,0.5104,0.01238,-0.03486,1.0,0.0,0.01238,-0.03486,-3.4858,0.4545,0.21601,0.76056,0.54455,0.21601,-0.28061,1.20657,1.31981,0.446,0.77526,25872.0,1.0,0.01238,-0.03486,-0.02693,-0.0492,-0.05164,-0.09737,-0.36387,-0.37589,0.5714,0.5714,4,1
2026-03-02,sz002326,9,79.4,-9.4,0.09074,0.08799,-14.29,0.14882,2026-03-09,2026-03-11,2026-03-25,pullback_absorption_confirm,4.46,0.0,0.00207,0.02791,1.4102,-0.04771,-0.05288,0.03006,-14.0,22.0,2026-03-25,2026-03-26,22.1,22.1552,2026-04-20,2026-04-21,24.55,24.4886,11.09,10.53,14.25,-1.0,16,distribution_confirmed_2d,16,10.0,-6.14,13945924210.12,871620263.13,0.9898,-0.00607,-0.00633,0.375,0.4375,-0.09703,-0.17782,-1.9222,0.4442,-0.0714,1.44836,1.51977,-0.06668,-0.00197,1.44124,1.50736,0.00082,0.00025,1393274.0,1.0,-0.10607,-0.10633,18,-8.72,-14.13,15438118292.01,857673238.45,0.6901,-0.0291,-0.03145,0.2778,0.3889,-0.10872,-0.15974,-3.1254,0.4201,-0.05581,1.40273,1.45854,-0.05138,-0.01742,1.40276,1.45407,0.00041,0.00033,1551167.0,1.0,0.0581,0.05575,13,-3.02,-14.13,11342649954.41,872511534.95,0.769,-0.02008,-0.01221,0.2308,0.4615,-0.08598,-0.15974,-1.6224,0.4529,-0.05454,1.40752,1.46206,-0.04665,-0.00075,1.41173,1.45804,0.00041,8e-05,1114043.0,1.0,0.01012,0.01799,1,0.0,0.0,869543482.49,869543482.49,0.9525,-0.00948,0.00692,0.0,1.0,-0.00948,0.00692,0.6915,0.4694,0.05074,1.46877,1.41803,0.05074,-0.10446,1.46922,1.41818,0.00045,0.00014,84464.0,1.0,-0.00948,0.00692,-0.00607,-0.00633,-0.03917,-0.01578,-0.00913,-0.02212,0.625,0.5625,3,1
2026-03-03,sz002558,2,84.61,-21.89,0.2153,0.19874,-5.76,0.04074,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,stop_loss_10pct,5,-7.08,-7.08,7608371518.81,1521674303.76,0.9128,-0.0183,-0.02858,0.4,0.4,-0.04511,-0.12775,-2.6004,0.4204,0.04018,1.51318,1.473,0.03182,-0.00083,1.5006,1.46871,0.00094,0.00086,755059.0,1.0,0.0525,0.04222,8,-0.19,-4.58,13168508222.62,1646063527.83,0.9821,0.01004,0.0415,0.625,0.625,-0.0904,-0.06038,3.1648,0.6378,0.00924,1.43833,1.42909,-0.02093,0.00945,1.41404,1.43408,0.00155,0.00065,1333994.0,1.0,0.01194,0.0434,4,4.6,-1.94,7827857854.13,1956964463.53,1.1792,0.01073,0.07039,0.5,0.75,-0.0904,-0.03568,6.6823,0.7194,-0.03918,1.40447,1.44364,-0.06459,0.04351,1.38698,1.45004,0.00247,0.00095,745481.0,1.0,-0.03527,0.02439,1,0.0,0.0,1275735005.53,1275735005.53,0.7599,-0.00662,0.02833,0.0,1.0,-0.00662,0.02833,2.8331,0.6531,0.12701,1.56754,1.44053,0.12701,-0.05049,1.56812,1.44564,0.00057,0.00511,132967.0,1.0,-0.00662,0.02833,-0.0183,-0.02858,-0.03179,-0.02858,-0.00901,-0.06983,0.6,0.6,0,6
2026-03-04,sz001309,4,88.85,-17.8,0.15887,0.16636,-8.79,0.02694,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,7.77,0.0,0.09847,0.06049,1.90137,0.08069,0.1008,0.10696,-5.15,13.26,2026-03-09,2026-03-10,288.0,288.72,2026-04-01,2026-04-02,378.88,377.9328,31.56,30.9,45.02,-2.43,17,panic_distribution,17,26.18,-14.17,112395986732.01,6611528631.29,1.5231,-0.00389,-0.00786,0.4706,0.4706,-0.11192,-0.17874,-1.1006,0.497,0.04234,1.43059,1.38825,0.04843,0.00062,1.42593,1.37599,0.00229,0.00077,2541730.0,1.0,-0.26569,-0.26966,4,11.3,0.0,19470579881.65,4867644970.41,1.9788,0.09392,0.0708,1.0,1.0,0.0136,0.00455,7.1571,0.7194,0.48056,1.79964,1.31907,0.47067,-0.03399,1.79425,1.3213,0.00392,0.00164,545195.0,1.0,-0.01908,-0.0422,4,11.3,0.0,19470579881.65,4867644970.41,1.9788,0.09392,0.0708,1.0,1.0,0.0136,0.00455,7.1571,0.7194,0.48056,1.79964,1.31907,0.47067,-0.03399,1.79425,1.3213,0.00392,0.00164,545195.0,1.0,-0.01908,-0.0422,1,0.0,0.0,4981070464.24,4981070464.24,1.9334,0.08069,0.1008,1.0,1.0,0.08069,0.1008,10.08,0.8571,0.10696,1.48157,1.3746,0.10696,-0.00629,1.48265,1.37502,0.00108,0.00041,144388.0,1.0,0.08069,0.1008,-0.00389,-0.00786,-0.03206,-0.05492,-0.09654,-0.14911,0.5294,0.5294,6,1
2026-03-04,sz002865,6,88.04,-15.89,0.16334,0.14496,-3.66,0.06184,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,2026-03-18,2026-03-19,83.51,83.7188,2026-03-25,2026-03-26,75.99,75.8,-9.0,-9.46,9.22,-13.35,5,panic_distribution,5,-8.54,-10.53,7007341123.37,1401468224.67,0.8962,-0.0163,-0.049,0.2,0.2,-0.08502,-0.1369,-6.6764,0.3184,0.13656,1.59034,1.45378,0.24646,-0.04568,1.70599,1.45176,0.00852,0.00076,567040.0,1.0,0.0691,0.0364,11,2.48,-11.74,16233754245.37,1475795840.49,0.7678,0.01136,0.01761,0.5455,0.4545,-0.10032,-0.12945,0.3099,0.4545,-0.03849,1.4013,1.43979,0.01223,-0.01677,1.43836,1.42348,0.00346,0.0008,1236979.0,1.0,-0.01344,-0.00719,11,2.48,-11.74,16233754245.37,1475795840.49,0.7678,0.01136,0.01761,0.5455,0.4545,-0.10032,-0.12945,0.3099,0.4545,-0.03849,1.4013,1.43979,0.01223,-0.01677,1.43836,1.42348,0.00346,0.0008,1236979.0,1.0,-0.01344,-0.00719,1,0.0,0.0,1256765567.74,1256765567.74,0.8004,0.03407,0.08967,1.0,1.0,0.03407,0.08967,8.9666,0.6531,-0.11061,1.42957,1.54019,-0.11061,0.06569,1.43011,1.54028,0.00054,9e-05,107593.0,1.0,0.03407,0.08967,-0.0163,-0.049,-0.04785,-0.08346,-0.06012,-0.0756,0.8,0.8,2,3
2026-03-04,sh601615,7,87.18,-20.86,0.19329,0.1632,-11.15,0.09287,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,2026-03-12,2026-03-13,22.6,22.6565,2026-03-18,2026-03-19,20.01,19.96,-11.46,-11.9,2.35,-11.5,4,panic_distribution,4,-7.28,-7.28,8415401966.4,2103850491.6,1.1107,0.00426,0.01927,0.75,0.5,-0.08058,-0.1049,-0.2499,0.5068,-0.03856,0.52889,0.56746,-0.03108,-0.03501,0.8674,0.90416,0.33744,0.34312,700827.0,1.0,0.07706,0.09207,7,11.38,-0.75,9487917615.81,1355416802.26,0.6195,0.03179,0.05426,0.7143,0.7143,-0.01407,-0.06408,4.8031,0.5743,-0.05165,0.51194,0.56359,-0.05805,0.01733,0.86475,0.94522,0.35739,0.3798,961024.0,1.0,-0.08201,-0.05954,5,8.9,-0.75,7151631202.48,1430326240.5,0.6865,0.04082,0.08113,0.8,0.8,-0.01407,-0.01279,7.6919,0.649,-0.06532,0.50844,0.57376,-0.07174,0.03086,0.85436,0.9491,0.35144,0.37444,683499.0,1.0,-0.04818,-0.00787,1,0.0,0.0,2569008218.36,2569008218.36,1.2999,0.07436,0.1011,1.0,1.0,0.07436,0.1011,10.1097,0.5102,-0.09577,0.48708,0.58284,-0.09577,0.05716,0.76937,0.91644,0.2823,0.3336,201938.0,1.0,0.07436,0.1011,0.00426,0.01927,0.00426,0.01927,-0.03435,-0.07755,0.25,0.5,1,2
2026-03-04,sz002558,8,85.95,-19.66,0.19376,0.18007,-6.86,0.05781,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,2026-03-12,2026-03-13,36.93,37.0223,2026-03-19,2026-03-20,33.0,32.9175,-10.64,-11.09,0.84,-12.73,5,stop_loss_10pct,5,-7.08,-7.08,7608371518.81,1521674303.76,0.9128,-0.0183,-0.02858,0.4,0.4,-0.04511,-0.12775,-2.6004,0.4204,0.04018,1.51318,1.473,0.03182,-0.00083,1.5006,1.46871,0.00094,0.00086,755059.0,1.0,0.0525,0.04222,7,0.9,-3.54,11433122625.49,1633303232.21,0.98,0.00929,0.04204,0.5714,0.5714,-0.0904,-0.06038,3.0753,0.6297,0.01969,1.46437,1.44468,-0.0144,0.0199,1.43802,1.45139,0.00177,0.00074,1159195.0,1.0,0.00029,0.03304,4,4.6,-1.94,7827857854.13,1956964463.53,1.1792,0.01073,0.07039,0.5,0.75,-0.0904,-0.03568,6.6823,0.7194,-0.03918,1.40447,1.44364,-0.06459,0.04351,1.38698,1.45004,0.00247,0.00095,745481.0,1.0,-0.03527,0.02439,1,0.0,0.0,1275735005.53,1275735005.53,0.7599,-0.00662,0.02833,0.0,1.0,-0.00662,0.02833,2.8331,0.6531,0.12701,1.56754,1.44053,0.12701,-0.05049,1.56812,1.44564,0.00057,0.00511,132967.0,1.0,-0.00662,0.02833,-0.0183,-0.02858,-0.03179,-0.02858,-0.00901,-0.06983,0.6,0.6,0,6
