symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_1d_high_ret_pct,fwd_1d_low_ret_pct,fwd_3d_close_ret_pct,fwd_3d_high_ret_pct,fwd_3d_low_ret_pct,fwd_5d_close_ret_pct,fwd_5d_high_ret_pct,fwd_5d_low_ret_pct,fwd_10d_close_ret_pct,fwd_10d_high_ret_pct,fwd_10d_low_ret_pct,fwd_20d_close_ret_pct,fwd_20d_high_ret_pct,fwd_20d_low_ret_pct,fwd_10d_max_runup_pct,fwd_10d_max_drawdown_pct
sh600011,2026-05-29,13:20,13:30,launch_day,launch_without_probe,直接启动,22.45,10.0338,10.0338,-1.9166,2.9312,10.0338,-3.2694,,,,,,,,,,,
sh600011,2026-06-01,10:10,10:15,launch_day,launch_without_probe,直接启动,35.86,-6.8648,-3.791,-8.9139,,,,,,,,,,,,,,
sh600021,2026-05-19,10:00,10:00,launch_day,launch_without_probe,直接启动,81.96,1.2466,6.6667,0.9214,-4.5528,6.6667,-5.8537,10.5149,10.5149,-5.8537,7.8591,21.1382,-5.8537,,,,21.1382,-5.8537
sh600021,2026-05-26,09:30,09:55,launch_day,launch_without_probe,直接启动,46.07,0.9809,5.9343,-2.0598,9.2692,9.6126,-2.4031,-2.4031,9.6126,-5.3458,,,,,,,,
sh600023,2026-05-19,13:00,13:00,launch_day,launch_without_probe,直接启动,74.86,-10.0,-2.6866,-10.0,-14.1791,-2.6866,-15.8209,-9.2537,-2.6866,-15.8209,-4.6269,0.4478,-15.8209,,,,0.4478,-15.8209
sh600026,2026-03-10,09:30,09:50,launch_day,launch_without_probe,直接启动,60.78,-2.4014,-0.5146,-5.8748,-5.1887,-0.5146,-7.0326,-0.4288,5.0172,-7.0326,10.5918,10.9348,-7.0326,11.5352,16.5094,-7.1184,10.9348,-7.0326
sh600026,2026-03-18,09:35,09:50,launch_day,launch_without_probe,直接启动,41.16,-4.6222,1.6077,-6.672,-5.5868,1.6077,-8.0386,1.8087,9.2042,-8.0386,-5.2251,9.2042,-12.9421,-11.6158,9.2042,-12.9421,9.2042,-12.9421
sh600026,2026-03-24,09:30,11:00,launch_day,launch_without_probe,直接启动,28.02,-1.7836,5.3509,-4.304,-7.9876,5.3509,-11.9814,-14.5017,5.3509,-16.014,0.853,5.3509,-16.014,-15.0834,5.3509,-18.0302,5.3509,-16.014
sh600028,2026-03-02,13:05,14:55,launch_day,launch_without_probe,直接启动,14.28,9.9859,9.9859,0.5626,-1.1252,14.0647,-3.5162,-1.5471,14.0647,-5.2039,-10.9705,14.0647,-11.2518,-16.0338,14.0647,-18.5654,14.0647,-11.2518
sh600028,2026-03-03,09:30,11:25,launch_day,launch_without_probe,直接启动,55.75,-5.3708,3.7084,-9.9744,-12.0205,3.7084,-13.8107,-16.1125,3.7084,-17.2634,-20.0767,3.7084,-20.5882,-24.8082,3.7084,-25.9591,3.7084,-20.5882
sh600032,2026-03-17,09:40,09:40,launch_day,launch_without_probe,直接启动,77.42,-2.5918,1.6199,-3.3477,5.5076,9.0713,-4.1037,27.8618,27.8618,-4.1037,7.6674,52.2678,-4.1037,4.3197,52.2678,-4.5356,52.2678,-4.1037
sh600032,2026-03-23,09:40,10:25,launch_day,launch_without_probe,直接启动,50.64,10.0372,10.0372,-6.5056,17.1933,31.0409,-6.5056,-1.3011,31.0409,-6.5056,-15.7063,31.0409,-17.8439,0.9294,31.0409,-17.8439,31.0409,-17.8439
sh600032,2026-03-24,13:10,14:45,launch_day,launch_without_probe,直接启动,42.23,9.9662,9.9662,-3.7162,-1.098,19.0878,-3.7162,-15.7939,19.0878,-15.7939,-22.3818,19.0878,-25.3378,-4.1385,19.0878,-25.3378,19.0878,-25.3378
sh600032,2026-03-25,09:30,09:50,launch_day,launch_without_probe,直接启动,61.45,-3.149,8.2949,-9.9846,-18.4332,8.2949,-19.0476,-24.7312,8.2949,-25.4224,-31.2596,8.2949,-32.1045,-7.4501,8.2949,-32.1045,8.2949,-32.1045
sh600032,2026-04-13,13:45,13:55,launch_day,launch_without_probe,直接启动,33.15,0.0,3.7794,-0.8172,0.5107,3.7794,-2.8601,0.8172,3.7794,-2.8601,11.0317,26.6599,-2.8601,9.3973,26.6599,-2.8601,26.6599,-2.8601
sh600032,2026-04-21,10:20,11:25,launch_day,launch_without_probe,直接启动,58.81,4.512,8.3794,0.8287,0.0,14.1805,-1.0129,-3.2228,14.1805,-5.9853,-4.2357,14.1805,-9.3923,-4.9724,14.1805,-9.3923,14.1805,-9.3923
sh600032,2026-05-18,13:00,13:00,launch_day,launch_without_probe,直接启动,75.18,1.7841,3.3898,-2.9438,-2.3194,3.3898,-6.7797,-11.4184,3.3898,-14.0946,-4.8171,3.3898,-19.2685,,,,3.3898,-19.2685
sh600032,2026-05-21,09:55,10:05,launch_day,launch_without_probe,直接启动,63.78,-5.7534,-2.6484,-7.8539,-15.1598,-2.6484,-16.895,-5.0228,-2.6484,-17.3516,,,,,,,,
sh600032,2026-05-28,10:05,10:15,launch_day,launch_without_probe,直接启动,59.19,2.0192,7.8846,1.7308,5.0,7.8846,-2.7885,,,,,,,,,,,
sh600052,2026-04-22,09:40,09:55,launch_day,launch_without_probe,直接启动,71.67,10.0962,10.0962,0.9615,4.5673,17.7885,-0.2404,-2.8846,17.7885,-3.6058,10.3365,17.7885,-3.6058,8.4135,17.7885,-3.6058,17.7885,-3.6058
sh600052,2026-04-23,09:30,13:30,launch_day,launch_without_probe,直接启动,66.81,-5.0218,6.9869,-6.5502,-8.5153,6.9869,-10.262,-3.0568,6.9869,-12.4454,-2.6201,6.9869,-12.4454,-3.4934,6.9869,-12.4454,6.9869,-12.4454
sh600052,2026-04-30,09:35,09:40,launch_day,launch_without_probe,直接启动,62.6,1.5766,4.2793,-2.027,3.6036,5.6306,-2.027,0.4505,5.6306,-2.027,4.2793,5.6306,-3.8288,-4.7297,7.6577,-5.8559,5.6306,-3.8288
sh600056,2026-04-03,09:55,10:10,launch_day,launch_without_probe,直接启动,64.31,-2.6747,-1.1217,-4.6592,-6.6437,-1.1217,-6.8162,-8.6281,-1.1217,-8.7144,-6.6437,-1.1217,-9.3184,-10.5263,-1.1217,-11.9931,-1.1217,-9.3184
sh600071,2026-04-03,13:20,13:20,launch_day,launch_without_probe,直接启动,74.79,-2.7397,0.0,-3.3757,2.7886,3.229,-3.3757,-0.7339,3.229,-3.3757,2.6419,5.6751,-3.3757,-1.7613,5.6751,-6.0665,5.6751,-3.3757
sh600072,2026-04-20,13:55,14:00,launch_day,launch_without_probe,直接启动,59.32,6.0606,9.9242,1.3636,2.3485,9.9242,1.3636,-1.3636,9.9242,-2.2727,2.6515,9.9242,-2.5758,-4.5455,9.9242,-6.5909,9.9242,-2.5758
sh600072,2026-04-21,09:30,09:40,launch_day,launch_without_probe,直接启动,68.78,-2.6429,0.5,-3.0,-6.0,0.5,-6.2857,-6.8571,0.5,-7.9286,-2.0,0.8571,-8.1429,-10.5714,0.8571,-11.9286,0.8571,-8.1429
sh600075,2026-03-06,09:30,10:55,launch_day,launch_without_probe,直接启动,22.92,0.6954,7.5104,-0.1391,3.8943,7.5104,-6.9541,7.9277,13.0737,-6.9541,-6.9541,13.0737,-8.9013,-14.0473,13.0737,-19.4715,13.0737,-8.9013
sh600075,2026-03-23,09:40,09:50,launch_day,launch_without_probe,直接启动,45.41,1.9417,1.9417,-4.7157,-0.6935,1.9417,-4.7157,3.6061,5.2705,-4.7157,-5.6865,5.2705,-19.6949,-15.1179,5.2705,-19.6949,5.2705,-19.6949
sh600075,2026-04-07,09:45,14:30,launch_day,launch_without_probe,直接启动,24.0,-5.8824,-3.0882,-8.8235,-5.8824,-1.9118,-8.8235,-4.5588,-1.9118,-9.4118,-10.0,-1.9118,-13.0882,-4.4118,4.4118,-13.0882,-1.9118,-13.0882
sh600075,2026-05-08,09:30,09:30,launch_day,launch_without_probe,直接启动,70.37,-4.1538,-1.3846,-4.6154,-5.8462,-1.3846,-6.6154,-3.0769,-1.3846,-6.6154,-16.9231,-1.3846,-18.3077,,,,-1.3846,-18.3077
sh600076,2026-03-24,13:00,13:00,launch_day,launch_without_probe,直接启动,71.67,3.4783,4.9275,-1.1594,6.9565,9.2754,-1.1594,2.3188,9.2754,-1.1594,4.9275,9.2754,-2.6087,-1.4493,10.4348,-2.6087,9.2754,-2.6087
sh600076,2026-05-08,09:30,09:35,launch_day,launch_without_probe,直接启动,64.03,10.0,10.0,3.3333,17.7778,26.3889,3.3333,19.4444,29.4444,3.3333,10.2778,29.4444,3.3333,,,,29.4444,3.3333
sh600076,2026-05-11,09:30,09:30,launch_day,launch_without_probe,直接启动,72.66,10.101,10.101,7.3232,11.1111,17.6768,3.5354,4.5455,17.6768,2.5253,-0.5051,17.6768,-3.0303,,,,17.6768,-3.0303
sh600076,2026-05-14,09:30,09:35,launch_day,launch_without_probe,直接启动,67.08,-2.2727,2.0455,-4.3182,-10.4545,2.0455,-12.0455,-7.0455,2.0455,-12.2727,-16.5909,2.0455,-18.8636,,,,2.0455,-18.8636
sh600076,2026-05-21,09:35,09:35,launch_day,launch_without_probe,直接启动,92.31,-2.934,0.978,-6.1125,-9.291,0.978,-10.7579,-10.2689,0.978,-12.7139,,,,,,,,
sh600078,2026-03-13,09:30,09:35,launch_day,launch_without_probe,直接启动,54.03,-3.9531,3.2211,-5.7101,-10.3221,3.2211,-12.2987,-17.2767,3.2211,-17.7892,-14.0556,3.2211,-23.3529,-7.0278,3.2211,-23.3529,3.2211,-23.3529
sh600078,2026-05-08,09:30,09:35,launch_day,launch_without_probe,直接启动,67.15,10.0339,10.0339,-1.0169,1.0169,11.1186,-2.3051,4.6102,11.1186,-2.3051,-1.5593,14.4407,-5.9661,,,,14.4407,-5.9661
sh600078,2026-05-11,09:30,09:40,launch_day,launch_without_probe,直接启动,68.74,-5.7301,0.9858,-7.2089,-10.4128,0.9858,-11.2138,-0.0616,4.0049,-11.2138,-15.2803,4.0049,-17.1904,,,,4.0049,-17.1904
sh600078,2026-06-03,10:15,10:55,launch_day,launch_without_probe,直接启动,43.14,,,,,,,,,,,,,,,,,
sh600081,2026-05-15,09:40,10:35,launch_day,launch_without_probe,直接启动,19.41,-3.864,0.3091,-4.4822,-6.4142,0.3091,-7.4189,-6.3369,0.3091,-8.0371,-17.5425,0.3091,-18.0835,,,,0.3091,-18.0835
sh600082,2026-05-14,09:30,09:30,probe_candidate,first_probe,首次试盘,77.84,-4.9383,2.716,-4.9383,-4.4444,2.716,-7.6543,-9.3827,2.716,-9.8765,-12.5926,2.716,-14.321,,,,2.716,-14.321
sh600088,2026-05-15,09:35,09:40,launch_day,launch_without_probe,直接启动,49.66,-7.7748,4.5576,-9.9732,-13.5657,4.5576,-14.7989,-15.9249,4.5576,-17.6408,-16.7292,4.5576,-21.2869,,,,4.5576,-21.2869
sh600101,2026-04-02,09:30,09:30,launch_day,launch_without_probe,直接启动,75.49,-9.6386,-0.8032,-9.6386,-6.9277,-0.8032,-12.1486,-7.7309,-0.8032,-12.1486,-6.6265,-0.8032,-12.1486,0.3012,0.7028,-12.1486,-0.8032,-12.1486
sh600101,2026-06-03,13:55,14:00,launch_day,launch_without_probe,直接启动,53.94,,,,,,,,,,,,,,,,,
sh600103,2026-04-17,10:20,10:25,launch_day,launch_without_probe,直接启动,62.94,10.0,10.0,-0.9302,27.907,33.0233,-0.9302,12.7907,33.0233,-0.9302,8.6047,33.0233,-0.9302,4.6512,33.0233,-0.9302,33.0233,-0.9302
sh600103,2026-04-20,13:15,13:20,launch_day,launch_without_probe,直接启动,51.69,9.9366,9.9366,-2.1142,8.6681,20.9302,-2.1142,0.4228,20.9302,-2.1142,3.3827,20.9302,-6.3425,-11.6279,20.9302,-12.2622,20.9302,-6.3425
sh600103,2026-04-21,09:30,10:35,launch_day,launch_without_probe,直接启动,61.09,5.7692,10.0,-4.2308,-6.7308,10.0,-8.6538,-12.6923,10.0,-13.2692,-5.5769,10.0,-14.8077,-18.8462,10.0,-20.7692,10.0,-14.8077
