feature,coef,abs_coef,model_name,target
d3_oib_ratio,1.571316547925694,1.571316547925694,limitup,target_limitup
hot_theme_score,0.36038318454268986,0.36038318454268986,limitup,target_limitup
d1_l2_super_net_ratio,0.31845573788985615,0.31845573788985615,limitup,target_limitup
hot_theme_best_rank,0.29080495680278157,0.29080495680278157,limitup,target_limitup
day_gap_pct,-0.26229926052522273,0.26229926052522273,limitup,target_limitup
oib_ratio,-0.2240527061660708,0.2240527061660708,limitup,target_limitup
l2_main_net_ratio,-0.18191231257071183,0.18191231257071183,limitup,target_limitup
l2_super_net_ratio,0.1794778621291388,0.1794778621291388,limitup,target_limitup
buy_support_ratio,0.16303228513380705,0.16303228513380705,limitup,target_limitup
d1_oib_ratio,0.12070311333966569,0.12070311333966569,limitup,target_limitup
same_day_pullback_ratio,0.11971274407032421,0.11971274407032421,limitup,target_limitup
support_pressure_spread,-0.08319426484798534,0.08319426484798534,limitup,target_limitup
probe_strength_score,0.060841915539843416,0.060841915539843416,limitup,target_limitup
probe_index,-0.05524247034964429,0.05524247034964429,limitup,target_limitup
d3_l2_super_net_ratio,0.03405968888439197,0.03405968888439197,limitup,target_limitup
hot_theme_is_top10,-0.02796003950574638,0.02796003950574638,limitup,target_limitup
amount_vs_day_median,0.019123856208391233,0.019123856208391233,limitup,target_limitup
