symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sh600243,2025-08-22,1,首次试盘,first_probe,0.2976251868170006,13.892745850867971,0.8636363636363629,-1.9565217391304344,4.878048780487809,3.10421286031044,0.6651884700665134,1,1,1,0,0,3.0,16.0,25.0,,
sh600289,2025-04-09,1,首次试盘,first_probe,0.3775392972774062,33.10158149576791,1.111111111111112,-4.040404040404044,9.473684210526322,9.473684210526322,-1.0526315789473717,1,1,1,0,0,3.0,4.0,51.0,32.0,
sh600289,2025-04-25,2,重新试盘,retest_probe,0.4701056238497887,26.926462733695587,0.8571428571428575,-4.966887417218535,6.097560975609739,5.7491289198606355,0.8710801393728262,0,1,1,0,0,37.0,38.0,40.0,20.0,21.0
sh600353,2025-04-08,1,首次试盘,first_probe,0.518517666635413,28.69955200075483,1.0363636363636357,-9.736540664375726,6.979695431472077,3.045685279187804,-0.25380710659898,1,1,1,0,0,17.0,25.0,31.0,1.0,
sh600360,2025-05-06,1,首次试盘,first_probe,0.5634310980119681,22.74777012096218,0.4081632653061215,-5.007824726134579,8.072487644151561,6.0955518945634335,4.777594728171342,1,1,1,0,0,20.0,21.0,32.0,,
sh600381,2025-04-21,1,首次试盘,first_probe,0.4620321203917749,67.26521931019177,0.7500000000000011,-5.063291139240511,5.3333333333333455,4.0000000000000036,1.3333333333333195,0,1,1,0,0,28.0,30.0,33.0,2.0,4.0
sh600408,2025-10-30,1,首次试盘,first_probe,0.3535815304506168,19.61178035304691,2.199999999999998,-3.0985915492957705,5.813953488372103,2.9069767441860517,-6.976744186046502,1,1,1,0,0,3.0,4.0,5.0,,
sh600629,2025-10-09,2,重新试盘,retest_probe,0.2670046051239833,16.787794622006313,1.2857142857142856,1.0805158591843833,8.448275862068954,5.1724137931034475,-2.4137931034482696,1,1,1,0,0,4.0,5.0,5.0,1.0,14.0
sh600653,2024-11-04,1,首次试盘,first_probe,0.2625800983318153,18.489618031993505,0.9166666666666666,-10.080645161290324,10.762331838565032,8.520179372197312,0.8968609865470878,1,1,1,0,0,4.0,4.0,25.0,15.0,44.0
sh600698,2024-09-24,1,首次试盘,first_probe,0.3175806380898185,32.05493275530899,1.0625000000000016,2.844638949671774,6.80851063829786,4.680851063829783,-0.4255319148936287,1,1,1,0,0,5.0,19.0,21.0,,
sh600716,2024-09-25,1,首次试盘,first_probe,2.395482447143865,26.023765554764783,1.105263157894737,2.807017543859658,6.484641638225264,6.484641638225264,-0.6825938566552892,1,1,1,0,0,3.0,4.0,27.0,,
sh600798,2025-05-30,1,首次试盘,first_probe,0.2669745571098036,13.568312271345045,0.9583333333333344,-2.518891687657432,6.266318537859017,5.7441253263707415,-0.7751937984496138,1,1,1,0,0,7.0,11.0,16.0,,
sh600857,2024-11-13,1,首次试盘,first_probe,0.2541600475813442,32.50137252194492,1.2063492063492065,0.898587933247752,8.015267175572527,4.580152671755733,-1.653944020356235,1,1,1,0,0,20.0,21.0,35.0,3.0,
sh600981,2024-09-25,1,首次试盘,first_probe,0.3882577340480077,33.11673656209116,1.0,2.0408163265306145,6.000000000000005,3.499999999999992,0.0,1,1,1,0,0,3.0,4.0,15.0,,
sh603032,2025-07-23,1,首次试盘,first_probe,0.3069280134737985,27.261815227805897,1.3823529411764712,0.0532765050612837,5.4313099041533475,3.1416400425985147,-2.076677316293929,0,1,1,0,0,28.0,28.0,29.0,,
sh603045,2025-04-17,1,首次试盘,first_probe,8.31489458686528,18.06680783274259,0.6868686868686882,0.8528784648187626,6.8370165745856415,6.8370165745856415,4.228329809725162,0,1,1,0,0,32.0,32.0,54.0,,
sh603110,2024-11-20,1,首次试盘,first_probe,0.2768613360909095,19.078883560513468,0.7720588235294126,1.1302795954788891,8.000000000000007,4.823529411764715,1.8235294117646903,1,1,1,0,0,6.0,6.0,55.0,3.0,24.0
sh603122,2025-11-21,1,首次试盘,first_probe,0.4020558357781086,36.1087535842458,1.0,-8.326967150496555,10.271646859083194,5.432937181663844,-1.8333333333333424,1,1,1,0,0,11.0,11.0,20.0,1.0,2.0
sh603416,2025-04-07,1,首次试盘,first_probe,0.2704158178472006,133.4934387646252,1.0337423312883434,-9.807208717518868,6.0594795539033575,4.832713754646845,-0.2044609665427521,1,1,1,0,0,19.0,22.0,23.0,1.0,2.0
sh603683,2025-01-10,1,首次试盘,first_probe,0.7166566298099967,14.742843875971245,0.9677419354838716,-9.056603773584891,6.431535269709543,3.2157676348547604,0.207468879668049,0,1,1,0,0,28.0,29.0,30.0,,
sh605081,2025-04-11,1,首次试盘,first_probe,0.3896510710381611,14.82074250652496,1.3235294117647034,-7.540983606557372,6.028368794326244,4.964539007092195,-1.9503546099290725,0,1,1,0,0,24.0,25.0,29.0,11.0,
sh605298,2025-08-14,1,首次试盘,first_probe,0.254533122346614,21.406553882341537,1.2783018867924527,-1.0915197313182246,8.998302207130738,5.47538200339559,-2.504244482173179,1,1,1,0,0,8.0,9.0,11.0,,
sz000007,2024-09-27,1,首次试盘,first_probe,0.2587428889934403,17.901234682473937,0.4999999999999989,2.0725388601036343,6.72268907563025,6.72268907563025,4.0609137055837685,1,1,1,0,0,2.0,2.0,23.0,,
