symbol,trade_date,event_role,probe_index,sequence_label,eligible_1d,close_1d_pct,high_1d_pct,low_1d_pct,eligible_3d,close_3d_pct,high_3d_pct,low_3d_pct,eligible_5d,close_5d_pct,high_5d_pct,low_5d_pct,eligible_10d,close_10d_pct,high_10d_pct,low_10d_pct,eligible_20d,close_20d_pct,high_20d_pct,low_20d_pct,eligible_40d,close_40d_pct,high_40d_pct,low_40d_pct,days_to_up_0,days_to_up_3,days_to_up_5,days_to_up_8,days_to_up_10,days_to_up_15,days_to_up_20,days_to_down_3,days_to_down_5,days_to_down_8,days_to_down_10,days_to_down_15,ever_recover_10d,ever_recover_20d,ever_up_5_10d,ever_up_8_10d,ever_down_5_10d,ever_down_8_10d,never_recover_10d,never_recover_20d,down5_before_up5_10d,down8_before_up8_10d
sh600165,2025-11-14,first_probe,1,首次试盘,1,-0.9661835748792313,1.449275362318847,-2.657004830917864,1,-1.449275362318836,4.106280193236711,-2.657004830917864,1,-4.1062801932366995,4.106280193236711,-6.28019323671497,1,-4.347826086956519,4.106280193236711,-8.695652173913038,1,-20.531400966183565,4.106280193236711,-28.019323671497574,0,,,,1.0,2.0,30.0,,,,,4.0,4.0,9.0,18.0,18.0,1,1,1,0,1,1,0,0,1,1
sh600178,2025-02-11,first_probe,1,首次试盘,1,-1.5503875968992276,-0.7751937984496138,-3.953488372093017,1,-3.2558139534883734,0.7751937984496138,-4.418604651162794,1,-8.062015503875974,0.7751937984496138,-8.139534883720934,1,-3.7209302325581395,0.7751937984496138,-8.759689922480629,1,-5.038759689922479,0.7751937984496138,-9.302325581395355,1,-21.472868217054263,14.961240310077507,-31.162790697674414,2.0,26.0,27.0,27.0,27.0,,,1.0,5.0,5.0,32.0,38.0,1,1,1,1,1,1,0,0,1,1
sh600200,2025-04-22,first_probe,1,首次试盘,1,9.909909909909898,9.909909909909898,0.45045045045044585,1,-11.036036036036034,9.909909909909898,-11.036036036036034,1,-27.927927927927932,9.909909909909898,-27.927927927927932,1,-37.38738738738739,9.909909909909898,-40.990990990990994,1,-39.86486486486487,9.909909909909898,-49.09909909909911,1,-47.52252252252253,9.909909909909898,-49.77477477477478,1.0,1.0,1.0,1.0,,,,3.0,3.0,3.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0
sh600241,2025-01-02,first_probe,1,首次试盘,1,-9.375,0.0,-9.801136363636365,1,-6.676136363636365,0.0,-17.1875,1,1.1363636363636465,1.1363636363636465,-17.1875,1,0.28409090909089496,4.6875,-17.1875,1,-1.278409090909094,4.6875,-17.1875,1,3.5511363636363535,11.64772727272727,-17.1875,1.0,6.0,30.0,33.0,33.0,,,1.0,1.0,1.0,2.0,2.0,1,1,1,1,1,1,0,0,1,1
sh600243,2025-08-22,first_probe,1,首次试盘,1,5.286343612334798,5.286343612334798,1.541850220264318,1,5.066079295154169,15.41850220264318,1.541850220264318,1,1.982378854625555,15.41850220264318,-0.22026431718060735,1,1.7621145374449254,15.41850220264318,-7.929515418502209,1,21.365638766519822,27.533039647577095,-7.929515418502209,1,19.383259911894267,31.93832599118942,-7.929515418502209,1.0,1.0,1.0,2.0,2.0,3.0,16.0,6.0,7.0,,,,1,1,1,1,1,0,0,0,0,0
sh600289,2025-04-09,first_probe,1,首次试盘,1,4.964539007092195,4.964539007092195,-4.07801418439716,1,15.780141843971652,15.780141843971652,-4.07801418439716,1,27.65957446808511,27.65957446808511,-4.07801418439716,1,12.765957446808528,29.964539007092217,-4.07801418439716,1,0.0,29.964539007092217,-4.07801418439716,1,-1.0638297872340385,29.964539007092217,-14.00709219858156,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,32.0,32.0,33.0,,1,1,1,1,1,1,0,0,0,0
sh600289,2025-04-25,retest_probe,2,重新试盘,1,5.0086355785837755,5.0086355785837755,-0.6908462867012077,1,0.3454231433505983,5.0086355785837755,-5.181347150259064,1,1.899827288428324,5.0086355785837755,-5.181347150259064,1,0.17271157167528806,5.0086355785837755,-5.181347150259064,1,-11.571675302245254,5.181347150259064,-11.571675302245254,1,25.38860103626943,35.75129533678756,-16.23488773747842,1.0,1.0,1.0,34.0,34.0,37.0,38.0,3.0,3.0,20.0,20.0,21.0,1,1,1,1,1,1,0,0,0,1
sh600303,2025-04-21,first_probe,1,首次试盘,1,6.060606060606055,8.080808080808088,-0.2525252525252486,1,14.64646464646464,19.949494949494962,-0.2525252525252486,1,3.0303030303030276,19.949494949494962,-0.2525252525252486,1,7.3232323232323315,19.949494949494962,-2.5252525252525304,1,2.525252525252508,19.949494949494962,-2.5252525252525304,1,-5.303030303030298,19.949494949494962,-6.818181818181824,1.0,1.0,1.0,1.0,2.0,2.0,,39.0,40.0,,,,1,1,1,1,1,0,0,0,0,0
sh600310,2025-04-30,first_probe,1,首次试盘,1,1.6431924882629234,2.5821596244131495,-1.8779342723004744,1,3.7558685446009488,6.103286384976525,-1.8779342723004744,1,3.7558685446009488,6.103286384976525,-1.8779342723004744,1,3.2863849765258246,6.103286384976525,-1.8779342723004744,1,-0.9389671361502372,6.103286384976525,-2.5821596244131273,1,-3.0516431924882625,6.103286384976525,-7.276995305164313,1.0,2.0,2.0,,,,,28.0,29.0,,,,1,1,1,0,1,0,0,0,0,0
sh600353,2025-04-08,first_probe,1,首次试盘,1,-1.526717557251911,0.5089058524172962,-10.050890585241735,1,2.5445292620865256,5.216284987277353,-10.050890585241735,1,5.089058524173029,10.432569974554706,-10.050890585241735,1,5.9796437659032975,10.432569974554706,-10.050890585241735,1,15.64885496183206,19.59287531806615,-10.050890585241735,1,37.913486005089055,44.529262086513974,-10.050890585241735,1.0,2.0,3.0,4.0,4.0,17.0,25.0,1.0,1.0,1.0,1.0,,1,1,1,1,1,1,0,0,1,1
