symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz000031,2025-10-29,2,重新试盘,retest_probe,0.8427852940124696,24.56417984732627,0.5517241379310349,-0.3134796238244419,9.206349206349218,7.619047619047636,3.1446540880503138,0,0,0,0,0,,,,2.0,
sz000504,2025-03-03,3,重新试盘,retest_probe,0.7181739583282908,23.452472072727904,0.7605633802816899,-0.1060445387062514,7.419017763845348,5.224660397074188,3.397027600849256,0,0,0,0,0,,,,25.0,25.0
sz000518,2024-12-25,2,重新试盘,retest_probe,1.2206971780033398,17.663210780973863,0.5000000000000007,-1.2820512820512886,10.84745762711863,7.7966101694915135,0.9740259740259604,0,0,0,0,0,,,,2.0,3.0
sz000545,2024-10-23,2,重新试盘,retest_probe,0.6967228955557845,27.80138513871025,0.4285714285714285,0.4464285714285587,6.278026905829592,4.035874439461873,2.6666666666666616,1,1,1,0,0,7.0,8.0,9.0,51.0,
sz000584,2025-04-10,2,重新试盘,retest_probe,2.0943433110233305,14.06180936984203,0.5714285714285707,-3.703703703703709,8.974358974358964,8.974358974358964,3.8461538461538542,1,0,0,0,0,5.0,6.0,,11.0,12.0
sz000595,2025-05-06,3,重新试盘,retest_probe,1.2292162897613306,117.6505869036816,0.5675675675675673,-4.895104895104896,9.068627450980404,7.843137254901977,3.9215686274509887,1,1,0,0,0,12.0,13.0,,,
sz000620,2025-09-02,2,重新试盘,retest_probe,0.7708973936124224,59.23969986634301,0.7777777777777797,-0.6172839506172867,5.555555555555536,4.320987654320985,1.8633540372670732,1,1,1,0,0,9.0,12.0,30.0,,
sz000880,2025-02-20,2,重新试盘,retest_probe,0.692613744612898,23.244101270951056,0.6687500000000011,2.5099075297225992,6.872852233676974,6.443298969072164,2.27663230240549,1,1,1,0,0,2.0,2.0,3.0,,
sz001282,2025-07-08,3,重新试盘,retest_probe,0.6819767200186413,35.28024986021547,0.7719298245614054,0.5115089514066362,5.711422845691394,4.208416833667328,2.900763358778624,0,0,0,0,0,,,,,
sz001288,2024-12-19,2,重新试盘,retest_probe,0.8163517261996094,18.423938497709525,0.5249999999999984,-0.1924310455420075,5.105296745373322,4.052329291640078,3.149100257069404,0,0,0,0,0,50.0,,,10.0,
sz001288,2025-03-03,3,重新试盘,retest_probe,0.7257813535689199,23.665889852604565,0.7525252525252529,0.0998336106489139,6.485424172944643,6.288896167703895,3.125,1,1,0,0,0,5.0,5.0,,24.0,25.0
sz001318,2025-02-21,2,重新试盘,retest_probe,1.2569477638939714,39.47374295075035,0.7634408602150549,0.171086398631326,7.941929974380879,4.782237403928247,1.8787361229718025,1,1,1,0,0,16.0,17.0,18.0,,
sz002052,2024-12-31,3,重新试盘,retest_probe,0.9385905450119472,50.52771172400756,0.6086956521739136,-5.031446540880502,7.615894039735105,4.304635761589393,2.98013245033113,0,0,0,0,0,,,,19.0,20.0
sz002210,2025-10-31,2,重新试盘,retest_probe,0.8549160635185888,15.771178694789173,0.6818181818181802,-0.4987531172069737,5.32687651331718,3.147699757869238,5.263157894736836,0,0,0,0,0,,,,15.0,30.0
sz002231,2024-12-05,2,重新试盘,retest_probe,0.6959736684435999,15.922776551454058,0.6562499999999993,-0.4950495049504844,5.144694533762073,3.536977491961424,4.975124378109452,1,1,1,0,0,2.0,5.0,6.0,14.0,20.0
sz002269,2025-04-17,2,重新试盘,retest_probe,0.920817182411192,33.30212279576008,0.6666666666666683,-1.6304347826086918,4.86486486486486,3.7837837837837673,3.867403314917128,0,0,0,0,0,,,,5.0,
sz002269,2025-04-21,3,连续试盘,continuous_probe,0.8711955382823544,44.3880319305042,0.6666666666666659,-0.5524861878453025,4.999999999999982,3.3333333333333437,1.6666666666666607,0,0,0,0,0,,,,4.0,
sz002342,2025-10-20,2,重新试盘,retest_probe,0.8060561435098161,34.655381364739696,0.5090909090909089,1.4778325123152802,6.6185318892900025,4.452466907340535,4.126213592233019,0,0,1,0,0,56.0,57.0,58.0,3.0,24.0
sz002374,2025-02-21,2,重新试盘,retest_probe,0.6655133992363148,14.607877696609323,0.4444444444444444,-0.7380073800738018,6.844106463878341,5.703422053231932,1.486988847583648,0,0,0,0,0,,,,24.0,30.0
sz002596,2025-03-10,3,连续试盘,continuous_probe,0.7625925416207863,17.558470087481727,0.7916666666666672,0.2770083102493048,6.557377049180313,4.371584699453535,2.4861878453038555,0,0,0,0,0,,,,11.0,19.0
sz002640,2025-01-13,3,重新试盘,retest_probe,0.9171117066416504,14.444200828137518,0.4166666666666673,-2.4498886414254017,8.47058823529412,7.76470588235294,1.82648401826484,1,1,0,0,0,2.0,3.0,,29.0,44.0
sz002713,2025-04-28,2,重新试盘,retest_probe,1.0217847264671582,14.937952003263897,0.5357142857142865,-1.2820512820512775,7.14285714285714,6.1224489795918435,5.1948051948051965,1,1,1,0,0,3.0,4.0,6.0,,
sz002799,2024-09-20,2,连续试盘,continuous_probe,0.9337513548025802,18.330068374689088,0.6923076923076917,-0.7163323782235054,5.603448275862055,5.028735632183912,2.164502164502169,1,1,1,0,0,7.0,7.0,32.0,,
sz002855,2025-06-18,2,重新试盘,retest_probe,0.9845690349329624,22.844982116585893,0.6589595375722545,-0.3255561584373234,9.366540335679474,8.446128857606938,3.7561241154055343,0,0,0,0,0,,,,29.0,
sz002910,2025-04-24,3,连续试盘,continuous_probe,0.7927424138181238,39.96700787449014,0.7868852459016408,-5.590062111801252,6.785317018909898,5.22803114571746,0.0,0,0,0,0,0,56.0,,,2.0,
sz002919,2025-10-13,2,重新试盘,retest_probe,0.7415118848879949,13.988742823056372,0.4222222222222218,-3.8461538461538542,5.624999999999991,4.937499999999995,3.2499999999999973,1,1,1,0,0,20.0,21.0,25.0,,
sz003036,2025-08-08,2,重新试盘,retest_probe,0.7135246174429662,19.247396920928743,0.458904109589042,-9.327217125382267,8.206857785272636,3.4288926363125416,4.44069702079819,0,0,0,0,1,23.0,,,3.0,14.0
sz003040,2025-08-12,2,重新试盘,retest_probe,1.737204130963265,13.798155400693236,0.5638766519823795,-1.3883677298311303,8.543470079036508,7.790741437711701,4.87062404870624,0,0,0,0,0,,,,11.0,12.0
