symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,limitup_probability,limitup_probability_sample_split,trend20_probability,trend20_probability_sample_split,target_limitup,target_limitup_extend,target_trend20,target_trend40,high_20d_pct,high_40d_pct,entry_close_1d_pct,entry_close_3d_pct,entry_close_5d_pct,entry_close_10d_pct,entry_high_10d_pct,entry_low_5d_pct,entry_t5s5,entry_t8s8,d1_oib_ratio,d3_oib_ratio,d5_oib_ratio,d1_l2_super_net_ratio,d3_l2_super_net_ratio,d5_l2_super_net_ratio,d1_l2_main_net_ratio,d3_l2_main_net_ratio,d5_l2_main_net_ratio,buy_support_ratio,sell_pressure_ratio,support_pressure_spread,add_buy_ratio,cancel_sell_ratio,close_book_imbalance_ratio,avg_book_imbalance_ratio,close_bid_ask_amount_ratio,price_position_20d,price_position_60d,breakout_vs_prev20_high_pct,drawdown_from_20d_high_pct,amount_vs_day_median,positive_oib_bar_ratio,positive_l2_bar_ratio,oib_top3_concentration_ratio,market_limit_up_count,market_broken_limit_up_ratio,market_advancer_ratio,hot_theme_is_new_hot,hot_theme_is_continuing_hot,hot_theme_is_fading,csi1000_above_ma20,csi1000_return_5d_pct,csi500_return_5d_pct,hs300_return_5d_pct,gem_index_return_5d_pct
sh600165,2025-11-14,1.0,0.4280522184466016,0.7727272727272733,0.0,82.32687408735353,336.0,41.7,0.0,0,0,1,0.2571428571428571,valid,0.0925925925925925,valid,0,0,0,0,4.106280193236711,7.246376811594213,-0.7263922518159882,-1.2106537530266248,-3.874092009685226,-4.1162227602905554,4.358353510895885,-6.0532687651331685,-5,-8,-0.04835793836183568,0.07521292122140612,0.004701434327608406,-0.07227179042730379,-0.11522889327274477,0.014705595266104945,-0.23324302285475376,-0.28089096772557476,-0.07999956678113083,0.5780413785162236,0.5750457295205943,0.0029956489956293186,1.4768825610643528,0.3916522725071274,-0.542712604846708,-0.43656806216821664,0.2964177473604881,1.0,0.6931818181818178,0.7299270072992581,-3.944315545243615,28.125936452933747,0.4583333333333333,0.22727272727272727,0.578307874439347,62,0.3333333333333333,0.38345391632588866,0.0,0.0,0.0,1,-0.5187209339636567,-1.261602420160457,-1.0826421438821954,-3.0141053611369095
sh600178,2025-02-11,1.0,0.31421367860105126,0.8404255319148931,-1.0861132660977546,77.75241689271613,205.0,52.4,0.0,1,0,0,0.2938144329896907,train,0.1388888888888889,train,0,0,0,0,0.7751937984496138,14.961240310077507,1.51878497202238,-0.23980815347721673,-5.195843325339733,-0.7194244604316502,3.9168665067945696,-5.275779376498802,-5,0,0.07042438626720857,0.05607199183763016,0.13374332789832613,0.013768313878134169,-0.07481109296491059,-0.018149282755731355,-0.03156344531025851,-0.09366990692667813,-0.08742458008927816,0.6008940717357945,0.46236593631250905,0.1385281354232854,1.31348912054158,0.39534369906411787,0.1226968910248034,0.20657669224560118,1.2797137950830455,1.0,1.0,0.07757951900697613,-5.770635500365229,31.766198500105325,0.7708333333333334,0.4375,0.5974157133003103,61,0.34408602150537637,0.34594765058341215,0.0,0.0,1.0,1,5.886097539122281,4.811608276264012,1.7305111902023995,4.308152082456407
sh600200,2025-04-22,1.0,0.2764969705825365,0.5199999999999996,-7.889125799573559,68.67323976938077,,,,1,0,0,,,,,1,0,0,0,9.909909909909898,9.909909909909898,9.172259507829983,-11.633109619686788,-28.411633109619682,-37.80760626398211,9.172259507829983,-28.411633109619682,5,8,0.5946637336741755,-5.016085491195766,-7.316510848029504,0.33271707279237284,-0.07106004769130718,-0.07581850638523256,0.37354659085595815,-0.29313895512681554,-0.34868666261255077,0.6078637213929536,0.5004621780424443,0.10740154335050933,2.2827775120331317,0.3495758503421784,0.17020967631001135,0.31017480313500134,1.4102474358898454,0.0,0.0,-19.85559566787003,-21.5547703180212,15.287659849006976,0.5833333333333334,0.425531914893617,0.4265940882605978,71,0.2828282828282828,0.5232080833596463,,,,0,0.5966102362102266,0.3868785089032878,0.6039878180431613,-0.10194263425485905
sh600241,2025-01-02,1.0,0.48039836392051494,0.4848484848484852,-13.32470892626132,77.26732669698855,28.0,71.6,0.0,0,0,1,0.472,train,0.5208333333333335,train,1,0,0,0,4.6875,11.64772727272727,-4.491017964071853,-1.6467065868263409,6.586826347305386,5.688622754491024,10.32934131736527,-12.72455089820359,5,-8,0.11105102913631971,-0.12231638524121854,1.2354544361753141,-0.01978633138829653,0.0,0.4043641021457989,-0.06005425586019292,0.08352339904317,0.3224557014414147,0.5684041389923087,0.5579792976998479,0.010424841292460796,4.079756567759185,0.35451309907126255,0.28202212848667624,0.16109379361651566,1.7856011715019624,0.0,0.0,,-4.34782608695653,41.764453034268776,0.22916666666666666,0.8518518518518519,0.89639309877344,0,,0.0,0.0,0.0,0.0,0,-4.882902428485824,-5.042070778382213,-4.145742010966358,-6.398676052652618
sh600243,2025-08-22,1.0,0.2976251868170006,0.8636363636363629,-1.9565217391304346,69.19011238596278,158.0,64.1,0.0,0,0,1,0.2571428571428571,train,0.0895522388059701,train,0,0,1,1,27.533039647577095,31.93832599118942,3.6876355748373113,3.4707158351409806,0.433839479392617,0.2169197396963085,13.665943600867681,-1.7353579175705014,5,8,-0.13664608337847775,0.17501406338718575,0.043780267704178526,-0.10108037602140413,-0.03410136474689215,0.03718502240311084,-0.0464809248233894,-0.07001281844964925,0.026273989700251524,0.6481377940037455,0.4748991274878384,0.17323866651590708,1.2381516467946925,0.3469134268243327,0.5253733623141029,0.29946550746375583,3.2138385020934686,0.9580419580419584,0.9622641509433965,-1.304347826086949,-4.016913319238913,13.892745850867973,0.5833333333333334,0.43478260869565216,0.35529339933436777,57,0.20833333333333334,0.46471329552615,0.0,0.0,1.0,1,3.448383125599608,3.8711150219910895,4.179667616237781,5.8532517339565215
sh600289,2025-04-09,1.0,0.3775392972774062,1.111111111111112,-4.040404040404044,85.71377786079103,88.0,72.3,0.0,0,0,0,0.0,train,0.575,train,0,0,1,0,29.964539007092217,29.964539007092217,4.778761061946901,15.575221238938042,27.43362831858407,12.566371681415923,29.734513274336273,-4.2477876106194685,5,8,-0.0807642790861981,-14.627808071803173,-0.006508532682946489,0.0473782660678874,0.745863049114586,-0.012703778199399236,0.05296624955178221,0.38633575956107546,-0.17095262535900124,0.5178949037473212,0.4140498493839459,0.10384505436337527,1.5700193783150687,0.6640232044852961,0.03376796764397839,0.005016678433247626,1.0698961874854012,0.0,0.5150684931506849,-38.56209150326797,-41.49377593360997,33.10158149576791,0.5833333333333334,0.2978723404255319,0.6650907157612447,95,0.3115942028985507,0.7822936357908002,0.0,0.0,0.0,0,-9.699737540657916,-7.68861560404166,-5.167338570538693,-11.585911416924443
sh600289,2025-04-25,2.0,0.4701056238497887,0.8571428571428575,-4.966887417218535,85.26645671367017,125.0,64.3,0.0,1,0,0,0.472,train,0.575,train,0,0,0,1,5.181347150259064,35.75129533678756,5.555555555555558,0.868055555555558,2.430555555555558,0.694444444444442,5.555555555555558,-4.687499999999989,5,0,0.18876785217954126,-0.08845815275379842,-0.5219891409657508,0.0893261328283688,-0.07062106047206064,-0.0801524150730912,0.007635503138585469,0.016804313618587967,0.01489740330451321,0.6365173544216101,0.43916061181667876,0.1973567426049313,1.3420854540273408,0.43377461258435146,0.3942793710239676,0.4884718948643764,2.3018522142476634,0.0738916256157637,0.5086956521739131,-24.609375,-24.51108213820078,26.926462733695587,0.6875,0.4634146341463415,0.5367411759886143,61,0.35789473684210527,0.560744714420953,0.0,0.0,0.0,1,1.8487823823326366,1.1951634254890875,0.3835814917496849,1.7354767039688968
sh600303,2025-04-21,1.0,0.4085997086749337,0.47058823529411764,-4.060913705583758,77.95520944965494,100.0,70.7,0.0,0,0,0,0.4677419354838709,train,0.2,train,0,0,0,0,19.949494949494962,19.949494949494962,6.329113924050622,14.936708860759484,3.2911392405063244,7.594936708860756,20.253164556962023,0.0,5,8,-0.08684829777306921,-0.01608795422524706,-0.08581932240290147,-0.02600104664469385,0.03682994493708206,-0.09389985103334733,-0.07453884803998369,0.0032577209636435586,-0.04318605664498795,0.5280551179545688,0.44034912720032254,0.08770599075424629,1.3482839817557721,0.6100297415070214,-0.2778118886615355,-0.16016706272318454,0.56517560819921,1.0,1.0,0.50761421319796,-3.8834951456310662,23.88643129367034,0.4166666666666667,0.12244897959183673,0.6894276023322321,89,0.2457627118644068,0.7667822250236369,0.0,0.0,0.0,0,0.23762124683393004,0.27088373084895867,0.6846881184755516,0.5900525150463354
sh600310,2025-04-30,1.0,0.559467060849642,0.6086956521739144,-9.740259740259749,71.88016110554157,499.0,30.5,0.0,1,0,0,0.472,train,0.5208333333333335,train,0,0,0,0,6.103286384976525,6.103286384976525,1.6431924882629234,3.7558685446009488,3.7558685446009488,3.2863849765258246,6.103286384976525,-1.8779342723004744,5,0,0.05829688678400147,-0.06840202802321775,0.09824048612007474,0.036818881272597255,0.04718940096859116,-0.059929233989265494,0.014981945516696975,0.0567348974040727,-0.05609115831908321,0.692018931115451,0.42985544993843805,0.26216348117701294,1.3599898426717336,0.31503749180649226,0.415643466694805,0.5050739081621933,2.422568048803605,0.17557251908396918,0.19999999999999973,-20.2247191011236,-23.24324324324325,17.342232514227877,0.7083333333333334,0.5,0.5405344185278013,63,0.3076923076923077,0.5486331849968213,0.0,0.0,0.0,1,-0.5759197971227259,-0.055436174600853594,-0.4307474665703914,-0.058127529131091205
sh600353,2025-04-08,1.0,0.518517666635413,1.0363636363636357,-9.736540664375726,79.39053295639044,300.0,46.2,0.0,1,0,0,0.472,train,0.5,train,0,0,0,1,19.59287531806615,44.529262086513974,6.318681318681318,10.71428571428572,13.461538461538458,14.423076923076916,19.23076923076923,-2.8846153846153855,5,8,0.011558456458166243,-0.12914466667747057,0.11154441439253474,0.0070101252049205596,0.004860451562129485,-0.05021462056679812,-0.00017126971913063326,-0.037352879335589236,-0.1228411631371923,0.5421242456130851,0.5504459835412261,-0.008321737928140949,2.2309618333725214,0.49348960757146254,-1.0,-0.5113573522305077,0.0,0.005405405405405772,0.3866666666666668,-18.969072164948443,-22.941176470588232,28.69955200075483,0.375,0.37209302325581395,0.609481469574522,106,0.20300751879699247,0.41028066855881423,0.0,0.0,0.0,0,-11.187878462006717,-9.062457380340906,-6.0851042943472216,-12.520157948474264
