model_name,pool,bucket,sample_count,avg_probability,hit_rate,extra_rate,entry_5d_avg_pct,entry_10d_avg_pct,entry_5d_win_rate,entry_5d_low_le_-5_rate,entry_10d_high_ge_5_rate
limitup_base_q1_2026,limitup,low,48,0.2449787163847913,0.3333333333333333,0.041666666666666664,-1.8789597584744608,-0.8118592211093674,0.3125,0.5416666666666666,0.4375
limitup_base_q1_2026,limitup,mid,47,0.3608836277234121,0.2127659574468085,0.0,-0.6009670390581605,-1.3710960806403838,0.425531914893617,0.574468085106383,0.46808510638297873
limitup_base_q1_2026,limitup,high,48,0.5063829048571765,0.4791666666666667,0.08333333333333333,3.1279851733824398,2.5866344195346014,0.7291666666666666,0.3541666666666667,0.7708333333333334
limitup_strengthened_v2_q1_2026,limitup,low,21,0.1932304143045242,0.2857142857142857,0.0,-2.4806263685819663,-1.5933346253025242,0.14285714285714285,0.5714285714285714,0.3333333333333333
limitup_strengthened_v2_q1_2026,limitup,mid,20,0.3290787623066105,0.2,0.05,-1.1589806939426373,-3.6529748369154262,0.35,0.7,0.55
limitup_strengthened_v2_q1_2026,limitup,high,21,0.5842187700180898,0.6190476190476191,0.0,1.0258148080567107,4.229740711008548,0.5714285714285714,0.6666666666666666,0.5714285714285714
trend_base_q1_2026,trend,low,48,0.12430483143233517,0.20833333333333334,0.125,-2.2699826297356105,-2.348568305292498,0.3125,0.6041666666666666,0.4583333333333333
trend_base_q1_2026,trend,mid,47,0.33704590211416185,0.0851063829787234,0.10638297872340426,-0.3669816131045947,-0.5566090852587082,0.48936170212765956,0.5106382978723404,0.574468085106383
trend_base_q1_2026,trend,high,48,0.5712907262872383,0.3541666666666667,0.2916666666666667,3.2898973150640565,3.325824987406508,0.6666666666666666,0.3541666666666667,0.6458333333333334
trend_strengthened_v3_q1_2026,trend,low,21,0.15797561758527306,0.19047619047619047,0.19047619047619047,-2.3098660720322775,-1.1893973945867038,0.19047619047619047,0.6666666666666666,0.38095238095238093
trend_strengthened_v3_q1_2026,trend,mid,20,0.4857581506667065,0.05,0.1,-3.2138249951403908,-2.295437211545303,0.15,0.7,0.3
trend_strengthened_v3_q1_2026,trend,high,21,0.7346397563788869,0.42857142857142855,0.23809523809523808,2.8120490840763117,2.532910503749753,0.7142857142857143,0.5714285714285714,0.7619047619047619
