feature,coef,abs_coef,model_name,target
d3_oib_ratio,0.7760994765420739,0.7760994765420739,trend20,target_trend20
amount_vs_day_median,-0.5437439088008783,0.5437439088008783,trend20,target_trend20
hot_theme_score,0.5218941115529157,0.5218941115529157,trend20,target_trend20
d1_oib_ratio,0.5194782999735221,0.5194782999735221,trend20,target_trend20
price_position_20d,-0.5056464460907016,0.5056464460907016,trend20,target_trend20
d1_l2_super_net_ratio,0.5010849960397158,0.5010849960397158,trend20,target_trend20
hot_theme_best_rank,0.48326615365825953,0.48326615365825953,trend20,target_trend20
d3_l2_super_net_ratio,0.38957655515471246,0.38957655515471246,trend20,target_trend20
d5_oib_ratio,0.32232561699443507,0.32232561699443507,trend20,target_trend20
oib_ratio,-0.28653115326495326,0.28653115326495326,trend20,target_trend20
l2_super_net_ratio,0.27536890383347545,0.27536890383347545,trend20,target_trend20
support_pressure_spread,0.2657384055320831,0.2657384055320831,trend20,target_trend20
probe_strength_score,0.24969600579634474,0.24969600579634474,trend20,target_trend20
day_gap_pct,0.14382502483530082,0.14382502483530082,trend20,target_trend20
hot_theme_is_top10,-0.13096272044920165,0.13096272044920165,trend20,target_trend20
d5_l2_super_net_ratio,0.12938359943223382,0.12938359943223382,trend20,target_trend20
probe_index,-0.12617655257767943,0.12617655257767943,trend20,target_trend20
l2_main_net_ratio,-0.11784043365455399,0.11784043365455399,trend20,target_trend20
same_day_pullback_ratio,0.04840707091446047,0.04840707091446047,trend20,target_trend20
buy_support_ratio,0.01372916902187767,0.01372916902187767,trend20,target_trend20
drawdown_from_20d_high_pct,0.008033301504654228,0.008033301504654228,trend20,target_trend20
