review_group,symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,hot_theme_best_rank,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,target_trend20
success,sz000880,2025-02-20,2.0,0.692613744612898,0.6687500000000011,2.5099075297225992,77.0,1,0,0,1.0,1
success,sz002552,2025-07-07,1.0,0.5579751900547496,0.786259541984732,-0.5471956224350261,312.0,1,0,1,1.0,1
success,sz002713,2025-04-28,2.0,1.0217847264671582,0.5357142857142865,-1.2820512820512775,72.0,1,1,1,1.0,1
success,sz000151,2024-09-06,1.0,0.463347359710016,0.9285714285714277,-0.11001100110010764,97.0,1,0,0,1.0,1
success,sz002816,2025-04-28,1.0,0.5094431815004996,0.8243243243243233,-0.27247956403269047,443.0,1,1,1,1.0,1
success,sz002693,2024-11-13,2.0,0.5159311937635118,1.8409090909090904,0.64179703168874,407.0,0,0,1,1.0,1
success,sz002291,2025-01-09,2.0,0.3474370739441862,0.5121951219512193,-1.1437908496732097,68.0,0,1,1,1.0,1
success,sz000935,2024-10-15,1.0,0.4407664404250269,0.6704545454545441,2.2397891963109373,59.0,1,0,1,1.0,1
success,sz002667,2024-09-10,1.0,0.5934585509349213,1.4210526315789478,0.15384615384614886,357.0,1,0,0,1.0,1
success,sz002547,2024-09-20,1.0,1.0950131989636067,0.5555555555555545,0.0,75.0,1,0,0,1.0,1
success,sz002205,2024-12-17,1.0,0.6230104188366594,0.7200000000000006,-0.583657587548625,147.0,1,0,0,1.0,1
success,sz000632,2025-10-31,3.0,0.26256156280746257,0.7916666666666676,1.7241379310344973,91.0,1,0,1,1.0,1
success,sz002194,2025-04-17,1.0,0.6893633511127215,0.8750000000000003,-0.583657587548625,159.0,1,0,0,1.0,1
success,sz000695,2024-11-15,1.0,0.49579180695932173,0.8461538461538459,-9.95184590690209,198.0,1,1,1,1.0,1
success,sz002777,2024-10-11,2.0,0.48060439987964476,1.2812499999999993,-5.008347245409006,280.0,0,1,0,0.7241379310344828,1
success,sz002582,2025-02-26,1.0,0.4449820267878475,0.8243243243243233,1.7989417989418,151.0,1,0,0,0.7241379310344828,1
success,sz000608,2024-11-13,2.0,0.591255405542504,1.0,-5.128205128205132,548.0,0,1,0,0.7241379310344828,1
success,sz000632,2025-10-27,2.0,0.33271866248429666,0.9696969696969704,0.2336448598130758,87.0,0,0,1,0.7241379310344828,1
success,sz000818,2025-02-12,1.0,0.28037789318159234,0.7683615819209039,0.14787430683917968,80.0,1,1,1,0.7241379310344828,1
success,sz000635,2024-11-01,1.0,0.39457146576224716,0.9210526315789469,0.5720823798626817,93.0,1,0,1,0.7241379310344828,1
success,sz000595,2024-09-13,1.0,0.9726749982656627,0.7368421052631587,0.4089979550102374,258.0,1,1,1,0.7241379310344828,1
success,sz000564,2024-11-01,1.0,0.4116793441934601,0.6999999999999993,0.0,19.0,0,1,1,0.7241379310344828,1
success,sz002326,2025-11-06,1.0,0.26308242069279575,0.4336283185840729,0.5431830526887671,26.0,1,1,1,0.7241379310344828,1
success,sz000908,2024-10-08,1.0,0.6333109835296956,1.0,-4.985337243401755,170.0,1,1,0,0.7241379310344828,1
success,sz002376,2025-06-09,1.0,0.5691221076801017,0.8536585365853668,0.28288543140027045,5.0,0,0,0,0.7241379310344828,1
success,sz001269,2025-04-08,2.0,0.4258039770928464,1.0079999999999985,-9.941520467836263,369.0,0,1,0,0.7241379310344828,1
success,sz002633,2025-05-26,1.0,0.3842254785187854,0.8571428571428563,-0.07352941176470562,151.0,0,0,1,0.7241379310344828,1
success,sz002029,2025-09-23,3.0,0.4610970162844141,0.5529411764705872,-0.9345794392523366,130.0,1,0,0,0.7241379310344828,1
success,sz000670,2024-09-23,1.0,1.0249590240216537,0.4090909090909089,0.9111617312072884,91.0,0,1,0,0.7241379310344828,1
success,sz002153,2025-11-19,1.0,0.5043131826231741,0.8809523809523814,3.4451495920217567,24.0,0,1,1,0.7241379310344828,1
failure,sz002636,2025-11-07,1.0,0.5336206206492291,1.1609195402298855,-2.8268551236749095,572.0,1,0,0,1.0,0
failure,sz000619,2025-01-09,4.0,0.7768931039749328,0.6346153846153852,0.14903129657226621,376.0,0,1,1,0.7241379310344828,0
