symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,drawdown_pct,drawdown_start_date,drawdown_end_date,drawdown_start_price,drawdown_end_price,period_return_pct,amount_avg,anchor_date_for_audit,candidate_count,candidate_dates,has_pullback_confirm_candidate,candidate_only_filter_reasons,m04b_trade_count,m04b_entry_dates,m04b_best_return_pct,m04b_worst_return_pct,m04b_exit_reasons,nearest_date,stage_status,setup_score_at_anchor,candidate_ok_at_anchor,primary_anchor_reason,anchor_total_amount,anchor_distribution_score,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,miss_or_hit_status,primary_reason_bucket,recommended_owner,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_launch3_add_buy_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,anchor_launch_cancel_buy_to_add_buy,anchor_launch_cancel_buy_to_add_buy_vs_hist
sz000638,*ST万方,28.35,2026-03-20,2026-03-25,1.27,1.63,-61.47,2026-03-02,2026-04-13,2.31,0.89,-61.47,17728015.5,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,42.25,False,成交额<2.5亿;setup_score<50;前5日涨幅>8,2960265.0,60.29,-19.27,0.13211,0.08513,21.5,-0.24156,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz002207,准油股份,28.9,2026-03-02,2026-03-05,12.42,16.01,-59.53,2026-03-05,2026-04-24,16.01,6.48,-46.86,432382925.11,2026-03-05,4,"2026-04-08,2026-04-09,2026-04-13,2026-04-23",False,,0,,,,,2026-03-05,setup_rejected,10.8,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,1505662906.95,54.33,34.44,-0.3392,-0.35929,30.7,-0.3152,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz000004,*ST国华,26.49,2026-04-13,2026-04-17,3.02,3.82,-56.63,2026-03-02,2026-04-24,6.71,2.91,-55.64,32212697.71,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,60.55,False,成交额<2.5亿,19047177.0,86.0,-45.75,0.38238,0.35252,-17.66,0.12017,2026-03-09,2026-03-11,2026-03-26,pullback_absorption_confirm,not_traded,,S01未交易，无需处理,10.26,0.0,-0.04863,0.06599,2.24707,0.01176,0.03717,-0.10284,22.0,0.00019,2.3824
sh600193,*ST创兴,20.0,2026-03-04,2026-03-17,4.15,4.98,-54.22,2026-03-17,2026-04-24,4.98,2.28,-46.98,33448696.88,2026-03-17,0,,False,,0,,,,,2026-03-17,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;前20日涨幅>12;资金价格背离不足,68459825.0,71.9,13.44,-0.13421,-0.17151,6.18,-0.06805,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600355,*ST精伦,28.57,2026-03-20,2026-03-25,0.7,0.9,-53.23,2026-03-02,2026-04-03,1.24,0.58,-53.23,24777486.27,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,50.71,False,成交额<2.5亿,4722664.0,76.0,-43.48,0.34702,0.3162,-5.8,-0.01045,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600696,*ST岩石,40.82,2026-04-17,2026-04-24,0.98,1.38,-51.72,2026-03-02,2026-04-17,2.03,0.98,-30.65,9998848.91,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,32.36,False,成交额<2.5亿;setup_score<50,16230076.99,35.32,-4.11,0.04571,0.04164,-0.94,0.0094,2026-03-09,2026-03-11,2026-03-20,pullback_absorption_confirm,not_traded,,S01未交易，无需处理,5.0,0.0,0.0,0.05691,1.86136,0.0,0.01383,-0.09719,52.0,0.63159,1.1788
sz002634,棒杰股份,67.59,2026-03-23,2026-04-08,5.77,9.67,-51.09,2026-04-08,2026-04-23,9.67,4.73,-26.6,184661818.21,2026-04-08,1,2026-04-20,False,,0,,,,,2026-04-08,setup_rejected,8.62,False,setup_score<50;前20日涨幅>12;资金价格背离不足,262840571.0,23.22,18.15,-0.18869,-0.19955,-1.68,-0.0182,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz002542,*ST中岩,27.21,2026-03-23,2026-04-01,2.83,3.6,-50.56,2026-04-01,2026-04-23,3.6,1.78,-46.25,136757312.95,2026-04-01,4,"2026-04-13,2026-04-14,2026-04-17,2026-04-21",False,,0,,,,,2026-04-01,setup_rejected,27.72,False,setup_score<50;前5日涨幅>8,421306671.05,52.17,2.18,0.04363,0.00965,8.97,0.17787,2026-04-03,2026-04-08,,no_pullback_confirm,not_traded,,S01未交易，无需处理,4.17,0.0,0.02315,-0.01257,1.65115,,,,,0.00023,0.0427
sz001207,联科科技,32.55,2026-03-03,2026-03-12,25.9,34.33,-50.04,2026-03-12,2026-04-23,34.33,17.15,-33.52,198121887.44,2026-03-12,0,,False,,0,,,,,2026-03-12,setup_rejected,5.59,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,603947466.27,22.0,14.88,-0.1173,-0.1227,12.89,-0.05708,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600734,实达集团,11.22,2026-03-04,2026-03-10,3.92,4.36,-47.76,2026-03-02,2026-04-24,4.46,2.33,-44.93,239800640.56,2026-03-02,3,"2026-04-21,2026-04-23,2026-04-24",False,,0,,,,,2026-03-02,setup_rejected,10.07,False,setup_score<50,489335982.3,74.0,-2.98,0.02609,0.00061,0.88,-0.00512,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz001209,洪兴股份,19.54,2026-03-02,2026-03-02,29.27,34.99,-46.98,2026-03-02,2026-03-23,34.99,18.55,-29.04,119686630.94,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,0.34,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,699202023.26,60.0,55.67,-0.47458,-0.48407,31.39,-0.15523,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh603358,华达科技,41.03,2026-03-27,2026-04-20,27.3,38.5,-46.55,2026-03-10,2026-03-27,51.08,27.3,-27.98,493473273.02,2026-03-10,3,"2026-03-27,2026-03-30,2026-03-31",True,,2,"2026-04-03,2026-04-03",-4.7,-4.7,hard_stop_8pct,2026-03-10,setup_rejected,9.83,False,setup_score<50;资金价格背离不足,428642487.46,64.87,-1.22,-0.02215,-0.00917,-0.9,-0.10737,,,,no_launch,mis_entry,确认日出货分偏高;买入后累计超大单从峰值明显回撤;硬止损退出,S04风险退出/诱多识别优先,,,,,,,,,,,
sh603272,联翔股份,75.87,2026-03-23,2026-04-10,21.05,37.02,-45.76,2026-04-10,2026-04-23,37.02,20.08,-1.73,158084993.04,2026-04-10,0,,False,,0,,,,,2026-04-10,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;前20日涨幅>12;资金价格背离不足,162572621.0,26.0,42.41,-0.42402,-0.42947,6.13,-0.05045,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz001225,和泰机电,15.51,2026-03-23,2026-03-31,44.75,51.69,-45.39,2026-03-02,2026-03-23,81.95,44.75,-37.47,81672125.16,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;资金价格背离不足,117588371.07,73.55,1.42,-0.04956,-0.03142,3.3,-0.07867,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh603189,网达软件,21.44,2026-03-17,2026-03-19,18.19,22.09,-45.36,2026-03-19,2026-04-24,22.09,12.07,-38.94,223762113.38,2026-03-19,0,,False,,0,,,,,2026-03-19,setup_rejected,41.94,False,setup_score<50,886738569.86,29.01,-5.28,0.04441,0.03515,0.4,0.02117,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh605081,*ST太和,29.3,2026-04-07,2026-04-17,5.87,7.59,-45.03,2026-03-02,2026-04-24,10.66,5.86,-43.87,18802915.78,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,10.07,False,成交额<2.5亿;setup_score<50;前5日涨幅>8,29000624.73,84.51,-7.19,0.07563,0.01884,11.81,-0.02969,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh603008,喜临门,15.15,2026-03-09,2026-03-20,18.42,21.21,-44.88,2026-03-20,2026-04-07,21.21,11.69,-39.7,259950775.77,2026-03-20,2,"2026-04-09,2026-04-10",False,,0,,,,,2026-03-20,setup_rejected,13.22,False,成交额<2.5亿;setup_score<50,183381920.77,52.0,-2.14,0.00245,0.04668,7.4,-0.06614,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz000818,航锦科技,23.98,2026-03-04,2026-03-09,20.89,25.9,-44.79,2026-03-09,2026-04-24,25.9,14.3,-36.97,845631417.46,2026-03-09,4,"2026-04-09,2026-04-10,2026-04-13,2026-04-14",False,,0,,,,,2026-03-09,setup_rejected,15.36,False,setup_score<50,2527974051.31,55.86,11.13,-0.08353,-0.10564,2.86,0.02077,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh603813,*ST原尚,61.05,2026-04-03,2026-04-24,21.72,34.98,-43.98,2026-03-09,2026-04-03,38.77,21.72,1.59,24540792.18,2026-03-09,0,,False,,0,,,,,2026-03-09,setup_rejected,5.47,False,成交额<2.5亿;setup_score<50;前5日涨幅>8,44085000.0,68.55,-4.57,0.02957,-0.03352,15.96,-0.16532,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz000510,新金路,15.02,2026-03-23,2026-04-09,13.78,15.85,-43.91,2026-03-03,2026-04-24,23.5,13.18,-38.75,872295495.6,2026-03-03,1,2026-03-27,True,,1,2026-04-10,-13.07,-13.07,hard_stop_8pct,2026-03-03,setup_rejected,10.35,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,2579552753.07,55.34,13.16,-0.13666,-0.13963,27.99,-0.22172,,,,no_launch,mis_entry,启动期撤买/新增买相对历史偏高但未过1.5;确认日出货分偏高;硬止损退出,S04风险退出/诱多识别优先,,,,,,,,,,,
sh600759,洲际油气,33.09,2026-03-02,2026-03-05,6.83,9.09,-43.89,2026-03-05,2026-04-24,9.09,5.1,-24.3,3658757999.28,2026-03-05,7,"2026-04-02,2026-04-09,2026-04-10,2026-04-13,2026-04-20,2026-04-21,2026-04-23",False,,0,,,,,2026-03-05,setup_rejected,2.83,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,12265452072.43,72.05,45.17,-0.42205,-0.45937,36.08,-0.28314,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600491,龙元建设,17.23,2026-03-23,2026-03-31,2.67,3.13,-43.15,2026-03-10,2026-04-24,3.36,1.91,-40.25,85563872.29,2026-03-10,0,,False,,0,,,,,2026-03-10,setup_rejected,1.95,False,成交额<2.5亿;setup_score<50;资金价格背离不足,88876033.0,52.01,2.48,-0.04103,-0.01709,6.11,-0.12736,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600599,*ST熊猫,62.92,2026-03-10,2026-03-30,4.18,6.81,-42.58,2026-03-30,2026-04-20,6.81,3.91,-16.08,15839953.84,2026-03-30,0,,False,,0,,,,,2026-03-30,setup_rejected,14.49,False,成交额<2.5亿;setup_score<50;前5日涨幅>8,62301398.51,95.6,-8.33,0.07788,0.04403,21.54,-0.13059,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sz000020,深华发Ａ,87.03,2026-03-04,2026-03-23,13.72,25.66,-42.56,2026-03-23,2026-04-03,25.66,14.74,6.09,161352840.49,2026-03-23,0,,False,,0,,,,,2026-03-23,setup_rejected,13.27,False,setup_score<50;前20日涨幅>12;前5日涨幅>8,972958625.58,60.0,52.48,-0.3317,-0.42711,46.36,0.17911,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
sh600301,华锡有色,28.99,2026-03-24,2026-04-23,44.78,57.76,-42.42,2026-03-03,2026-03-24,77.77,44.78,-24.14,669166602.3,2026-03-03,0,,False,,0,,,,,2026-03-03,setup_rejected,0.0,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,2049286030.54,81.07,20.03,-0.17209,-0.18299,37.87,-0.29781,,,,no_launch,not_traded,,S01未交易，无需处理,,,,,,,,,,,
