symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,drawdown_pct,drawdown_start_date,drawdown_end_date,drawdown_start_price,drawdown_end_price,period_return_pct,amount_avg
sz000638,*ST万方,28.35,2026-03-20,2026-03-25,1.27,1.63,-61.47,2026-03-02,2026-04-13,2.31,0.89,-61.47,17728015.5
sz002207,准油股份,28.9,2026-03-02,2026-03-05,12.42,16.01,-59.53,2026-03-05,2026-04-24,16.01,6.48,-46.86,432382925.11
sz000004,*ST国华,26.49,2026-04-13,2026-04-17,3.02,3.82,-56.63,2026-03-02,2026-04-24,6.71,2.91,-55.64,32212697.71
sh600193,*ST创兴,20.0,2026-03-04,2026-03-17,4.15,4.98,-54.22,2026-03-17,2026-04-24,4.98,2.28,-46.98,33448696.88
sh600355,*ST精伦,28.57,2026-03-20,2026-03-25,0.7,0.9,-53.23,2026-03-02,2026-04-03,1.24,0.58,-53.23,24777486.27
sh600696,*ST岩石,40.82,2026-04-17,2026-04-24,0.98,1.38,-51.72,2026-03-02,2026-04-17,2.03,0.98,-30.65,9998848.91
sz002634,棒杰股份,67.59,2026-03-23,2026-04-08,5.77,9.67,-51.09,2026-04-08,2026-04-23,9.67,4.73,-26.6,184661818.21
sz002542,*ST中岩,27.21,2026-03-23,2026-04-01,2.83,3.6,-50.56,2026-04-01,2026-04-23,3.6,1.78,-46.25,136757312.95
sz001207,联科科技,32.55,2026-03-03,2026-03-12,25.9,34.33,-50.04,2026-03-12,2026-04-23,34.33,17.15,-33.52,198121887.44
sh600734,实达集团,11.22,2026-03-04,2026-03-10,3.92,4.36,-47.76,2026-03-02,2026-04-24,4.46,2.33,-44.93,239800640.56
sz001209,洪兴股份,19.54,2026-03-02,2026-03-02,29.27,34.99,-46.98,2026-03-02,2026-03-23,34.99,18.55,-29.04,119686630.94
sh603358,华达科技,41.03,2026-03-27,2026-04-20,27.3,38.5,-46.55,2026-03-10,2026-03-27,51.08,27.3,-27.98,493473273.02
sh603272,联翔股份,75.87,2026-03-23,2026-04-10,21.05,37.02,-45.76,2026-04-10,2026-04-23,37.02,20.08,-1.73,158084993.04
sz001225,和泰机电,15.51,2026-03-23,2026-03-31,44.75,51.69,-45.39,2026-03-02,2026-03-23,81.95,44.75,-37.47,81672125.16
sh603189,网达软件,21.44,2026-03-17,2026-03-19,18.19,22.09,-45.36,2026-03-19,2026-04-24,22.09,12.07,-38.94,223762113.38
sh605081,*ST太和,29.3,2026-04-07,2026-04-17,5.87,7.59,-45.03,2026-03-02,2026-04-24,10.66,5.86,-43.87,18802915.78
sh603008,喜临门,15.15,2026-03-09,2026-03-20,18.42,21.21,-44.88,2026-03-20,2026-04-07,21.21,11.69,-39.7,259950775.77
sz000818,航锦科技,23.98,2026-03-04,2026-03-09,20.89,25.9,-44.79,2026-03-09,2026-04-24,25.9,14.3,-36.97,845631417.46
sh603813,*ST原尚,61.05,2026-04-03,2026-04-24,21.72,34.98,-43.98,2026-03-09,2026-04-03,38.77,21.72,1.59,24540792.18
sz000510,新金路,15.02,2026-03-23,2026-04-09,13.78,15.85,-43.91,2026-03-03,2026-04-24,23.5,13.18,-38.75,872295495.6
sh600759,洲际油气,33.09,2026-03-02,2026-03-05,6.83,9.09,-43.89,2026-03-05,2026-04-24,9.09,5.1,-24.3,3658757999.28
sh600491,龙元建设,17.23,2026-03-23,2026-03-31,2.67,3.13,-43.15,2026-03-10,2026-04-24,3.36,1.91,-40.25,85563872.29
sh600599,*ST熊猫,62.92,2026-03-10,2026-03-30,4.18,6.81,-42.58,2026-03-30,2026-04-20,6.81,3.91,-16.08,15839953.84
sz000020,深华发Ａ,87.03,2026-03-04,2026-03-23,13.72,25.66,-42.56,2026-03-23,2026-04-03,25.66,14.74,6.09,161352840.49
sh600301,华锡有色,28.99,2026-03-24,2026-04-23,44.78,57.76,-42.42,2026-03-03,2026-03-24,77.77,44.78,-24.14,669166602.3
sz000048,京基智农,41.18,2026-03-04,2026-03-31,17.17,24.24,-42.0,2026-03-31,2026-04-24,24.24,14.06,-20.76,325403432.04
sh600108,亚盛集团,64.07,2026-03-02,2026-03-12,4.37,7.17,-41.14,2026-03-12,2026-04-23,7.17,4.22,-2.29,1088110797.0
sh603169,兰石重装,25.84,2026-03-12,2026-03-16,10.72,13.49,-41.14,2026-03-16,2026-04-24,13.49,7.94,-25.83,499302104.42
sh603353,和顺石油,36.28,2026-04-01,2026-04-09,31.89,43.46,-40.94,2026-03-04,2026-04-01,54.0,31.89,-21.32,442558213.36
sh600370,三房巷,82.08,2026-03-04,2026-03-19,2.12,3.86,-40.93,2026-03-19,2026-04-03,3.86,2.28,13.79,400361778.35
