discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,setup_score,strategy_mode,rank,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason,liquidity_mode
2026-03-02,sz002558,97.6,97.6,1579891786.71,1825577431.8429997,1709000298.0949998,0.8654203098441191,0.9244537806523994,0.34285714285714286,-19.71,0.18799,0.16851,-11.46,0.10454,97.6,current_abs_250m,1,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,True,5.0,3.0,0.0021,0.00013,15.8255,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-02,sz002345,89.26,91.72,520082914.29999995,413773641.4165,387487149.15999997,1.2569261602057686,1.3421939680514385,0.7428571428571429,-20.14,0.20629,0.21572,-15.25,0.13995,89.26,current_abs_250m,2,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-02,sz002865,88.01,88.01,2517801004.58,2617102485.979,2535974327.495,0.9620567089248498,0.9928337906586967,0.42857142857142855,-13.46,0.13437,0.11866,-3.69,0.08566,88.01,current_abs_250m,3,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,True,2.0,3.0,0.00558,0.00041,13.6725,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-02,sz002517,85.91,85.91,1190264056.43,1565669565.0545,1313575609.6299999,0.7602268594833212,0.906125271894525,0.2571428571428571,-8.1,0.08992,0.08552,-12.67,0.14669,85.91,current_abs_250m,4,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-02,sz002759,85.66,85.66,1278847631.7900002,2259337279.6610003,2179717049.6,0.5660277654436275,0.586703504486824,0.14285714285714285,-13.18,0.14817,0.1308,-13.51,0.14537,85.66,current_abs_250m,5,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,8.02,0.0,0.0105,0.05434,1.40279,0.01403,0.01224,-0.17342,-5.74,38.0,True,5.0,3.0,0.00038,0.00018,2.054,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-02,sh601888,84.52,84.52,3266137577.6899996,4267960329.0634995,4111316119.5199995,0.765268963595703,0.7944262816918405,0.08571428571428572,-13.11,0.11311,0.10299,-17.0,0.10145,84.52,current_abs_250m,6,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-02,sh600370,83.89,88.55,342088885.22,214798441.41,179393723.93,1.5926041314565795,1.9069166842954004,0.8285714285714286,-14.23,0.16965,0.12653,-16.73,0.23656,83.89,current_abs_250m,7,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,-8.61,56.92,True,3.0,3.0,0.55976,0.47701,1.1735,,current_abs_250m
2026-03-02,sh600977,80.15,80.15,958075483.6,1711056597.2245,1801919975.6699996,0.5599320824069125,0.5316970212529906,0.45714285714285713,-13.3,0.11083,0.09162,-20.79,0.11939,80.15,current_abs_250m,8,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-02,sz002326,79.4,79.4,1025486691.5799999,1885108455.6150002,1970223154.5049996,0.5439934707870395,0.5204926605573489,0.06896551724137931,-9.4,0.09074,0.08799,-14.29,0.14882,79.4,current_abs_250m,9,2026-03-09,2026-03-11,2026-03-25,pullback_absorption_confirm,4.46,0.0,0.00207,0.02791,1.4102,-0.04771,-0.05288,0.03006,-14.0,22.0,True,5.0,3.0,0.00027,0.00025,1.1083,,current_abs_250m
2026-03-02,sz001330,78.19,78.19,1444545891.3700001,2058552331.7310004,1709209197.775,0.701729010772977,0.8451545271640645,0.5142857142857142,-7.07,0.0721,0.03458,-32.31,0.3325,78.19,current_abs_250m,10,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
