runup_rank,symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,runup_days,period_return_pct,amount_avg,amount_at_start
1,sh600396,华电辽能,237.5,2026-03-04,2026-04-24,3.2,10.8,35,178.79,1509162312.25,116483823.0
2,sh603538,美诺华,193.77,2026-03-04,2026-04-24,20.22,59.4,35,160.66,1652257971.54,108080249.52
3,sh600726,华电能源,171.21,2026-03-04,2026-03-27,2.64,7.16,18,114.02,1536138740.41,169911373.54
4,sz002580,圣阳股份,168.05,2026-03-18,2026-04-20,12.55,33.64,22,109.85,1390606652.13,201565423.68
5,sz002980,华盛昌,167.62,2026-03-05,2026-04-21,31.47,84.22,32,158.21,883399351.94,885019911.02
6,sz000890,法尔胜,149.08,2026-03-02,2026-04-07,7.07,17.61,26,92.65,1132691776.66,983923455.75
7,sh603778,国晟科技,144.79,2026-03-02,2026-04-09,14.0,34.27,28,88.16,2680609713.76,788213638.76
8,sz003018,金富科技,143.6,2026-03-23,2026-04-24,23.81,58.0,22,119.46,477290504.73,213872376.0
9,sz001309,德明利,140.06,2026-03-03,2026-04-23,227.0,544.93,35,98.69,6527117528.85,2404191330.29
10,sz002384,东山精密,133.33,2026-03-02,2026-04-24,84.0,196.0,37,106.42,10309347282.7,7804819318.9
11,sh603115,海星股份,130.72,2026-03-09,2026-04-24,26.82,61.88,32,89.29,500325022.6,309620479.0
12,sh600488,津药药业,129.35,2026-03-23,2026-04-08,3.68,8.44,12,46.41,473031475.75,61254057.12
13,sh603629,利通电子,124.23,2026-03-09,2026-04-23,53.08,119.02,31,69.99,2504073679.42,2530242018.39
14,sh600683,京投发展,124.22,2026-03-02,2026-04-24,6.4,14.35,37,99.56,376822579.56,220982861.33
15,sz002297,博云新材,122.5,2026-03-23,2026-04-24,10.09,22.45,22,66.05,700273974.18,290613011.9
16,sz002082,万邦德,122.06,2026-03-04,2026-04-07,16.32,36.24,24,55.31,977933847.54,158675194.35
17,sz002361,神剑股份,121.81,2026-03-24,2026-04-23,10.73,23.8,20,56.19,3128932019.79,623815626.05
18,sz002432,九安医疗,119.36,2026-03-02,2026-04-23,43.28,94.94,36,66.99,2712494917.8,2443508391.82
19,sz002957,科瑞技术,116.96,2026-03-23,2026-04-21,23.76,51.55,20,61.34,941242862.1,485251854.28
20,sh601869,长飞光纤,115.62,2026-03-09,2026-04-23,196.12,422.88,31,51.87,5240256218.6,2733032113.12
21,sz002990,盛视科技,114.55,2026-03-04,2026-04-24,25.22,54.11,35,103.88,402661304.2,62343192.0
22,sz002328,新朋股份,113.62,2026-03-24,2026-04-17,6.24,13.33,17,60.46,673768095.3,222799419.48
23,sh603687,大胜达,113.11,2026-03-16,2026-04-17,9.76,20.8,23,52.09,995412971.16,145306931.0
24,sz002428,云南锗业,112.97,2026-03-19,2026-04-23,38.86,82.76,23,68.83,4435436847.11,1359013011.98
25,sh600666,奥瑞德,112.64,2026-03-04,2026-04-20,3.56,7.57,32,54.78,2483240659.07,394487186.4
26,sh600105,永鼎股份,111.53,2026-03-24,2026-04-24,24.11,51.0,21,60.37,4824155111.02,2254752936.9
27,sz003036,泰坦股份,109.02,2026-03-04,2026-04-24,16.07,33.59,35,91.94,318153260.37,75161012.62
28,sh605299,舒华体育,106.55,2026-03-04,2026-04-08,11.61,23.98,25,72.83,673781758.51,80759575.0
29,sh603773,沃格光电,104.84,2026-04-07,2026-04-23,32.22,66.0,11,46.7,708861023.05,265543063.59
30,sz002528,ST英飞拓,103.24,2026-03-04,2026-04-20,2.78,5.65,32,80.57,139117236.06,98615333.91
31,sz000533,顺钠股份,102.79,2026-03-03,2026-03-18,10.77,21.84,12,16.68,1989514692.46,1069945940.71
32,sh600234,科新发展,101.95,2026-03-23,2026-04-23,12.85,25.95,21,66.26,103978574.66,60983375.0
33,sh600743,华远控股,99.44,2026-03-23,2026-04-15,1.77,3.53,17,23.96,176876423.18,79914415.8
34,sz002636,金安国纪,98.95,2026-03-09,2026-04-23,23.81,47.37,31,51.56,1509484208.43,680955759.56
