symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_super_peak_amount,final_cum_super_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,future_days_available,is_mature_trade
sz001267,2026-03-02,79.15,19.42,14.62,5.43,-19.24,6.68,1729711373.77,1.3365484518419075,9.999999999999986,10.005504375726723,1.6846993160764643,0.02696,0.01732,0.05773,0.06149,0.7,0.55,0.0,62.31,100.0,70.69,77.88,1,趋势中继原型,2026-03-02,2026-03-03,36.91,37.0023,2026-03-04,2026-03-05,34.66,34.5733,-6.1,-6.56,0.0,-9.97,2,hard_stop_8pct,-220372749.93,0.0,-0.03796,0.0,1,36,True
sh603688,2026-03-02,75.79,23.4,15.57,13.67,-19.11,2.48,1878540600.3700004,1.8501145326340467,6.177370030581053,5.646684958478254,-0.04574476435754149,0.02886,0.0269,0.04406,0.04632,0.6,0.55,0.0,68.27,91.43,55.24,95.0,2,趋势中继原型,2026-03-02,2026-03-03,52.2,52.3305,2026-03-13,2026-03-16,47.9,47.7803,-8.24,-8.7,6.8,-8.37,9,cum_super_peak_dd_20pct_3d,8129632.42,306894148.03,0.00068,97.35,3,36,True
sh603115,2026-03-02,73.97,20.98,21.19,10.79,-21.78,6.51,436781445.64,1.698255633311855,9.843638948116551,7.514711837611564,0.14056201528899748,0.02725,0.02452,0.04203,0.05359,0.6,0.6,0.0,69.12,91.43,65.46,48.73,3,趋势中继原型,2026-03-02,2026-03-03,30.99,31.0675,2026-04-03,2026-04-07,42.0,41.895,35.53,34.85,56.02,-13.46,24,cum_super_peak_dd_20pct_3d,236740431.09,320513804.99,0.02062,26.14,3,36,True
sh601898,2026-03-02,72.13,12.54,7.89,4.33,-10.1,7.82,1932851166.13,2.35917975280061,9.096901779828602,6.599302551338866,-0.20037297799056275,0.02037,0.03575,0.00148,0.03207,0.6,0.7,0.0,47.45,87.2,69.5,100.0,4,趋势中继原型,2026-03-02,2026-03-03,16.59,16.6315,2026-03-19,2026-03-20,17.67,17.6258,6.51,5.98,19.17,-3.62,13,cum_super_peak_dd_20pct_3d,58811511.11,265842397.3,0.00306,77.88,3,36,True
sz000731,2026-03-02,71.71,12.88,13.04,13.53,-13.81,9.0,1293406561.95,8.415821532495952,8.998732572877067,-10.238614433063255,1.6429377511014567,0.04457,0.0399,0.06728,0.08178,0.55,0.3,0.0,52.49,87.14,61.85,100.0,5,趋势中继原型,2026-03-02,2026-03-03,8.33,8.3508,2026-03-05,2026-03-06,7.48,7.4613,-10.2,-10.65,1.32,-10.2,3,hard_stop_8pct,167008.14,167008.14,9e-05,0.0,0,36,True
sh600725,2026-03-02,70.13,15.17,13.24,13.24,-14.66,-0.93,361676538.74999994,2.231134501658351,-0.9276437847866359,6.815255627359935,0.11824774965445506,0.03083,0.04218,0.05625,0.0591,0.55,0.65,0.0,55.61,95.71,58.47,53.29,6,趋势中继原型,2026-03-02,2026-03-03,5.35,5.3634,2026-03-16,2026-03-17,4.89,4.8778,-8.6,-9.05,3.74,-9.35,10,hard_stop_8pct,-50197771.46,0.0,-0.02403,0.0,1,36,True
sz002531,2026-03-03,82.39,32.48,7.87,1.86,-14.98,-2.18,990740617.4899999,1.6471774558827486,4.55927051671734,6.644632327357307,0.018310022603048592,0.04932,0.04089,0.04083,0.02857,0.75,0.65,0.2,72.73,100.0,67.25,87.56,1,趋势中继原型,2026-03-03,2026-03-04,10.17,10.1954,2026-03-20,2026-03-23,11.07,11.0423,8.85,8.31,31.76,-0.69,13,cum_super_peak_dd_20pct_3d,227839792.3,372382752.9,0.01822,38.82,3,35,True
sh601898,2026-03-03,75.63,26.72,15.25,10.41,-17.32,4.85,2518312400.4500003,2.74133454745961,5.740181268882161,2.801783363628445,-0.04593721937728129,0.01683,0.03956,0.0031,0.04294,0.55,0.7,0.2,72.26,84.1,58.09,100.0,2,趋势中继原型,2026-03-03,2026-03-04,17.0,17.0425,2026-03-19,2026-03-20,17.67,17.6258,3.94,3.42,16.29,-5.18,12,cum_super_peak_dd_20pct_3d,46575625.39,253606511.58,0.00279,81.63,3,35,True
sh601015,2026-03-03,75.56,31.55,5.51,5.51,-18.68,4.21,1159557440.6799998,1.5687058205305635,10.058027079303677,11.125907354304417,-0.006875281793133681,0.03974,0.02626,0.01984,0.01416,0.65,0.5,0.2,69.77,88.07,60.97,85.62,3,趋势中继原型,2026-03-03,2026-03-04,5.84,5.8546,2026-03-05,2026-03-06,4.9,4.8878,-16.1,-16.51,0.51,-15.75,2,hard_stop_8pct,-123982975.09,0.0,-0.05596,0.0,1,35,True
sh605366,2026-03-03,74.09,34.75,13.64,12.96,-17.08,3.85,859184761.5199999,3.155048155454617,4.947368421052634,3.2791043698398,-0.06695655176451881,0.01941,0.03029,0.02357,0.03146,0.6,0.55,0.2,81.14,78.33,53.46,89.7,4,趋势中继原型,2026-03-03,2026-03-04,9.75,9.7744,2026-04-01,2026-04-02,11.32,11.2917,16.1,15.52,23.08,-10.15,21,cum_super_peak_dd_20pct_3d,-20692408.99,22847498.45,-0.00198,190.57,3,35,True
sh600583,2026-03-03,73.47,23.33,21.63,6.16,-18.28,9.96,3273711412.1599994,3.1994366061034993,9.962168978562435,-11.286865086443406,0.13835918727519864,0.0143,0.0189,0.02488,0.02935,0.5,0.65,0.2,72.14,81.92,52.65,100.0,5,趋势中继原型,2026-03-03,2026-03-04,8.36,8.3809,2026-03-06,2026-03-09,8.11,8.0897,-2.99,-3.47,1.91,-11.48,3,hard_stop_8pct,-187305041.77,0.0,-0.02917,0.0,0,35,True
sh600989,2026-03-03,73.42,16.31,13.4,10.82,-13.56,8.32,8861485300.020002,4.0680700775032825,8.320668693009114,2.3037644085415323,0.04159511502763169,0.00397,0.03108,0.00844,0.04093,0.5,0.75,0.2,57.22,76.76,77.57,100.0,6,趋势中继原型,2026-03-03,2026-03-04,27.77,27.8394,2026-03-26,2026-03-27,29.82,29.7455,7.38,6.85,31.4,-9.04,17,cum_super_peak_dd_20pct_3d,1020300793.06,1668212948.79,0.00923,38.84,3,35,True
sz000968,2026-03-03,72.79,20.51,22.54,9.24,-19.24,10.04,872590991.68,2.314973368751636,10.042283298097242,-2.1835825296930693,2.610641755977932,0.00921,-0.01039,0.04062,0.04428,0.55,0.35,0.2,68.51,87.14,50.68,90.68,7,趋势中继原型,2026-03-03,2026-03-04,10.58,10.6064,2026-03-10,2026-03-11,9.21,9.187,-12.95,-13.38,7.75,-13.8,5,hard_stop_8pct,-6988585.38,67375878.29,-0.00117,110.37,1,35,True
sz000554,2026-03-03,71.83,29.74,22.03,13.07,-21.81,10.04,198437336.35,0.4490906069240693,10.040567951318469,4.53276055073394,3.613963271181553,0.00514,0.00258,0.0325,0.05226,0.4,0.6,0.2,80.38,89.24,65.4,1.35,8,趋势中继原型,2026-03-03,2026-03-04,11.93,11.9598,2026-03-05,2026-03-06,10.56,10.5336,-11.48,-11.93,0.08,-12.66,2,hard_stop_8pct,-72740845.52,0.0,-0.02266,0.0,1,35,True
sz000822,2026-03-03,70.79,19.24,7.6,4.83,-14.07,-0.14,1035377088.0200001,2.4289252763409874,4.322766570605174,4.072714517049995,-0.0692777644878837,0.03471,0.03265,0.00211,0.0071,0.55,0.5,0.2,55.81,84.83,57.43,100.0,9,趋势中继原型,2026-03-03,2026-03-04,6.75,6.7669,2026-03-19,2026-03-20,5.97,5.9551,-11.56,-12.0,7.7,-11.7,12,hard_stop_8pct,-49617540.33,0.0,-0.00806,0.0,2,35,True
sh601866,2026-03-03,70.5,11.32,10.07,8.06,-14.43,6.56,2438739365.54,4.715938165901852,10.169491525423723,13.658921721068864,0.12201231037008065,0.02478,0.01583,0.03948,0.03982,0.4,0.4,0.2,47.83,74.29,80.59,100.0,10,趋势中继原型,2026-03-03,2026-03-04,3.14,3.1479,2026-03-05,2026-03-06,2.8,2.793,-10.83,-11.27,0.0,-12.42,2,hard_stop_8pct,-297741687.22,0.0,-0.10695,0.0,1,35,True
sz002531,2026-03-04,72.93,39.84,7.95,5.2,-13.41,-3.45,517803353.48,0.8387029377329727,0.4844961240309864,7.782845929667509,-0.11933112088735554,0.05253,0.04363,0.05124,0.03896,0.8,0.65,0.4,79.9,100.0,45.45,26.01,1,趋势中继原型,2026-03-04,2026-03-05,10.62,10.6465,2026-03-20,2026-03-23,11.07,11.0423,4.24,3.72,26.18,-4.9,12,cum_super_peak_dd_20pct_3d,195974241.3,340517201.9,0.01635,42.45,3,34,True
sh600236,2026-03-04,72.69,20.98,15.05,16.96,-20.06,3.63,436361274.94000006,3.153457015685979,10.040567951318469,10.489257069453181,0.20769126523076864,0.01966,0.04153,0.02408,0.0321,0.6,0.65,0.4,64.7,86.16,69.0,58.76,2,趋势中继原型,2026-03-04,2026-03-05,11.08,11.1077,2026-03-11,2026-03-12,9.99,9.965,-9.84,-10.29,7.76,-11.55,5,hard_stop_8pct,28426762.56,30764060.09,0.00977,7.6,1,34,True
