symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sz001267,2026-03-02,79.15,19.42,14.62,5.43,-19.24,6.68,1729711373.77,1.3365484518419075,9.999999999999986,10.005504375726723,1.6846993160764643,0.02696,0.01732,0.05773,0.06149,0.7,0.55,0.0,62.31,100.0,70.69,77.88,1,趋势中继原型
sh603688,2026-03-02,75.79,23.4,15.57,13.67,-19.11,2.48,1878540600.3700004,1.8501145326340467,6.177370030581053,5.646684958478254,-0.04574476435754149,0.02886,0.0269,0.04406,0.04632,0.6,0.55,0.0,68.27,91.43,55.24,95.0,2,趋势中继原型
sz002531,2026-03-03,82.39,32.48,7.87,1.86,-14.98,-2.18,990740617.4899999,1.6471774558827486,4.55927051671734,6.644632327357307,0.018310022603048592,0.04932,0.04089,0.04083,0.02857,0.75,0.65,0.2,72.73,100.0,67.25,87.56,1,趋势中继原型
sh601898,2026-03-03,75.63,26.72,15.25,10.41,-17.32,4.85,2518312400.4500003,2.74133454745961,5.740181268882161,2.801783363628445,-0.04593721937728129,0.01683,0.03956,0.0031,0.04294,0.55,0.7,0.2,72.26,84.1,58.09,100.0,2,趋势中继原型
sh601015,2026-03-03,75.56,31.55,5.51,5.51,-18.68,4.21,1159557440.6799998,1.5687058205305635,10.058027079303677,11.125907354304417,-0.006875281793133681,0.03974,0.02626,0.01984,0.01416,0.65,0.5,0.2,69.77,88.07,60.97,85.62,3,趋势中继原型
sz002380,2026-03-05,78.2,16.28,6.52,7.05,-16.12,1.53,810228776.06,3.267386932940932,6.969253294289901,10.798359355422473,0.890966147426171,0.0251,0.04617,0.0357,0.0627,0.55,0.8,0.6,51.04,100.0,77.11,86.11,1,趋势中继原型
sh600860,2026-03-05,75.86,23.52,11.73,4.28,-13.62,5.45,1368807467.4900005,3.2808865850791995,6.796769851951545,9.54649654195832,0.07350921697885571,0.03265,0.03214,0.0431,0.05047,0.4,0.4,0.6,65.0,74.29,81.44,100.0,2,趋势中继原型
sz002913,2026-03-06,80.39,22.19,14.21,-1.25,-20.75,5.36,1023563205.1599998,3.4295794446968624,10.002070822116371,9.662496121530666,0.7687290912601763,0.02363,0.03811,0.03121,0.04898,0.45,0.7,0.8,65.5,96.68,67.58,100.0,1,趋势中继原型
sz002380,2026-03-06,77.85,24.8,15.78,12.43,-19.67,1.73,889003813.9399999,3.1406542606864907,4.62633451957295,6.831933423414895,-0.041264561641662256,0.03068,0.0583,0.04051,0.07122,0.6,0.8,0.8,70.26,100.0,50.35,91.88,2,趋势中继原型
sh600468,2026-03-09,75.12,21.25,20.25,11.92,-20.77,-0.66,1345487442.52,3.2056170618731277,3.550973654066425,0.2418400415469968,0.015139037493987595,0.03612,0.01888,0.04756,0.03283,0.6,0.35,1.0,69.46,89.53,51.77,100.0,1,趋势中继原型
sz002261,2026-03-09,75.05,25.81,23.26,8.99,-19.13,10.01,13505365183.670002,3.6871242784300704,10.012804097311157,1.546020690891531,0.19564438235886183,0.04638,0.02491,0.05621,0.03083,0.4,0.4,1.0,75.33,70.64,70.91,100.0,2,趋势中继原型
sz002384,2026-03-10,82.5,27.55,24.5,3.54,-20.96,9.49,9450955292.660002,1.5149757500614383,9.995928338762216,4.327317040930495,0.4579495504027349,0.03602,0.03195,0.02544,0.03156,0.75,0.7,1.0,77.56,97.33,67.13,83.83,1,趋势中继原型
sz002730,2026-03-10,78.58,20.79,15.14,10.43,-14.55,3.91,1104549423.99,4.075286063688939,3.9123630672926346,4.827088527863179,-0.007430190339834386,0.03548,0.05284,0.03873,0.06486,0.55,0.65,1.0,64.53,95.71,62.88,100.0,2,趋势中继原型
sh603588,2026-03-11,83.0,43.38,24.12,13.01,-21.73,4.06,1648987226.4599998,2.048277315575941,4.272915230875274,12.38049484641975,0.0689760319151621,0.01788,0.03205,0.01814,0.03051,0.65,0.7,1.0,97.92,82.67,58.77,100.0,1,趋势中继原型
sh601016,2026-03-11,77.86,15.09,14.38,12.96,-16.84,6.05,2183191611.7399993,3.7031481144580463,10.10928961748634,19.787738127378283,0.12488912492325555,0.04046,0.0386,0.0386,0.03956,0.5,0.6,1.0,56.53,91.43,75.62,100.0,2,趋势中继原型
sh603629,2026-03-12,77.7,46.32,18.7,9.27,-21.82,-2.19,3015817963.3599997,1.3507415739351043,1.6943784639746662,6.742354617897988,0.013296797342277844,0.02635,0.01675,0.03151,0.03712,0.5,0.55,1.0,98.48,84.09,43.57,78.36,1,趋势中继原型
sz000833,2026-03-12,76.66,44.77,16.31,15.0,-21.59,-4.6,2299209109.05,1.7040556272022944,0.181686046511631,3.316733361042971,0.022031284353657643,0.03317,0.03058,0.02671,0.02736,0.6,0.55,1.0,91.53,85.96,40.41,90.14,2,趋势中继原型
sz002531,2026-03-12,75.16,28.04,6.45,5.94,-14.42,-0.09,918267130.8799999,1.49756825522059,2.1719457013574583,4.970783609150544,-0.06572544597361518,0.04834,0.04664,0.03363,0.04773,0.75,0.7,1.0,66.1,100.0,50.42,77.27,3,趋势中继原型
sz002531,2026-03-13,85.11,26.43,11.56,5.81,-15.63,7.25,1358291306.76,2.1014748747149907,10.008857395925608,16.7530533904983,1.5313029843292025,0.04467,0.04879,0.02,0.0337,0.7,0.7,1.0,68.59,100.0,78.11,100.0,1,趋势中继原型
sz002733,2026-03-13,76.98,29.05,15.99,6.69,-21.11,1.18,1945424342.74,2.717204429816676,6.580996884735213,3.647143691543839,0.2653070624597298,0.06872,0.04858,0.07771,0.05405,0.3,0.45,1.0,75.91,78.57,66.83,100.0,2,趋势中继原型
sz000545,2026-03-16,80.38,30.46,13.22,8.84,-21.39,-1.92,1068323754.4500002,1.9374100345929222,3.5532994923857864,7.560056747177754,0.6472083519063605,0.06349,0.03455,0.05876,0.03091,0.65,0.5,1.0,75.25,95.32,58.6,97.91,1,趋势中继原型
sh603175,2026-03-17,75.88,26.8,21.81,9.23,-19.36,8.63,1769700284.33,3.9944484369084456,8.629096269418302,6.048203712106137,0.194617600324562,0.02637,0.01255,0.04817,0.03268,0.4,0.4,1.0,76.6,72.26,70.44,100.0,1,趋势中继原型
sh600307,2026-03-18,79.8,19.57,18.28,16.4,-18.47,9.01,1358624470.62,3.4173892622200306,9.999999999999986,6.004621249223575,0.18173212790531168,0.06442,0.07544,0.10066,0.11874,0.6,0.6,1.0,65.77,91.43,72.27,100.0,1,趋势中继原型
sh600791,2026-03-18,77.57,41.82,11.96,13.04,-16.35,-0.64,303239523.0,1.6494114817353294,-0.6410256410256276,11.941572339170314,0.023976273237970913,0.01646,0.00855,0.03705,0.03826,0.7,0.5,1.0,88.73,100.0,48.88,37.33,2,趋势中继原型
sz000539,2026-03-19,76.74,14.26,10.87,4.08,-10.87,9.98,803990291.2599998,3.4886568088626504,9.982174688057043,0.15330081014641905,2.0886306604627354,0.03572,0.03024,0.06694,0.06679,0.5,0.55,1.0,52.33,87.14,87.91,85.66,1,趋势中继原型
sz002730,2026-03-20,79.11,31.65,23.87,12.45,-21.71,4.94,814636095.6800001,1.6777933012480388,6.345530338119509,1.0681317420309853,-0.021260772290654373,0.02176,0.03728,0.02994,0.03501,0.5,0.75,1.0,82.84,95.57,52.94,75.7,1,趋势中继原型
