feature,win_mean,loss_mean,win_median,loss_median,diff_median
liquidity_score,75.51463414634146,79.57291970802919,77.42,87.22,-9.799999999999997
max_drawdown_pct,-3.6300000000000003,-10.602408759124087,-2.47,-10.28,7.809999999999999
holding_days,10.536585365853659,4.598540145985401,10.0,4.0,6.0
fund_score,79.98341463414634,80.11547445255474,78.57,82.86,-4.290000000000006
pre20_return_pct,21.652682926829268,23.248467153284672,19.0,21.59,-2.59
trend_score,62.75317073170732,63.44394160583941,61.11,63.11,-2.0
signal_return_1d_pct,4.392103791999765,4.937747829768242,4.0345821325648235,5.6571428571428495,-1.622560724578026
drawdown_from_20d_high_pct,-16.961951219512198,-17.245474452554745,-16.94,-17.96,1.0199999999999996
pre10_return_pct,12.897804878048781,11.843868613138687,13.21,12.61,0.6000000000000014
active_buy_strength,6.435262234308405,5.617440192090535,4.25871058222873,4.6996793725447645,-0.44096879031603464
pre5_return_pct,7.8982926829268285,8.711824817518249,9.19,8.77,0.41999999999999993
close_vs_20d_high_pct,1.5914634146341464,1.7791240875912406,1.7,1.46,0.24
amount_anomaly_20d,2.575332956845797,2.3703116336970087,2.377894885439921,2.231134501658351,0.14676038378157008
repair_score,56.9960975609756,56.144817518248175,58.69,58.77,-0.0800000000000054
pre20_main_positive_day_ratio,0.5390243902439025,0.5164233576642335,0.55,0.5,0.050000000000000044
pre20_main_net_ratio,0.03245536585365854,0.029326642335766425,0.03354,0.02727,0.006270000000000001
pre10_main_net_ratio,0.04138341463414634,0.040073430656934306,0.04154,0.03626,0.00528
pre10_super_net_ratio,0.034534878048780485,0.03533386861313869,0.0334,0.03151,0.0018899999999999958
support_pressure_spread,0.16062480317112168,0.3193341143879496,0.03993362971982,0.0406095183449102,-0.0006758886250902013
pre20_super_net_ratio,0.028452439024390243,0.028753941605839415,0.02612,0.02635,-0.00022999999999999757
pre20_super_positive_day_ratio,0.5207317073170731,0.5302919708029198,0.55,0.55,0.0
