symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sz001267,2026-03-02,79.15,19.42,14.62,5.43,-19.24,6.68,1729711373.77,1.3365484518419075,9.999999999999986,10.005504375726723,1.6846993160764643,0.02696,0.01732,0.05773,0.06149,0.7,0.55,0.0,62.31,100.0,70.69,77.88,1,趋势中继原型
sh603688,2026-03-02,75.79,23.4,15.57,13.67,-19.11,2.48,1878540600.3700004,1.8501145326340467,6.177370030581053,5.646684958478254,-0.04574476435754149,0.02886,0.0269,0.04406,0.04632,0.6,0.55,0.0,68.27,91.43,55.24,95.0,2,趋势中继原型
sh603115,2026-03-02,73.97,20.98,21.19,10.79,-21.78,6.51,436781445.64,1.698255633311855,9.843638948116551,7.514711837611564,0.14056201528899748,0.02725,0.02452,0.04203,0.05359,0.6,0.6,0.0,69.12,91.43,65.46,48.73,3,趋势中继原型
sh601898,2026-03-02,72.13,12.54,7.89,4.33,-10.1,7.82,1932851166.13,2.35917975280061,9.096901779828602,6.599302551338866,-0.20037297799056275,0.02037,0.03575,0.00148,0.03207,0.6,0.7,0.0,47.45,87.2,69.5,100.0,4,趋势中继原型
sz000731,2026-03-02,71.71,12.88,13.04,13.53,-13.81,9.0,1293406561.95,8.415821532495952,8.998732572877067,-10.238614433063255,1.6429377511014567,0.04457,0.0399,0.06728,0.08178,0.55,0.3,0.0,52.49,87.14,61.85,100.0,5,趋势中继原型
sh600725,2026-03-02,70.13,15.17,13.24,13.24,-14.66,-0.93,361676538.74999994,2.231134501658351,-0.9276437847866359,6.815255627359935,0.11824774965445506,0.03083,0.04218,0.05625,0.0591,0.55,0.65,0.0,55.61,95.71,58.47,53.29,6,趋势中继原型
sh600345,2026-03-02,69.15,38.93,9.71,6.79,-14.52,2.24,1402182006.1499999,1.3025488263582388,5.662921348314609,9.336993764416817,-0.10621074472272801,0.0306,0.02057,-0.0081,-0.00404,0.45,0.45,0.0,83.01,62.1,59.34,76.75,7,趋势中继原型
sz000582,2026-03-02,69.14,17.03,17.51,9.08,-17.0,-1.65,1185440012.2199998,1.8574635305468485,-0.613496932515345,6.215251430734256,-0.04323920255062852,0.01985,0.00725,0.0326,0.0417,0.6,0.45,0.0,61.82,89.33,39.22,95.25,8,趋势中继原型
sz001339,2026-03-02,68.98,12.2,12.2,14.34,-15.71,0.76,1283492241.3,2.9771598055132342,3.766786767114305,6.847461774368263,-0.01682194973623785,0.04175,0.03759,0.07393,0.07454,0.5,0.45,0.0,50.86,82.86,58.86,100.0,9,趋势中继原型
sh603353,2026-03-02,68.28,20.61,9.8,9.77,-16.21,9.99,856947555.38,2.494863607842807,9.992879183479708,-16.684465265391772,0.11763242283280645,0.02107,0.02288,0.02666,0.01647,0.65,0.55,0.0,59.53,77.81,56.92,89.53,10,趋势中继原型
sz002531,2026-03-03,82.39,32.48,7.87,1.86,-14.98,-2.18,990740617.4899999,1.6471774558827486,4.55927051671734,6.644632327357307,0.018310022603048592,0.04932,0.04089,0.04083,0.02857,0.75,0.65,0.2,72.73,100.0,67.25,87.56,1,趋势中继原型
sh601898,2026-03-03,75.63,26.72,15.25,10.41,-17.32,4.85,2518312400.4500003,2.74133454745961,5.740181268882161,2.801783363628445,-0.04593721937728129,0.01683,0.03956,0.0031,0.04294,0.55,0.7,0.2,72.26,84.1,58.09,100.0,2,趋势中继原型
sh601015,2026-03-03,75.56,31.55,5.51,5.51,-18.68,4.21,1159557440.6799998,1.5687058205305635,10.058027079303677,11.125907354304417,-0.006875281793133681,0.03974,0.02626,0.01984,0.01416,0.65,0.5,0.2,69.77,88.07,60.97,85.62,3,趋势中继原型
sh605366,2026-03-03,74.09,34.75,13.64,12.96,-17.08,3.85,859184761.5199999,3.155048155454617,4.947368421052634,3.2791043698398,-0.06695655176451881,0.01941,0.03029,0.02357,0.03146,0.6,0.55,0.2,81.14,78.33,53.46,89.7,4,趋势中继原型
sh600583,2026-03-03,73.47,23.33,21.63,6.16,-18.28,9.96,3273711412.1599994,3.1994366061034993,9.962168978562435,-11.286865086443406,0.13835918727519864,0.0143,0.0189,0.02488,0.02935,0.5,0.65,0.2,72.14,81.92,52.65,100.0,5,趋势中继原型
sh600989,2026-03-03,73.42,16.31,13.4,10.82,-13.56,8.32,8861485300.020002,4.0680700775032825,8.320668693009114,2.3037644085415323,0.04159511502763169,0.00397,0.03108,0.00844,0.04093,0.5,0.75,0.2,57.22,76.76,77.57,100.0,6,趋势中继原型
sz000968,2026-03-03,72.79,20.51,22.54,9.24,-19.24,10.04,872590991.68,2.314973368751636,10.042283298097242,-2.1835825296930693,2.610641755977932,0.00921,-0.01039,0.04062,0.04428,0.55,0.35,0.2,68.51,87.14,50.68,90.68,7,趋势中继原型
sz000554,2026-03-03,71.83,29.74,22.03,13.07,-21.81,10.04,198437336.35,0.4490906069240693,10.040567951318469,4.53276055073394,3.613963271181553,0.00514,0.00258,0.0325,0.05226,0.4,0.6,0.2,80.38,89.24,65.4,1.35,8,趋势中继原型
sz000822,2026-03-03,70.79,19.24,7.6,4.83,-14.07,-0.14,1035377088.0200001,2.4289252763409874,4.322766570605174,4.072714517049995,-0.0692777644878837,0.03471,0.03265,0.00211,0.0071,0.55,0.5,0.2,55.81,84.83,57.43,100.0,9,趋势中继原型
sh601866,2026-03-03,70.5,11.32,10.07,8.06,-14.43,6.56,2438739365.54,4.715938165901852,10.169491525423723,13.658921721068864,0.12201231037008065,0.02478,0.01583,0.03948,0.03982,0.4,0.4,0.2,47.83,74.29,80.59,100.0,10,趋势中继原型
sz002531,2026-03-04,72.93,39.84,7.95,5.2,-13.41,-3.45,517803353.48,0.8387029377329727,0.4844961240309864,7.782845929667509,-0.11933112088735554,0.05253,0.04363,0.05124,0.03896,0.8,0.65,0.4,79.9,100.0,45.45,26.01,1,趋势中继原型
sh600236,2026-03-04,72.69,20.98,15.05,16.96,-20.06,3.63,436361274.94000006,3.153457015685979,10.040567951318469,10.489257069453181,0.20769126523076864,0.01966,0.04153,0.02408,0.0321,0.6,0.65,0.4,64.7,86.16,69.0,58.76,2,趋势中继原型
sh600681,2026-03-04,72.53,12.0,12.8,12.0,-15.34,-1.47,773000677.0000001,4.06588080097584,-1.4705882352941013,5.774269752677078,0.1663174572355512,0.06127,0.0276,0.10322,0.0747,0.7,0.65,0.4,51.14,100.0,55.37,83.39,3,趋势中继原型
sz000070,2026-03-04,69.28,55.52,4.12,1.76,-18.96,-4.67,2191677022.1099997,1.1904506037355582,4.062838569880833,1.682324779976149,0.024276205660437977,0.03907,0.01597,0.01173,-0.01986,0.5,0.5,0.4,80.82,66.21,58.24,73.02,4,趋势中继原型
sz002536,2026-03-04,68.3,15.27,19.33,14.57,-20.01,-1.29,2418326785.11,1.6411364683630152,2.9824561403508643,4.215043221107251,0.03925562169451857,0.03225,0.04404,0.04872,0.05861,0.45,0.45,0.4,61.18,78.57,54.57,88.04,5,趋势中继原型
sz002267,2026-03-04,66.8,13.14,14.58,15.31,-15.49,-3.98,664357071.16,4.183501140110499,-3.9823008849557473,6.930753019547641,0.04030712850432039,0.04576,0.03521,0.07636,0.07533,0.6,0.45,0.4,50.48,91.43,48.45,75.44,6,趋势中继原型
