symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sh601898,2026-03-02,72.13,12.54,7.89,4.33,-10.1,7.82,1932851166.13,2.35917975280061,9.096901779828602,6.599302551338866,-0.20037297799056275,0.02037,0.03575,0.00148,0.03207,0.6,0.7,0.0,47.45,87.2,69.5,100.0,4,趋势中继原型,2026-03-02,2026-03-05,回踩均线承接,2026-03-05,1.92,1.207,-0.00951,-0.00548,-0.07674,0.04351,-0.02478,-0.54784,-3.68,-14.18,0.37546,0.88711,2.254,回踩均线承接
sz000731,2026-03-02,71.71,12.88,13.04,13.53,-13.81,9.0,1293406561.95,8.415821532495952,8.998732572877067,-10.238614433063255,1.6429377511014567,0.04457,0.0399,0.06728,0.08178,0.55,0.3,0.0,52.49,87.14,61.85,100.0,5,趋势中继原型,2026-03-02,2026-03-05,回踩均线承接,2026-03-05,-3.21,1.897,0.01727,0.02551,0.00037,-0.03836,-0.0641,2.5508,-13.13,-13.82,7e-05,1.47673,5.15,回踩均线承接
sh600725,2026-03-02,70.13,15.17,13.24,13.24,-14.66,-0.93,361676538.74999994,2.231134501658351,-0.9276437847866359,6.815255627359935,0.11824774965445506,0.03083,0.04218,0.05625,0.0591,0.55,0.65,0.0,55.61,95.71,58.47,53.29,6,趋势中继原型,2026-03-02,2026-03-10,回踩均线承接,2026-03-10,3.21,1.465,0.00799,0.0496,-0.00175,0.05256,-0.10221,4.95961,0.0,-10.93,0.56373,1.03877,1.127,回踩均线承接
sh600345,2026-03-02,69.15,38.93,9.71,6.79,-14.52,2.24,1402182006.1499999,1.3025488263582388,5.662921348314609,9.336993764416817,-0.10621074472272801,0.0306,0.02057,-0.0081,-0.00404,0.45,0.45,0.0,83.01,62.1,59.34,76.75,7,趋势中继原型,2026-03-02,2026-03-04,回踩均线承接,2026-03-04,-1.65,0.541,0.02102,-0.00025,0.0781,0.18619,0.04854,-0.02453,-9.77,-10.61,0.45997,0.96955,1.064,回踩均线承接
sz000582,2026-03-02,69.14,17.03,17.51,9.08,-17.0,-1.65,1185440012.2199998,1.8574635305468485,-0.613496932515345,6.215251430734256,-0.04323920255062852,0.01985,0.00725,0.0326,0.0417,0.6,0.45,0.0,61.82,89.33,39.22,95.25,8,趋势中继原型,2026-03-02,2026-03-04,回踩均线承接,2026-03-04,0.64,0.879,0.00299,0.03776,0.01345,0.06576,-0.05882,3.77578,-5.15,-8.4,0.00108,1.45714,1.694,回踩均线承接
sz001339,2026-03-02,68.98,12.2,12.2,14.34,-15.71,0.76,1283492241.3,2.9771598055132342,3.766786767114305,6.847461774368263,-0.01682194973623785,0.04175,0.03759,0.07393,0.07454,0.5,0.45,0.0,50.86,82.86,58.86,100.0,9,趋势中继原型,2026-03-02,2026-03-05,回踩均线承接,2026-03-05,0.52,2.014,0.05997,0.13779,0.07384,0.1687,-0.08199,13.77949,-4.12,-13.02,0.00103,1.47022,2.753,回踩均线承接
sz002531,2026-03-02,64.86,37.5,8.0,5.86,-14.98,-6.45,462346653.7900001,0.8167778087405514,-2.4703557312252933,-9.2114910470065,0.007289176427198063,0.05222,0.04367,0.06067,0.04733,0.75,0.65,0.0,71.31,100.0,25.37,21.22,16,趋势中继原型,2026-03-02,2026-03-04,回踩均线承接,2026-03-04,0.48,0.839,0.06154,0.07783,0.1327,0.12271,-0.11933,7.78285,-3.45,-9.12,0.00016,1.59197,1.131,回踩均线承接
sz002597,2026-03-02,63.33,25.59,18.79,2.79,-19.43,-5.85,438749386.9600001,0.9090077146891429,-2.824858757062154,-1.0857545290278168,0.07133651964020538,0.04474,0.03126,0.04911,0.04059,0.7,0.55,0.0,66.74,100.0,24.2,22.57,20,趋势中继原型,2026-03-02,2026-03-06,回踩均线承接,2026-03-06,3.85,0.734,0.00296,0.02849,-0.07715,-0.06293,-0.0807,2.84887,-8.66,-10.25,0.00549,1.58911,0.705,回踩均线承接
sh600989,2026-03-03,73.42,16.31,13.4,10.82,-13.56,8.32,8861485300.020002,4.0680700775032825,8.320668693009114,2.3037644085415323,0.04159511502763169,0.00397,0.03108,0.00844,0.04093,0.5,0.75,0.2,57.22,76.76,77.57,100.0,6,趋势中继原型,2026-03-03,2026-03-05,回踩均线承接,2026-03-05,0.89,2.343,-0.00615,0.0152,-0.00703,0.06788,-0.00327,1.52028,-5.98,-12.66,0.29841,0.85805,3.217,回踩均线承接
sz000554,2026-03-03,71.83,29.74,22.03,13.07,-21.81,10.04,198437336.35,0.4490906069240693,10.040567951318469,4.53276055073394,3.613963271181553,0.00514,0.00258,0.0325,0.05226,0.4,0.6,0.2,80.38,89.24,65.4,1.35,8,趋势中继原型,2026-03-03,2026-03-09,回踩均线承接,2026-03-09,0.29,2.31,0.09516,0.10089,0.03042,0.00207,0.04318,10.0885,-12.81,-14.99,0.00069,1.26791,2.648,回踩均线承接
