,亏损,大赚>=10%,小赚
rank,15.5,6.5,13.0
score,65.425,67.3,62.97
pre20_return_pct,23.285,20.115,19.54
pre10_return_pct,13.805,10.725,3.3
pre5_return_pct,7.69,9.74,2.37
repair_score,37.47,58.335,56.65
fund_score,83.575,85.745,76.92
trend_score,64.28,57.48,54.93
signal_return_1d_pct,-0.0584,4.8122,4.9664
active_buy_strength,2.5025,4.6541,4.1835
support_pressure_spread,0.0029,0.021,-0.0374
confirm_return_1d_pct,0.57,-0.14,0.48
confirm_amount_anomaly_20d,0.905,1.0655,0.963
confirm_super3_ratio,0.0106,-0.0463,0.0161
confirm_main3_ratio,0.0107,-0.0296,0.0637
confirm_support_pressure_spread,-0.0618,-0.0676,-0.0281
confirm_active_buy_strength,3.8802,1.37,3.288
max_runup_pct,0.945,28.825,13.82
max_drawdown_pct,-10.815,-0.355,-4.75
