symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sz002041,2026-02-02,74.03,18.34,14.85,12.79,-14.79,3.1,1378797218.45,5.251146804449208,3.10008857395927,7.95443874722157,0.0,0.07453,0.05889,0.10412,0.09288,0.55,0.25,0.0,61.12,87.14,60.78,100.0,1,趋势中继原型,2026-02-02,2026-02-03,回踩均线承接,2026-02-03,-0.43,3.047,0.01644,0.02401,0.38254,0.43378,0.0,2.40123,-3.01,-9.79,0.0,0.0,4.294,回踩均线承接
sh605288,2026-02-02,70.52,48.36,4.2,7.98,-17.15,-5.74,244666361.79999998,1.1141158891878455,0.3565891472868232,11.82891010724957,0.0,0.04702,0.06987,0.03022,0.06175,0.55,0.65,0.0,78.87,95.71,47.36,15.2,2,趋势中继原型,2026-02-02,2026-02-04,回踩均线承接,2026-02-04,-2.76,0.728,-0.00125,0.07225,-0.14675,0.31924,0.0,7.22463,-2.89,-11.46,0.0,0.0,1.347,回踩均线承接
sz002952,2026-02-02,69.17,18.51,10.41,11.92,-13.81,4.29,702632917.11,5.330049807055021,4.294736842105262,0.14781648777172762,0.0,0.04168,0.03656,0.09563,0.06637,0.45,0.45,0.0,57.38,78.57,66.53,78.24,3,趋势中继原型,2026-02-02,2026-02-04,回踩均线承接,2026-02-04,1.2,2.504,-0.00567,0.02695,-0.02975,-0.04627,0.0,2.69539,-6.31,-11.98,0.0,0.0,3.595,回踩均线承接
sh603291,2026-02-02,68.1,20.67,1.89,1.37,-5.82,5.65,268042971.76,3.106025743133525,7.257383966244735,5.139090493420511,0.0,0.01471,0.02955,-0.01465,-0.00821,0.5,0.65,0.0,52.55,73.19,88.31,46.44,4,趋势中继原型,2026-02-02,2026-02-03,回踩均线承接,2026-02-03,-0.47,2.02,0.01849,0.09646,0.0088,0.18746,0.0,9.6463,-1.17,-7.73,0.0,0.0,1.553,回踩均线承接
sz002531,2026-02-02,67.25,13.4,7.81,6.93,-11.15,0.0,732395192.8399999,2.5272041095275517,1.3977128335451061,1.6341719357263287,0.0,0.01633,0.02978,0.02585,0.03411,0.6,0.55,0.0,48.49,82.64,62.95,80.42,6,趋势中继原型,2026-02-02,2026-02-05,回踩均线承接,2026-02-05,-1.93,1.425,0.03944,0.00055,0.20025,-0.01345,0.0,0.05542,-2.6,-11.29,0.0,0.0,2.345,回踩均线承接
sz002457,2026-02-02,66.55,13.76,8.62,5.76,-10.44,-2.61,305762933.3,1.4370033603155485,-1.3621794871794823,2.8232467280559064,0.0,0.03568,0.03982,0.05742,0.06851,0.65,0.7,0.0,48.53,100.0,55.79,30.44,7,趋势中继原型,2026-02-02,2026-02-03,回踩均线承接,2026-02-03,1.54,1.336,0.1011,0.06111,0.29266,0.24956,0.0,6.11133,-1.11,-4.5,0.0,0.0,1.923,回踩均线承接
sz002135,2026-02-02,64.83,26.32,10.7,3.63,-15.51,0.66,418194076.92,1.8468737050266066,1.6666666666666607,-0.20913213463979474,0.0,0.0206,0.04624,0.01259,0.03431,0.6,0.7,0.0,67.68,87.4,34.82,52.32,10,趋势中继原型,2026-02-02,2026-02-05,回踩均线承接,2026-02-05,0.33,1.307,-0.00964,0.00354,-0.04124,-0.14993,0.0,0.3541,-3.31,-7.52,0.0,0.0,1.297,回踩均线承接
sz002985,2026-02-02,64.3,24.13,8.65,6.58,-20.56,-0.57,1363688719.2200003,1.577325219487236,3.882528621204595,1.5729267594344307,0.0,0.02061,0.01425,0.04396,0.03325,0.35,0.35,0.0,63.03,68.47,51.35,85.91,11,趋势中继原型,2026-02-02,2026-02-10,回踩均线承接,2026-02-10,1.61,1.1,-0.00395,0.0279,-0.05488,-0.02268,0.0,2.78977,-6.11,-13.84,0.0,0.0,1.409,回踩均线承接
sh603010,2026-02-02,63.07,14.43,16.3,9.87,-16.08,0.16,468258680.72999996,3.069731548060638,0.16488046166529546,8.02708884785697,0.0,0.00819,-0.00693,0.04129,0.04234,0.45,0.25,0.0,57.39,78.57,48.96,61.09,13,趋势中继原型,2026-02-02,2026-02-06,回踩均线承接,2026-02-06,3.42,1.434,0.02472,0.02654,0.03334,-0.04363,0.0,2.65391,-4.73,-10.25,0.0,0.0,1.146,回踩均线承接
sh603887,2026-02-02,62.58,12.86,7.43,4.13,-10.37,1.02,1061859306.65,2.9892221208093184,1.0243277848911658,-6.448630183976917,0.0,0.03403,0.03422,0.0627,0.07123,0.45,0.45,0.0,47.45,78.57,43.39,100.0,16,趋势中继原型,2026-02-02,2026-02-06,回踩均线承接,2026-02-06,1.44,1.05,0.00059,0.01745,-0.05462,0.0045,0.0,1.74503,-5.76,-9.09,0.0,0.0,1.449,回踩均线承接
sz002169,2026-02-02,61.97,10.54,12.26,7.71,-15.44,1.97,1231733706.92,1.753593665666679,3.6153846153846203,-2.329530814882837,0.0,-0.00887,-0.00095,0.02159,0.03804,0.5,0.6,0.0,48.78,79.69,41.05,91.79,17,趋势中继原型,2026-02-02,2026-02-03,回踩均线承接,2026-02-03,2.08,1.303,0.03728,0.02167,0.03693,0.05622,0.0,2.16667,-2.0,-6.2,0.0,0.0,1.785,回踩均线承接
