symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sz002041,2026-02-02,74.03,18.34,14.85,12.79,-14.79,3.1,1378797218.45,5.251146804449208,3.10008857395927,7.95443874722157,0.0,0.07453,0.05889,0.10412,0.09288,0.55,0.25,0.0,61.12,87.14,60.78,100.0,1,趋势中继原型
sh605288,2026-02-02,70.52,48.36,4.2,7.98,-17.15,-5.74,244666361.79999998,1.1141158891878455,0.3565891472868232,11.82891010724957,0.0,0.04702,0.06987,0.03022,0.06175,0.55,0.65,0.0,78.87,95.71,47.36,15.2,2,趋势中继原型
sz002952,2026-02-02,69.17,18.51,10.41,11.92,-13.81,4.29,702632917.11,5.330049807055021,4.294736842105262,0.14781648777172762,0.0,0.04168,0.03656,0.09563,0.06637,0.45,0.45,0.0,57.38,78.57,66.53,78.24,3,趋势中继原型
sh603291,2026-02-02,68.1,20.67,1.89,1.37,-5.82,5.65,268042971.76,3.106025743133525,7.257383966244735,5.139090493420511,0.0,0.01471,0.02955,-0.01465,-0.00821,0.5,0.65,0.0,52.55,73.19,88.31,46.44,4,趋势中继原型
sh603629,2026-02-02,68.07,35.26,24.34,14.62,-21.9,10.0,2268965225.6200004,2.866107952841309,10.000000000000009,5.337568375773891,0.0,0.01505,0.00933,0.01113,0.00079,0.6,0.5,0.0,87.48,51.51,55.21,100.0,5,趋势中继原型
sz002531,2026-02-02,67.25,13.4,7.81,6.93,-11.15,0.0,732395192.8399999,2.5272041095275517,1.3977128335451061,1.6341719357263287,0.0,0.01633,0.02978,0.02585,0.03411,0.6,0.55,0.0,48.49,82.64,62.95,80.42,6,趋势中继原型
sz002457,2026-02-02,66.55,13.76,8.62,5.76,-10.44,-2.61,305762933.3,1.4370033603155485,-1.3621794871794823,2.8232467280559064,0.0,0.03568,0.03982,0.05742,0.06851,0.65,0.7,0.0,48.53,100.0,55.79,30.44,7,趋势中继原型
sz002575,2026-02-02,66.55,15.2,12.68,3.6,-18.73,4.49,804593800.7300001,2.2988655451194853,9.999999999999986,17.04701109747014,0.0,0.02192,0.00501,0.04736,0.03712,0.4,0.35,0.0,55.15,74.29,61.73,85.7,8,趋势中继原型
sh605151,2026-02-02,66.26,20.72,16.84,13.65,-16.46,10.0,366922370.57,7.011355464230824,10.000000000000009,7.814019795375259,0.0,0.06629,0.03637,0.10658,0.06656,0.15,0.3,0.0,65.96,70.0,66.4,53.68,9,趋势中继原型
sz002135,2026-02-02,64.83,26.32,10.7,3.63,-15.51,0.66,418194076.92,1.8468737050266066,1.6666666666666607,-0.20913213463979474,0.0,0.0206,0.04624,0.01259,0.03431,0.6,0.7,0.0,67.68,87.4,34.82,52.32,10,趋势中继原型
sz002985,2026-02-02,64.3,24.13,8.65,6.58,-20.56,-0.57,1363688719.2200003,1.577325219487236,3.882528621204595,1.5729267594344307,0.0,0.02061,0.01425,0.04396,0.03325,0.35,0.35,0.0,63.03,68.47,51.35,85.91,11,趋势中继原型
sz002830,2026-02-02,63.25,19.72,9.57,10.14,-11.83,10.02,346191253.96,2.9072266496640853,10.021505376344075,9.675088430706012,0.0,0.03186,0.01961,0.03837,0.02061,0.4,0.25,0.0,58.18,61.69,75.94,52.16,12,趋势中继原型
sh603010,2026-02-02,63.07,14.43,16.3,9.87,-16.08,0.16,468258680.72999996,3.069731548060638,0.16488046166529546,8.02708884785697,0.0,0.00819,-0.00693,0.04129,0.04234,0.45,0.25,0.0,57.39,78.57,48.96,61.09,13,趋势中继原型
sz001330,2026-02-02,62.9,27.83,13.61,-1.64,-18.9,2.8,2107347419.6100001,1.6317992268842518,7.08333333333333,5.040265128170326,0.0,0.0159,0.00291,0.01651,0.01469,0.5,0.45,0.0,72.22,48.91,61.38,87.73,14,趋势中继原型
sh600133,2026-02-02,62.61,20.09,7.63,1.76,-13.75,-5.88,950650870.73,1.1150695820559273,-1.0909090909090868,3.5055348420824117,0.0,0.02588,0.03291,-0.0128,0.00551,0.6,0.55,0.0,49.65,81.62,49.82,66.89,15,趋势中继原型
sh603887,2026-02-02,62.58,12.86,7.43,4.13,-10.37,1.02,1061859306.65,2.9892221208093184,1.0243277848911658,-6.448630183976917,0.0,0.03403,0.03422,0.0627,0.07123,0.45,0.45,0.0,47.45,78.57,43.39,100.0,16,趋势中继原型
sz002169,2026-02-02,61.97,10.54,12.26,7.71,-15.44,1.97,1231733706.92,1.753593665666679,3.6153846153846203,-2.329530814882837,0.0,-0.00887,-0.00095,0.02159,0.03804,0.5,0.6,0.0,48.78,79.69,41.05,91.79,17,趋势中继原型
sh603012,2026-02-02,60.48,32.67,3.63,0.13,-11.29,-5.1,195154320.32,0.5755182740416628,-2.2499999999999964,4.965184631378602,0.0,0.02765,0.02026,-0.00129,-0.01613,0.7,0.5,0.0,63.72,80.67,52.06,1.11,18,趋势中继原型
sz002562,2026-02-02,60.04,11.04,8.3,5.83,-11.83,-2.82,1007488608.52,2.6618468752673397,-2.822580645161288,-5.803642632336448,0.0,0.0358,0.03852,0.08503,0.06404,0.45,0.5,0.0,44.35,82.86,30.94,100.0,19,趋势中继原型
sh600395,2026-02-02,59.67,16.38,15.4,11.86,-14.81,-0.73,829499642.14,5.9907222023807645,-0.7312614259597838,-5.997027986855251,0.0,0.03587,0.0258,0.11703,0.07175,0.3,0.4,0.0,59.1,74.29,28.77,87.52,20,趋势中继原型
sh605288,2026-02-03,80.26,47.58,5.47,-1.49,-15.78,2.52,282226356.79999995,1.2350613653400926,8.767186775838098,4.24411105178536,0.0,0.04275,0.07573,0.0198,0.068,0.55,0.7,0.0,87.03,100.0,67.81,21.98,1,趋势中继原型
sz000607,2026-02-03,70.36,17.1,10.62,1.42,-18.98,-3.28,802673565.77,2.424220740953981,6.000000000000005,18.96150282014039,0.0,0.03445,0.01946,0.04628,0.04933,0.55,0.5,0.0,53.34,87.14,61.22,85.56,2,趋势中继原型
sh601231,2026-02-03,68.22,12.23,8.37,0.34,-13.49,4.6,2217686565.77,1.3767036103262653,9.079716835949503,9.43166899049038,0.0,0.01055,0.02125,0.02169,0.0567,0.45,0.6,0.0,47.48,79.78,72.52,79.22,3,趋势中继原型
sz002457,2026-02-03,67.31,12.01,5.67,4.32,-10.44,-1.11,298807384.15000004,1.3362262795179225,1.543460601137281,6.111325508888029,0.0,0.03727,0.04096,0.05543,0.06516,0.7,0.75,0.0,44.79,100.0,64.87,26.57,4,趋势中继原型
sz001368,2026-02-03,66.61,34.69,23.23,14.98,-19.55,-0.45,361416332.85,4.199167068007252,-0.4545454545454519,5.399733431001195,0.0,0.01117,0.02003,0.02164,0.02644,0.2,0.6,0.0,86.74,72.25,39.88,53.27,5,趋势中继原型
sz002283,2026-02-03,65.6,15.08,12.75,1.68,-15.27,1.06,584097028.7399999,1.915810283773243,4.965517241379325,4.2723369101588204,0.0,0.02875,0.02164,0.04117,0.03715,0.35,0.4,0.0,55.06,74.29,65.62,66.76,6,趋势中继原型
sh603861,2026-02-03,65.55,43.15,18.7,14.25,-20.95,-0.38,1465925170.9799998,2.9452441849292668,-0.3829321663019747,-13.636440658588526,0.0,0.02883,0.00824,0.03675,0.00473,0.55,0.45,0.0,96.46,63.73,17.21,100.0,7,趋势中继原型
sh603887,2026-02-03,65.34,12.47,11.44,8.38,-15.15,-2.06,801498835.16,2.0608909554834103,2.408111533586821,1.4949858283459676,0.0,0.02278,0.02229,0.03402,0.03827,0.45,0.45,0.0,50.42,77.71,57.88,85.48,8,趋势中继原型
sh600232,2026-02-03,64.97,11.35,8.75,7.75,-11.7,-1.06,284368416.25,2.13882935242228,-0.21459227467810482,6.095126536402056,0.0,0.02207,0.02228,0.04902,0.04176,0.6,0.55,0.0,46.69,91.43,56.78,47.64,9,趋势中继原型
sh603291,2026-02-03,64.08,24.0,7.35,8.73,-11.48,-1.17,183384025.0,2.0201290177985567,-0.4720692368214041,9.646303706116168,0.0,0.01101,0.03429,-0.01055,0.0085,0.45,0.7,0.0,61.71,78.39,56.42,40.25,10,趋势中继原型
sh600770,2026-02-03,63.79,22.35,14.74,-2.42,-20.86,-2.14,682203475.38,1.4903006678508495,6.037151702786381,5.428792642747908,0.0,0.02478,0.01594,0.02535,0.01757,0.5,0.6,0.0,65.91,67.73,57.35,59.76,11,趋势中继原型
sz002291,2026-02-03,63.41,22.04,8.97,-1.69,-18.98,-3.49,2177378319.1800003,2.073190529117763,1.842751842751822,-12.132586055118217,0.0,0.04502,0.01922,0.07874,0.05286,0.5,0.4,0.0,57.83,82.86,28.24,100.0,12,趋势中继原型
sz002531,2026-02-03,63.2,12.87,10.07,7.11,-13.89,2.87,964422989.4599999,2.9367550099326127,7.644110275689209,-1.5125576712110416,0.0,0.01382,0.02546,0.02006,0.02902,0.6,0.55,0.0,49.82,73.12,51.69,97.4,13,趋势中继原型
sh603012,2026-02-03,62.78,17.95,3.85,-1.26,-11.29,0.0,250329671.20000002,0.7607357371049454,5.3708439897698135,6.425106905185757,0.0,0.02726,0.0207,0.00537,-0.00973,0.7,0.5,0.0,50.8,80.71,75.09,5.15,14,趋势中继原型
sz001330,2026-02-03,61.72,35.44,22.38,8.32,-21.4,-1.89,2047138569.6100001,1.506133777344998,0.7782101167315147,-4.60903053611926,0.0,0.02091,0.00931,0.023,0.01949,0.55,0.5,0.0,87.71,63.07,19.91,83.54,15,趋势中继原型
sz002169,2026-02-03,61.23,17.33,16.02,14.44,-20.03,-2.0,918261205.4399999,1.3025690899314253,2.078693392724573,2.166668183533531,0.0,-0.00792,-0.00111,0.01419,0.03031,0.5,0.6,0.0,60.87,69.12,46.8,70.77,16,趋势中继原型
sz002938,2026-02-03,60.93,10.59,11.9,-2.81,-16.69,1.78,4096017325.8600006,1.7511127809228566,7.161081816635484,0.009694169443399403,0.0,0.01738,0.01861,0.02863,0.02003,0.45,0.55,0.0,48.53,68.47,52.96,91.7,17,趋势中继原型
sh600053,2026-02-03,60.89,14.97,-3.81,-3.64,-12.48,0.28,546520640.48,1.507239579240955,10.000000000000009,13.008177474790472,0.0,0.01874,0.02893,-0.008,-0.01983,0.55,0.6,0.0,40.13,71.89,74.6,50.39,18,趋势中继原型
sz002734,2026-02-03,60.31,15.5,10.99,2.62,-19.54,-6.99,793135603.2300001,1.0223640053107137,2.499999999999991,2.772590594905253,0.0,0.01473,0.02463,0.02649,0.04429,0.55,0.6,0.0,44.67,83.98,49.13,52.28,19,趋势中继原型
sh603191,2026-02-03,60.1,34.53,6.24,5.21,-17.04,-2.17,576259083.74,1.1382769487370266,2.814167879670082,5.034282590691298,0.0,0.01967,0.0114,0.01748,0.00411,0.55,0.6,0.0,73.93,57.36,55.26,40.27,20,趋势中继原型
sh603806,2026-02-04,77.93,31.23,20.72,5.23,-20.86,4.82,2876473049.75,2.5603327530328737,6.951871657754016,2.0878597372994463,0.0,0.01622,0.032,0.02979,0.04324,0.55,0.5,0.0,82.3,82.58,57.35,100.0,1,趋势中继原型
sh600590,2026-02-04,76.56,20.54,16.2,4.78,-16.64,4.12,2167855838.02,2.6274957714841816,6.626506024096401,4.281747043879918,0.0,0.0328,0.01838,0.05367,0.04401,0.5,0.55,0.0,65.16,87.14,66.04,100.0,2,趋势中继原型
sz002283,2026-02-04,73.51,21.96,16.36,9.81,-16.14,4.72,1029299465.2499999,2.9217704139872946,4.862023653088032,2.5324402790463907,0.0,0.0301,0.02575,0.03836,0.03935,0.4,0.45,0.0,67.13,78.57,63.5,100.0,3,趋势中继原型
sh601799,2026-02-04,73.25,12.57,18.42,9.27,-17.29,4.16,1751199263.8200002,2.6174094750344663,4.170431639674699,1.0628708682413546,0.0,0.02336,0.03508,0.01987,0.0402,0.6,0.7,0.0,56.89,89.81,58.98,100.0,4,趋势中继原型
sh600053,2026-02-04,70.63,14.8,6.09,10.59,-12.73,4.2,657537521.76,1.7455947838901724,4.202020202020207,1.313020911246383,0.0,0.03089,0.03965,0.01804,0.00712,0.6,0.65,0.0,48.75,92.12,68.47,66.46,5,趋势中继原型
sz000875,2026-02-04,69.1,25.53,9.94,3.51,-9.85,3.52,1435788569.92,1.6791166747179307,3.9548022598870025,0.9717034772590054,0.0,0.0141,0.02315,-0.01196,0.00974,0.5,0.6,0.0,65.98,62.77,73.63,89.3,6,趋势中继原型
sh603381,2026-02-04,68.42,13.67,13.01,0.39,-16.12,5.19,740289039.25,4.047649577928789,10.000000000000009,18.487760499420368,0.0,0.02135,0.01638,0.03574,0.03643,0.4,0.45,0.0,53.48,78.57,67.11,81.0,7,趋势中继原型
sz002043,2026-02-04,67.55,23.42,17.24,4.59,-17.26,3.1,310812344.94,1.7387387578902722,5.674191580231858,4.387730160020716,0.0,0.00356,0.0142,0.01245,0.03522,0.45,0.65,0.0,69.79,75.98,63.74,40.86,8,趋势中继原型
sh600649,2026-02-04,67.32,13.79,-4.59,1.56,-13.32,-1.42,775270047.03,1.5245873150810008,6.730769230769229,7.395369060063963,0.0,0.03455,0.03203,0.02862,0.02405,0.6,0.6,0.0,37.92,88.44,72.87,67.71,9,趋势中继原型
sh600770,2026-02-04,67.04,29.25,10.84,0.74,-20.86,0.71,867263244.5600001,1.7444730152015837,2.9197080291970767,3.079530188501181,0.0,0.02725,0.01879,0.02797,0.02069,0.55,0.6,0.0,71.57,72.76,47.73,81.77,10,趋势中继原型
sz002531,2026-02-04,66.75,22.89,18.98,16.4,-17.36,1.15,546369824.89,1.5706983805812933,2.4447031431897637,1.3557342357790922,0.0,0.01829,0.02137,0.02541,0.02316,0.65,0.55,0.0,70.66,76.96,53.45,52.5,11,趋势中继原型
sz002041,2026-02-04,65.71,19.86,17.55,14.53,-18.91,-4.85,1131874873.1299999,3.2134758701173856,-1.8981880931837836,-8.7615595410969,0.0,0.06042,0.06161,0.07243,0.08275,0.65,0.35,0.0,60.14,95.71,16.68,100.0,12,趋势中继原型
sz000599,2026-02-04,64.61,17.95,19.09,9.2,-21.13,3.41,602005824.76,2.7560070637685903,7.065217391304346,3.2619468836250363,0.0,0.01291,0.02756,0.02847,0.06618,0.3,0.4,0.0,64.41,68.57,56.79,70.88,13,趋势中继原型
sh601155,2026-02-04,63.91,15.62,9.45,3.7,-17.71,-1.58,712583433.59,1.9502318979985582,7.499999999999996,3.347490599076245,0.0,0.01559,0.01056,0.02927,0.02075,0.55,0.5,0.0,52.81,69.66,63.83,77.31,14,趋势中继原型
sz002264,2026-02-04,63.85,24.34,12.0,9.84,-19.35,-5.38,1292197485.0,1.1956989115434482,0.4389815627743543,0.17916936280060725,0.0,0.04007,0.01632,0.01089,-0.00059,0.65,0.5,0.0,59.96,79.37,43.07,73.19,15,趋势中继原型
sz000738,2026-02-04,63.81,17.12,6.46,0.27,-12.42,2.28,3255163394.8799996,1.8928056032843132,6.032482598607891,-9.5604174275704,0.0,0.01527,0.01072,0.02548,0.02612,0.55,0.45,0.0,52.06,71.04,54.72,96.43,16,趋势中继原型
sh600026,2026-02-04,62.81,32.25,10.06,2.72,-13.87,1.89,1179922383.99,1.2482705771067009,5.5450535601764495,7.770371481551365,0.0,0.00733,0.00778,0.00875,0.01656,0.5,0.5,0.0,74.73,43.75,70.32,74.94,17,趋势中继原型
sz002810,2026-02-04,62.37,23.68,4.48,5.15,-10.96,5.16,451745382.76,1.3500835933430768,10.016694490818034,27.104309217710455,0.0,0.01822,0.02728,0.00974,0.01284,0.5,0.5,0.0,58.73,61.42,77.73,38.22,18,趋势中继原型
sz000533,2026-02-04,61.62,14.32,9.15,14.32,-19.03,9.96,998374176.0000001,1.4298881255430183,9.960552268244571,12.354949280058293,0.0,0.01974,0.00113,0.04272,0.01539,0.5,0.35,0.0,50.87,65.7,61.11,80.88,19,趋势中继原型
sh601231,2026-02-04,61.36,19.29,14.29,10.1,-17.97,-3.64,1685549747.0700002,1.0359499697917258,-2.849887133182838,-7.474202866987113,0.0,0.01925,0.03487,0.03131,0.06556,0.5,0.65,0.0,58.77,92.49,18.3,67.86,20,趋势中继原型
sh603334,2026-02-05,73.41,20.43,8.7,13.99,-14.0,10.0,460151616.87999994,2.183548313445256,9.998138149320424,12.960622488816064,0.0,0.0423,0.03593,0.04628,0.05661,0.6,0.5,0.0,58.32,91.43,71.47,60.5,1,趋势中继原型
sz002264,2026-02-05,70.02,23.94,11.39,4.57,-19.35,4.05,1805042256.19,1.58812351888351,9.965034965034981,17.0165560931704,0.0,0.04072,0.01284,0.01825,0.00683,0.65,0.5,0.0,65.24,76.32,60.45,86.27,2,趋势中继原型
sz002283,2026-02-05,68.95,27.68,10.99,10.37,-21.74,-2.15,741411861.47,1.9306119717766628,2.631578947368407,4.597906973380592,0.0,0.0357,0.02692,0.04468,0.0373,0.45,0.5,0.0,69.4,82.86,45.0,78.77,3,趋势中继原型
sh600792,2026-02-05,68.13,12.9,11.0,5.94,-17.63,0.21,715092577.57,3.3931321555391265,4.094827586206895,6.191089113306621,0.0,0.05498,0.03647,0.08131,0.07425,0.55,0.35,0.0,50.69,87.14,58.03,79.15,4,趋势中继原型
sz002970,2026-02-05,67.35,23.95,14.71,10.46,-19.0,8.12,1606505221.0800002,3.173325597259659,8.115338882282996,-0.6008347656356108,0.0,0.02941,0.02714,0.03709,0.02014,0.45,0.5,0.0,68.21,75.98,41.19,100.0,5,趋势中继原型
sh600814,2026-02-05,66.07,11.24,6.2,10.68,-10.89,9.99,428993132.81,2.60125893968969,9.988776655443331,14.536048626591537,0.0,0.03827,0.02028,0.09969,0.07296,0.45,0.45,0.0,44.27,78.57,77.88,58.22,6,趋势中继原型
