symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_super_peak_amount,final_cum_super_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,future_days_available,is_mature_trade
sz002985,2026-02-02,64.3,24.13,8.65,6.58,-20.56,-0.57,1363688719.2200003,1.577325219487236,3.882528621204595,1.5729267594344307,0.0,0.02061,0.01425,0.04396,0.03325,0.35,0.35,0.0,63.03,68.47,51.35,85.91,11,趋势中继原型,2026-02-02,2026-02-10,回踩均线承接,2026-02-10,1.61,1.1,-0.00395,0.0279,-0.05488,-0.02268,0.0,2.78977,-6.11,-13.84,0.0,0.0,1.409,回踩均线承接,2026-02-11,43.46,43.5686,2026-03-03,2026-03-04,38.0,37.905,-12.56,-13.0,4.21,-12.2,10,hard_stop_8pct,-242728956.28,0.0,-0.03535,0.0,9,45,True
sh601231,2026-02-03,68.22,12.23,8.37,0.34,-13.49,4.6,2217686565.77,1.3767036103262653,9.079716835949503,9.43166899049038,0.0,0.01055,0.02125,0.02169,0.0567,0.45,0.6,0.0,47.48,79.78,72.52,79.22,3,趋势中继原型,2026-02-03,2026-02-05,回踩均线承接,2026-02-05,-1.68,0.929,-0.0067,0.02849,0.09223,0.08304,0.0,2.8492,-5.79,-10.66,0.0,0.0,1.23,回踩均线承接,2026-02-06,33.93,34.0148,2026-03-04,2026-03-05,43.4,43.2915,27.91,27.27,45.53,-0.06,14,cum_super_peak_dd_20pct_3d,11117979.37,648530835.68,0.00031,98.29,3,48,True
sz002283,2026-02-03,65.6,15.08,12.75,1.68,-15.27,1.06,584097028.7399999,1.915810283773243,4.965517241379325,4.2723369101588204,0.0,0.02875,0.02164,0.04117,0.03715,0.35,0.4,0.0,55.06,74.29,65.62,66.76,6,趋势中继原型,2026-02-03,2026-02-10,回踩均线承接,2026-02-10,-1.8,0.877,-0.00747,0.01219,-0.05336,-0.10335,0.0,1.21893,-3.19,-14.17,0.0,0.0,1.598,回踩均线承接,2026-02-11,8.16,8.1804,2026-03-04,2026-03-05,9.9,9.8753,21.32,20.72,39.46,-0.49,11,cum_super_peak_dd_20pct_3d,44426185.17,186516975.34,0.00487,76.18,3,45,True
sh600232,2026-02-03,64.97,11.35,8.75,7.75,-11.7,-1.06,284368416.25,2.13882935242228,-0.21459227467810482,6.095126536402056,0.0,0.02207,0.02228,0.04902,0.04176,0.6,0.55,0.0,46.69,91.43,56.78,47.64,9,趋势中继原型,2026-02-03,2026-02-05,回踩均线承接,2026-02-05,-1.71,0.776,0.02815,0.01136,0.21343,0.18561,0.0,1.13577,-4.97,-5.7,0.0,0.0,1.494,回踩均线承接,2026-02-06,9.14,9.1629,2026-03-03,2026-03-04,7.99,7.97,-12.58,-13.02,2.08,-11.16,13,hard_stop_8pct,-29108772.0,0.0,-0.03021,0.0,0,48,True
sh600590,2026-02-04,76.56,20.54,16.2,4.78,-16.64,4.12,2167855838.02,2.6274957714841816,6.626506024096401,4.281747043879918,0.0,0.0328,0.01838,0.05367,0.04401,0.5,0.55,0.0,65.16,87.14,66.04,100.0,2,趋势中继原型,2026-02-04,2026-02-06,回踩均线承接,2026-02-06,0.87,1.093,0.02072,-0.00381,0.10474,-0.04098,0.0,-0.38141,-9.21,-13.7,0.0,0.0,1.622,回踩均线承接,2026-02-09,11.66,11.6891,2026-03-03,2026-03-04,12.75,12.7181,9.35,8.8,36.62,-1.2,12,cum_super_peak_dd_20pct_3d,458816439.05,755891165.04,0.02994,39.3,3,47,True
sh601799,2026-02-04,73.25,12.57,18.42,9.27,-17.29,4.16,1751199263.8200002,2.6174094750344663,4.170431639674699,1.0628708682413546,0.0,0.02336,0.03508,0.01987,0.0402,0.6,0.7,0.0,56.89,89.81,58.98,100.0,4,趋势中继原型,2026-02-04,2026-02-06,回踩均线承接,2026-02-06,1.02,1.089,0.0569,0.08301,0.0912,0.12933,0.0,8.30085,-2.35,-7.03,0.0,0.0,2.262,回踩均线承接,2026-02-09,150.0,150.375,2026-02-26,2026-02-27,151.9,151.5203,1.27,0.76,5.67,-5.82,9,cum_super_peak_dd_20pct_3d,28054948.28,41939493.38,0.00537,33.11,3,47,True
sz002043,2026-02-04,67.55,23.42,17.24,4.59,-17.26,3.1,310812344.94,1.7387387578902722,5.674191580231858,4.387730160020716,0.0,0.00356,0.0142,0.01245,0.03522,0.45,0.65,0.0,69.79,75.98,63.74,40.86,8,趋势中继原型,2026-02-04,2026-02-09,回踩均线承接,2026-02-09,2.65,1.16,0.0296,0.06672,0.02606,0.01917,0.0,6.67204,-4.02,-9.74,0.0,0.0,1.445,回踩均线承接,2026-02-10,17.43,17.4736,2026-03-05,2026-03-06,15.95,15.9101,-8.49,-8.95,2.41,-8.89,13,hard_stop_8pct,-24904071.0,0.0,-0.01101,0.0,1,46,True
sh600649,2026-02-04,67.32,13.79,-4.59,1.56,-13.32,-1.42,775270047.03,1.5245873150810008,6.730769230769229,7.395369060063963,0.0,0.03455,0.03203,0.02862,0.02405,0.6,0.6,0.0,37.92,88.44,72.87,67.71,9,趋势中继原型,2026-02-04,2026-02-10,回踩均线承接,2026-02-10,-3.1,0.524,-0.00051,-0.00728,-0.04934,-0.13118,0.0,-0.72827,-7.96,-11.94,0.0,0.0,0.867,回踩均线承接,2026-02-11,5.31,5.3233,2026-02-12,2026-02-13,5.28,5.2668,-0.56,-1.06,2.26,-1.13,2,violent_super_outflow,-11065299.0,2517125.0,-0.02296,539.6,1,45,True
sh601155,2026-02-04,63.91,15.62,9.45,3.7,-17.71,-1.58,712583433.59,1.9502318979985582,7.499999999999996,3.347490599076245,0.0,0.01559,0.01056,0.02927,0.02075,0.55,0.5,0.0,52.81,69.66,63.83,77.31,14,趋势中继原型,2026-02-04,2026-02-09,回踩均线承接,2026-02-09,3.08,1.181,0.01016,0.14493,-0.05485,0.09086,0.0,14.49265,-3.49,-8.08,0.0,0.0,1.429,回踩均线承接,2026-02-10,17.66,17.7041,2026-03-04,2026-03-05,16.41,16.369,-7.08,-7.54,0.79,-9.63,12,hard_stop_8pct,-125296469.0,0.0,-0.03695,0.0,0,46,True
sz000778,2026-02-05,65.3,19.1,6.99,3.7,-11.85,-0.96,760658007.9999999,1.47014329643927,2.5742574257425765,13.784954861081275,0.0,0.02949,0.0105,0.03875,-0.00039,0.65,0.55,0.0,55.08,74.28,65.18,64.83,7,趋势中继原型,2026-02-05,2026-02-06,回踩均线承接,2026-02-06,-1.93,1.046,0.04236,0.01345,0.29284,0.23687,0.0,1.34533,-2.87,-4.41,0.0,0.0,1.258,回踩均线承接,2026-02-09,5.13,5.1428,2026-02-13,2026-02-23,4.97,4.9576,-3.12,-3.6,0.19,-5.65,5,cum_super_peak_dd_20pct_3d,-9518078.81,56180308.24,-0.00546,116.94,3,47,True
