sample_name,rule_name,base_trade_count,base_win_rate_pct,base_avg_return_pct,base_median_return_pct,base_max_return_pct,base_min_return_pct,base_sum_return_pct,base_big_winner_gt_15_count,base_big_loss_le_-8_count,filtered_count,filtered_loss_count,filtered_big_winner_gt_15_count,filtered_trade_count,filtered_win_rate_pct,filtered_avg_return_pct,filtered_median_return_pct,filtered_max_return_pct,filtered_min_return_pct,filtered_sum_return_pct,filtered_big_loss_le_-8_count,kept_trade_count,kept_win_rate_pct,kept_avg_return_pct,kept_median_return_pct,kept_max_return_pct,kept_min_return_pct,kept_sum_return_pct,kept_big_winner_gt_15_count,kept_big_loss_le_-8_count,delta_avg_return_pct,delta_median_return_pct,delta_win_rate_pct
modes:v1.3:full,risk_count_R1_R5>=2,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,18,12,1,18,33.33,-2.22,-3.67,18.54,-13.07,-40.02,7,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,2.15,2.09,8.0
modes:v1.3:full,risk_count_R1_R5>=3,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,3,1,0,3,66.67,-0.14,5.33,5.33,-11.08,-0.42,1,72,58.33,4.79,3.18,62.3,-13.07,345.24,12,10,0.19,-0.02,-0.34
modes:v1.3:full,R2_and_any_R3_R4_R5,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,3,3,0,3,0.0,-6.83,-4.7,-4.7,-11.08,-20.48,1,72,61.11,5.07,3.23,62.3,-13.07,365.3,12,10,0.47,0.03,2.44
modes:v1.3:full,R4_and_any_R1_R2_R3_R5,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,7,6,0,7,14.29,-6.22,-4.7,1.8,-13.07,-43.53,3,68,63.24,5.71,4.26,62.3,-12.13,388.35,12,8,1.11,1.06,4.57
modes:v1.3:full,risk_count_R1_R6>=2,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,24,14,2,24,41.67,-0.66,-2.24,18.54,-13.07,-15.85,9,51,66.67,7.07,5.29,62.3,-12.13,360.67,10,2,2.47,2.09,8.0
modes:v1.3:mature,risk_count_R1_R5>=2,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,13,9,1,13,30.77,-2.34,-4.7,18.54,-11.08,-30.42,5,35,88.57,10.76,8.21,62.3,-12.13,376.45,11,1,3.55,2.88,15.65
modes:v1.3:mature,risk_count_R1_R5>=3,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,3,1,0,3,66.67,-0.14,5.33,5.33,-11.08,-0.42,1,45,73.33,7.7,5.72,62.3,-12.13,346.45,12,5,0.49,0.39,0.41
modes:v1.3:mature,R2_and_any_R3_R4_R5,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,3,3,0,3,0.0,-6.83,-4.7,-4.7,-11.08,-20.48,1,45,77.78,8.14,5.72,62.3,-12.13,366.51,12,5,0.93,0.39,4.86
modes:v1.3:mature,R4_and_any_R1_R2_R3_R5,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,5,4,0,5,20.0,-3.84,-4.7,1.8,-11.03,-19.18,1,43,79.07,8.49,5.72,62.3,-12.13,365.21,12,5,1.28,0.39,6.15
modes:v1.3:mature,risk_count_R1_R6>=2,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,17,9,2,17,47.06,0.73,-0.55,18.54,-11.08,12.43,5,31,87.1,10.76,7.44,62.3,-12.13,333.6,10,1,3.55,2.11,14.18
modes:v1.4-balanced:full,risk_count_R1_R5>=2,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,8,7,0,8,12.5,-6.83,-7.87,1.8,-13.07,-54.61,4,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,1.67,2.09,6.67
modes:v1.4-balanced:full,risk_count_R1_R5>=3,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,1,1,0,1,0.0,-11.08,-11.08,-11.08,-11.08,-11.08,1,64,60.94,5.33,3.21,62.3,-13.07,341.31,11,7,0.25,0.01,0.94
