sample_name,rule_name,base_trade_count,base_win_rate_pct,base_avg_return_pct,base_median_return_pct,base_max_return_pct,base_min_return_pct,base_sum_return_pct,base_big_winner_gt_15_count,base_big_loss_le_-8_count,filtered_count,filtered_loss_count,filtered_big_winner_gt_15_count,filtered_trade_count,filtered_win_rate_pct,filtered_avg_return_pct,filtered_median_return_pct,filtered_max_return_pct,filtered_min_return_pct,filtered_sum_return_pct,filtered_big_loss_le_-8_count,kept_trade_count,kept_win_rate_pct,kept_avg_return_pct,kept_median_return_pct,kept_max_return_pct,kept_min_return_pct,kept_sum_return_pct,kept_big_winner_gt_15_count,kept_big_loss_le_-8_count,delta_avg_return_pct,delta_median_return_pct,delta_win_rate_pct
modes:v1.3:full,risk_count_R1_R5>=2,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,18,12,1,18,33.33,-2.22,-3.67,18.54,-13.07,-40.02,7,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,2.15,2.09,8.0
modes:v1.3:mature,risk_count_R1_R5>=2,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,13,9,1,13,30.77,-2.34,-4.7,18.54,-11.08,-30.42,5,35,88.57,10.76,8.21,62.3,-12.13,376.45,11,1,3.55,2.88,15.65
modes:v1.4-balanced:full,risk_count_R1_R5>=2,65,60.0,5.08,3.2,62.3,-13.07,330.23,11,8,8,7,0,8,12.5,-6.83,-7.87,1.8,-13.07,-54.61,4,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,1.67,2.09,6.67
modes:v1.4-balanced:mature,risk_count_R1_R5>=2,41,78.05,8.44,5.72,62.3,-12.13,346.19,11,3,6,5,0,6,16.67,-5.04,-4.7,1.8,-11.08,-30.26,2,35,88.57,10.76,8.21,62.3,-12.13,376.45,11,1,2.32,2.49,10.52
modes:v1.4-quality:full,risk_count_R1_R5>=2,39,58.97,6.76,8.21,31.05,-13.07,263.59,8,2,4,4,0,4,0.0,-5.75,-4.7,-0.55,-13.07,-23.02,1,35,65.71,8.19,10.1,31.05,-10.54,286.61,8,1,1.43,1.89,6.74
modes:v1.4-quality:mature,risk_count_R1_R5>=2,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,3,3,0,3,0.0,-3.32,-4.7,-0.55,-4.7,-9.95,0,19,89.47,13.47,12.07,31.05,-5.61,255.95,8,0,2.29,1.97,12.2
threshold:none:full,risk_count_R1_R5>=2,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,33,20,2,33,39.39,-2.93,-4.29,18.54,-18.38,-96.72,12,72,56.94,4.72,2.69,62.3,-18.38,339.79,13,13,2.41,1.9,5.51
threshold:none:mature,risk_count_R1_R5>=2,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,24,15,1,24,37.5,-3.86,-4.5,18.54,-18.38,-92.7,10,50,68.0,6.63,4.26,62.3,-18.38,331.4,13,10,3.4,1.65,9.89
threshold:1.5:full,risk_count_R1_R5>=2,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,18,12,1,18,33.33,-2.22,-3.67,18.54,-13.07,-40.02,7,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,2.15,2.09,8.0
threshold:1.5:mature,risk_count_R1_R5>=2,48,72.92,7.21,5.33,62.3,-12.13,346.03,12,6,13,9,1,13,30.77,-2.34,-4.7,18.54,-11.08,-30.42,5,35,88.57,10.76,8.21,62.3,-12.13,376.45,11,1,3.55,2.88,15.65
threshold:2.0:full,risk_count_R1_R5>=2,79,59.49,4.53,3.16,62.3,-13.07,357.98,13,12,21,12,2,21,42.86,-0.88,-1.83,18.54,-13.07,-18.51,7,58,65.52,6.49,4.26,62.3,-12.13,376.49,11,5,1.96,1.1,6.03
threshold:2.0:mature,risk_count_R1_R5>=2,50,72.0,6.81,5.31,62.3,-12.13,340.67,12,7,14,9,1,14,35.71,-1.96,-3.67,18.54,-11.08,-27.43,5,36,86.11,10.23,7.83,62.3,-12.13,368.1,11,2,3.42,2.52,14.11
threshold:2.5:full,risk_count_R1_R5>=2,83,57.83,3.86,2.52,62.3,-14.24,320.38,13,15,24,14,2,24,41.67,-1.91,-2.24,18.54,-14.24,-45.75,9,59,64.41,6.21,3.23,62.3,-12.13,366.13,11,6,2.35,0.71,6.58
threshold:2.5:mature,risk_count_R1_R5>=2,54,68.52,5.61,3.23,62.3,-14.24,303.07,12,10,17,11,1,17,35.29,-3.22,-4.7,18.54,-14.24,-54.67,7,37,83.78,9.67,7.44,62.3,-12.13,357.74,11,3,4.06,4.21,15.26
threshold:3.0:full,risk_count_R1_R5>=2,83,57.83,3.86,2.52,62.3,-14.24,320.38,13,15,24,14,2,24,41.67,-1.91,-2.24,18.54,-14.24,-45.75,9,59,64.41,6.21,3.23,62.3,-12.13,366.13,11,6,2.35,0.71,6.58
threshold:3.0:mature,risk_count_R1_R5>=2,54,68.52,5.61,3.23,62.3,-14.24,303.07,12,10,17,11,1,17,35.29,-3.22,-4.7,18.54,-14.24,-54.67,7,37,83.78,9.67,7.44,62.3,-12.13,357.74,11,3,4.06,4.21,15.26
